Time,Node_ID,Rel_ID,A_ID,B_ID,A_Gender,B_Gender,A_Age,B_Age,A_Is_Infected,B_Is_Infected,Did_Use_Condom,A_Num_Current_Rels,B_Num_Current_Rels,A_Is_Circumcised,B_Is_Circumcised,A_Has_CoInfection,B_Has_CoInfection,A_HIV_Infection_Stage,B_HIV_Infection_Stage,A_Is_On_ART,B_Is_On_ART
6,1,41,7961,7853,MALE,FEMALE,19.8436,40.6003,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,41,7961,7853,MALE,FEMALE,19.8436,40.6003,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,42,7971,8246,MALE,FEMALE,40.6493,43.1508,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,43,8328,9265,MALE,FEMALE,52.9481,24.4353,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,30,8426,7776,MALE,FEMALE,34.3688,45.7216,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,31,8448,9380,MALE,FEMALE,30.023,43.6713,1,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,17,8718,9474,MALE,FEMALE,18.2956,39.3241,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,8,8775,4538,MALE,FEMALE,45.4561,43.8552,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,32,8838,422,MALE,FEMALE,46.0983,44.6654,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,13,8896,5535,MALE,FEMALE,25.7632,34.2173,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,57,8965,896,MALE,FEMALE,34.9213,44.6215,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,44,9012,9945,MALE,FEMALE,18.8449,52.3951,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,33,9048,658,MALE,FEMALE,47.1531,17.8752,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,45,9149,234,MALE,FEMALE,23.6022,22.706,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,18,9751,2778,MALE,FEMALE,38.4688,43.9649,0,0,0,1,1,0,0,0,0,-1,-1,0,0
6,1,25,9993,2396,MALE,FEMALE,53.4525,28.2287,1,1,0,1,1,0,0,0,0,-1,-1,0,0
7,1,26,13,4947,MALE,FEMALE,28.6163,38.6022,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,1,169,1193,MALE,FEMALE,29.4708,44.3184,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,27,363,5172,MALE,FEMALE,51.3581,21.4582,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,19,448,4675,MALE,FEMALE,34.2018,23.7044,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,34,608,793,MALE,FEMALE,47.9313,19.7146,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,34,608,793,MALE,FEMALE,47.9313,19.7146,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,9,2702,4668,MALE,FEMALE,33.5653,29.029,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,9,2702,4668,MALE,FEMALE,33.5653,29.029,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,37,2993,3895,MALE,FEMALE,47.1598,51.2641,1,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,47,3504,1963,MALE,FEMALE,19.3164,45.5386,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,49,4632,3762,MALE,FEMALE,36.1923,52.9439,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,39,5107,6966,MALE,FEMALE,34.171,40.9202,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,50,5303,3938,MALE,FEMALE,17.6653,54.6183,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,12,5624,5456,MALE,FEMALE,52.9865,37.4941,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,24,5978,1865,MALE,FEMALE,27.1011,47.1537,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,52,6358,4973,MALE,FEMALE,53.4382,54.1937,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,40,6903,7825,MALE,FEMALE,48.2836,48.7851,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,6,7030,4319,MALE,FEMALE,29.6573,33.1337,0,0,0,1,1,0,0,0,0,-1,-1,0,0
7,1,7,7155,4517,MALE,FEMALE,32.3534,27.4437,1,1,0,1,1,0,0,0,0,-1,-1,0,0
7,1,13,8896,5535,MALE,FEMALE,25.7659,34.2201,0,0,0,1,1,0,0,0,0,-1,-1,0,0
