Time, NodeID, Gender, AgeYears, IndividualProp=Risk, NumIndividuals, NumInfected
4,1,F,40, High,408,1
4,1,F,40, Low,1651,30
4,1,F,80, High,82,0
4,1,F,80, Low,300,4
4,1,F,125, High,21,1
4,1,F,125, Low,56,0
5,2,M,40, High,1430,0
5,2,M,40, Low,635,0
5,2,M,80, High,260,0
5,2,M,80, Low,112,0
5,2,M,125, High,50,0
5,2,M,125, Low,21,0
5,2,F,40, High,1411,0
5,2,F,40, Low,652,0
5,2,F,80, High,246,0
5,2,F,80, Low,96,0
5,2,F,125, High,52,0
5,2,F,125, Low,35,0
5,1,M,40, High,409,2
5,1,M,40, Low,1617,29
5,1,M,80, High,79,0
5,1,M,80, Low,303,3
5,1,M,125, High,22,1
5,1,M,125, Low,52,0
5,1,F,40, High,408,1
5,1,F,40, Low,1651,26
5,1,F,80, High,82,0
5,1,F,80, Low,300,5
5,1,F,125, High,21,0
5,1,F,125, Low,56,0
6,2,M,40, High,1430,0
6,2,M,40, Low,635,0
6,2,M,80, High,260,0
6,2,M,80, Low,112,0
6,2,M,125, High,50,0
6,2,M,125, Low,21,0
6,2,F,40, High,1411,0
6,2,F,40, Low,652,0
6,2,F,80, High,246,0
6,2,F,80, Low,96,0
6,2,F,125, High,52,0
6,2,F,125, Low,35,0
6,1,M,40, High,409,5
6,1,M,40, Low,1617,29
6,1,M,80, High,79,1
6,1,M,80, Low,303,3
6,1,M,125, High,22,1
6,1,M,125, Low,52,0
6,1,F,40, High,408,2
6,1,F,40, Low,1651,21
6,1,F,80, High,82,0
6,1,F,80, Low,300,6
6,1,F,125, High,21,0
6,1,F,125, Low,56,1
7,2,M,40, High,1430,0
7,2,M,40, Low,635,0
7,2,M,80, High,260,0
7,2,M,80, Low,112,0
7,2,M,125, High,50,0
7,2,M,125, Low,21,0
7,2,F,40, High,1411,0
7,2,F,40, Low,652,0
7,2,F,80, High,246,0
7,2,F,80, Low,96,0
7,2,F,125, High,52,0
7,2,F,125, Low,35,0
7,1,M,40, High,409,6
7,1,M,40, Low,1617,24
7,1,M,80, High,79,1
7,1,M,80, Low,303,2
7,1,M,125, High,22,1
7,1,M,125, Low,52,1
7,1,F,40, High,408,4
7,1,F,40, Low,1651,25
7,1,F,80, High,82,0
7,1,F,80, Low,300,7
7,1,F,125, High,21,1
7,1,F,125, Low,56,1
8,2,M,40, High,1430,0
8,2,M,40, Low,635,0
8,2,M,80, High,260,0
8,2,M,80, Low,112,0
8,2,M,125, High,50,0
8,2,M,125, Low,21,0
8,2,F,40, High,1411,0
8,2,F,40, Low,652,0
8,2,F,80, High,246,0
8,2,F,80, Low,96,0
8,2,F,125, High,52,0
8,2,F,125, Low,35,0
8,1,M,40, High,409,10
8,1,M,40, Low,1617,27
8,1,M,80, High,79,0
8,1,M,80, Low,303,2
8,1,M,125, High,22,1
8,1,M,125, Low,52,1
8,1,F,40, High,408,4
8,1,F,40, Low,1651,29
8,1,F,80, High,82,1
8,1,F,80, Low,300,9
8,1,F,125, High,21,1
8,1,F,125, Low,56,0
9,2,M,40, High,1430,0
9,2,M,40, Low,635,0
9,2,M,80, High,260,0
9,2,M,80, Low,112,0
9,2,M,125, High,50,0
9,2,M,125, Low,21,0
9,2,F,40, High,1411,0
9,2,F,40, Low,652,0
9,2,F,80, High,246,0
9,2,F,80, Low,96,0
9,2,F,125, High,52,0
9,2,F,125, Low,35,0
9,1,M,40, High,409,14
9,1,M,40, Low,1617,37
9,1,M,80, High,79,0
9,1,M,80, Low,303,4
9,1,M,125, High,22,1
9,1,M,125, Low,52,2
9,1,F,40, High,408,7
9,1,F,40, Low,1651,34
9,1,F,80, High,82,1
9,1,F,80, Low,300,7
9,1,F,125, High,21,0
9,1,F,125, Low,56,0
10,2,M,40, High,1430,0
10,2,M,40, Low,635,0
10,2,M,80, High,260,0
10,2,M,80, Low,112,0
10,2,M,125, High,50,0
10,2,M,125, Low,21,0
10,2,F,40, High,1411,0
10,2,F,40, Low,652,0
10,2,F,80, High,246,0
10,2,F,80, Low,96,0
10,2,F,125, High,52,0
10,2,F,125, Low,35,0
10,1,M,40, High,409,21
10,1,M,40, Low,1617,42
10,1,M,80, High,79,1
10,1,M,80, Low,303,3
10,1,M,125, High,22,0
10,1,M,125, Low,52,3
10,1,F,40, High,408,16
10,1,F,40, Low,1651,36
10,1,F,80, High,82,3
10,1,F,80, Low,300,10
10,1,F,125, High,21,0
10,1,F,125, Low,56,1
11,2,M,40, High,1430,0
11,2,M,40, Low,635,0
11,2,M,80, High,260,0
11,2,M,80, Low,112,0
11,2,M,125, High,50,0
11,2,M,125, Low,21,0
11,2,F,40, High,1411,0
11,2,F,40, Low,652,0
11,2,F,80, High,246,0
11,2,F,80, Low,96,0
11,2,F,125, High,52,0
11,2,F,125, Low,35,0
11,1,M,40, High,409,25
11,1,M,40, Low,1617,41
11,1,M,80, High,79,1
11,1,M,80, Low,303,2
11,1,M,125, High,22,0
11,1,M,125, Low,52,2
11,1,F,40, High,408,19
11,1,F,40, Low,1651,38
11,1,F,80, High,82,5
11,1,F,80, Low,300,12
11,1,F,125, High,21,1
11,1,F,125, Low,56,1
12,2,M,40, High,1430,0
12,2,M,40, Low,635,0
12,2,M,80, High,260,0
12,2,M,80, Low,112,0
12,2,M,125, High,50,0
12,2,M,125, Low,21,0
12,2,F,40, High,1411,0
12,2,F,40, Low,652,0
