Time, Year, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
2,1960.51,177,51.6601,M,1,0,N/A,STIPostImmigrating,0,26,1,0,1,MARITAL,MIGRATING,331,1,0
2,1960.51,331,40.3653,F,1,0,N/A,STIPostImmigrating,0,26,1,0,1,MARITAL,NORMAL,177,1,1
2,1960.51,177,51.6601,M,2,1,local,STIPreEmigrating,0,26,1,0,0,MARITAL,NORMAL,331,2,2
2,1960.51,331,40.3625,F,2,1,local,STIPreEmigrating,0,26,1,0,0,MARITAL,NORMAL,177,2,2
4,1960.51,99,39.9554,F,1,0,N/A,STIPostImmigrating,0,46,1,0,1,MARITAL,MIGRATING,279,0,1
4,1960.51,155,60.6054,F,1,0,N/A,STIPostImmigrating,0,30,3,0,1,MARITAL,MIGRATING,267,0,1
4,1960.51,267,66.868,M,1,0,N/A,STIPostImmigrating,0,30,3,0,1,MARITAL,NORMAL,155,1,1
4,1960.51,279,59.7177,M,1,0,N/A,STIPostImmigrating,0,46,1,0,1,MARITAL,NORMAL,99,1,1
4,1960.51,99,39.9554,F,2,1,local,STIPreEmigrating,0,46,1,0,0,MARITAL,NORMAL,279,2,2
4,1960.51,279,59.7149,M,2,1,local,STIPreEmigrating,0,46,1,0,0,MARITAL,NORMAL,99,2,2
4,1960.51,155,60.6054,F,2,1,local,STIPreEmigrating,0,30,3,0,0,MARITAL,NORMAL,267,2,2
4,1960.51,267,66.8652,M,2,1,local,STIPreEmigrating,0,30,3,0,0,MARITAL,NORMAL,155,2,2
5,1960.51,152,30.5038,F,1,2,local,STIPreEmigrating,0,37,2,0,0,MARITAL,NORMAL,304,1,1
5,1960.51,304,41.3171,M,1,2,local,STIPreEmigrating,0,37,2,0,0,MARITAL,NORMAL,152,1,1
5,1960.51,152,30.5038,F,2,0,N/A,STIPostImmigrating,0,37,2,0,1,MARITAL,MIGRATING,304,0,2
5,1960.51,304,41.3199,M,2,0,N/A,STIPostImmigrating,0,37,2,0,1,MARITAL,NORMAL,152,2,2
6,1960.52,190,26.7722,F,1,2,local,STIPreEmigrating,0,57,2,0,0,MARITAL,NORMAL,252,1,1
6,1960.52,252,20.1526,M,1,2,local,STIPreEmigrating,0,57,2,0,0,MARITAL,NORMAL,190,1,1
6,1960.52,190,26.7722,F,2,0,N/A,STIPostImmigrating,0,57,2,0,1,MARITAL,MIGRATING,252,0,2
