Time, NodeID, Species, Population, VectorPopulation, STATE_INFECTIOUS-Count, STATE_INFECTED-Count, STATE_ADULT-Count, STATE_MALE-Count, STATE_IMMATURE-Count, STATE_LARVA-Count, STATE_EGG-Count, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, NewAdults, DiedBeforeFeeding, DiedDuringFeedingIndoor, DiedDuringFeedingOutdoor, MigrationFromCountLocal, MigrationFromCountRegional, AvailableHabitat, EggCrowdingCorrection
0,340461476,gambiae,1000,9326,0,0,9326,9089,0,0,666666,333333,1,0,0,483,176,15,0,0,66150,1
1,340461476,gambiae,1000,8698,0,0,8698,8238,0,132565,634466,317233,1,0,0,443,170,15,0,0,-363,0.19845
2,340461476,gambiae,1000,8110,0,0,8110,7440,0,119815,604326,302163,1,0,0,406,155,27,0,0,6072,0
3,340461476,gambiae,1001,7561,0,0,7561,6713,0,120543,548818,274409,1,0,0,384,151,14,0,0,5672,0.0200951
4,340461476,gambiae,1001,7085,0,0,7085,6061,0,120397,522566,261283,1,0,0,357,104,15,0,0,5641,0.0206699
5,340461476,gambiae,1001,6602,0,0,6602,5477,0,120140,462002,231001,1,0,0,335,132,16,0,0,5647,0.0215896
6,340461476,gambiae,1001,6184,0,0,6184,4962,0,119943,436072,218036,1,0,0,288,116,14,0,0,5761,0.0244458
7,340461476,gambiae,1001,5735,0,0,5735,4495,0,120056,410200,205100,1,0,0,322,109,18,0,0,5566,0.0264222
8,340461476,gambiae,1002,5339,0,0,5339,4046,0,119806,380036,190018,1,0,0,273,112,11,0,0,5834,0.027138
9,340461476,gambiae,1002,4950,0,0,4950,3646,0,119928,345772,172886,0,0,0,273,105,11,0,0,5793,0.0307024
10,340461476,gambiae,1002,4601,0,0,4601,3294,0,120045,337620,168810,0,0,0,254,84,11,0,0,5766,0.0335076
11,340461476,gambiae,1003,4247,0,0,4247,2982,0,119903,303538,151769,0,0,0,254,87,13,0,0,5897,0.0341567
12,340461476,gambiae,1003,3932,0,0,3932,2714,0,120470,284488,142244,0,0,0,224,80,11,0,0,5576,0.0388551
13,340461476,gambiae,1003,3656,0,0,3656,2477,0,120059,257390,128695,0,0,0,202,69,5,0,0,5718,0.0392002
14,340461476,gambiae,1003,3413,0,0,3413,2234,0,119942,240822,120411,0,0,0,167,68,8,0,0,5802,0.0444306
15,340461476,gambiae,1004,3184,0,0,3184,2010,0,120135,220890,110445,0,0,0,157,70,2,0,0,5794,0.048185
16,340461476,gambiae,1004,2984,0,0,2984,1816,0,120263,195558,97779,0,0,0,142,50,8,0,0,5691,0.0524605
17,340461476,gambiae,1003,2765,0,0,2765,1640,0,120083,197054,98527,0,0,0,144,66,9,0,0,5880,0.0582027
18,340461476,gambiae,1003,2572,0,0,2572,1498,0,120405,183858,91929,0,0,0,134,53,6,0,0,5759,0.0596791
19,340461476,gambiae,1003,2410,0,0,2410,1331,0,120512,168080,84040,0,0,0,114,41,7,0,0,5778,0.0626462
20,340461476,gambiae,1003,2244,0,0,2244,1189,0,120440,157500,78750,0,0,0,107,54,5,0,0,5864,0.068753
21,340461476,gambiae,1003,2089,0,0,2089,1073,0,120712,155066,77533,0,0,0,113,40,2,0,0,5734,0.0744635
22,340461476,gambiae,1003,1941,0,0,1941,948,0,120603,145376,72688,0,0,0,100,42,6,0,0,5892,0.0739556
23,340461476,gambiae,1003,1801,0,0,1801,844,14659,106308,125500,62750,0,0,0,93,41,6,0,0,13066,0.0810588
24,340461476,gambiae,1003,1655,0,0,1655,767,13613,122387,118932,59466,0,0,0,98,47,1,0,0,4923,0.208223
25,340461476,gambiae,1003,8227,0,0,8227,6637,1331,119003,113614,56807,0,0,6694,87,29,6,0,0,6522,0.0827868
26,340461476,gambiae,1003,7682,0,24,7658,6023,2482,119478,100516,50258,1,0,0,409,123,13,0,0,6244,0.11481
27,340461476,gambiae,1003,7774,0,51,7723,5984,2361,119460,90030,45015,1,0,628,372,149,15,0,0,6234,0.124239
28,340461476,gambiae,1003,7813,0,70,7743,5906,2394,119153,84444,42222,1,0,578,383,137,19,0,0,6341,0.138487
29,340461476,gambiae,1003,7794,0,87,7707,5851,2467,119169,432284,216142,1,0,551,396,156,18,0,0,6349,0.150182
30,340461476,gambiae,1003,7845,0,116,7729,5856,2404,119221,401066,200533,1,0,585,367,154,13,0,0,6277,0.0293742
31,340461476,gambiae,1003,7881,0,130,7751,5815,2453,119408,416254,208127,1,0,565,352,159,18,0,0,6175,0.0313016
32,340461476,gambiae,1003,7859,0,134,7725,5793,2524,119020,418908,209454,1,0,559,417,146,18,0,0,6286,0.0296694
33,340461476,gambiae,1004,7907,0,148,7759,5743,2475,118888,426390,213195,1,0,605,384,157,16,0,0,6414,0.0300114
34,340461476,gambiae,1005,7954,0,166,7788,5717,2512,119268,415008,207504,1,0,594,357,173,17,0,0,6147,0.0300851
35,340461476,gambiae,1005,7977,0,177,7800,5628,2413,118989,417290,208645,1,0,569,392,134,20,0,0,6091,0.0296235
36,340461476,gambiae,1004,8055,0,199,7856,5628,2334,118471,423232,211616,1,0,599,352,157,12,0,0,6469,0.0291931
37,340461476,gambiae,1004,8019,0,208,7811,5577,2441,118861,423780,211890,1,0,507,385,140,18,0,0,6454,0.0305695
38,340461476,gambiae,1005,8026,0,214,7812,5539,2446,119189,421456,210728,1,0,579,411,143,18,0,0,6205,0.0304592
39,340461476,gambiae,1005,8025,0,221,7804,5466,2410,119117,450148,225074,1,0,587,420,152,16,0,0,6232,0.0294455
40,340461476,gambiae,1005,8030,0,228,7802,5482,2467,119178,427166,213583,1,0,554,371,156,22,0,0,6224,0.0276887
41,340461476,gambiae,1005,8057,0,241,7816,5417,2472,118875,437812,218906,1,0,558,392,134,5,0,0,6402,0.0291409
42,340461476,gambiae,1005,8041,11,225,7805,5410,2356,118979,429350,214675,1,0,578,416,164,14,0,0,6410,0.0292454
