Year, NodeId, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Transmitters
1980.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,11,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,10,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,9,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,8,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,8,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1980.5,8,0,50,0,0,0,0,0,0,0,0,0,0,0,0
