Time,NodeID,Alleles,STATE_MALE
0,1,Ad,0
0,1,Aw,8954
0,1,X,8954
0,1,Y,8954
1,1,Ad,0
1,1,Aw,7990
1,1,X,7990
1,1,Y,7990
2,1,Ad,0
2,1,Aw,7096
2,1,X,7096
2,1,Y,7096
3,1,Ad,0
3,1,Aw,6324
3,1,X,6324
3,1,Y,6324
4,1,Ad,0
4,1,Aw,5617
4,1,X,5617
4,1,Y,5617
5,1,Ad,0
5,1,Aw,4974
5,1,X,4974
5,1,Y,4974
6,1,Ad,0
6,1,Aw,4383
6,1,X,4383
6,1,Y,4383
7,1,Ad,0
7,1,Aw,3849
7,1,X,3849
7,1,Y,3849
8,1,Ad,0
8,1,Aw,3336
8,1,X,3336
8,1,Y,3336
9,1,Ad,0
9,1,Aw,2883
9,1,X,2883
9,1,Y,2883
10,1,Ad,0
10,1,Aw,2505
10,1,X,2505
10,1,Y,2505
11,1,Ad,0
11,1,Aw,2154
11,1,X,2154
11,1,Y,2154
12,1,Ad,0
12,1,Aw,1819
12,1,X,1819
12,1,Y,1819
13,1,Ad,0
13,1,Aw,1530
13,1,X,1530
13,1,Y,1530
14,1,Ad,0
14,1,Aw,1286
14,1,X,1286
14,1,Y,1286
15,1,Ad,0
15,1,Aw,1087
15,1,X,1087
15,1,Y,1087
16,1,Ad,0
16,1,Aw,886
16,1,X,886
16,1,Y,886
17,1,Ad,0
17,1,Aw,724
17,1,X,724
17,1,Y,724
18,1,Ad,0
18,1,Aw,607
18,1,X,607
18,1,Y,607
19,1,Ad,0
19,1,Aw,484
19,1,X,484
19,1,Y,484
20,1,Ad,0
20,1,Aw,365
20,1,X,365
20,1,Y,365
21,1,Ad,0
21,1,Aw,294
21,1,X,294
21,1,Y,294
22,1,Ad,0
22,1,Aw,35742
22,1,X,35742
22,1,Y,35742
23,1,Ad,0
23,1,Aw,65341
23,1,X,65341
23,1,Y,65341
24,1,Ad,0
24,1,Aw,88654
24,1,X,88654
24,1,Y,88654
25,1,Ad,0
25,1,Aw,80686
25,1,X,80686
25,1,Y,80686
26,1,Ad,0
26,1,Aw,74655
26,1,X,74655
26,1,Y,74655
27,1,Ad,0
27,1,Aw,69489
27,1,X,69489
27,1,Y,69489
28,1,Ad,0
28,1,Aw,64580
28,1,X,64580
28,1,Y,64580
29,1,Ad,0
29,1,Aw,59434
29,1,X,59434
29,1,Y,59434
30,1,Ad,0
30,1,Aw,54834
30,1,X,54834
30,1,Y,54834
31,1,Ad,0
31,1,Aw,50366
31,1,X,50366
31,1,Y,50366
32,1,Ad,0
32,1,Aw,45723
32,1,X,45723
32,1,Y,45723
33,1,Ad,0
33,1,Aw,41006
33,1,X,41006
33,1,Y,41006
34,1,Ad,0
34,1,Aw,36834
34,1,X,36834
34,1,Y,36834
35,1,Ad,0
35,1,Aw,32848
35,1,X,32848
35,1,Y,32848
36,1,Ad,0
36,1,Aw,29079
36,1,X,29079
36,1,Y,29079
37,1,Ad,0
37,1,Aw,25703
37,1,X,25703
37,1,Y,25703
38,1,Ad,0
38,1,Aw,22595
38,1,X,22595
38,1,Y,22595
39,1,Ad,0
39,1,Aw,19784
39,1,X,19784
39,1,Y,19784
40,1,Ad,0
40,1,Aw,17242
40,1,X,17242
40,1,Y,17242
41,1,Ad,0
41,1,Aw,14857
41,1,X,14857
41,1,Y,14857
42,1,Ad,0
42,1,Aw,12900
42,1,X,12900
42,1,Y,12900
43,1,Ad,0
43,1,Aw,11136
43,1,X,11136
43,1,Y,11136
44,1,Ad,0
44,1,Aw,9480
44,1,X,9480
44,1,Y,9480
45,1,Ad,0
45,1,Aw,8072
45,1,X,8072
45,1,Y,8072
46,1,Ad,0
46,1,Aw,6823
46,1,X,6823
46,1,Y,6823
47,1,Ad,0
47,1,Aw,5778
47,1,X,5778
47,1,Y,5778
48,1,Ad,0
48,1,Aw,18930
48,1,X,18930
48,1,Y,18930
49,1,Ad,0
49,1,Aw,40741
49,1,X,40741
49,1,Y,40741
50,1,Ad,0
50,1,Aw,69321
50,1,X,69321
50,1,Y,69321
51,1,Ad,0
51,1,Aw,90632
51,1,X,90632
51,1,Y,90632
52,1,Ad,0
52,1,Aw,106960
52,1,X,106960
52,1,Y,106960
53,1,Ad,0
53,1,Aw,104861
53,1,X,104861
53,1,Y,104861
54,1,Ad,0
54,1,Aw,103916
54,1,X,103916
54,1,Y,103916
55,1,Ad,0
55,1,Aw,102801
55,1,X,102801
55,1,Y,102801
56,1,Ad,0
56,1,Aw,101652
56,1,X,101652
56,1,Y,101652
57,1,Ad,0
57,1,Aw,100624
57,1,X,100624
57,1,Y,100624
58,1,Ad,0
58,1,Aw,99622
58,1,X,99622
58,1,Y,99622
59,1,Ad,0
59,1,Aw,98526
59,1,X,98526
59,1,Y,98526
60,1,Ad,0
60,1,Aw,97433
60,1,X,97433
60,1,Y,97433
61,1,Ad,0
61,1,Aw,96369
61,1,X,96369
61,1,Y,96369
62,1,Ad,0
62,1,Aw,94256
62,1,X,94256
62,1,Y,94256
63,1,Ad,0
63,1,Aw,90077
63,1,X,90077
63,1,Y,90077
64,1,Ad,0
64,1,Aw,85565
64,1,X,85565
64,1,Y,85565
65,1,Ad,0
65,1,Aw,80644
65,1,X,80644
65,1,Y,80644
66,1,Ad,0
66,1,Aw,75960
66,1,X,75960
66,1,Y,75960
67,1,Ad,0
67,1,Aw,70680
67,1,X,70680
67,1,Y,70680
68,1,Ad,0
68,1,Aw,65247
68,1,X,65247
68,1,Y,65247
69,1,Ad,0
69,1,Aw,59897
69,1,X,59897
69,1,Y,59897
70,1,Ad,0
70,1,Aw,54689
70,1,X,54689
70,1,Y,54689
71,1,Ad,0
71,1,Aw,49721
71,1,X,49721
71,1,Y,49721
72,1,Ad,0
72,1,Aw,45354
72,1,X,45354
72,1,Y,45354
73,1,Ad,0
73,1,Aw,40524
73,1,X,40524
73,1,Y,40524
74,1,Ad,0
74,1,Aw,41990
74,1,X,41990
74,1,Y,41990
75,1,Ad,0
75,1,Aw,52094
75,1,X,52094
75,1,Y,52094
76,1,Ad,0
76,1,Aw,72010
76,1,X,72010
76,1,Y,72010
77,1,Ad,0
77,1,Aw,98071
77,1,X,98071
77,1,Y,98071
78,1,Ad,0
78,1,Aw,106886
78,1,X,106886
78,1,Y,106886
79,1,Ad,0
79,1,Aw,106105
79,1,X,106105
79,1,Y,106105
80,1,Ad,0
80,1,Aw,105891
80,1,X,105891
80,1,Y,105891
81,1,Ad,0
81,1,Aw,104956
81,1,X,104956
81,1,Y,104956
82,1,Ad,0
82,1,Aw,104185
82,1,X,104185
82,1,Y,104185
83,1,Ad,0
83,1,Aw,103297
83,1,X,103297
83,1,Y,103297
84,1,Ad,0
84,1,Aw,102391
84,1,X,102391
84,1,Y,102391
85,1,Ad,0
85,1,Aw,101448
85,1,X,101448
85,1,Y,101448
86,1,Ad,0
86,1,Aw,100386
86,1,X,100386
86,1,Y,100386
87,1,Ad,0
87,1,Aw,99157
87,1,X,99157
87,1,Y,99157
88,1,Ad,0
88,1,Aw,98052
88,1,X,98052
88,1,Y,98052
89,1,Ad,0
89,1,Aw,96738
89,1,X,96738
89,1,Y,96738
90,1,Ad,0
90,1,Aw,95668
90,1,X,95668
90,1,Y,95668
91,1,Ad,0
91,1,Aw,94504
91,1,X,94504
91,1,Y,94504
92,1,Ad,0
92,1,Aw,94425
92,1,X,94425
92,1,Y,94425
93,1,Ad,0
93,1,Aw,96049
93,1,X,96049
93,1,Y,96049
94,1,Ad,0
94,1,Aw,98882
94,1,X,98882
94,1,Y,98882
95,1,Ad,0
95,1,Aw,102861
95,1,X,102861
95,1,Y,102861
96,1,Ad,0
96,1,Aw,103964
96,1,X,103964
96,1,Y,103964
97,1,Ad,0
97,1,Aw,103440
97,1,X,103440
97,1,Y,103440
98,1,Ad,0
98,1,Aw,103092
98,1,X,103092
98,1,Y,103092
99,1,Ad,0
99,1,Aw,102781
99,1,X,102781
99,1,Y,102781
100,1,Ad,0
100,1,Aw,102295
100,1,X,102295
100,1,Y,102295
101,1,Ad,0
101,1,Aw,102084
101,1,X,102084
101,1,Y,102084
102,1,Ad,0
102,1,Aw,101936
102,1,X,101936
102,1,Y,101936
103,1,Ad,0
103,1,Aw,101883
103,1,X,101883
103,1,Y,101883
104,1,Ad,0
104,1,Aw,101644
104,1,X,101644
104,1,Y,101644
105,1,Ad,0
105,1,Aw,101412
105,1,X,101412
105,1,Y,101412
106,1,Ad,0
106,1,Aw,101205
106,1,X,101205
106,1,Y,101205
107,1,Ad,0
107,1,Aw,100971
107,1,X,100971
107,1,Y,100971
108,1,Ad,0
108,1,Aw,100882
108,1,X,100882
108,1,Y,100882
109,1,Ad,0
109,1,Aw,100497
109,1,X,100497
109,1,Y,100497
110,1,Ad,0
110,1,Aw,100301
110,1,X,100301
110,1,Y,100301
111,1,Ad,0
111,1,Aw,100602
111,1,X,100602
111,1,Y,100602
112,1,Ad,0
112,1,Aw,100960
112,1,X,100960
112,1,Y,100960
113,1,Ad,0
113,1,Aw,101829
113,1,X,101829
113,1,Y,101829
114,1,Ad,0
114,1,Aw,101787
114,1,X,101787
114,1,Y,101787
115,1,Ad,0
115,1,Aw,101791
115,1,X,101791
