
Time,NodeID,TRANSITORY_M_Before_20,TRANSITORY_M_Before_30,TRANSITORY_M_Before_40,TRANSITORY_M_Before_50,TRANSITORY_M_After_20,TRANSITORY_M_After_30,TRANSITORY_M_After_40,TRANSITORY_M_After_50,TRANSITORY_F_Before_20,TRANSITORY_F_Before_40,TRANSITORY_F_After_20,TRANSITORY_F_After_40,INFORMAL_M_Before_20,INFORMAL_M_Before_40,INFORMAL_M_After_20,INFORMAL_M_After_40,INFORMAL_F_Before_20,INFORMAL_F_Before_30,INFORMAL_F_Before_40,INFORMAL_F_Before_50,INFORMAL_F_After_20,INFORMAL_F_After_30,INFORMAL_F_After_40,INFORMAL_F_After_50,MARITAL_M_Before_20,MARITAL_M_After_20,MARITAL_F_Before_10,MARITAL_F_Before_20,MARITAL_F_Before_30,MARITAL_F_Before_40,MARITAL_F_Before_50,MARITAL_F_After_10,MARITAL_F_After_20,MARITAL_F_After_30,MARITAL_F_After_40,MARITAL_F_After_50,COMMERCIAL_M_Before_50,COMMERCIAL_M_Before_85,COMMERCIAL_M_After_50,COMMERCIAL_M_After_85,COMMERCIAL_F_Before_50,COMMERCIAL_F_Before_85,COMMERCIAL_F_After_50,COMMERCIAL_F_After_85,TRANSITORY_LOW_M_20,TRANSITORY_LOW_M_30,TRANSITORY_LOW_M_40,TRANSITORY_LOW_M_50,TRANSITORY_LOW_F_20,TRANSITORY_LOW_F_40,TRANSITORY_HIGH_M_20,TRANSITORY_HIGH_M_30,TRANSITORY_HIGH_M_40,TRANSITORY_HIGH_M_50,TRANSITORY_HIGH_F_20,TRANSITORY_HIGH_F_40,INFORMAL_LOW_M_20,INFORMAL_LOW_M_40,INFORMAL_LOW_F_20,INFORMAL_LOW_F_30,INFORMAL_LOW_F_40,INFORMAL_LOW_F_50,INFORMAL_HIGH_M_20,INFORMAL_HIGH_M_40,INFORMAL_HIGH_F_20,INFORMAL_HIGH_F_30,INFORMAL_HIGH_F_40,INFORMAL_HIGH_F_50,MARITAL_LOW_M_20,MARITAL_LOW_F_10,MARITAL_LOW_F_20,MARITAL_LOW_F_30,MARITAL_LOW_F_40,MARITAL_LOW_F_50,MARITAL_HIGH_M_20,MARITAL_HIGH_F_10,MARITAL_HIGH_F_20,MARITAL_HIGH_F_30,MARITAL_HIGH_F_40,MARITAL_HIGH_F_50,COMMERCIAL_LOW_M_50,COMMERCIAL_LOW_M_85,COMMERCIAL_LOW_F_50,COMMERCIAL_LOW_F_85,COMMERCIAL_HIGH_M_50,COMMERCIAL_HIGH_M_85,COMMERCIAL_HIGH_F_50,COMMERCIAL_HIGH_F_85,desired_flow_TRANSITORY_M_20,desired_flow_TRANSITORY_M_30,desired_flow_TRANSITORY_M_40,desired_flow_TRANSITORY_M_50,desired_flow_TRANSITORY_F_20,desired_flow_TRANSITORY_F_40,desired_flow_INFORMAL_M_20,desired_flow_INFORMAL_M_40,desired_flow_INFORMAL_F_20,desired_flow_INFORMAL_F_30,desired_flow_INFORMAL_F_40,desired_flow_INFORMAL_F_50,desired_flow_MARITAL_M_20,desired_flow_MARITAL_F_10,desired_flow_MARITAL_F_20,desired_flow_MARITAL_F_30,desired_flow_MARITAL_F_40,desired_flow_MARITAL_F_50,desired_flow_COMMERCIAL_M_50,desired_flow_COMMERCIAL_M_85,desired_flow_COMMERCIAL_F_50,desired_flow_COMMERCIAL_F_85
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00552724,0.00552724,0.00552724,0.00552724,0.00945979,0.00945979,0.00552724,0.00552724,0.00552724,0.00552724,0.00945979,0.00945979,0.00575997,0.00575997,0.00246452,0.00246452,0.00246452,0.00246452,0.00575997,0.00575997,0.00246452,0.00246452,0.00246452,0.00246452,9.29164e-05,0,0,0,0,0,9.29164e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37715,3.37715,3.37715,3.37715,6.75429,6.75429,3.51934,3.51934,1.75967,1.75967,1.75967,1.75967,0.450273,0.135082,0.0900546,0.0450273,0.0450273,0.135082,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00553424,0.00553424,0.00553424,0.00553424,0.00949173,0.00949173,0.00553424,0.00553424,0.00553424,0.00553424,0.00949173,0.00949173,0.00576726,0.00576726,0.00247284,0.00247284,0.00247284,0.00247284,0.00576726,0.00576726,0.00247284,0.00247284,0.00247284,0.00247284,9.29031e-05,0,0,0,0,0,9.29031e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36482,3.36482,3.36482,3.36482,6.72963,6.72963,3.50649,3.50649,1.75325,1.75325,1.75325,1.75325,0.448629,0.134589,0.0897258,0.0448629,0.0448629,0.134589,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00560388,0.00560388,0.00560388,0.00560388,0.00953376,0.00953376,0.00560388,0.00560388,0.00560388,0.00560388,0.00953376,0.00953376,0.00583983,0.00583983,0.0024838,0.0024838,0.0024838,0.0024838,0.00583983,0.00583983,0.0024838,0.0024838,0.0024838,0.0024838,9.2929e-05,0,0,0,0,0,9.2929e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35112,3.35112,3.35112,3.35112,6.70224,6.70224,3.49222,3.49222,1.74611,1.74611,1.74611,1.74611,0.446803,0.134041,0.0893605,0.0446803,0.0446803,0.134041,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00561314,0.00561314,0.00561314,0.00561314,0.00956967,0.00956967,0.00561314,0.00561314,0.00561314,0.00561314,0.00956967,0.00956967,0.00584948,0.00584948,0.00249315,0.00249315,0.00249315,0.00249315,0.00584948,0.00584948,0.00249315,0.00249315,0.00249315,0.00249315,9.28861e-05,0,0,0,0,0,9.28861e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33982,3.33982,3.33982,3.33982,6.67963,6.67963,3.48044,3.48044,1.74022,1.74022,1.74022,1.74022,0.445296,0.133589,0.0890592,0.0445296,0.0445296,0.133589,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00569871,0.00569871,0.00569871,0.00569871,0.0097287,0.0097287,0.00569871,0.00569871,0.00569871,0.00569871,0.0097287,0.0097287,0.00593866,0.00593866,0.00253458,0.00253458,0.00253458,0.00253458,0.00593866,0.00593866,0.00253458,0.00253458,0.00253458,0.00253458,9.29042e-05,0,0,0,0,0,9.29042e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32235,3.32235,3.32235,3.32235,6.6447,6.6447,3.46224,3.46224,1.73112,1.73112,1.73112,1.73112,0.442967,0.13289,0.0885934,0.0442967,0.0442967,0.13289,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00576241,0.00576241,0.00576241,0.00576241,0.00982949,0.00982949,0.00576241,0.00576241,0.00576241,0.00576241,0.00982949,0.00982949,0.00600504,0.00600504,0.00256084,0.00256084,0.00256084,0.00256084,0.00600504,0.00600504,0.00256084,0.00256084,0.00256084,0.00256084,9.28233e-05,0,0,0,0,0,9.28233e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30762,3.30762,3.30762,3.30762,6.61525,6.61525,3.44689,3.44689,1.72345,1.72345,1.72345,1.72345,0.441004,0.132301,0.0882007,0.0441004,0.0441004,0.132301,0,0,0,0
6,1,23,20,22,31,4,3,4,0,37,48,0,0,28,19,0,0,15,18,16,12,1,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584151,0.00584151,0.00584151,0.00584151,0.0098641,0.0098641,0.00584151,0.00584151,0.00584151,0.00584151,0.0098641,0.0098641,0.00608746,0.00608746,0.00256986,0.00256986,0.00256986,0.00256986,0.00608746,0.00608746,0.00256986,0.00256986,0.00256986,0.00256986,9.29275e-05,0,0,0,0,0,9.29275e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29461,3.29461,3.29461,3.29461,6.58922,6.58922,3.43333,3.43333,1.71667,1.71667,1.71667,1.71667,0.439268,0.131781,0.0878537,0.0439268,0.0439268,0.131781,0,0,0,0
7,1,23,20,22,31,4,3,4,0,37,48,0,0,28,19,0,0,15,18,16,12,1,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588541,0.00588541,0.00588541,0.00588541,0.00994892,0.00994892,0.00588541,0.00588541,0.00588541,0.00588541,0.00994892,0.00994892,0.00613321,0.00613321,0.00259196,0.00259196,0.00259196,0.00259196,0.00613321,0.00613321,0.00259196,0.00259196,0.00259196,0.00259196,9.29555e-05,0,0,0,0,0,9.29555e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27817,3.27817,3.27817,3.27817,6.55634,6.55634,3.4162,3.4162,1.7081,1.7081,1.7081,1.7081,0.437077,0.131123,0.0874153,0.0437077,0.0437077,0.131123,0,0,0,0
8,1,23,20,22,31,4,3,4,0,37,48,0,0,28,19,0,0,15,18,16,12,1,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059265,0.0059265,0.0059265,0.0059265,0.0100323,0.0100323,0.0059265,0.0059265,0.0059265,0.0059265,0.0100323,0.0100323,0.00617603,0.00617603,0.00261367,0.00261367,0.00261367,0.00261367,0.00617603,0.00617603,0.00261367,0.00261367,0.00261367,0.00261367,9.28727e-05,0,0,0,0,0,9.28727e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2655,3.2655,3.2655,3.2655,6.531,6.531,3.40299,3.40299,1.7015,1.7015,1.7015,1.7015,0.435387,0.130616,0.0870774,0.0435387,0.0435387,0.130616,0,0,0,0
9,1,23,20,22,31,4,3,4,0,37,48,0,0,28,19,0,0,15,18,16,12,1,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594729,0.00594729,0.00594729,0.00594729,0.0101662,0.0101662,0.00594729,0.00594729,0.00594729,0.00594729,0.0101662,0.0101662,0.00619771,0.00619771,0.00264855,0.00264855,0.00264855,0.00264855,0.00619771,0.00619771,0.00264855,0.00264855,0.00264855,0.00264855,9.28588e-05,0,0,0,0,0,9.28588e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25317,3.25317,3.25317,3.25317,6.50634,6.50634,3.39015,3.39015,1.69507,1.69507,1.69507,1.69507,0.433743,0.130123,0.0867487,0.0433743,0.0433743,0.130123,0,0,0,0
