Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NumLookingToFeed,NumFedCount,NumGestatingBegin,NumGestatingEnd,NumAttemptFeedIndoor,NumAttemptFeedOutdoor,NumAttemptButNotFeed,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,NumGestatingOnDay_0,NumGestatingOnDay_1,NumGestatingOnDay_2,NumGestatingOnDay_3,NumGestatingOnDay_4,NumGestatingOnDay_5,NumGestatingOnDay_6,NumGestatingOnDay_7,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,340461476,1000,8725,0,0,8725,9033,0,0,599800,2999,2695,6030,8725,2999,0,0,299900,2999,0,0,0,0,0,971,304,0,2998,3032,2695,0,0,0,0,0,20753.3,1,0,0,0
1,340461476,1000,7658,0,0,7658,8191,0,21175,544200,2721,2465,5193,7658,2721,0,0,272100,2721,0,0,0,0,0,811,256,0,2754,2439,2465,0,0,0,0,0,8162.33,0.0346003,0,0,0
2,340461476,1000,6672,0,0,6672,7398,0,27363,499000,2495,2232,4440,6672,2495,0,0,249500,2495,0,0,0,0,0,723,263,0,2204,2236,2232,0,0,0,0,0,9548.75,0.0149988,0,0,0
3,340461476,1000,5800,0,0,5800,6678,0,34345,398400,1992,1785,4015,5800,1992,0,0,199200,1992,0,0,0,0,0,665,207,0,2015,2000,1785,0,0,0,0,0,9250.3,0.0191358,0,0,0
4,340461476,1000,5074,0,0,5074,6005,0,40467,364200,1821,1640,3434,5074,1821,0,0,182100,1821,0,0,0,0,0,545,181,0,1808,1626,1640,0,0,0,0,0,9025.74,0.0232186,0,0,0
5,340461476,1000,10408,2873,0,7535,5446,0,45763,326400,8538,7446,2962,10408,8538,0,0,163200,8538,1726,0,0,7611,1218,1185,1092,0,1480,1482,7446,0,0,0,0,0,8933.55,0.0247824,1726,1704,22
6,340461476,1000,9287,2593,0,6694,4950,0,50409,268000,1340,1198,8089,9287,1340,0,0,134000,1340,0,0,0,0,0,979,142,0,1339,6750,1198,0,0,0,0,0,8879.29,0.0273699,0,0,0
7,340461476,1000,8243,2346,0,5897,4513,0,54425,239600,1198,1069,7174,8243,1198,0,0,119800,1198,0,0,0,0,0,915,129,0,6106,1068,1069,0,0,0,0,0,8914.97,0.0331317,0,0,0
8,340461476,1000,6739,1788,0,4951,4091,0,58102,1094800,5474,4814,1925,6739,5474,0,0,547400,5474,1045,0,0,0,0,844,660,0,961,964,4814,0,0,0,0,0,8813.1,0.0372077,1045,1045,0
9,340461476,1000,5965,1591,0,4374,3682,0,61356,175800,879,772,5193,5965,879,0,0,87900,879,0,0,0,0,0,667,107,0,872,4321,772,0,0,0,0,0,8713.73,0.00804996,0,0,0
10,340461476,1000,5278,1426,0,3852,3318,0,64111,156600,783,707,4571,5278,783,0,0,78300,783,0,0,0,0,0,611,76,0,3884,687,707,0,0,0,0,0,8742.33,0.0495662,0,0,0
11,340461476,1000,4368,1082,0,3286,3006,0,66940,705400,3527,3108,1260,4368,3527,0,0,352700,3527,651,0,0,0,0,491,419,0,619,641,3108,0,0,0,0,0,8369.52,0.0558259,651,679,-28
12,340461476,1000,3898,974,0,2924,2705,7066,61991,109400,547,494,3404,3898,547,0,0,54700,547,0,0,0,0,0,417,53,0,575,2829,494,0,0,0,0,0,15485.8,0.0118649,0,0,0
13,340461476,1000,3485,882,0,2603,2438,9134,68791,103800,519,470,3015,3485,519,0,0,51900,519,0,0,0,0,0,364,49,0,2564,451,470,0,0,0,0,0,10598.2,0.141552,0,0,0
14,340461476,1000,2916,699,0,2217,2195,11416,69558,463000,2315,2074,842,2916,2315,0,0,231500,2315,417,0,0,0,0,328,241,0,429,413,2074,0,0,0,0,0,11518.7,0.102102,417,396,21
