Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
6,4,1002,3977,0,0,3977,4920,0,57500,267600,133800,1263,0,0,0,0,0,439,131,0,12558.7,0.0361435,0,0,0,3977,0,0,0,1263,0,0,0,0,0,0,0,0,0,0
7,1,999,3431,0,0,3431,4462,0,64762,238800,119400,1135,0,0,0,0,0,372,126,0,12694.8,0.0469854,0,0,0,3431,0,0,0,1135,0,0,0,0,0,0,0,0,0,0
7,2,1001,3366,0,0,3366,4525,0,64356,227200,113600,1067,0,0,0,0,0,392,122,0,13100.8,0.0450796,0,0,0,3366,0,0,0,1067,0,0,0,0,0,0,0,0,0,0
7,3,1000,3488,0,0,3488,4495,0,64882,242400,121200,1143,0,0,0,0,0,318,113,0,12574.8,0.0448312,0,0,0,3488,0,0,0,1143,0,0,0,0,0,0,0,0,0,0
7,4,1000,3495,0,0,3495,4442,0,64673,251000,125500,1191,0,0,0,0,0,371,111,0,12783.8,0.046931,0,0,0,3495,0,0,0,1191,0,0,0,0,0,0,0,0,0,0
8,1,1000,2991,0,0,2991,4003,0,71387,228200,114100,1088,0,0,0,0,0,335,106,0,13201.2,0.0531607,0,0,0,2991,0,0,0,1088,0,0,0,0,0,0,0,0,0,0
8,2,999,2948,0,0,2948,4068,0,71689,224600,112300,1062,0,0,0,0,0,295,121,0,12899.2,0.0576618,0,0,0,2948,0,0,0,1062,0,0,0,0,0,0,0,0,0,0
8,3,1000,3048,0,0,3048,4062,0,71259,224000,112000,1072,0,0,0,0,0,332,108,0,13329.2,0.0518761,0,0,0,3048,0,0,0,1072,0,0,0,0,0,0,0,0,0,0
8,4,1001,3064,0,0,3064,4032,0,71204,232000,116000,1103,0,0,0,0,0,317,115,0,13384.2,0.0509313,0,0,0,3064,0,0,0,1103,0,0,0,0,0,0,0,0,0,0
9,1,998,2603,0,0,2603,3595,0,77721,180200,90100,858,0,0,0,0,0,294,91,0,13741.7,0.0578494,0,0,0,2603,0,0,0,858,0,0,0,0,0,0,0,0,0,0
