Year, NodeId, Gender, HasHIV, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Num_TRANSITORY,Num_INFORMAL,Num_MARITAL,Num_COMMERCIAL,Num_Concordant_TRANSITORY,Num_Concordant_INFORMAL,Num_Concordant_MARITAL,Num_Concordant_COMMERCIAL
1990.99,1,1,0,561,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,67,0
1990.99,1,1,1,218,218,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,20,0
1991.03,1,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,72,0
1991.03,1,0,1,229,229,0,0,1,1,0,0,0,0,0,0,0,40,0,0,0,21,0
1991.03,1,1,0,561,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,72,0
1991.03,1,1,1,216,216,0,0,3,2,0,0,0,0,0,0,0,38,0,0,0,21,0
1991.07,1,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,76,0
1991.07,1,0,1,225,225,0,0,4,4,0,0,0,0,0,0,0,42,0,0,0,21,0
1991.07,1,1,0,560,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,76,0
1991.07,1,1,1,213,213,1,0,3,2,0,0,0,0,0,0,0,39,0,0,0,21,0
1991.11,1,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,78,0
1991.11,1,0,1,224,224,0,0,1,1,0,0,0,0,0,0,0,44,0,0,0,22,0
1991.11,1,1,0,560,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,78,0
1991.11,1,1,1,212,212,0,0,1,1,0,0,0,0,0,0,0,40,0,0,0,22,0
1991.15,1,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,82,0
1991.15,1,0,1,224,224,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,22,0
1991.15,1,1,0,560,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,82,0
1991.15,1,1,1,212,212,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,22,0
1991.19,1,0,0,619,0,0,0,2,0,0,0,0,0,0,0,0,103,0,0,0,83,0
1991.19,1,0,1,223,223,0,0,1,1,0,0,0,0,0,0,0,47,0,0,0,22,0
1991.19,1,1,0,560,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,83,0
1991.19,1,1,1,212,212,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,22,0
1991.23,1,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,89,0
1991.23,1,0,1,220,220,0,0,3,3,0,0,0,0,0,0,0,48,0,0,0,23,0
1991.23,1,1,0,559,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,89,0
1991.23,1,1,1,212,212,1,0,1,1,0,0,0,0,0,0,0,43,0,0,0,23,0
1991.27,1,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,90,0
1991.27,1,0,1,219,219,0,0,1,1,0,0,0,0,0,0,0,49,0,0,0,23,0
1991.27,1,1,0,559,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,90,0
1991.27,1,1,1,212,212,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,23,0
1991.32,1,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,90,0
1991.32,1,0,1,219,219,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,23,0
1991.32,1,1,0,559,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,90,0
1991.32,1,1,1,211,211,0,0,1,1,0,0,0,0,0,0,0,45,0,0,0,23,0
1991.36,1,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,91,0
1991.36,1,0,1,219,219,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,25,0
1991.36,1,1,0,558,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,91,0
1991.36,1,1,1,212,212,1,0,1,1,0,0,0,0,0,0,0,49,0,0,0,25,0
1991.4,1,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,94,0
1991.4,1,0,1,219,219,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,26,0
1991.4,1,1,0,558,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,94,0
1991.4,1,1,1,211,211,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,26,0
1991.44,1,0,0,618,0,0,0,1,0,0,0,0,0,0,0,0,122,0,0,0,96,0
1991.44,1,0,1,219,219,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,26,0
1991.44,1,1,0,558,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,96,0
1991.44,1,1,1,210,210,0,0,1,1,0,0,0,0,0,0,0,52,0,0,0,26,0
1991.48,1,0,0,617,0,0,0,1,0,0,0,0,0,0,0,0,123,0,0,0,97,0
1991.48,1,0,1,217,217,0,0,2,2,0,0,0,0,0,0,0,53,0,0,0,26,0
1991.48,1,1,0,558,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,97,0
1991.48,1,1,1,209,209,0,0,1,1,0,0,0,0,0,0,0,52,0,0,0,26,0
1991.52,1,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,99,0
1991.52,1,0,1,217,217,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,26,0
1991.52,1,1,0,558,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,99,0
1991.52,1,1,1,208,208,0,0,1,1,0,0,0,0,0,0,0,53,0,0,0,26,0
1991.56,1,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,99,0
1991.56,1,0,1,217,217,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,26,0
1991.56,1,1,0,557,0,0,0,1,0,0,0,0,0,0,0,0,127,0,0,0,99,0
1991.56,1,1,1,207,207,0,0,1,1,0,0,0,0,0,0,0,54,0,0,0,26,0
1991.6,1,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,101,0
1991.6,1,0,1,215,215,0,0,2,2,0,0,0,0,0,0,0,55,0,0,0,27,0
1991.6,1,1,0,556,0,0,0,1,0,0,0,0,0,0,0,0,129,0,0,0,101,0
1991.6,1,1,1,206,206,0,0,1,1,0,0,0,0,0,0,0,57,0,0,0,27,0
1991.64,1,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,101,0
1991.64,1,0,1,215,215,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,27,0
1991.64,1,1,0,556,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,101,0
1991.64,1,1,1,206,206,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,27,0
1991.68,1,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,104,0
1991.68,1,0,1,213,213,0,0,2,2,0,0,0,0,0,0,0,58,0,0,0,28,0
1991.68,1,1,0,555,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,104,0
1991.68,1,1,1,207,207,1,0,0,0,0,0,0,0,0,0,0,58,0,0,0,28,0
1991.73,1,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,104,0
1991.73,1,0,1,213,213,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,28,0
