Time,NodeID,IndividualID,Gender,AgeYears,InfectionID,Infectiousness,Duration,Hepatocytes,IRBCs,Gametocytes
3860,340461476,2,F,10.5781,43849,0.0284654,150,0,0,139192
3860,340461476,2,F,10.5781,45545,0.0284654,64,0,27840,1210790
3860,340461476,2,F,10.5781,46841,0.0284654,40,0,49135672,19844972
3860,340461476,3,F,10.5781,46552,0.00504362,45,0,968087656,5840196
3860,340461476,3,F,10.5781,48748,0.00504362,1,2,0,0
3860,340461476,4,F,10.5781,45360,0.000424559,70,0,94828401,9362813
3860,340461476,4,F,10.5781,45739,0.000424559,59,0,3597469,120976
3860,340461476,4,F,10.5781,47844,0.000424559,21,0,54126224439,33138
3860,340461476,5,F,10.5781,45218,0.00516956,76,0,792561893,268984
3860,340461476,5,F,10.5781,47272,0.00516956,32,0,2885685,41081329
3860,340461476,6,F,10.5781,47442,0.000171372,29,0,85862864,40102060
3860,340461476,6,F,10.5781,47845,0.000171372,21,0,152920063659,37018
3860,340461476,6,F,10.5781,48466,0.000171372,7,0,32154,0
3860,340461476,7,M,10.5781,43278,0.0989774,180,0,10714,524014
3860,340461476,7,M,10.5781,45113,0.0989774,81,0,912,1443644
3860,340461476,7,M,10.5781,47174,0.0989774,34,0,408730,151744260
3860,340461476,8,F,10.5781,45827,0.136352,57,0,23372,70316326
3860,340461476,8,F,10.5781,46418,0.136352,47,0,4543833,3905793
3860,340461476,8,F,10.5781,46553,0.136352,45,0,836385,25597918
3860,340461476,9,M,10.5781,43561,0.00824593,165,0,55470473,22380
3860,340461476,9,M,10.5781,45393,0.00824593,69,0,149122,5775518
3860,340461476,9,M,10.5781,48213,0.00824593,12,0,338989,0
3860,340461476,10,F,10.5781,45079,0.00296016,83,0,29291901,523471
3860,340461476,10,F,10.5781,45425,0.00296016,68,0,2179642,2461915
3860,340461476,10,F,10.5781,48749,0.00296016,1,4,0,0
3860,340461476,11,M,10.5781,44708,0.0672217,102,0,0,184709
3860,340461476,11,M,10.5781,44997,0.0672217,87,0,574,907178
3860,340461476,11,M,10.5781,45176,0.0672217,78,0,62081490,91562186
3860,340461476,12,F,10.5781,43949,0.00123389,145,0,145050849,14598706
3860,340461476,12,F,10.5781,47895,0.00123389,20,0,2020582782,0
