Year,Node_ID,Event_Name,Individual_ID,Age,Gender,Infectiousness
2000.33,1,PostDebut,130,19155.5,F,0
2000.33,1,PostDebut,131,16788,M,0
2000.33,1,PostDebut,13484,8425.4,F,0
2000.33,1,PostDebut,133,19817,F,0
2000.33,1,PreDebut,17622,1399.17,F,0
2000.33,1,PostDebut,10314,13961.3,F,0
2000.33,1,PostDebut,11040,12653.4,M,0
2000.33,1,PostDebut,137,19830,M,0
2000.33,1,PreDebut,15564,4866.67,F,0
2000.33,1,PreDebut,15637,4745,M,0
2000.33,1,PostDebut,10092,14387.1,F,0
2000.33,1,PostDebut,10924,12866.3,F,0
2000.33,1,PostDebut,142,16010.6,M,0
2000.33,1,PostDebut,15263,5383.75,F,0
2000.33,1,PreDebut,16617,3132.92,M,0
2000.33,1,PostDebut,145,17444.3,F,0
2000.33,1,PostDebut,146,19326.4,M,0
2000.33,1,PostDebut,10015,14508.8,F,0
2000.33,1,PreDebut,16722,2950.42,F,0
2000.33,1,PostDebut,12593,9976.67,M,0
2000.33,1,PostDebut,150,14751,M,0
2000.33,1,PostDebut,10505,13596.3,F,0
2000.33,1,PostDebut,152,15101.7,M,0
2000.33,1,PostDebut,10644,13353,F,0
2000.33,1,PreDebut,15696,4653.75,F,0
2000.33,1,PreDebut,15662,4714.58,M,0
2000.33,1,PreDebut,17081,2311.67,F,0
2000.33,1,PostDebut,13625,8151.65,F,0
2000.33,1,PostDebut,158,19742.4,M,0
2000.33,1,PostDebut,159,16949.9,F,0
2000.33,1,PreDebut,17646,1368.75,M,0
2000.33,1,PreDebut,17462,1672.92,M,0
2000.33,1,PostDebut,13848,7786.65,M,0
2000.33,1,PostDebut,163,16063.8,M,0
2000.33,1,PreDebut,15062,5748.75,M,0
2000.33,1,PostDebut,165,15725.7,F,0
2000.33,1,PostDebut,166,19441.4,F,0
2000.33,1,PostDebut,167,15194.6,M,0
2000.33,1,PreDebut,16985,2494.17,F,0
2000.33,1,PostDebut,169,18446.2,M,0
2000.33,1,PostDebut,170,18389.1,F,0
2000.33,1,PostDebut,171,15432,M,0
2000.33,1,PostDebut,172,15536.4,M,0
2000.33,1,PostDebut,173,15305.7,M,0
2000.33,1,PostDebut,11677,11558.4,M,0
2000.33,1,PostDebut,10456,13687.5,M,0
2000.33,1,PreDebut,17325,1885.83,F,0
2000.33,1,PostDebut,14167,7239.15,F,0
2000.33,1,PostDebut,13704,8029.98,M,0
2000.33,1,PreDebut,17138,2220.42,F,0
2000.33,1,PostDebut,11780,11375.8,M,0
2000.33,1,PostDebut,181,14737.9,M,0
2000.33,1,PostDebut,182,15733.9,F,0
2000.33,1,PostDebut,13745,7969.15,M,0
2000.33,1,PostDebut,12099,10828.3,F,0
2000.33,1,PreDebut,17992,790.833,M,0
2000.33,1,PreDebut,15262,5383.75,M,0
2000.33,1,PostDebut,13094,9155.41,F,0
2000.33,1,PostDebut,13093,9155.41,M,0
2000.33,1,PostDebut,189,16092,M,0
2000.33,1,PostDebut,10075,14417.5,M,0
2000.33,1,PreDebut,18072,669.167,M,0
2000.33,1,PreDebut,16948,2555,M,0
2000.33,1,PostDebut,14264,7087.07,M,0
2000.33,1,PostDebut,12862,9550.83,F,0
2000.33,1,PreDebut,17402,1764.17,M,0
2000.33,1,PreDebut,15226,5444.58,F,0
2000.33,1,PostDebut,12849,9581.25,M,0
2000.33,1,PostDebut,198,15968.3,F,0
2000.33,1,PostDebut,199,14574.1,M,0
2000.33,1,PreDebut,16023,4106.25,M,0
2000.33,1,PreDebut,18173,517.083,M,0
2000.33,1,PreDebut,17911,942.917,F,0
2000.33,1,PostDebut,14339,6965.41,M,0
2000.33,1,PostDebut,10838,13048.8,F,0
2000.33,1,PostDebut,10950,12805.4,M,0
2000.33,1,PostDebut,206,16579.3,F,0
2000.33,1,PostDebut,207,18173.1,M,0
2000.33,1,PostDebut,208,18448.8,M,0
2000.33,1,PostDebut,12437,10250.4,F,0
2000.33,1,PostDebut,210,17056.4,F,0
2000.33,1,PostDebut,10218,14143.8,M,0
2000.33,1,PostDebut,13297,8729.57,M,0
2000.33,1,PostDebut,213,16082.9,M,0
2000.33,1,PreDebut,15196,5505.41,F,0
2000.33,1,PostDebut,12748,9733.33,M,0
2000.33,1,PostDebut,14425,6813.32,M,0
2000.33,1,PreDebut,15212,5475,F,0
2000.33,1,PostDebut,13955,7573.74,M,0
2000.33,1,PostDebut,219,16117.8,M,0
2000.33,1,PostDebut,11851,11254.2,M,0
2000.33,1,PostDebut,221,15261.7,M,0
2000.33,1,PostDebut,222,15027.7,M,0
2000.33,1,PostDebut,223,17737.8,F,0
2000.33,1,PreDebut,16493,3315.42,M,0
2000.33,1,PostDebut,14185,7208.74,F,0
2000.33,1,PostDebut,11879,11193.3,F,0
2000.33,1,PostDebut,11338,12136.3,F,0
2000.33,1,PostDebut,228,16590.1,F,0
2000.33,1,PostDebut,13788,7908.32,M,0
2000.33,1,PostDebut,11101,12531.7,M,0
2000.33,1,PostDebut,10058,14448,M,0
2000.33,1,PostDebut,232,20000.1,F,0
2000.33,1,PreDebut,17118,2250.83,M,0
2000.33,1,PreDebut,15912,4288.75,M,0
2000.33,1,PostDebut,11601,11710.4,F,0
2000.33,1,PostDebut,10905,12896.7,F,0
2000.33,1,PostDebut,237,14926.5,F,0
2000.33,1,PostDebut,238,19628.5,M,0
2000.33,1,PostDebut,239,19840.6,F,0
2000.33,1,PostDebut,14404,6843.74,F,0
2000.33,1,PostDebut,13107,9124.99,F,0
2000.33,1,PostDebut,242,14755,F,0
2000.33,1,PostDebut,11931,11102.1,M,0
2000.33,1,PostDebut,244,18981.5,M,0
2000.33,1,PreDebut,17596,1429.58,F,0
2000.33,1,PostDebut,13372,8607.9,F,0
2000.33,1,PostDebut,14897,6052.91,F,0
2000.33,1,PreDebut,15345,5231.67,F,0
