Age,P subclinical,P hospital,P death H,P commun treat,P commun treat Death,P commun treat success,P untreated death,Prob temporary female chronic infection CU,Prob temporary male chronic infection CU,Prob lifelong female chronic infection CU,Prob lifelong male chronic infection CU,Prob temporary female chronic infection CTF,Prob temporary male chronic infection CTF,Prob lifelong female chronic infection CTF,Prob lifelong male chronic infection CTF,Prob temporary female chronic infection CTS,Prob temporary male chronic infection CTS,Prob lifelong female chronic infection CTS,Prob lifelong male chronic infection CTS,Prob temporary female chronic infection H,Prob temporary male chronic infection H,Prob lifelong female chronic infection H,Prob lifelong male chronic infection H,Prob lifelong female chronic infection SC,Prob lifelong male chronic infection SC,SF,RiskArray Suscept 1,RiskArray Suscept 2,RiskArray Suscept 3,RiskArray Suscept 4,RiskArray Suscept 5,RiskArray Suscept 6,RiskArray Suscept 7,RiskArray Suscept 8,RiskArray Suscept 9,RiskArray Suscept 10,RiskArray infect 1,RiskArray infect 2,RiskArray infect 3,RiskArray infect 4,RiskArray infect 5,RiskArray infect 6,RiskArray infect 7,RiskArray infect 8,RiskArray infect 9,RiskArray infect 10,Risk assign,RiskReassign
1,0.9,0,0.02,1,0.05,1,0.2,0.3,0.3,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0,1
2,0.9,0,0.02,1,0.05,1,0.2,0.3,0.3,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0,0
3,0.9,0,0.02,1,0.05,1,0.2,0.3,0.3,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0,0
4,0.9,0,0.02,1,0.05,1,0.2,0.3,0.3,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0,0
5,0.9,0,0.02,1,0.05,1,0.2,0.3,0.3,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0,0
6,0.9,0,0.02,1,0.05,1,0.2,0.3,0.3,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0,0
7,0.9,0,0.02,1,0.05,1,0.2,0.3,0.3,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0,0
8,0.9,0,0.02,1,0.05,1,0.2,0.3,0.3,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0,0
9,0.9,0,0.02,1,0.05,1,0.2,0.3,0.3,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0,0
10,0.9,0,0.02,1,0.05,1,0.2,0.3,0.3,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,0
