Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
336,1,5,85.818,11,0,F,1230,1316,19.5406,18.5632,4,SELF_MIGRATING
200,1,2,7883.19,11,2,F,934,1214,46.966,42.2789,4,SELF_MIGRATING
345,3,6,664.594,12,1,F,684,1024,30.3179,24.0309,2,SELF_MIGRATING
454,3,11,6333.86,12,2,F,812,1024,37.7031,24.0309,1,SELF_MIGRATING
189,1,2,356.676,12,0,F,230,1314,30.5161,23.4302,1,SELF_MIGRATING
301,1,4,1087.17,12,1,F,1218,1202,27.3722,16.0626,2,SELF_MIGRATING
5,4,0,97.2538,13,0,F,945,1049,35.6192,27.8219,7,SELF_MIGRATING
91,3,1,12.4871,13,0,F,888,476,23.0519,16.1662,4,BROKEUP
275,3,4,12.8351,13,0,F,732,136,38.4139,28.0899,1,BROKEUP
280,3,4,2559.69,13,2,F,376,120,59.3412,47.9562,1,PARTNER_MIGRATING
333,2,5,426.214,13,1,F,183,819,36.716,27.2893,4,SELF_MIGRATING
389,4,8,7309.66,14,2,F,657,1186,46.4985,30.2539,2,SELF_MIGRATING
157,3,2,30.7232,14,0,F,596,164,22.9602,16.7863,8,PARTNER_MIGRATING
316,3,5,175.324,14,0,F,1310,1296,22.2655,18.621,3,SELF_MIGRATING
498,2,14,211.294,14,1,F,971,930,36.2481,38.9247,1,SELF_MIGRATING
421,1,9,177.26,14,0,F,730,874,34.7245,26.0298,3,SELF_MIGRATING
329,2,5,294.283,15,0,F,399,691,23.0212,17.9949,4,SELF_MIGRATING
393,2,8,128.424,15,0,F,399,271,23.0212,18.2702,2,SELF_MIGRATING
114,2,1,563.916,15,1,F,851,991,25.7388,24.4466,2,SELF_MIGRATING
394,2,8,119.907,15,0,F,1180,955,25.7418,21.6864,1,PARTNER_MIGRATING
183,2,2,705.544,15,1,F,1359,955,26.8795,21.6864,2,PARTNER_MIGRATING
403,4,9,15.3486,16,0,F,1261,1353,30.1576,24.3163,1,BROKEUP
338,4,6,807.593,16,1,F,584,821,39.7057,32.5254,8,SELF_MIGRATING
308,4,5,175.096,16,0,F,1261,1266,30.1604,24.3333,10,SELF_MIGRATING
506,2,15,205.137,16,0,F,483,1247,42.7408,37.2468,2,SELF_MIGRATING
385,4,8,1085.51,17,1,F,1171,405,26.0096,22.3373,5,SELF_MIGRATING
409,3,9,23.4774,17,0,F,1003,1268,22.8804,24.7367,6,SELF_MIGRATING
415,3,9,6344.67,17,2,F,496,1136,62.2139,54.1174,4,PARTNER_MIGRATING
171,2,2,531.12,17,0,F,1371,1179,23.2823,25.2306,7,SELF_MIGRATING
1,1,0,16.4205,17,0,F,177,337,24.7383,21.9288,3,BROKEUP
245,1,3,20.4364,17,0,F,426,286,27.4369,21.3951,6,SELF_MIGRATING
216,3,3,17.7222,18,0,F,348,1324,21.4097,22.8523,2,BROKEUP
449,3,11,977.571,18,1,F,432,798,17.0941,22.3861,3,PARTNER_MIGRATING
468,3,12,1614.64,18,1,F,432,284,17.0941,17.2335,3,PARTNER_MIGRATING
73,1,0,9887.87,18,2,F,906,374,42.1187,33.0487,7,SELF_MIGRATING
148,4,2,278.399,19,0,F,505,1377,29.9818,24.9999,8,SELF_MIGRATING
152,4,2,139.016,19,1,F,1261,1257,30.1658,24.9934,2,SELF_MIGRATING
163,3,2,648.079,19,1,F,888,748,23.0683,16.8294,5,SELF_MIGRATING
225,3,3,716.916,19,1,F,328,1304,19.5905,18.1561,8,SELF_MIGRATING
479,3,13,167.844,19,0,F,348,1304,21.4152,18.1561,1,SELF_MIGRATING
465,3,12,504.763,19,0,F,1295,1304,17.2323,18.1561,2,SELF_MIGRATING
428,3,10,419.183,19,1,F,1096,1304,19.12,18.1561,6,SELF_MIGRATING
241,2,3,481.445,19,2,F,51,899,55.9855,44.0616,4,SELF_MIGRATING
552,1,19,1397.76,19,1,F,1218,94,27.3913,29.2189,1,SELF_MIGRATING
541,1,18,587.596,19,1,F,810,646,50.4771,43.182,1,SELF_MIGRATING
190,1,2,243.077,19,1,F,1118,1162,50.981,47.3126,4,SELF_MIGRATING
544,4,19,55.7568,20,0,F,389,436,35.2435,29.5034,1,SELF_MIGRATING
453,3,11,10034.6,20,2,F,668,791,38.3807,34.8223,2,SELF_MIGRATING
375,1,7,304.055,20,0,F,762,150,18.393,22.6034,1,SELF_MIGRATING
376,1,7,355.062,20,0,F,862,150,27.7005,22.6034,4,SELF_MIGRATING
461,1,11,861.368,20,0,F,706,838,27.9227,20.4388,3,SELF_MIGRATING
489,1,13,173.407,20,0,F,706,1024,27.9227,24.0528,3,SELF_MIGRATING
509,1,15,240.991,20,0,F,425,276,43.8048,28.8651,1,PARTNER_MIGRATING
521,1,16,493.04,20,0,F,730,276,34.741,28.8651,3,PARTNER_MIGRATING
145,4,2,214.3,21,0,F,1277,321,24.1545,18.1021,6,SELF_MIGRATING
146,4,2,129.798,21,0,F,1325,321,34.0125,18.1021,2,SELF_MIGRATING
384,4,8,171.753,21,0,F,1065,755,15.1987,16.2772,1,SELF_MIGRATING
383,4,8,346.149,21,0,F,397,362,19.8643,23.5062,7,SELF_MIGRATING
478,4,13,5030.51,21,2,F,250,362,29.4491,23.5062,3,SELF_MIGRATING
418,2,9,204.166,21,0,F,715,1275,35.5825,32.0825,4,SELF_MIGRATING
330,2,5,35.6237,21,0,F,1145,1275,23.4894,32.0825,4,SELF_MIGRATING
251,1,3,73.9845,21,0,F,1218,854,27.3996,35.0497,4,SELF_MIGRATING
529,1,17,247.971,21,0,F,1218,1266,27.3996,24.347,1,SELF_MIGRATING
255,1,3,644.6,21,1,F,1218,542,27.3996,26.7251,6,SELF_MIGRATING
214,3,3,21.3627,22,0,F,348,284,21.4206,17.2417,3,BROKEUP
156,3,2,392.996,22,0,F,128,60,25.5379,23.8601,7,SELF_MIGRATING
517,2,16,1505.42,22,1,F,1180,819,25.7609,27.3167,4,PARTNER_MIGRATING
332,2,5,687.486,22,1,F,1356,615,40.5545,44.3139,4,SELF_MIGRATING
233,2,3,104.2,23,0,F,875,115,23.8395,19.216,5,SELF_MIGRATING
370,2,7,566.643,23,0,F,1051,115,23.2929,19.216,6,SELF_MIGRATING
47,1,0,6115.35,23,2,F,451,1231,56.2071,47.6945,5,PARTNER_TERMINATED
257,1,3,756.261,23,1,F,282,746,20.6525,16.5114,2,SELF_MIGRATING
36,4,0,8495.85,24,2,F,672,548,47.8041,38.6896,6,PARTNER_MIGRATING
82,4,1,398.451,24,1,F,677,1289,32.1139,21.2632,9,SELF_MIGRATING
