Time,Year,Node_ID,Coital_Act_ID,Rel_ID,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,A_ID,B_ID,A_Gender,B_Gender,A_Age,B_Age,A_Is_Infected,B_Is_Infected,Did_Use_Condom,Risk_Multiplier,Transmission_Multiplier,Acquisition_Multiplier,Infection_Was_Transmitted,A_Num_Current_Rels,B_Num_Current_Rels,A_Is_Circumcised,B_Is_Circumcised,A_Has_CoInfection,B_Has_CoInfection,A_HIV_Infection_Stage,B_HIV_Infection_Stage,A_Is_On_ART,B_Is_On_ART
0,1960.5,4,1,7,1,F,45,553,MALE,FEMALE,36.39,26.0489,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
0,1960.5,4,2,13,2,F,53,521,MALE,FEMALE,37.8786,40.9918,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,4,3,14,2,F,69,325,MALE,FEMALE,35.966,33.2801,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,4,4,1,0,F,177,337,MALE,FEMALE,24.6917,21.8823,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,4,5,2,0,F,221,553,MALE,FEMALE,33.3895,26.0489,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
0,1960.5,4,6,15,2,F,225,1345,MALE,FEMALE,52.0384,48.0623,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,4,7,3,0,F,313,633,MALE,FEMALE,20.804,22.0759,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,4,8,16,2,F,669,637,MALE,FEMALE,55.246,43.1449,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,4,9,4,0,F,857,197,MALE,FEMALE,22.9877,23.9138,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,4,10,4,0,F,857,197,MALE,FEMALE,22.9877,23.9138,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,4,11,8,1,F,881,81,MALE,FEMALE,15.6503,23.7683,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
0,1960.5,4,12,9,1,F,941,1281,MALE,FEMALE,26.2036,22.0215,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
0,1960.5,4,13,5,0,F,945,1049,MALE,FEMALE,35.5809,27.7863,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,4,14,17,2,F,957,729,MALE,FEMALE,53.8593,47.0705,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,4,15,6,0,F,981,13,MALE,FEMALE,22.7581,19.0889,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,4,16,10,1,F,1145,517,MALE,FEMALE,23.4291,29.501,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,4,17,11,1,F,1153,81,MALE,FEMALE,30.7013,23.7683,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
0,1960.5,4,18,12,1,F,1217,1281,MALE,FEMALE,26.903,22.0215,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
0,1960.5,3,19,18,0,F,64,324,MALE,FEMALE,17.4294,19.488,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,3,20,19,0,F,300,456,MALE,FEMALE,46.3353,40.6153,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
0,1960.5,3,21,33,2,F,300,288,MALE,FEMALE,46.3353,44.5303,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
0,1960.5,3,22,20,0,F,352,144,MALE,FEMALE,19.6438,16.6069,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,3,23,21,0,F,356,416,MALE,FEMALE,19.7105,14.2958,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,3,24,34,2,F,404,1204,MALE,FEMALE,40.8436,41.6535,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,3,25,34,2,F,404,1204,MALE,FEMALE,40.8436,41.6535,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,3,26,34,2,F,404,1204,MALE,FEMALE,40.8436,41.6535,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,3,27,26,1,F,520,372,MALE,FEMALE,23.031,17.3293,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1960.5,3,28,35,2,F,588,440,MALE,FEMALE,45.0103,32.4694,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
