SIM_TIME,YEAR,NODE_ID,REL_ID,REL_TYPE (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,SRC_ID,SRC_INFECTED,SRC_GENDER,SRC_AGE,SRC_IP,SRC_current_relationship_count,SRC_lifetime_relationship_count,SRC_relationships_in_last_6_months,SRC_FLAGS,SRC_CIRCUMSIZED,SRC_STI,SRC_SUPERSPREADER,SRC_INF_AGE,DEST_ID,DEST_INFECTED,DEST_GENDER,DEST_AGE,DEST_IP,DEST_current_relationship_count,DEST_lifetime_relationship_count,DEST_relationships_in_last_6_months,DEST_FLAGS,DEST_CIRCUMSIZED,DEST_STI,DEST_SUPERSPREADER
1,1960.5,1,7,1,0,16039,1,1,5933.03,"",1,1,1,0,0,0,0,5933.03,557,1,0,6554.07,"",1,1,1,0,0,0,0
1,1960.5,1,6,0,0,14912,1,0,6355.14,"",1,1,1,0,0,0,0,6355.14,8592,1,1,8536.62,"",1,1,1,0,0,0,0
2,1960.51,1,13,0,0,4022,1,1,6057.08,"",1,1,1,0,0,0,0,6056.08,743,1,0,8400.96,"",1,1,1,0,0,0,0
2,1960.51,1,15,0,0,12192,1,1,6956.18,"",1,1,1,0,0,0,0,6955.18,4433,1,0,7633.06,"",1,1,1,0,0,0,0
2,1960.51,1,12,0,0,5527,1,0,6318.79,"",1,1,1,0,0,0,0,6316.79,14279,1,1,7719.92,"",1,1,1,0,0,0,0
2,1960.51,1,3,0,0,13745,1,0,6459.34,"",1,1,1,0,0,0,0,6457.34,14779,1,1,5883.85,"",1,1,1,0,0,0,0
3,1960.51,1,25,0,0,4385,1,0,7209.77,"",1,1,1,0,0,0,0,7206.77,6880,1,1,6039.37,"",1,1,1,0,0,0,0
4,1960.51,1,44,1,0,6341,1,1,6621.96,"",1,1,1,0,0,0,0,6618.96,6040,1,0,7944.26,"",1,1,1,0,0,0,0
4,1960.51,1,42,1,0,3701,1,1,7278.44,"",1,1,1,0,0,0,0,7274.44,14834,1,0,8566.68,"",1,1,1,0,0,0,0
6,1960.52,1,71,1,0,7804,1,0,6340.96,"",1,1,1,0,0,0,0,6335.96,4221,1,1,5457.71,"",1,1,1,0,0,0,0
6,1960.52,1,65,0,0,12621,1,1,6877.75,"",1,1,1,0,0,0,0,6871.75,13991,1,0,9405.09,"",1,1,1,0,0,0,0
6,1960.52,1,66,0,0,4166,1,1,6125.53,"",1,1,1,0,0,0,0,6119.53,16466,1,0,8331.84,"",1,1,1,0,0,0,0
7,1960.52,1,79,0,0,13150,1,1,5638.27,"",1,1,1,0,0,0,0,5632.27,1021,1,0,9381.17,"",1,1,1,0,0,0,0
7,1960.52,1,81,0,0,1005,1,1,6727.45,"",1,1,1,0,0,0,0,6720.45,4277,1,0,8172.51,"",1,1,1,0,0,0,0
7,1960.52,1,82,0,0,4573,1,0,6470.53,"",1,1,1,0,0,0,0,6463.53,6852,1,1,7647.6,"",1,1,1,0,0,0,0
7,1960.52,1,83,0,0,9408,1,0,6981.96,"",1,1,1,0,0,0,0,6974.96,12979,1,1,8069.15,"",1,1,1,0,0,0,0
8,1960.52,1,94,0,0,11035,1,0,6849.57,"",1,1,1,0,0,0,0,6842.57,3744,1,1,9986.79,"",1,1,1,0,0,0,0
8,1960.52,1,96,0,0,2497,1,0,5752.53,"",1,1,1,0,0,0,0,5744.53,7952,1,1,8290.69,"",1,1,1,0,0,0,0
8,1960.52,1,102,1,0,7860,1,0,6460.28,"",1,1,1,0,0,0,0,6452.28,8936,1,1,9533.3,"",1,1,1,0,0,0,0
9,1960.52,1,114,0,0,1236,1,1,6306.7,"",1,1,1,0,0,0,0,6298.7,185,1,0,7335.94,"",1,1,1,0,0,0,0
10,1960.53,1,136,1,0,2826,1,1,5579.71,"",1,1,1,0,0,0,0,5570.71,1019,1,0,10692,"",1,1,1,0,0,0,0
10,1960.53,1,1,0,0,11490,1,1,5908.91,"",1,1,1,0,0,0,0,5899.91,2473,1,0,8047.08,"",1,1,1,0,0,0,0
10,1960.53,1,127,0,0,16295,1,1,5825.51,"",1,1,1,0,0,0,0,5816.51,6062,1,0,9851.52,"",1,1,1,0,0,0,0
10,1960.53,1,135,1,0,12874,1,1,6935.44,"",1,1,1,0,0,0,0,6926.44,12867,1,0,9260.35,"",1,1,1,0,0,0,0
11,1960.53,1,144,0,0,11967,1,0,6101.54,"",1,1,1,0,0,0,0,6091.54,901,1,1,7978.67,"",1,1,1,0,0,0,0
11,1960.53,1,141,0,0,1747,1,1,5973.86,"",1,1,1,0,0,0,0,5962.86,5394,1,0,8695.73,"",1,1,1,0,0,0,0
11,1960.53,1,148,1,0,12436,1,1,6827.29,"",1,1,1,0,0,0,0,6817.29,11755,1,0,10026.6,"",1,1,1,0,0,0,0
11,1960.53,1,151,1,0,14854,1,1,6802.45,"",1,1,1,0,0,0,0,6792.45,13716,1,0,9913.44,"",1,1,1,0,0,0,0
11,1960.53,1,152,1,0,4759,1,1,6374.39,"",1,1,1,0,0,0,0,6363.39,13761,1,0,7415.7,"",1,1,1,0,0,0,0
11,1960.53,1,153,1,0,12713,1,1,5801.59,"",1,1,1,0,0,0,0,5790.59,14965,1,0,9252.72,"",1,1,1,0,0,0,0
12,1960.53,1,167,1,0,9555,1,1,6631.4,"",1,1,1,0,0,0,0,6620.4,2111,1,0,11708.7,"",1,1,1,0,0,0,0
