Time,ID,FromNodeID,ToNodeID,State,Genome,Species,Age,Population
400,1782,1,2,STATE_MALE,X:Y,SillySkeeter,60,21
400,1784,1,2,STATE_INFECTIOUS,X:X,SillySkeeter,60,22
401,1786,1,2,STATE_MALE,X:Y,SillySkeeter,60,21
401,1788,1,2,STATE_INFECTIOUS,X:X,SillySkeeter,60,20
402,1790,1,2,STATE_MALE,X:Y,SillySkeeter,60,17
402,1792,1,2,STATE_INFECTIOUS,X:X,SillySkeeter,60,16
403,1794,1,2,STATE_MALE,X:Y,SillySkeeter,60,20
403,1796,1,2,STATE_INFECTIOUS,X:X,SillySkeeter,60,11
404,1798,1,2,STATE_MALE,X:Y,SillySkeeter,60,25
404,1800,1,2,STATE_INFECTIOUS,X:X,SillySkeeter,60,11
405,1802,1,2,STATE_MALE,X:Y,SillySkeeter,60,11
405,1804,1,2,STATE_INFECTIOUS,X:X,SillySkeeter,60,15
