Time, NodeID, Population, VectorPopulation, AdultCount, InfectedCount, InfectiousCount, MaleCount, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, NewAdults, DiedBeforeFeeding, DiedDuringFeedingIndoor, DiedDuringFeedingOutdoor, MigrationFromCountLocal, MigrationFromCountRegional, arabiensis_AvailableHabitat, funestus_AvailableHabitat, gambiae_AvailableHabitat, arabiensis_EggCrowdingCorrection, funestus_EggCrowdingCorrection, gambiae_EggCrowdingCorrection
26,2,99,22952,22952,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,100,77048,77048,0,0,100000,0,770,0,0,0,0,0,1,0,0,0,0,0,0,0
27,2,99,23698,23698,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,100,76302,76302,0,0,100000,0,763,0,0,0,0,0,1,0,0,0,0,0,0,0
28,2,99,24462,24462,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,100,75538,75538,0,0,100000,0,755,0,0,0,0,0,1,0,0,0,0,0,0,0
29,2,99,25225,25225,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,100,74775,74775,0,0,100000,0,747,0,0,0,0,0,1,0,0,0,0,0,0,0
30,2,99,25919,25919,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,100,74081,74081,0,0,100000,0,740,0,0,0,0,0,1,0,0,0,0,0,0,0
31,2,99,26626,26626,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,100,73374,73374,0,0,100000,0,733,0,0,0,0,0,1,0,0,0,0,0,0,0
32,2,99,27342,27342,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,100,72658,72658,0,0,100000,0,726,0,0,0,0,0,1,0,0,0,0,0,0,0
33,2,99,28085,28085,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0
