Year, NodeId, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(VaccineA),Vaccinated
1960.08,1,8698,0,0,0,0,0,0,0,0,0,0,1819,1819
1960.17,1,8698,0,0,0,0,0,0,0,0,0,0,1890,71
1960.25,1,8698,0,0,0,0,0,0,0,0,0,0,1948,58
1960.33,1,8698,0,0,0,0,0,0,0,0,0,0,2029,81
1960.42,1,8698,0,0,0,0,0,0,0,0,0,0,2097,68
1960.5,1,8698,0,0,0,0,0,0,0,0,0,0,2162,65
1960.58,1,8698,0,0,0,0,0,0,0,0,0,0,2238,76
1960.67,1,8698,0,0,0,0,0,0,0,0,0,0,2311,73
1960.75,1,8698,0,0,0,0,0,0,0,0,0,0,2382,71
1960.83,1,8698,0,0,0,0,0,0,0,0,0,0,2442,60
1960.92,1,8698,0,0,0,0,0,0,0,0,0,0,2542,100
1961,1,8698,0,0,0,0,0,0,0,0,0,0,2599,57
1961.08,1,8698,0,0,0,0,0,0,0,0,0,0,2676,77
1961.17,1,8698,0,0,0,0,0,0,0,0,0,0,2757,81
1961.25,1,8698,0,0,0,0,0,0,0,0,0,0,2810,53
1961.33,1,8698,0,0,0,0,0,0,0,0,0,0,2881,71
1961.42,1,8698,0,0,0,0,0,0,0,0,0,0,2973,92
1961.5,1,8698,0,0,0,0,0,0,0,0,0,0,3029,56
1961.58,1,8698,0,0,0,0,0,0,0,0,0,0,3099,70
1961.67,1,8698,0,0,0,0,0,0,0,0,0,0,3162,63
1961.75,1,8698,0,0,0,0,0,0,0,0,0,0,3237,75
1961.83,1,8698,0,0,0,0,0,0,0,0,0,0,3326,89
1961.92,1,8698,0,0,0,0,0,0,0,0,0,0,3378,52
1962,1,8698,0,0,0,0,0,0,0,0,0,0,3470,92
1962.08,1,8698,0,0,0,0,0,0,0,0,0,0,3520,50
1962.17,1,8698,0,0,0,0,0,0,0,0,0,0,3598,78
1962.25,1,8698,0,0,0,0,0,0,0,0,0,0,3662,64
1962.33,1,8698,0,0,0,0,0,0,0,0,0,0,3748,86
1962.42,1,8698,0,0,0,0,0,0,0,0,0,0,3808,60
1962.5,1,8698,0,0,0,0,0,0,0,0,0,0,3866,58
1962.58,1,8698,0,0,0,0,0,0,0,0,0,0,3958,92
1962.67,1,8698,0,0,0,0,0,0,0,0,0,0,4023,65
1962.75,1,8698,0,0,0,0,0,0,0,0,0,0,4104,81
1962.83,1,8698,0,0,0,0,0,0,0,0,0,0,4170,66
1962.92,1,8698,0,0,0,0,0,0,0,0,0,0,4243,73
1963,1,8698,0,0,0,0,0,0,0,0,0,0,4306,63
1963.08,1,8698,0,0,0,0,0,0,0,0,0,0,4455,149
1963.17,1,8698,0,0,0,0,0,0,0,0,0,0,4665,210
1963.25,1,8698,0,0,0,0,0,0,0,0,0,0,4908,243
1963.33,1,8698,0,0,0,0,0,0,0,0,0,0,5104,196
1963.42,1,8698,0,0,0,0,0,0,0,0,0,0,5314,210
1963.5,1,8698,0,0,0,0,0,0,0,0,0,0,5534,220
1963.58,1,8698,0,0,0,0,0,0,0,0,0,0,5750,216
1963.67,1,8698,0,0,0,0,0,0,0,0,0,0,5963,213
1963.75,1,8698,0,0,0,0,0,0,0,0,0,0,6166,203
1963.83,1,8698,0,0,0,0,0,0,0,0,0,0,6394,228
1963.92,1,8698,0,0,0,0,0,0,0,0,0,0,6597,203
1964,1,8698,0,0,0,0,0,0,0,0,0,0,6811,214
1964.08,1,8698,0,0,0,0,0,0,0,0,0,0,6958,147
1964.17,1,8698,0,0,0,0,0,0,0,0,0,0,6959,1
1964.25,1,8698,0,0,0,0,0,0,0,0,0,0,6959,0
1964.33,1,8698,0,0,0,0,0,0,0,0,0,0,6959,0
1964.42,1,8698,0,0,0,0,0,0,0,0,0,0,6959,0
1964.5,1,8698,0,0,0,0,0,0,0,0,0,0,6959,0
1964.58,1,8698,0,0,0,0,0,0,0,0,0,0,6959,0
1964.67,1,8698,0,0,0,0,0,0,0,0,0,0,6959,0
1964.75,1,8698,0,0,0,0,0,0,0,0,0,0,6959,0
1964.83,1,8698,0,0,0,0,0,0,0,0,0,0,6959,0
1964.92,1,8698,0,0,0,0,0,0,0,0,0,0,6959,0
