Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
123,1,1,7218.68,1,2,F,9409,7360,43.0085,35.077,1,PARTNER_DIED
179,1,1,8507.7,1,2,F,29457,12623,51.1165,52.0872,1,PARTNER_DIED
333,1,3,5881.96,4,2,F,5583,16501,49.4201,38.2753,2,PARTNER_DIED
474,1,4,7217.26,4,2,F,24427,33745,20.0137,27.9148,1,PARTNER_DIED
219,1,2,5235.23,5,2,F,2222,8387,57.1236,52.2231,2,PARTNER_DIED
630,1,6,6898.18,6,2,F,26847,3757,59.9531,51.4248,2,PARTNER_DIED
325,1,3,11768.9,7,2,F,1649,17337,87.0711,45.5748,2,PARTNER_DIED
51,1,0,1449.43,7,2,F,16761,12863,68.2141,49.8208,2,PARTNER_DIED
511,1,5,10152.1,7,2,F,28949,16680,54.1408,43.6483,2,PARTNER_DIED
207,1,2,7282.37,7,2,F,31944,3707,57.8881,59.9534,3,PARTNER_DIED
638,1,6,5089.21,7,2,F,32488,28690,56.694,42.2771,2,PARTNER_DIED
616,1,6,14400.5,9,2,F,22727,9211,59.6923,53.0485,1,PARTNER_DIED
896,1,9,13071.7,9,0,F,14092,21531,37.9977,36.8205,1,PARTNER_DIED
846,1,8,6685.42,9,2,F,32930,15191,59.9015,50.2615,1,PARTNER_DIED
549,1,5,12864.1,10,2,F,6479,24989,50.9803,44.9906,3,PARTNER_DIED
911,1,9,4229.45,11,2,F,21297,753,42.6332,47.2709,1,PARTNER_DIED
62,1,0,12922.9,11,2,F,20872,18197,59.4329,51.4221,5,PARTNER_DIED
205,1,2,2108.89,11,2,F,30896,18271,37.6553,23.5158,4,PARTNER_DIED
1229,1,12,4747.2,12,2,F,20055,22910,75.1727,66.2063,1,PARTNER_DIED
72,1,0,13497.3,13,2,F,27587,23453,55.0699,54.4931,4,PARTNER_DIED
1390,1,14,9143.73,15,2,F,25053,13857,49.3265,40.9556,2,PARTNER_DIED
1109,1,11,3749.71,15,2,F,27499,870,62.0293,64.5588,1,PARTNER_DIED
714,1,7,8590.3,16,2,F,22951,4535,55.1131,70.7905,5,PARTNER_DIED
1474,1,15,10298.7,16,2,F,24056,26340,51.0473,56.5186,1,PARTNER_DIED
1105,1,11,6749.3,16,2,F,26546,808,51.2709,47.8407,4,PARTNER_DIED
1309,1,13,14179.9,16,2,F,31039,16777,56.7998,53.2303,1,PARTNER_DIED
47,1,0,5846.17,17,2,F,15665,30507,39.2158,42.5496,11,PARTNER_DIED
771,1,7,15966.1,18,2,F,8783,19868,55.0444,48.8,5,PARTNER_DIED
247,1,2,2934.68,18,2,F,11132,16052,52.8886,47.9669,4,PARTNER_DIED
222,1,2,18960.7,19,2,F,4052,912,57.9604,49.8619,6,PARTNER_DIED
601,1,6,10138.5,19,2,F,19945,6119,59.2481,66.4544,5,PARTNER_DIED
1389,1,14,3202.59,19,2,F,24025,9355,45.6942,47.153,1,PARTNER_DIED
1631,1,17,12980.7,19,2,F,11090,734,35.3763,40.1,2,PARTNER_DIED
726,1,7,10869.4,19,2,F,29798,7062,32.3758,31.326,5,PARTNER_DIED
1500,1,15,20382.3,19,2,F,33198,24666,69.2046,54.6474,3,PARTNER_DIED
1782,1,19,3027.8,20,2,F,7706,20173,53.6057,45.774,1,PARTNER_DIED
1588,1,16,18671.3,21,2,F,2081,20102,52.8389,42.4267,3,PARTNER_DIED
955,1,9,10272.9,21,2,F,11524,31505,54.1536,59.9749,5,PARTNER_DIED
367,1,3,9066.2,21,2,F,20307,14016,42.007,28.6243,3,PARTNER_DIED
1131,1,11,15242.1,22,2,F,10418,1656,53.4464,52.7029,4,PARTNER_DIED
198,1,2,1149.61,22,1,F,12040,17261,40.2026,32.2527,3,PARTNER_DIED
1715,1,18,4065.89,22,2,F,12040,3622,40.2026,32.9305,2,PARTNER_DIED
781,1,7,2547.3,22,2,F,18560,15911,78.9892,57.0132,4,PARTNER_DIED
1141,1,11,9656.53,22,2,F,25215,14515,56.0934,59.95,4,PARTNER_DIED
1823,1,19,11067.5,22,2,F,25508,22277,50.415,49.4437,2,PARTNER_DIED
186,1,1,9830.28,22,2,F,32123,30018,53.2994,51.3727,7,PARTNER_DIED
931,1,9,6143.69,22,2,F,33572,26034,44.4211,31.7777,5,PARTNER_DIED
1065,1,11,5302.08,23,1,F,3744,25949,51.6767,44.0173,7,PARTNER_DIED
2156,1,23,2321.38,23,2,F,34474,30864,41.8196,28.908,1,PARTNER_DIED
187,1,1,13493.3,23,2,F,32977,29177,51.3786,44.7445,10,PARTNER_DIED
1400,1,14,7300.51,23,2,F,33330,30296,59.2907,52.1878,3,PARTNER_DIED
230,1,2,4186.85,24,2,F,5113,28340,53.3561,52.4736,6,PARTNER_DIED
818,1,8,16508.4,24,2,F,16663,32694,38.4555,35.6711,8,PARTNER_DIED
503,1,5,18156.6,24,2,F,22922,34446,57.083,58.74,9,PARTNER_DIED
1094,1,11,3595.27,24,2,F,23068,11656,54.9495,44.0299,5,PARTNER_DIED
887,1,8,8655.22,24,2,F,25863,34195,52.6269,50.1383,7,PARTNER_DIED
1766,1,19,3387.21,24,2,F,32760,26069,59.039,70.1177,2,PARTNER_DIED
1210,1,12,2273.72,24,2,F,32917,12389,69.1733,55.351,7,PARTNER_DIED
1212,1,12,2810.77,24,2,F,33213,33092,58.3346,59.4881,3,PARTNER_DIED
1120,1,11,3026.27,24,2,F,33833,31603,38.1646,37.1494,7,PARTNER_DIED
2219,1,24,4954.49,25,2,F,2339,15801,57.3401,52.4621,1,PARTNER_DIED
119,1,1,1862.03,25,2,F,7261,33243,32.6361,32.8764,12,PARTNER_DIED
306,1,3,6430.95,25,2,F,30059,21136,73.5597,58.1767,6,PARTNER_DIED
728,1,7,3371.85,25,2,F,31350,6974,70.9581,66.2119,7,PARTNER_DIED
1216,1,12,5397.3,26,2,F,2222,14559,57.1811,45.2681,3,PARTNER_DIED
2241,1,24,13483.9,26,2,F,9244,34591,60.4435,73.5012,1,PARTNER_DIED
828,1,8,15819,26,2,F,24994,2937,50.3362,48.8204,5,PARTNER_DIED
1674,1,17,134.247,26,2,F,31182,26666,49.8892,48.9955,4,PARTNER_DIED
1402,1,14,7081.58,27,2,F,1287,32725,49.7311,49.3989,6,PARTNER_DIED
2017,1,21,5511.95,27,2,F,9817,9454,60.8269,52.679,2,PARTNER_DIED
2153,1,23,12201.8,27,2,F,11940,16269,61.2262,56.3172,2,PARTNER_DIED
2227,1,24,12668.5,27,2,F,5056,17393,45.818,52.1445,3,PARTNER_DIED
2475,1,27,8422.75,27,2,F,11139,18387,37.921,35.181,1,PARTNER_DIED
1518,1,15,9274.19,27,2,F,21211,33041,68.4808,66.4997,3,PARTNER_DIED
1971,1,21,6048.97,27,2,F,5658,22466,54.0334,49.043,2,PARTNER_DIED
1564,1,16,9465.57,27,2,F,22817,16787,49.1664,34.4033,4,PARTNER_DIED
1006,1,10,2530.31,27,2,F,24328,4085,54.4381,43.789,8,PARTNER_DIED
1815,1,19,8214.09,27,2,F,22071,32430,60.5749,87.7716,3,PARTNER_DIED
939,1,9,3446.51,28,2,F,3224,6990,48.2823,41.8576,8,PARTNER_DIED
2220,1,24,7673.89,28,2,F,2576,5629,60.3248,70.5502,1,PARTNER_DIED
2338,1,26,6806.53,28,1,F,15467,34604,56.8606,47.8213,1,PARTNER_DIED
359,1,3,9377.97,28,2,F,16094,31517,57.9578,45.5132,8,PARTNER_DIED
397,1,4,4532.59,28,2,F,22299,14490,48.9154,41.6105,9,PARTNER_DIED
634,1,6,8983.52,28,2,F,28023,10404,48.0435,36.0417,8,PARTNER_DIED
90,1,1,8007.54,29,0,F,7988,2651,49.608,38.4305,12,PARTNER_DIED
2237,1,24,3079.66,29,2,F,7988,27442,49.608,50.3694,1,PARTNER_DIED
956,1,9,10526.6,29,2,F,11762,23923,56.548,48.5283,13,PARTNER_DIED
683,1,6,3585.25,29,2,F,14662,24315,49.7264,55.2988,8,PARTNER_DIED
2006,1,21,10727.2,29,2,F,22155,29719,44.3779,38.0058,4,PARTNER_DIED
414,1,4,7506.32,29,2,F,30399,21155,87.6157,46.2545,8,PARTNER_DIED
1535,1,16,1947.12,30,2,F,1469,4829,57.6276,54.5197,3,PARTNER_DIED
1918,1,20,7963.85,30,2,F,7421,28124,88.0212,82.9873,2,PARTNER_DIED
2433,1,27,8072.1,30,2,F,12345,16680,47.0065,43.7086,2,PARTNER_DIED
1078,1,11,3322.01,30,2,F,15215,7,45.6955,40.2309,3,PARTNER_DIED
1911,1,20,1535.82,30,2,F,17350,31270,56.692,59.8262,2,PARTNER_DIED
150,1,1,3381.35,30,2,F,21315,25384,49.9376,35.2172,10,PARTNER_DIED
1759,1,18,7620.33,30,2,F,24439,19331,74.5673,69.4546,5,PARTNER_DIED
2558,1,28,1369.18,30,2,F,31064,3603,55.3031,65.5218,2,PARTNER_DIED
774,1,7,10148.3,31,2,F,9725,3528,55.5089,55.554,7,PARTNER_DIED
226,1,2,4717.23,31,2,F,4267,7484,48.842,41.2112,6,PARTNER_DIED
2677,1,30,3801.6,31,2,F,9077,9394,64.4669,63.5787,1,PARTNER_DIED
1714,1,18,5401.91,31,2,F,9548,5077,60.6134,37.9366,7,PARTNER_DIED
1808,1,19,2775.34,31,2,F,18720,31454,35.4269,37.5844,6,PARTNER_DIED
2396,1,26,11954.2,31,2,F,20737,10953,73.4519,56.8294,2,PARTNER_DIED
1738,1,18,14500.7,31,2,F,23285,9552,46.7146,36.1134,4,PARTNER_DIED
17,1,0,16589.6,32,2,F,5767,3607,44.484,34.8458,11,PARTNER_DIED
1413,1,14,6178.08,32,2,F,14886,23643,56.9935,53.2147,10,PARTNER_DIED
2671,1,30,8014.15,32,2,F,6517,26061,43.8102,35.1545,4,PARTNER_DIED
787,1,7,4487.67,32,2,F,28099,8919,57.2159,24.2935,10,PARTNER_DIED
2243,1,24,5741.83,32,2,F,32683,30472,70.6688,60.1537,6,PARTNER_DIED
2931,1,33,10082.3,33,2,F,447,12354,61.8638,61.8443,1,PARTNER_DIED
2128,1,23,9404.24,33,2,F,1964,25803,46.4565,33.3591,6,PARTNER_DIED
2224,1,24,4219.63,33,2,F,3756,16051,47.9134,42.5927,2,PARTNER_DIED
1089,1,11,11306.5,33,2,F,22153,5853,30.7745,25.7395,9,PARTNER_DIED
1680,1,17,3197.38,33,2,F,9302,34490,86.3479,44.9937,8,PARTNER_DIED
2771,1,31,16602,33,2,F,10914,12382,59.7299,58.2538,1,PARTNER_DIED
2877,1,32,11839.4,33,2,F,14419,19353,53.5693,48.9032,1,PARTNER_DIED
1957,1,21,11663.8,33,2,F,30266,16486,54.3477,60.1843,5,PARTNER_DIED
1284,1,13,1471.65,34,2,F,14710,4161,49.2618,43.3951,7,PARTNER_DIED
2518,1,28,1838.03,34,2,F,18363,5600,41.6867,43.0115,2,PARTNER_DIED
1155,1,12,3580.61,34,1,F,6031,298,60.7811,57.2273,8,PARTNER_DIED
2468,1,27,7800,34,2,F,6031,13340,60.7811,58.7881,2,PARTNER_DIED
