Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,26,0,913,0,0,913,882,0,0,65400,32700,0,0,0,0,0,0,87,0,0,55028.4,2985,6114.27,1,1,1,0,0,0
0,25,1,89,0,0,89,88,0,0,6600,3300,29,0,1,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,24,10,88,0,0,88,90,0,0,5800,2900,24,0,5,0,0,0,12,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,23,15,173,0,0,173,177,0,0,12400,6200,52,0,7,0,0,0,27,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,22,0,357,0,0,357,358,0,0,23800,11900,0,0,0,0,0,0,43,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,21,0,364,0,0,364,347,0,0,24400,12200,0,0,0,0,0,0,36,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,20,10,85,0,0,85,90,0,0,5800,2900,22,0,6,0,0,0,15,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,19,10,90,0,0,90,85,0,0,6200,3100,26,0,5,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,18,10,95,0,0,95,87,0,0,5800,2900,24,0,4,0,0,0,5,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,17,5,181,0,0,181,178,0,0,10800,5400,44,0,9,0,0,0,19,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,16,0,359,0,0,359,367,0,0,23600,11800,0,0,0,0,0,0,41,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,15,5,85,0,0,85,90,0,0,6400,3200,30,0,2,0,0,0,15,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,14,0,92,0,0,92,91,0,0,5600,2800,0,0,0,0,0,0,8,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,13,10,89,0,0,89,91,0,0,6800,3400,27,0,6,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,12,15,86,0,0,86,88,0,0,6800,3400,30,0,3,0,0,0,14,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,11,10,170,0,0,170,170,0,0,12400,6200,51,0,7,0,0,0,30,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,10,10,45,0,0,45,48,0,0,2800,1400,14,0,0,0,0,0,5,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,9,10,90,0,0,90,88,0,0,4600,2300,20,0,3,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,8,10,88,0,0,88,93,0,0,6000,3000,24,0,5,0,0,0,12,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,7,0,86,0,0,86,92,0,0,6400,3200,0,0,0,0,0,0,14,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,6,10,93,0,0,93,90,0,0,6800,3400,27,0,6,0,0,0,7,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,5,15,46,0,0,46,44,0,0,3000,1500,13,0,1,0,0,0,4,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,4,5,48,0,0,48,45,0,0,3200,1600,12,0,4,0,0,0,2,0,0,1375.71,74.625,152.857,1,1,1,0,0,0
0,3,1,91,0,0,91,91,0,0,6200,3100,25,0,4,0,0,0,9,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,2,10,94,0,0,94,86,0,0,7600,3800,31,0,7,0,0,0,6,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,1,5,91,0,0,91,94,0,0,5000,2500,20,0,3,0,0,0,9,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
1,26,0,816,0,0,816,794,0,30783,51800,25900,0,0,0,0,0,0,97,0,0,59163.2,1469.15,2776.69,1,0.160484,0.24263,0,0,0
1,25,1,74,0,0,74,76,0,2246,4600,2300,20,0,3,0,0,0,15,0,0,2238.16,92.7575,132.685,1,0.074625,0.109183,0,0,0
1,24,9,80,0,0,80,82,0,2655,5600,2800,22,0,5,0,0,0,8,0,0,1838.16,73.7575,142.685,1,0.106607,0.138961,0,0,0
1,23,15,159,0,0,159,157,0,5246,9800,4900,38,0,7,0,0,0,14,0,0,17190.8,346.787,764.423,1,0.287019,0.224789,0,0,0
1,22,0,314,0,0,314,319,0,10992,23000,11500,0,0,0,0,0,0,43,0,0,33981.6,655.575,1466.85,1,0.201689,0.305713,0,0,0
1,21,0,304,0,0,304,310,0,12312,21800,10900,0,0,0,0,0,0,60,0,0,32581.6,751.575,1450.85,1,0.213214,0.318451,0,0,0
1,20,9,68,0,0,68,85,0,2245,5200,2600,25,0,0,0,0,0,17,0,0,2238.16,77.7575,148.685,1,0.0829167,0.138961,0,0,0
1,19,10,81,0,0,81,71,0,2438,5200,2600,21,0,3,0,0,0,9,0,0,2038.16,72.7575,160.685,1,0.0678409,0.152857,0,0,0
1,18,10,85,0,0,85,75,0,3047,5200,2600,24,0,2,0,0,0,10,0,0,1438.16,88.7575,135.685,1,0.14925,0.138961,0,0,0
1,17,6,166,0,0,166,164,0,5499,11800,5900,46,0,6,0,0,0,15,0,0,16990.8,377.787,680.423,1,0.24875,0.332297,0,0,0
1,16,0,308,0,0,308,328,0,11762,21200,10600,0,0,0,0,0,0,51,0,0,33181.6,720.575,1431.85,1,0.233203,0.305713,0,0,0
1,15,4,72,0,0,72,80,0,2468,4000,2000,16,0,4,0,0,0,13,0,0,2038.16,73.7575,129.685,1,0.0621875,0.152857,0,0,0
1,14,0,85,0,0,85,76,0,2068,6400,3200,0,0,0,0,0,0,7,0,0,2438.16,47.7575,155.685,1,0.074625,0.152857,0,0,0
1,13,11,82,0,0,82,87,0,2661,4800,2400,18,0,3,0,0,0,7,0,0,1838.16,74.7575,135.685,1,0.0932812,0.101904,0,0,0
1,12,16,78,0,0,78,80,0,1866,4800,2400,20,0,3,0,0,0,8,0,0,2638.16,70.7575,134.685,1,0.0533036,0.117582,0,0,0
1,11,11,146,0,0,146,141,0,6042,9600,4800,35,0,8,0,0,0,24,0,0,16390.8,368.787,746.423,1,0.233203,0.283068,0,0,0
1,10,9,36,0,0,36,41,0,840,2400,1200,12,0,0,0,0,0,9,0,0,1419.08,27.3788,68.3424,1,0.124375,0.0955354,0,0,0
1,9,11,83,0,0,83,76,0,1454,5800,2900,23,0,6,0,0,0,7,0,0,3038.16,66.7575,150.685,1,0.074625,0.191071,0,0,0
1,8,10,79,0,0,79,85,0,2464,4800,2400,21,0,2,0,0,0,9,0,0,2038.16,83.7575,123.685,1,0.0829167,0.138961,0,0,0
1,7,0,78,0,0,78,78,0,2265,5200,2600,0,0,0,0,0,0,8,0,0,2238.16,81.7575,124.685,1,0.0533036,0.169841,0,0,0
1,6,9,83,0,0,83,84,0,2475,6200,3100,25,0,4,0,0,0,10,0,0,2038.16,61.7575,134.685,1,0.074625,0.109183,0,0,0
1,5,15,39,0,0,39,41,0,1022,2600,1300,9,0,2,0,0,0,7,0,0,1219.08,37.3788,76.3424,1,0.0466406,0.254761,0,0,0
1,4,6,41,0,0,41,37,0,1589,2800,1400,12,0,1,0,0,0,7,0,0,651.081,51.3788,63.3424,0.98265,0.0932812,0.152857,0,0,0
1,3,1,82,0,0,82,82,0,2631,5200,2600,22,0,2,0,0,0,9,0,0,1838.16,75.7575,164.685,1,0.0829167,0.138961,0,0,0
1,2,11,86,0,0,86,77,0,3162,5600,2800,23,0,3,0,0,0,8,0,0,1301.16,87.7575,158.685,0.91714,0.0621875,0.138961,0,0,0
1,1,3,79,0,0,79,83,0,2096,5000,2500,19,0,3,0,0,0,12,0,0,2438.16,58.7575,116.685,1,0.124375,0.138961,0,0,0
2,26,0,735,0,0,735,720,0,47472,47600,23800,0,0,0,0,0,0,81,0,0,70379.3,1785.6,3362.92,1,0.0941763,0.133495,0,0,0
2,25,1,64,0,0,64,70,0,3236,4000,2000,17,0,2,0,0,0,10,0,0,2633.02,101.53,179.446,1,0.0772979,0.0552853,0,0,0
2,24,9,69,0,0,69,72,0,4032,3800,1900,12,0,5,0,0,0,11,0,0,1868.02,81.5299,168.446,1,0.0283683,0.089178,0,0,0
2,23,15,136,0,0,136,145,0,9191,8600,4300,34,0,6,0,0,0,23,0,0,20395.1,356.65,807.231,1,0.0963299,0.254808,0,0,0
2,22,0,279,0,0,279,285,0,18560,16000,8000,0,0,0,0,0,0,35,0,0,40337.2,881.299,1721.46,1,0.102434,0.146685,0,0,0
2,21,0,283,0,0,283,274,0,19331,16800,8400,0,0,0,0,0,0,21,0,0,39612.2,871.299,1685.46,1,0.0916555,0.190901,0,0,0
2,20,10,62,0,0,62,74,0,2883,4600,2300,15,0,5,0,0,0,6,0,0,3035.02,64.5299,167.446,1,0.0485984,0.0495616,0,0,0
2,19,10,73,0,0,73,58,0,4054,5800,2900,27,0,2,0,0,0,8,0,0,1841.02,85.5299,169.446,1,0.0519696,0.0730385,0,0,0
2,18,10,74,0,0,74,70,0,3595,5200,2600,20,0,5,0,0,0,11,0,0,2305.02,83.5299,166.446,1,0.0493097,0.0484588,0,0,0
2,17,6,152,0,0,152,147,0,9818,10600,5300,44,0,5,0,0,0,14,0,0,19638.1,419.65,874.231,1,0.118059,0.141755,0,0,0
2,16,0,271,0,0,271,287,0,18163,18000,9000,0,0,0,0,0,0,37,0,0,40775.2,929.299,1632.46,1,0.11259,0.152324,0,0,0
2,15,5,64,0,0,64,72,0,3621,4800,2400,17,0,5,0,0,0,8,0,0,2270.02,91.5299,167.446,1,0.0460984,0.108071,0,0,0
2,14,0,77,0,0,77,65,0,4052,5200,2600,0,0,0,0,0,0,8,0,0,1827.02,99.5299,171.446,1,0.0298484,0.0556017,0,0,0
