Time, Year, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
7,1960.52,10,25.0758,M,1,4,local,STIPreEmigrating,0,1,1,0,0,TRANSITORY,NORMAL,58,1,1
10,1960.53,21,26.4976,F,4,3,local,STIPreEmigrating,0,3,1,0,0,TRANSITORY,NORMAL,29,4,4
25,1960.57,56,39.3773,M,3,1,local,STIPreEmigrating,0,6,8,0,0,TRANSITORY,NORMAL,28,3,3
30,1960.58,36,43.0239,M,3,4,local,STIPreEmigrating,0,7,8,0,0,TRANSITORY,NORMAL,4,3,3
33,1960.59,53,23.0125,F,4,1,local,STIPreEmigrating,0,4,5,0,0,TRANSITORY,NORMAL,49,4,4
41,1960.61,16,22.6609,F,3,4,local,STIPreEmigrating,0,5,12,0,0,TRANSITORY,NORMAL,68,3,3
45,1960.62,21,26.5935,F,3,4,local,STIPreEmigrating,0,11,2,0,0,TRANSITORY,NORMAL,48,3,3
57,1960.66,50,28.4375,M,1,2,local,STIPreEmigrating,0,2,14,0,0,TRANSITORY,NORMAL,46,1,1
61,1960.67,30,30.4486,F,3,1,local,STIPreEmigrating,0,9,16,0,0,TRANSITORY,NORMAL,52,3,3
75,1960.71,53,23.1276,F,1,4,local,STIPreEmigrating,0,10,13,0,0,TRANSITORY,NORMAL,56,1,1
77,1960.71,27,29.3778,F,4,2,local,STIPreEmigrating,0,12,7,0,0,TRANSITORY,NORMAL,55,4,4
78,1960.71,16,22.7623,F,4,3,local,STIPreEmigrating,0,13,8,0,0,TRANSITORY,NORMAL,29,4,4
82,1960.72,46,21.5522,F,1,2,local,STIPreEmigrating,0,16,4,0,0,TRANSITORY,NORMAL,10,1,1
84,1960.73,53,23.1523,F,4,2,local,STIPreEmigrating,0,19,3,0,0,TRANSITORY,NORMAL,55,4,4
85,1960.73,21,26.7031,F,4,2,local,STIPreEmigrating,0,20,3,0,0,TRANSITORY,NORMAL,29,4,4
97,1960.77,48,36.3908,M,2,3,local,STIPreEmigrating,0,18,10,0,0,TRANSITORY,NORMAL,27,2,2
99,1960.77,16,22.8198,F,3,1,local,STIPreEmigrating,0,24,4,0,0,TRANSITORY,NORMAL,49,3,3
108,1960.8,49,29.6875,M,1,4,local,STIPreEmigrating,0,26,1,0,0,TRANSITORY,NORMAL,16,1,1
111,1960.8,46,21.6316,F,2,1,local,STIPreEmigrating,0,23,8,0,0,TRANSITORY,NORMAL,50,2,2
115,1960.82,46,21.6426,F,1,3,local,STIPreEmigrating,0,28,1,0,0,TRANSITORY,NORMAL,10,1,1
123,1960.84,20,17.0079,F,3,2,local,STIPreEmigrating,0,22,17,0,0,TRANSITORY,NORMAL,41,3,3
125,1960.84,4,37.3013,F,3,1,local,STIPreEmigrating,0,33,1,0,0,TRANSITORY,NORMAL,68,3,3
125,1960.84,15,83.5067,M,1,2,local,STIPreEmigrating,0,31,1,0,0,TRANSITORY,NORMAL,35,1,1
129,1960.85,23,24.7681,F,2,3,local,STIPreEmigrating,0,15,30,0,0,TRANSITORY,NORMAL,39,2,2
