Time, NodeID, NumIndividuals, NumInfected,AvgParasiteDensity,AvgGametocyteDensity,NumInfections,NoMarkers,gm1,gm2,gm3,gm4,gm1-gm2,gm1-gm3,gm1-gm4,gm2-gm3,gm2-gm4,gm3-gm4,gm1-gm2-gm3,gm1-gm2-gm4,gm1-gm3-gm4,gm2-gm3-gm4,gm1-gm2-gm3-gm4
0,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,340461476,1000,41,0,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
11,340461476,1000,41,0,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
12,340461476,1000,41,0,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
13,340461476,1000,41,0,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
14,340461476,1000,41,0,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
15,340461476,1000,41,0,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
16,340461476,1000,41,0.000529624,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
17,340461476,1000,41,0.000529421,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
18,340461476,1000,41,0.00840812,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
19,340461476,1000,41,0.0084049,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
20,340461476,1000,41,0.130812,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
21,340461476,1000,41,0.130762,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
22,340461476,1000,41,2.0351,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
23,340461476,1000,41,2.03432,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
24,340461476,1000,41,31.66,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
25,340461476,1000,41,30.9201,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
26,340461476,1000,41,449.932,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
27,340461476,1000,41,317.506,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
28,340461476,1000,41,2583.81,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
29,340461476,1000,41,1171.76,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
30,340461476,1000,41,7147.76,0,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
31,340461476,1000,41,2099.26,0.00265937,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
32,340461476,1000,41,8513.71,0.00201486,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
33,340461476,1000,41,1913.79,0.0429016,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
34,340461476,1000,41,6279.89,0.0325103,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
35,340461476,1000,41,1148.22,0.668308,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
36,340461476,1000,41,3116.84,0.506407,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
37,340461476,1000,41,497.088,9.53388,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
38,340461476,1000,41,1217.02,7.22467,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
39,340461476,1000,41,182.744,58.0529,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
40,340461476,1000,41,424.362,43.9943,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
41,340461476,1000,41,62.5373,178.852,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
42,340461476,1000,41,141.366,135.545,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
43,340461476,1000,41,20.516,276.092,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
44,340461476,1000,41,45.7489,209.244,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
45,340461476,1000,41,6.57453,286.483,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
46,340461476,1000,41,14.5603,217.122,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
47,340461476,1000,41,2.08202,228.042,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
48,340461476,1000,41,4.5951,172.832,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
49,340461476,1000,41,0.655384,155.78,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
50,340461476,1000,41,1.44418,118.065,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
51,340461476,1000,41,0.205701,98.1259,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
52,340461476,1000,41,0.452941,74.3696,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
53,340461476,1000,41,0.0644775,59.2445,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
54,340461476,1000,41,0.141972,44.9015,41,0,8,14,10,9,0,0,0,0,0,0,0,0,0,0,0
55,340461476,1000,43,0.0202012,34.9629,43,0,9,14,11,9,0,0,0,0,0,0,0,0,0,0,0
56,340461476,1000,45,0.0444474,26.4984,45,0,9,15,11,10,0,0,0,0,0,0,0,0,0,0,0
57,340461476,1000,46,0.00632464,20.3798,46,0,9,16,11,10,0,0,0,0,0,0,0,0,0,0,0
58,340461476,1000,48,0.0139289,15.4459,48,0,10,16,12,10,0,0,0,0,0,0,0,0,0,0,0
59,340461476,1000,52,0.00198105,11.8002,52,0,11,18,13,10,0,0,0,0,0,0,0,0,0,0,0
60,340461476,1000,57,0.00437076,8.94342,58,0,12,22,14,10,0,0,0,0,0,0,0,0,0,0,0
61,340461476,1000,60,0.000621558,6.80765,61,0,13,22,15,11,0,0,0,0,0,0,0,0,0,0,0
62,340461476,1000,64,0.0014037,5.15952,66,0,13,23,18,12,0,0,0,0,0,0,0,0,0,0,0
63,340461476,1000,69,0.000251416,3.91967,72,0,14,25,20,13,0,0,0,0,0,0,0,0,0,0,0
64,340461476,1000,72,0.00104461,2.97073,75,0,14,26,22,13,0,0,0,0,0,0,0,0,0,0,0
65,340461476,1000,78,0.00101639,2.25443,81,0,14,29,24,14,0,0,0,0,0,0,0,0,0,0,0
66,340461476,1000,87,0.00990415,1.70864,90,0,16,31,27,16,0,0,0,0,0,0,0,0,0,0,0
67,340461476,1000,90,0.0151229,1.29589,94,0,16,34,28,16,0,0,0,0,0,0,0,0,0,0,0
68,340461476,1000,99,0.152264,0.982149,103,0,19,37,29,18,0,0,0,0,0,0,0,0,0,0,0
69,340461476,1000,108,0.235187,0.744659,113,0,21,38,31,23,0,0,0,0,0,0,0,0,0,0,0
70,340461476,1000,119,2.36932,0.564377,126,0,21,46,34,25,0,0,0,0,0,0,0,0,0,0,0
71,340461476,1000,125,3.58168,0.427835,132,0,22,46,39,25,0,0,0,0,0,0,0,0,0,0,0
72,340461476,1000,128,32.7876,0.324261,137,0,23,46,42,26,0,0,0,0,0,0,0,0,0,0,0
73,340461476,1000,131,41.3085,0.245786,140,0,24,46,43,27,0,0,0,0,0,0,0,0,0,0,0
74,340461476,1000,136,181.997,0.186282,147,0,25,46,46,30,0,0,0,0,0,0,0,0,0,0,0
75,340461476,1000,148,238.296,0.141191,159,0,29,48,50,32,0,0,0,0,0,0,0,0,0,0,0
76,340461476,1000,153,590.988,0.107012,164,0,29,50,51,34,0,0,0,0,0,0,0,0,0,0,0
77,340461476,1000,161,775.24,0.0812955,173,0,32,54,51,36,0,0,0,0,0,0,0,0,0,0,0
78,340461476,1000,172,1175.3,0.0606227,185,0,36,57,53,39,0,0,0,0,0,0,0,0,0,0,0
79,340461476,1000,189,1560.98,0.0489004,204,0,38,61,58,47,0,0,0,0,0,0,0,0,0,0,0
80,340461476,1000,188,1927.83,0.0353282,203,0,39,63,56,45,0,0,0,0,0,0,0,0,0,0,0
81,340461476,1000,196,2505.35,0.072681,214,0,40,64,60,50,0,0,0,0,0,0,0,0,0,0,0
82,340461476,1000,193,2717.66,0.0762714,205,0,37,62,58,48,0,0,0,0,0,0,0,0,0,0,0
83,340461476,1000,194,3263.13,0.695027,207,0,37,64,58,48,0,0,0,0,0,0,0,0,0,0,0
84,340461476,1000,185,3682.94,0.95941,199,0,34,62,57,46,0,0,0,0,0,0,0,0,0,0,0
85,340461476,1000,198,3917.5,4.07661,218,0,39,69,61,49,0,0,0,0,0,0,0,0,0,0,0
86,340461476,1000,200,4457.75,6.33829,221,0,39,70,63,49,0,0,0,0,0,0,0,0,0,0,0
87,340461476,1000,201,5029.73,15.1802,223,0,39,71,64,49,0,0,0,0,0,0,0,0,0,0,0
88,340461476,1000,210,5260.75,23.6771,235,0,41,76,65,53,0,0,0,0,0,0,0,0,0,0,0
89,340461476,1000,214,6358.73,37.3049,239,0,43,78,65,53,0,0,0,0,0,0,0,0,0,0,0
90,340461476,1000,217,5953.09,53.8165,243,0,45,78,65,55,0,0,0,0,0,0,0,0,0,0,0
91,340461476,1000,218,7137.71,71.6405,244,0,45,78,66,55,0,0,0,0,0,0,0,0,0,0,0
92,340461476,1000,219,5996.9,96.2524,245,0,46,78,66,55,0,0,0,0,0,0,0,0,0,0,0
93,340461476,1000,220,6868.46,116.36,247,0,46,78,66,57,0,0,0,0,0,0,0,0,0,0,0
94,340461476,1000,221,5673.22,141.656,248,0,46,78,67,57,0,0,0,0,0,0,0,0,0,0,0
