Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
23,1,X-a1:X-a0,0,0,0,0,0,0,0
23,1,X-a1:X-a1,0,0,0,0,0,0,0
24,1,X-a0:X-a0,36502,0,0,36502,59445,184879,2100
24,1,X-a0:X-a1,0,0,0,0,0,0,0
24,1,X-a1:X-a0,0,0,0,0,0,0,0
24,1,X-a1:X-a1,0,0,0,0,0,0,0
25,1,X-a0:X-a0,43410,0,0,43410,59682,151958,2000
25,1,X-a0:X-a1,0,0,0,0,0,0,0
25,1,X-a1:X-a0,0,0,0,0,0,0,0
25,1,X-a1:X-a1,0,0,0,0,0,0,0
26,1,X-a0:X-a0,47786,0,0,47786,60166,121816,1347500
26,1,X-a0:X-a1,0,0,0,0,0,0,0
26,1,X-a1:X-a0,0,0,0,0,0,0,0
26,1,X-a1:X-a1,0,0,0,0,0,0,0
27,1,X-a0:X-a0,52724,0,556,52168,54419,1029558,586100
27,1,X-a0:X-a1,0,0,0,0,0,0,0
27,1,X-a1:X-a0,0,0,0,0,0,0,0
27,1,X-a1:X-a1,0,0,0,0,0,0,0
28,1,X-a0:X-a0,57008,0,1095,55913,48857,950560,663300
28,1,X-a0:X-a1,0,0,0,0,0,0,0
28,1,X-a1:X-a0,0,0,0,0,0,0,0
28,1,X-a1:X-a1,0,0,0,0,0,0,0
29,1,X-a0:X-a0,60268,0,1837,58431,43771,964840,1524300
29,1,X-a0:X-a1,0,0,0,0,0,0,0
29,1,X-a1:X-a0,0,0,0,0,0,0,0
29,1,X-a1:X-a1,0,0,0,0,0,0,0
30,1,X-a0:X-a0,63614,0,2280,61334,34039,974933,1033360
30,1,X-a0:X-a1,0,0,0,0,0,0,0
30,1,X-a1:X-a0,0,0,0,0,0,0,0
30,1,X-a1:X-a1,0,0,0,0,0,0,0
31,1,X-a0:X-a0,62297,0,2638,59659,29852,978494,1081460
31,1,X-a0:X-a1,0,0,0,0,0,0,0
31,1,X-a1:X-a0,0,0,0,0,0,0,0
31,1,X-a1:X-a1,0,0,0,0,0,0,0
32,1,X-a0:X-a0,60894,0,3053,57841,25876,984088,1618360
32,1,X-a0:X-a1,0,0,0,0,0,0,0
32,1,X-a1:X-a0,0,0,0,0,0,0,0
32,1,X-a1:X-a1,0,0,0,0,0,0,0
33,1,X-a0:X-a0,59884,0,3248,56636,19043,992121,1327780
33,1,X-a0:X-a1,0,0,0,0,0,0,0
33,1,X-a1:X-a0,0,0,0,0,0,0,0
33,1,X-a1:X-a1,0,0,0,0,0,0,0
34,1,X-a0:X-a0,55312,0,3379,51933,16279,995648,1350220
34,1,X-a0:X-a1,0,0,0,0,0,0,0
34,1,X-a1:X-a0,0,0,0,0,0,0,0
34,1,X-a1:X-a1,0,0,0,0,0,0,0
35,1,X-a0:X-a0,51723,0,3421,48302,13305,1000274,1427000
35,1,X-a0:X-a1,0,0,0,0,0,0,0
35,1,X-a1:X-a0,0,0,0,0,0,0,0
35,1,X-a1:X-a1,0,0,0,0,0,0,0
36,1,X-a0:X-a0,48445,0,3488,44957,9550,1005013,1261080
36,1,X-a0:X-a1,0,0,0,0,0,0,0
36,1,X-a1:X-a0,0,0,0,0,0,0,0
36,1,X-a1:X-a1,0,0,0,0,0,0,0
37,1,X-a0:X-a0,43311,0,3558,39753,8096,1009012,1261600
37,1,X-a0:X-a1,0,0,0,0,0,0,0
37,1,X-a1:X-a0,0,0,0,0,0,0,0
37,1,X-a1:X-a1,0,0,0,0,0,0,0
38,1,X-a0:X-a0,38924,0,3423,35501,6599,1011961,1096200
38,1,X-a0:X-a1,0,0,0,0,0,0,0
38,1,X-a1:X-a0,0,0,0,0,0,0,0
38,1,X-a1:X-a1,0,0,0,0,0,0,0
39,1,X-a0:X-a0,35100,81,3179,31840,4762,1015810,1001640
39,1,X-a0:X-a1,0,0,0,0,0,0,0
39,1,X-a1:X-a0,0,0,0,0,0,0,0
39,1,X-a1:X-a1,0,0,0,0,0,0,0
40,1,X-a0:X-a0,30740,150,2911,27679,3802,1017747,1012300
40,1,X-a0:X-a1,0,0,0,0,0,0,0
40,1,X-a1:X-a0,0,0,0,0,0,0,0
40,1,X-a1:X-a1,0,0,0,0,0,0,0
41,1,X-a0:X-a0,27018,222,2597,24199,3141,1019244,761520
41,1,X-a0:X-a1,0,0,0,0,0,0,0
41,1,X-a1:X-a0,0,0,0,0,0,0,0
41,1,X-a1:X-a1,0,0,0,0,0,0,0
42,1,X-a0:X-a0,23718,245,2325,21148,2250,1021775,718680
42,1,X-a0:X-a1,0,0,0,0,0,0,0
42,1,X-a1:X-a0,0,0,0,0,0,0,0
42,1,X-a1:X-a1,0,0,0,0,0,0,0
43,1,X-a0:X-a0,20425,264,2099,18062,1823,1022969,717620
43,1,X-a0:X-a1,0,0,0,0,0,0,0
43,1,X-a1:X-a0,0,0,0,0,0,0,0
43,1,X-a1:X-a1,0,0,0,0,0,0,0
44,1,X-a0:X-a0,17581,296,1835,15450,170898,855385,501920
44,1,X-a0:X-a1,0,0,0,0,0,0,0
44,1,X-a1:X-a0,0,0,0,0,0,0,0
44,1,X-a1:X-a1,0,0,0,0,0,0,0
45,1,X-a0:X-a0,15256,331,1610,13315,159678,1037550,473980
45,1,X-a0:X-a1,0,0,0,0,0,0,0
45,1,X-a1:X-a0,0,0,0,0,0,0,0
45,1,X-a1:X-a1,0,0,0,0,0,0,0
46,1,X-a0:X-a0,12903,335,1432,11136,165620,1006972,478060
46,1,X-a0:X-a1,0,0,0,0,0,0,0
46,1,X-a1:X-a0,0,0,0,0,0,0,0
46,1,X-a1:X-a1,0,0,0,0,0,0,0
47,1,X-a0:X-a0,10981,339,1189,9453,169180,1011939,309320
47,1,X-a0:X-a1,0,0,0,0,0,0,0
47,1,X-a1:X-a0,0,0,0,0,0,0,0
47,1,X-a1:X-a1,0,0,0,0,0,0,0
48,1,X-a0:X-a0,123026,340,972,121714,58099,1013290,286980
48,1,X-a0:X-a1,0,0,0,0,0,0,0
48,1,X-a1:X-a0,0,0,0,0,0,0,0
48,1,X-a1:X-a1,0,0,0,0,0,0,0
49,1,X-a0:X-a0,103749,356,3848,99545,68068,1014450,299000
49,1,X-a0:X-a1,0,0,0,0,0,0,0
49,1,X-a1:X-a0,0,0,0,0,0,0,0
49,1,X-a1:X-a1,0,0,0,0,0,0,0
50,1,X-a0:X-a0,106524,313,3519,102692,66426,1015918,186600
50,1,X-a0:X-a1,0,0,0,0,0,0,0
50,1,X-a1:X-a0,0,0,0,0,0,0,0
50,1,X-a1:X-a1,0,0,0,0,0,0,0
51,1,X-a0:X-a0,106937,288,3470,103179,65541,1017568,175360
51,1,X-a0:X-a1,0,0,0,0,0,0,0
51,1,X-a1:X-a0,0,0,0,0,0,0,0
51,1,X-a1:X-a1,0,0,0,0,0,0,0
52,1,X-a0:X-a0,100270,252,5089,94929,65463,1017511,6769340
52,1,X-a0:X-a1,0,0,0,0,0,0,0
52,1,X-a1:X-a0,0,0,0,0,0,0,0
52,1,X-a1:X-a1,0,0,0,0,0,0,0
53,1,X-a0:X-a0,100864,231,4908,95725,65057,1018522,317480
53,1,X-a0:X-a1,0,0,0,0,0,0,0
53,1,X-a1:X-a0,0,0,0,0,0,0,0
53,1,X-a1:X-a1,0,0,0,0,0,0,0
54,1,X-a0:X-a0,100594,204,4898,95492,64682,1018754,912400
54,1,X-a0:X-a1,0,0,0,0,0,0,0
54,1,X-a1:X-a0,0,0,0,0,0,0,0
54,1,X-a1:X-a1,0,0,0,0,0,0,0
55,1,X-a0:X-a0,95944,178,5819,89947,64474,1019548,5011480
55,1,X-a0:X-a1,0,0,0,0,0,0,0
55,1,X-a1:X-a0,0,0,0,0,0,0,0
55,1,X-a1:X-a1,0,0,0,0,0,0,0
56,1,X-a0:X-a0,96052,160,5719,90173,63844,1020443,920240
56,1,X-a0:X-a1,0,0,0,0,0,0,0
56,1,X-a1:X-a0,0,0,0,0,0,0,0
56,1,X-a1:X-a1,0,0,0,0,0,0,0
57,1,X-a0:X-a0,95501,133,5654,89714,63516,1021274,1320500
57,1,X-a0:X-a1,0,0,0,0,0,0,0
57,1,X-a1:X-a0,0,0,0,0,0,0,0
57,1,X-a1:X-a1,0,0,0,0,0,0,0
58,1,X-a0:X-a0,92436,126,5962,86348,63131,1022020,3795780
58,1,X-a0:X-a1,0,0,0,0,0,0,0
58,1,X-a1:X-a0,0,0,0,0,0,0,0
58,1,X-a1:X-a1,0,0,0,0,0,0,0
59,1,X-a0:X-a0,91705,99,5853,85753,63084,1021335,1301100
59,1,X-a0:X-a1,0,0,0,0,0,0,0
59,1,X-a1:X-a0,0,0,0,0,0,0,0
59,1,X-a1:X-a1,0,0,0,0,0,0,0
60,1,X-a0:X-a0,90514,79,5758,84677,63051,1021710,1551460
60,1,X-a0:X-a1,0,0,0,0,0,0,0
60,1,X-a1:X-a0,0,0,0,0,0,0,0
60,1,X-a1:X-a1,0,0,0,0,0,0,0
61,1,X-a0:X-a0,88141,511,5452,82178,62898,1022275,2972840
61,1,X-a0:X-a1,0,0,0,0,0,0,0
61,1,X-a1:X-a0,0,0,0,0,0,0,0
61,1,X-a1:X-a1,0,0,0,0,0,0,0
62,1,X-a0:X-a0,87510,449,5422,81639,93696,991521,1518360
62,1,X-a0:X-a1,0,0,0,0,0,0,0
62,1,X-a1:X-a0,0,0,0,0,0,0,0
62,1,X-a1:X-a1,0,0,0,0,0,0,0
63,1,X-a0:X-a0,87039,436,5263,81340,88704,1027364,1650100
63,1,X-a0:X-a1,0,0,0,0,0,0,0
