Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,706.122,1,F,1,1,2699,0,0,35.3634,0,1,0,1,0,0,1,1,8,0,0,0,5809,0,1,25.4296,0,1,0,1,0,0,1,1,0,0,0,0
2,0,1551.1,1,F,1,1,5285,0,0,33.7526,0,1,0,1,0,0,1,1,0,0,0,0,17083,0,1,24.0154,0,1,0,1,0,0,1,1,0,0,0,0
3,0,605.146,1,F,1,1,6514,0,0,30.9588,0,1,0,1,0,0,1,1,0,0,0,0,3350,0,1,27.9037,0,1,0,1,0,0,1,1,8,0,0,0
4,0,964.097,1,F,1,1,7456,0,0,31.4016,0,1,0,1,0,0,1,1,0,0,0,0,6261,0,1,26.0291,0,1,0,1,0,0,1,1,0,0,0,0
5,0,1078.96,1,F,1,1,14612,0,0,17.0499,0,1,0,1,0,0,1,1,8,0,0,0,15737,0,1,18.9261,0,1,0,1,0,0,1,1,0,0,0,0
6,0,526.959,1,F,1,1,15120,0,0,18.2815,0,1,0,1,0,0,1,1,8,0,0,0,7997,0,1,16.8173,0,1,0,1,0,0,1,1,0,0,0,0
7,0,410.339,3,F,1,1,6469,0,0,43.7831,0,1,0,0,0,1,1,1,8,0,0,0,3844,0,1,18.7224,0,1,0,0,0,1,1,1,8,0,0,0
8,0,436.541,3,F,1,1,10492,0,0,53.123,0,1,0,0,0,1,1,1,8,0,0,0,15696,0,1,20.6808,0,1,0,0,0,1,1,1,8,0,0,0
9,0,528.985,3,F,1,1,12753,0,0,75.6003,0,1,0,0,0,1,1,1,0,0,0,0,7820,0,1,27.5089,0,1,0,0,0,1,1,1,8,0,0,0
10,0,240.005,3,F,1,1,15768,0,0,51.6952,0,1,0,0,0,1,1,1,8,0,0,0,541,0,1,43.4754,0,1,0,0,0,1,1,1,8,0,0,0
11,1,986.748,1,F,1,1,5764,0,0,44.9461,0,1,0,1,0,0,1,1,0,0,0,0,11791,0,1,31.7836,0,1,0,1,0,0,1,1,8,0,0,0
12,1,684.517,1,F,1,1,11821,0,0,39.6624,0,1,0,1,0,0,1,1,0,0,0,0,2263,0,1,28.7354,0,1,0,1,0,0,1,1,0,0,0,0
13,1,359.986,1,F,1,1,12190,0,0,32.4608,0,1,0,1,0,0,1,1,0,0,0,0,3843,1,1,24.1376,0,1,0,1,0,0,1,1,0,0,0,0
14,1,526.091,1,F,1,1,15958,1,0,16.3768,0,1,0,1,0,0,1,1,8,0,0,0,389,1,1,20.1268,0,1,0,1,0,0,1,1,8,0,0,0
15,1,619.346,1,F,1,1,16128,1,0,21.0751,0,1,0,1,0,0,1,1,0,0,0,0,5267,1,1,24.1271,0,1,0,1,0,0,1,1,8,0,0,0
16,1,1161.89,1,F,1,1,2269,0,0,33.2838,0,1,0,1,0,0,1,1,8,0,0,0,1115,1,1,16.5815,0,1,0,1,0,0,1,1,8,0,0,0
17,1,591.316,1,F,1,1,2906,0,0,28.8111,0,1,0,1,0,0,1,1,0,0,0,0,16971,1,1,15.87,0,1,0,1,0,0,1,1,8,0,0,0
18,1,388.823,1,F,1,1,3026,0,0,34.2384,0,1,0,1,0,0,1,1,0,0,0,0,3730,0,1,25.4359,0,1,0,1,0,0,1,1,8,0,0,0
19,1,951.452,1,F,1,1,8515,0,0,28.0577,0,1,0,1,0,0,1,1,0,0,0,0,11321,0,1,27.1586,0,1,0,1,0,0,1,1,8,0,0,0
20,1,818.936,1,F,1,1,10169,1,0,22.0596,0,1,0,1,0,0,1,1,0,0,0,0,8126,1,1,17.8337,0,1,0,1,0,0,1,1,8,0,0,0
21,1,1192.9,1,F,1,1,13643,1,0,22.9903,0,1,0,1,0,0,1,1,8,0,0,0,10184,1,1,19.9193,0,1,0,1,0,0,1,1,0,0,0,0
22,1,232.567,3,F,1,1,3502,0,0,52.4559,0,1,0,0,0,1,1,1,12,0,0,0,701,0,1,13.5145,0,1,0,0,0,1,1,1,0,0,0,0
23,1,87.8733,3,F,1,1,4446,0,0,44.0039,0,1,0,0,0,1,1,1,0,0,0,0,8531,1,1,16.9887,0,1,0,0,0,1,1,1,0,0,0,0
24,1,46.314,3,F,1,1,10000,0,0,62.9625,0,1,0,0,0,1,1,1,0,0,0,0,1085,0,1,38.2001,0,1,0,0,0,1,1,1,14,0,0,0
25,1,9.97555,3,F,1,1,10139,0,0,27.1093,0,1,0,0,0,1,1,1,0,0,0,0,6402,0,1,13.7154,0,1,0,0,0,1,1,1,12,0,0,0
26,1,139.687,3,F,1,1,10992,0,0,61.0441,0,1,0,0,0,1,1,1,8,0,0,0,5814,0,1,26.9984,0,1,0,0,0,1,1,1,0,0,0,0
27,1,798.14,3,F,1,1,12111,0,0,58.2266,0,1,0,0,0,1,1,1,0,0,0,0,16190,0,1,34.3235,0,1,0,0,0,1,1,1,0,0,0,0
28,1,243.231,3,F,1,1,13173,0,0,30.2289,0,1,0,0,0,1,1,1,8,0,0,0,6402,0,1,13.7154,0,2,0,0,0,2,2,2,12,0,0,0
29,1,54.6438,3,F,1,1,15498,0,0,34.3636,0,1,0,0,0,1,1,1,0,0,0,0,4026,0,1,47.6903,0,1,0,0,0,1,1,1,0,0,0,0
30,2,1070.99,1,F,1,1,16323,0,0,41.0558,0,1,0,1,0,0,1,1,12,0,0,0,242,0,1,28.7047,0,1,0,1,0,0,1,1,8,0,0,0
31,2,357.598,1,F,1,1,13649,0,0,34.1771,0,1,0,1,0,0,1,1,8,0,0,0,4983,1,1,24.0491,0,1,0,1,0,0,1,1,0,0,0,0
32,2,730.53,1,F,1,1,16572,0,0,27.5413,0,1,0,1,0,0,1,1,0,0,0,0,2633,1,1,19.5212,0,1,0,1,0,0,1,1,0,0,0,0
33,2,653.403,1,F,1,1,6091,1,0,22.538,0,1,0,1,0,0,1,1,8,0,0,0,12254,1,1,24.6089,0,1,0,1,0,0,1,1,12,0,0,0
34,2,370.909,1,F,1,1,6341,0,0,28.7868,0,1,0,1,0,0,1,1,12,0,0,0,7659,0,1,27.0636,0,1,0,1,0,0,1,1,8,0,0,0
35,2,917.234,1,F,1,1,12498,0,0,28.7364,0,1,0,1,0,0,1,1,12,0,0,0,8348,0,1,20.3343,0,1,0,1,0,0,1,1,8,0,0,0
36,2,702.452,1,F,1,1,13771,0,0,26.1977,0,1,0,1,0,0,1,1,0,0,0,0,11298,1,1,20.9121,0,1,0,1,0,0,1,1,0,0,0,0
37,2,173.731,3,F,1,1,846,0,0,39.1364,0,1,0,0,0,1,1,1,0,0,0,0,8619,0,1,14.8778,0,1,0,0,0,1,1,1,12,0,0,0
38,2,118.795,3,F,1,1,9198,0,0,55.2393,0,1,0,0,0,1,1,1,0,0,0,0,11720,0,1,52.9593,0,1,0,0,0,1,1,1,8,0,0,0
39,2,365.097,3,F,1,1,11749,1,0,24.0608,0,1,0,0,0,1,1,1,0,0,0,0,9762,1,1,18.7438,0,1,0,0,0,1,1,1,8,0,0,0
40,2,91.5278,3,F,1,1,14026,0,0,53.7524,0,1,0,0,0,1,1,1,0,0,0,0,12802,1,1,24.889,0,1,0,0,0,1,1,1,8,0,0,0
