Year,Node_ID,Event_Name,Individual_ID,Age,Gender,Infectiousness
0.0273973,1,Vaccinated,784,6677.33,M,0
0.0273973,1,Vaccinated,937,4756.82,M,0
0.0273973,1,Vaccinated,1897,4407.1,F,0
0.0273973,1,Vaccinated,2636,6362.77,M,0
0.0273973,1,Vaccinated,2801,6030.1,M,0
0.0273973,1,Vaccinated,2878,6226.08,F,0
0.0273973,1,Vaccinated,4752,5677.46,F,0
0.0273973,1,Vaccinated,8279,5036.14,M,0
0.0273973,1,Vaccinated,8990,6115.78,M,0
0.0273973,1,Vaccinated,9376,4763.71,M,0
0.0273973,1,Vaccinated,121,15076.1,M,0
0.0273973,1,Vaccinated,376,16003.7,F,0
0.0273973,1,Vaccinated,1366,17702.6,M,0
0.0273973,1,Vaccinated,1490,14908,M,0
0.0273973,1,Vaccinated,2087,16995,M,0
0.0273973,1,Vaccinated,2203,15410.5,M,0
0.0273973,1,Vaccinated,2643,14992.2,F,0
0.0273973,1,Vaccinated,2713,17614.8,F,0
0.0273973,1,Vaccinated,3133,14792.5,F,0
0.0273973,1,Vaccinated,3206,16878.8,M,0
0.0273973,1,Vaccinated,3241,16899.7,F,0
0.0273973,1,Vaccinated,4026,14728.9,F,0
0.0273973,1,Vaccinated,4471,17740.4,M,0
0.0273973,1,Vaccinated,4474,17839.9,M,0
0.0273973,1,Vaccinated,4491,17642.8,M,0
0.0273973,1,Vaccinated,4574,15763.7,F,0
0.0273973,1,Vaccinated,4933,17874.7,M,0
0.0273973,1,Vaccinated,5203,15889.8,F,0
0.0273973,1,Vaccinated,5452,16763,M,0
0.0273973,1,Vaccinated,5616,15795.8,F,0
0.0273973,1,Vaccinated,5640,16351.3,M,0
0.0273973,1,Vaccinated,5900,17700.2,M,0
0.0273973,1,Vaccinated,5990,17547.9,M,0
0.0273973,1,Vaccinated,7627,16554.7,F,0
0.0273973,1,Vaccinated,8006,15461.7,F,0
0.0273973,1,Vaccinated,8023,14819.9,M,0
0.0273973,1,Vaccinated,8447,14984.2,F,0
0.0273973,1,Vaccinated,8550,16746.4,M,0
0.0273973,1,Vaccinated,8854,14609.7,F,0
0.0273973,1,Vaccinated,9065,15181.3,M,0
0.030137,1,Vaccinated,53,4270.37,M,0
0.030137,1,Vaccinated,144,4021.91,F,0
0.030137,1,Vaccinated,703,6429.14,F,0
0.030137,1,Vaccinated,3730,4487.1,F,0
0.030137,1,Vaccinated,3834,5497.85,M,0
0.030137,1,Vaccinated,4605,6883.28,F,0
0.030137,1,Vaccinated,6655,5110.53,M,0
0.030137,1,Vaccinated,7063,4586.68,M,0
0.030137,1,Vaccinated,7534,6865.41,M,0
0.030137,1,Vaccinated,8860,3819.61,M,0
0.030137,1,Vaccinated,6,17311.3,M,0
0.030137,1,Vaccinated,29,17218.7,M,0
0.030137,1,Vaccinated,140,17359.6,F,0
0.030137,1,Vaccinated,171,16147.5,F,0
0.030137,1,Vaccinated,268,16151.2,M,0
0.030137,1,Vaccinated,348,14744.8,M,0
0.030137,1,Vaccinated,396,15093.6,M,0
0.030137,1,Vaccinated,1676,14685.1,F,0
0.030137,1,Vaccinated,2081,16755.9,F,0
0.030137,1,Vaccinated,2315,15762.1,M,0
0.030137,1,Vaccinated,3028,16631,F,0
0.030137,1,Vaccinated,3545,14996.5,F,0
0.030137,1,Vaccinated,3719,15800,M,0
0.030137,1,Vaccinated,4149,17879,M,0
0.030137,1,Vaccinated,4421,17434.7,F,0
0.030137,1,Vaccinated,4507,15156.6,F,0
0.030137,1,Vaccinated,4648,14876.7,M,0
0.030137,1,Vaccinated,4742,16693.2,M,0
0.030137,1,Vaccinated,4753,16792.1,F,0
0.030137,1,Vaccinated,4895,15554.2,F,0
0.030137,1,Vaccinated,5652,15033,F,0
0.030137,1,Vaccinated,5936,15301.6,F,0
0.030137,1,Vaccinated,6040,17554.8,F,0
0.030137,1,Vaccinated,6167,14852.6,F,0
0.030137,1,Vaccinated,7528,16763.7,M,0
0.030137,1,Vaccinated,8177,15952.9,M,0
0.030137,1,Vaccinated,8595,17068.9,F,0
0.030137,1,Vaccinated,9489,15922.1,F,0
0.030137,1,Vaccinated,9578,15193.3,M,0
0.030137,1,Vaccinated,9975,14832.4,F,0
0.0328767,1,Vaccinated,163,3978.3,F,0
0.0328767,1,Vaccinated,861,4057.65,M,0
0.0328767,1,Vaccinated,1562,6412.23,F,0
0.0328767,1,Vaccinated,1774,4622.03,F,0
0.0328767,1,Vaccinated,1777,4919.76,M,0
0.0328767,1,Vaccinated,2857,5325.78,M,0
0.0328767,1,Vaccinated,4095,4818.11,M,0
0.0328767,1,Vaccinated,4378,6048.61,M,0
0.0328767,1,Vaccinated,7131,3671.86,F,0
0.0328767,1,Vaccinated,8162,5132.94,M,0
0.0328767,1,Vaccinated,248,15872.5,M,0
0.0328767,1,Vaccinated,823,16654.4,F,0
0.0328767,1,Vaccinated,1050,17782,F,0
0.0328767,1,Vaccinated,1165,15325.6,F,0
0.0328767,1,Vaccinated,1518,17171.7,M,0
0.0328767,1,Vaccinated,1530,16558.4,M,0
0.0328767,1,Vaccinated,2079,16092.8,M,0
0.0328767,1,Vaccinated,2098,17355.1,F,0
0.0328767,1,Vaccinated,2813,17134.6,M,0
0.0328767,1,Vaccinated,3005,15495.6,M,0
0.0328767,1,Vaccinated,3206,16880.8,M,0
0.0328767,1,Vaccinated,3236,15185.5,M,0
0.0328767,1,Vaccinated,4524,17827.1,F,0
0.0328767,1,Vaccinated,4639,17182.5,M,0
0.0328767,1,Vaccinated,5449,16439.6,F,0
0.0328767,1,Vaccinated,5800,16010.1,M,0
0.0328767,1,Vaccinated,5828,16253.8,M,0
0.0328767,1,Vaccinated,6061,15113.3,M,0
0.0328767,1,Vaccinated,6251,16075.7,F,0
0.0328767,1,Vaccinated,6262,17002.8,F,0
0.0328767,1,Vaccinated,6835,17135.2,M,0
0.0328767,1,Vaccinated,6921,15474,F,0
0.0328767,1,Vaccinated,7130,17850.9,M,0
0.0328767,1,Vaccinated,7234,16473.5,F,0
0.0328767,1,Vaccinated,7341,16200.3,F,0
0.0328767,1,Vaccinated,8265,15140.9,M,0
0.0328767,1,Vaccinated,8741,16707.6,M,0
0.0328767,1,Vaccinated,8869,15191.7,M,0
0.0328767,1,Vaccinated,9127,15903.6,M,0
0.0328767,1,Vaccinated,9428,15856.6,M,0
0.0356164,1,Vaccinated,370,6785.9,F,0
0.0356164,1,Vaccinated,1534,5964.76,M,0
0.0356164,1,Vaccinated,2245,6896.41,F,0
0.0356164,1,Vaccinated,2772,4032.32,M,0
0.0356164,1,Vaccinated,3185,5992.49,M,0
0.0356164,1,Vaccinated,4228,4379.63,M,0
0.0356164,1,Vaccinated,6246,4849.08,M,0
0.0356164,1,Vaccinated,7241,3799.54,M,0
0.0356164,1,Vaccinated,7252,5746.1,F,0
0.0356164,1,Vaccinated,8027,4115.77,F,0
0.0356164,1,Vaccinated,434,17067,M,0
0.0356164,1,Vaccinated,469,15094,M,0
0.0356164,1,Vaccinated,591,14896.2,M,0
0.0356164,1,Vaccinated,774,17043,M,0
0.0356164,1,Vaccinated,851,14866.7,F,0
0.0356164,1,Vaccinated,862,15282.2,F,0
0.0356164,1,Vaccinated,988,14767.1,F,0
0.0356164,1,Vaccinated,2053,15524.7,F,0
0.0356164,1,Vaccinated,2382,16900.6,M,0
0.0356164,1,Vaccinated,2802,14697.9,M,0
0.0356164,1,Vaccinated,2979,17443.4,F,0
0.0356164,1,Vaccinated,3175,17156.1,M,0
0.0356164,1,Vaccinated,4286,16004.9,F,0
0.0356164,1,Vaccinated,4405,16302.2,M,0
0.0356164,1,Vaccinated,4603,16847.2,F,0
0.0356164,1,Vaccinated,4893,14713.3,F,0
0.0356164,1,Vaccinated,5151,17315.9,F,0
0.0356164,1,Vaccinated,5304,16405.5,F,0
0.0356164,1,Vaccinated,6035,15348.4,F,0
0.0356164,1,Vaccinated,6055,15094.4,M,0
0.0356164,1,Vaccinated,6872,15643.4,M,0
0.0356164,1,Vaccinated,7279,16634.8,F,0
0.0356164,1,Vaccinated,7528,16765.7,M,0
0.0356164,1,Vaccinated,7606,16635.3,M,0
0.0356164,1,Vaccinated,7624,15327.3,F,0
0.0356164,1,Vaccinated,7807,14934.5,F,0
0.0356164,1,Vaccinated,8248,16392.2,M,0
0.0356164,1,Vaccinated,8893,16332.7,F,0
0.0356164,1,Vaccinated,8976,16508.5,F,0
0.0356164,1,Vaccinated,9747,15566.2,F,0
0.0383562,1,Vaccinated,1556,6228.94,F,0
0.0383562,1,Vaccinated,2024,5803.97,M,0
0.0383562,1,Vaccinated,2317,5019.56,F,0
0.0383562,1,Vaccinated,4404,5895.08,M,0
0.0383562,1,Vaccinated,4640,6495.04,M,0
0.0383562,1,Vaccinated,6004,6704.43,F,0
0.0383562,1,Vaccinated,6938,4776.26,M,0
0.0383562,1,Vaccinated,7607,5579.08,F,0
0.0383562,1,Vaccinated,9343,4495.59,M,0
0.0383562,1,Vaccinated,9649,6484.17,M,0
0.0383562,1,Vaccinated,85,17491.1,F,0
0.0383562,1,Vaccinated,404,16582.9,F,0
0.0383562,1,Vaccinated,833,14655.4,M,0
0.0383562,1,Vaccinated,1424,16685.2,M,0
0.0383562,1,Vaccinated,1621,17583.5,M,0
0.0383562,1,Vaccinated,2082,17753.6,M,0
0.0383562,1,Vaccinated,2295,16846,M,0
0.0383562,1,Vaccinated,2303,17857.5,F,0
0.0383562,1,Vaccinated,2641,15988.2,M,0
0.0383562,1,Vaccinated,3060,17881.9,F,0
0.0383562,1,Vaccinated,3063,16784.1,F,0
0.0383562,1,Vaccinated,3070,14990.1,M,0
0.0383562,1,Vaccinated,3972,17591.8,F,0
0.0383562,1,Vaccinated,4026,14732.9,F,0
0.0383562,1,Vaccinated,4288,16494.9,F,0
0.0383562,1,Vaccinated,4787,17081.7,M,0
0.0383562,1,Vaccinated,4796,15006.3,F,0
0.0383562,1,Vaccinated,5081,17647.8,M,0
0.0383562,1,Vaccinated,5181,15806.3,M,0
0.0383562,1,Vaccinated,5701,15625.3,F,0
0.0383562,1,Vaccinated,5791,16123.2,F,0
0.0383562,1,Vaccinated,5975,16486.1,M,0
0.0383562,1,Vaccinated,6630,15066.3,F,0
0.0383562,1,Vaccinated,7331,15382.8,M,0
0.0383562,1,Vaccinated,8500,17204.3,M,0
0.0383562,1,Vaccinated,8601,15802.8,M,0
0.0383562,1,Vaccinated,8616,16578.2,F,0
0.0383562,1,Vaccinated,9363,14772,M,0
0.0383562,1,Vaccinated,9500,16351.7,M,0
0.0383562,1,Vaccinated,9920,17253.3,M,0
0.0410959,1,Vaccinated,76,3899.25,F,0
0.0410959,1,Vaccinated,805,4677.52,F,0
0.0410959,1,Vaccinated,1402,5018.95,F,0
0.0410959,1,Vaccinated,2184,5624.87,M,0
0.0410959,1,Vaccinated,4848,4054.75,F,0
0.0410959,1,Vaccinated,7159,5674.21,M,0
0.0410959,1,Vaccinated,7530,5534.96,F,0
0.0410959,1,Vaccinated,7676,4268.48,F,0
0.0410959,1,Vaccinated,8944,6027.85,M,0
0.0410959,1,Vaccinated,9910,5956.86,M,0
0.0410959,1,Vaccinated,3,16479.2,M,0
0.0410959,1,Vaccinated,260,17336.9,M,0
0.0410959,1,Vaccinated,297,15168.6,M,0
0.0410959,1,Vaccinated,382,14879.7,F,0
0.0410959,1,Vaccinated,1299,14962,F,0
0.0410959,1,Vaccinated,1637,16502.9,F,0
0.0410959,1,Vaccinated,1724,14611.3,M,0
0.0410959,1,Vaccinated,2236,15307.3,M,0
0.0410959,1,Vaccinated,2256,17626.2,M,0
0.0410959,1,Vaccinated,3033,15764.6,F,0
0.0410959,1,Vaccinated,3494,15057.1,F,0
0.0410959,1,Vaccinated,3545,15000.5,F,0
0.0410959,1,Vaccinated,4586,17565.2,F,0
0.0410959,1,Vaccinated,5037,17730.9,F,0
0.0410959,1,Vaccinated,5290,15873.6,M,0
0.0410959,1,Vaccinated,5389,14734.1,M,0
0.0410959,1,Vaccinated,6210,16179.8,M,0
0.0410959,1,Vaccinated,6309,16680.9,M,0
0.0410959,1,Vaccinated,6455,17470.8,F,0
0.0410959,1,Vaccinated,6530,15337.1,F,0
0.0410959,1,Vaccinated,6592,17592.4,F,0
0.0410959,1,Vaccinated,6863,17020.7,F,0
0.0410959,1,Vaccinated,7528,16767.7,M,0
0.0410959,1,Vaccinated,7551,17582.8,F,0
0.0410959,1,Vaccinated,7825,17830.9,F,0
0.0410959,1,Vaccinated,8195,15130.5,F,0
0.0410959,1,Vaccinated,8617,15040.4,F,0
0.0410959,1,Vaccinated,9345,17884.6,F,0
0.0410959,1,Vaccinated,9694,14786.6,M,0
0.0410959,1,Vaccinated,9708,17667.4,M,0
0.0438356,1,Vaccinated,141,5941.44,F,0
0.0438356,1,Vaccinated,2060,6078.62,F,0
0.0438356,1,Vaccinated,3688,6844.09,M,0
0.0438356,1,Vaccinated,3993,4074.26,M,0
0.0438356,1,Vaccinated,4752,5683.46,F,0
0.0438356,1,Vaccinated,5902,5416.27,F,0
0.0438356,1,Vaccinated,6077,4539.15,M,0
0.0438356,1,Vaccinated,7289,6005.34,M,0
0.0438356,1,Vaccinated,8018,5857.48,M,0
0.0438356,1,Vaccinated,9185,5835.31,M,0
0.0438356,1,Vaccinated,405,16918.5,M,0
0.0438356,1,Vaccinated,730,15417.7,M,0
0.0438356,1,Vaccinated,995,17244.9,M,0
0.0438356,1,Vaccinated,1554,16483.6,F,0
0.0438356,1,Vaccinated,1741,16353.8,M,0
0.0438356,1,Vaccinated,2108,17137.1,M,0
0.0438356,1,Vaccinated,2401,17410.7,F,0
0.0438356,1,Vaccinated,2721,16355.5,M,0
0.0438356,1,Vaccinated,3271,16347.1,M,0
0.0438356,1,Vaccinated,3710,14981.3,F,0
0.0438356,1,Vaccinated,3971,15467.5,M,0
0.0438356,1,Vaccinated,4077,16910.7,M,0
0.0438356,1,Vaccinated,4097,15987.8,F,0
0.0438356,1,Vaccinated,5137,16482.6,F,0
0.0438356,1,Vaccinated,5179,16756.9,M,0
0.0438356,1,Vaccinated,5246,16883.8,M,0
0.0438356,1,Vaccinated,5614,16387.3,M,0
0.0438356,1,Vaccinated,5632,15765.6,M,0
0.0438356,1,Vaccinated,5714,16327.3,F,0
0.0438356,1,Vaccinated,6630,15068.3,F,0
0.0438356,1,Vaccinated,6752,15707.1,M,0
0.0438356,1,Vaccinated,6881,16665,F,0
0.0438356,1,Vaccinated,6992,17324.5,F,0
0.0438356,1,Vaccinated,8019,16240.3,M,0
0.0438356,1,Vaccinated,8073,14957.6,F,0
0.0438356,1,Vaccinated,8167,14867.7,F,0
0.0438356,1,Vaccinated,8398,16913.1,M,0
0.0438356,1,Vaccinated,8976,16511.5,F,0
0.0438356,1,Vaccinated,9250,15811.1,F,0
0.0438356,1,Vaccinated,9403,14603.7,F,0
0.0465753,1,Vaccinated,1257,5046.52,F,0
0.0465753,1,Vaccinated,3066,4208.09,F,0
0.0465753,1,Vaccinated,3170,6555.51,M,0
0.0465753,1,Vaccinated,4315,5842.55,F,0
0.0465753,1,Vaccinated,4484,4743.62,F,0
0.0465753,1,Vaccinated,5645,4052.92,M,0
0.0465753,1,Vaccinated,6653,4858.4,M,0
0.0465753,1,Vaccinated,6744,5625.62,F,0
0.0465753,1,Vaccinated,9082,5289.39,M,0
0.0465753,1,Vaccinated,9607,3767.92,F,0
0.0465753,1,Vaccinated,352,14629.2,M,0
0.0465753,1,Vaccinated,474,15930.1,M,0
0.0465753,1,Vaccinated,996,17883.2,M,0
0.0465753,1,Vaccinated,1088,16476.8,M,0
0.0465753,1,Vaccinated,1105,15406.5,M,0
0.0465753,1,Vaccinated,1113,15682.5,F,0
0.0465753,1,Vaccinated,1165,15330.6,F,0
0.0465753,1,Vaccinated,1180,16503.8,F,0
0.0465753,1,Vaccinated,1342,15482.8,F,0
0.0465753,1,Vaccinated,1367,15095.2,M,0
0.0465753,1,Vaccinated,1621,17586.5,M,0
0.0465753,1,Vaccinated,2136,16246.6,M,0
0.0465753,1,Vaccinated,2455,15604.7,M,0
0.0465753,1,Vaccinated,2979,17447.4,F,0
0.0465753,1,Vaccinated,3378,16168.6,F,0
0.0465753,1,Vaccinated,3470,15623.1,M,0
0.0465753,1,Vaccinated,4895,15560.2,F,0
0.0465753,1,Vaccinated,5756,16936.8,M,0
0.0465753,1,Vaccinated,5798,16355.6,M,0
0.0465753,1,Vaccinated,6079,16712.8,F,0
0.0465753,1,Vaccinated,6347,15698.7,M,0
0.0465753,1,Vaccinated,7136,17351.3,M,0
0.0465753,1,Vaccinated,7890,17472,M,0
0.0465753,1,Vaccinated,8340,16046.3,F,0
0.0465753,1,Vaccinated,8613,17881.1,M,0
0.0465753,1,Vaccinated,8622,17003.5,F,0
0.0465753,1,Vaccinated,9250,15812.1,F,0
0.0465753,1,Vaccinated,9539,14864.6,M,0
0.0465753,1,Vaccinated,9811,17502.1,M,0
0.0465753,1,Vaccinated,9969,15637.6,M,0
0.0493151,1,Vaccinated,685,6101.65,F,0
0.0493151,1,Vaccinated,2423,6488.45,F,0
0.0493151,1,Vaccinated,2550,6579.78,M,0
0.0493151,1,Vaccinated,5035,4170.47,M,0
0.0493151,1,Vaccinated,5847,4129.1,F,0
0.0493151,1,Vaccinated,7436,5879.77,M,0
0.0493151,1,Vaccinated,8463,4594.98,F,0
0.0493151,1,Vaccinated,8668,5293.62,F,0
0.0493151,1,Vaccinated,8962,4662.57,M,0
0.0493151,1,Vaccinated,9000,3793.95,F,0
0.0493151,1,Vaccinated,523,15280.7,M,0
0.0493151,1,Vaccinated,565,16127.5,F,0
0.0493151,1,Vaccinated,1332,17011.1,M,0
0.0493151,1,Vaccinated,1707,15657.2,M,0
0.0493151,1,Vaccinated,1876,16855.5,M,0
0.0493151,1,Vaccinated,2051,17000.8,M,0
0.0493151,1,Vaccinated,2383,15455.1,F,0
0.0493151,1,Vaccinated,2401,17412.7,F,0
0.0493151,1,Vaccinated,2445,16652.6,F,0
0.0493151,1,Vaccinated,2625,15826.4,M,0
0.0493151,1,Vaccinated,2768,14769.6,M,0
0.0493151,1,Vaccinated,3983,17480.2,M,0
0.0493151,1,Vaccinated,4125,14652.3,F,0
0.0493151,1,Vaccinated,4578,15667.8,F,0
0.0493151,1,Vaccinated,4727,17057.7,M,0
0.0493151,1,Vaccinated,4753,16799.1,F,0
0.0493151,1,Vaccinated,4932,17287,F,0
0.0493151,1,Vaccinated,5448,17467.3,M,0
0.0493151,1,Vaccinated,6096,16135.8,F,0
0.0493151,1,Vaccinated,6259,17832.3,M,0
0.0493151,1,Vaccinated,6373,15614.7,F,0
0.0493151,1,Vaccinated,6462,14904.9,F,0
0.0493151,1,Vaccinated,6606,14700.1,F,0
0.0493151,1,Vaccinated,6624,15079.7,F,0
0.0493151,1,Vaccinated,7016,15353.1,M,0
0.0493151,1,Vaccinated,7264,16226.1,F,0
0.0493151,1,Vaccinated,8376,16605.8,M,0
0.0493151,1,Vaccinated,8571,16232.7,F,0
0.0493151,1,Vaccinated,9548,15829.5,M,0
0.0493151,1,Vaccinated,9734,15888.2,M,0
0.0520548,1,Vaccinated,1278,6130.39,M,0
0.0520548,1,Vaccinated,3628,6584.18,M,0
0.0520548,1,Vaccinated,3730,4495.1,F,0
0.0520548,1,Vaccinated,5653,3947.71,F,0
0.0520548,1,Vaccinated,6322,5376.1,M,0
0.0520548,1,Vaccinated,7087,4589.76,F,0
0.0520548,1,Vaccinated,8242,4818.35,F,0
0.0520548,1,Vaccinated,8385,4463.76,M,0
0.0520548,1,Vaccinated,9039,6116.36,M,0
0.0520548,1,Vaccinated,9796,6023.19,M,0
0.0520548,1,Vaccinated,216,15490.4,M,0
0.0520548,1,Vaccinated,793,14971.7,F,0
0.0520548,1,Vaccinated,1165,15332.6,F,0
0.0520548,1,Vaccinated,1539,16030.1,F,0
0.0520548,1,Vaccinated,2594,16259.6,F,0
0.0520548,1,Vaccinated,2902,17749.8,M,0
0.0520548,1,Vaccinated,3295,16267.1,M,0
0.0520548,1,Vaccinated,3578,15644.6,F,0
0.0520548,1,Vaccinated,3906,16415.7,M,0
0.0520548,1,Vaccinated,3998,17770,M,0
0.0520548,1,Vaccinated,4294,15154.5,M,0
0.0520548,1,Vaccinated,4742,16701.2,M,0
0.0520548,1,Vaccinated,5308,15068.1,F,0
0.0520548,1,Vaccinated,6632,16974.2,F,0
0.0520548,1,Vaccinated,6715,16241.7,F,0
0.0520548,1,Vaccinated,6807,15001.2,M,0
0.0520548,1,Vaccinated,6842,14802.8,M,0
0.0520548,1,Vaccinated,6866,17252.5,M,0
0.0520548,1,Vaccinated,6982,16238.3,F,0
0.0520548,1,Vaccinated,7053,16042,F,0
0.0520548,1,Vaccinated,7077,16769.7,M,0
0.0520548,1,Vaccinated,7169,15416.1,F,0
0.0520548,1,Vaccinated,7388,16477.8,M,0
