Time, NodeID, AgeYears, NumIndividuals, NumInfected, NodeProp=Accessibility
11,3,125,10,0,YES
11,2,125,10,0,YES
11,1,125,10,0,YES
12,10,125,10,0,YES
12,9,125,10,0,YES
12,8,125,10,0,YES
12,7,125,10,0,YES
12,6,125,10,0,YES
12,5,125,10,0,YES
12,4,125,10,0,YES
12,3,125,10,0,YES
12,2,125,10,0,YES
12,1,125,10,0,YES
13,10,125,10,0,YES
13,9,125,10,0,YES
13,8,125,10,0,YES
13,7,125,10,0,YES
13,6,125,10,0,YES
13,5,125,10,0,YES
13,4,125,10,0,YES
13,3,125,10,0,YES
13,2,125,10,0,YES
13,1,125,10,0,YES
14,10,125,10,0,YES
14,9,125,10,0,YES
14,8,125,10,0,YES
14,7,125,10,0,YES
14,6,125,10,0,YES
14,5,125,10,0,YES
14,4,125,10,0,YES
14,3,125,10,0,YES
14,2,125,10,0,YES
14,1,125,10,0,YES
15,10,125,10,0,YES
15,9,125,10,0,YES
15,8,125,10,0,YES
15,7,125,10,0,YES
15,6,125,10,0,YES
15,5,125,10,0,YES
15,4,125,10,0,YES
15,3,125,10,0,YES
15,2,125,10,0,YES
15,1,125,10,0,YES
16,10,125,10,0,YES
16,9,125,10,0,YES
16,8,125,10,0,YES
16,7,125,10,0,YES
16,6,125,10,0,YES
16,5,125,10,0,YES
16,4,125,10,0,YES
16,3,125,10,0,YES
16,2,125,10,0,YES
16,1,125,10,0,YES
17,10,125,10,0,YES
17,9,125,10,0,YES
17,8,125,10,0,YES
17,7,125,10,0,YES
17,6,125,10,0,YES
17,5,125,10,0,YES
17,4,125,10,0,YES
17,3,125,10,0,YES
17,2,125,10,0,YES
17,1,125,10,0,YES
18,10,125,10,0,YES
18,9,125,10,0,YES
18,8,125,10,0,YES
18,7,125,10,0,YES
18,6,125,10,0,YES
18,5,125,10,0,YES
18,4,125,10,0,YES
18,3,125,10,0,YES
18,2,125,10,0,YES
18,1,125,10,0,YES
19,10,125,10,0,YES
19,9,125,10,0,YES
19,8,125,10,0,YES
19,7,125,10,0,YES
19,6,125,10,0,YES
19,5,125,10,0,YES
19,4,125,10,0,YES
19,3,125,10,0,YES
19,2,125,10,0,YES
19,1,125,10,0,YES
20,10,125,10,0,YES
20,9,125,10,0,YES
20,8,125,10,0,YES
20,7,125,10,0,YES
20,6,125,10,0,YES
20,5,125,10,0,YES
20,4,125,10,0,YES
20,3,125,10,0,YES
20,2,125,10,0,YES
20,1,125,10,0,YES
21,10,125,10,0,YES
21,9,125,10,0,YES
21,8,125,10,0,YES
21,7,125,10,0,YES
21,6,125,10,0,YES
