Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
20,340461476,X-a0:X-a0,11923,0,0,11923,11817,84948,358725
20,340461476,X-a0:X-a1,11476,0,0,11476,11682,83543,357675
20,340461476,X-a1:X-a0,11810,0,0,11810,11254,83190,352475
20,340461476,X-a1:X-a1,11627,0,0,11627,11759,85375,361725
21,340461476,X-a0:X-a0,12968,0,0,12968,11718,88333,155425
21,340461476,X-a0:X-a1,12667,0,0,12667,11418,86877,150675
21,340461476,X-a1:X-a0,12912,0,0,12912,11303,86375,151525
21,340461476,X-a1:X-a1,12824,0,0,12824,11535,88499,147275
22,340461476,X-a0:X-a0,13978,0,0,13978,11414,89420,167325
22,340461476,X-a0:X-a1,13602,0,0,13602,11264,87539,174225
22,340461476,X-a1:X-a0,13953,0,0,13953,11041,87218,165675
22,340461476,X-a1:X-a1,13683,0,0,13683,11499,88477,170375
23,340461476,X-a0:X-a0,14879,0,0,14879,11257,89689,425275
23,340461476,X-a0:X-a1,14435,0,0,14435,11309,88475,415475
23,340461476,X-a1:X-a0,14723,0,0,14723,10817,87794,418225
23,340461476,X-a1:X-a1,14553,0,0,14553,11446,88995,421625
24,340461476,X-a0:X-a0,15686,0,0,15686,13598,88041,263250
24,340461476,X-a0:X-a1,15356,0,0,15356,13530,86529,263700
24,340461476,X-a1:X-a0,15293,0,0,15293,13848,85545,259500
24,340461476,X-a1:X-a1,15376,0,0,15376,13936,86700,255650
25,340461476,X-a0:X-a0,16291,0,0,16291,14250,90328,270500
25,340461476,X-a0:X-a1,15934,0,0,15934,14118,89044,274650
25,340461476,X-a1:X-a0,16054,0,0,16054,14114,87981,269950
25,340461476,X-a1:X-a1,16021,0,0,16021,14512,88506,277600
26,340461476,X-a0:X-a0,16754,0,21,16733,15202,89892,469250
26,340461476,X-a0:X-a1,16426,0,15,16411,15229,89117,454050
26,340461476,X-a1:X-a0,16578,0,18,16560,14610,88320,453500
26,340461476,X-a1:X-a1,16614,0,15,16599,15126,88890,453700
27,340461476,X-a0:X-a0,17186,0,29,17157,15860,90551,337900
27,340461476,X-a0:X-a1,16967,0,29,16938,15638,89600,341800
27,340461476,X-a1:X-a0,16907,0,27,16880,15447,88749,334200
27,340461476,X-a1:X-a1,17098,0,22,17076,15751,89188,334700
28,340461476,X-a0:X-a0,19276,0,45,19231,14731,90910,339575
28,340461476,X-a0:X-a1,18960,0,38,18922,14442,90444,346925
28,340461476,X-a1:X-a0,19384,0,32,19352,14087,88951,345225
28,340461476,X-a1:X-a1,19400,0,28,19372,14706,89464,350075
29,340461476,X-a0:X-a0,20078,0,59,20019,14609,90978,485310
29,340461476,X-a0:X-a1,19772,0,54,19718,14788,90553,474950
29,340461476,X-a1:X-a0,20042,0,53,19989,14010,89876,474040
29,340461476,X-a1:X-a1,20313,0,47,20266,15040,89661,475420
30,340461476,X-a0:X-a0,21129,0,64,21065,14421,91364,393490
30,340461476,X-a0:X-a1,21010,0,59,20951,14091,91156,393450
30,340461476,X-a1:X-a0,20736,0,57,20679,14362,89832,391010
30,340461476,X-a1:X-a1,21125,0,50,21075,14874,89822,391170
31,340461476,X-a0:X-a0,21878,0,74,21804,13853,91817,390315
31,340461476,X-a0:X-a1,21720,0,66,21654,13553,91783,393695
31,340461476,X-a1:X-a0,21499,0,69,21430,13547,90634,397995
31,340461476,X-a1:X-a1,21870,0,63,21807,13807,91113,402895
32,340461476,X-a0:X-a0,22644,0,89,22555,14619,90025,612665
32,340461476,X-a0:X-a1,22324,0,78,22246,14329,90508,603015
32,340461476,X-a1:X-a0,22156,0,82,22074,14209,89650,607955
32,340461476,X-a1:X-a1,22707,0,76,22631,14373,90063,613445
33,340461476,X-a0:X-a0,23239,0,98,23141,14620,91287,465220
33,340461476,X-a0:X-a1,23068,0,83,22985,14133,91478,465080
33,340461476,X-a1:X-a0,22564,0,85,22479,14383,90773,457820
33,340461476,X-a1:X-a1,23465,0,91,23374,13957,91350,468440
34,340461476,X-a0:X-a0,23629,11,93,23525,14496,91175,482060
34,340461476,X-a0:X-a1,23331,9,82,23240,14433,91563,490450
34,340461476,X-a1:X-a0,23236,7,91,23138,14125,90657,477910
34,340461476,X-a1:X-a1,23852,10,96,23746,13865,91487,489140
35,340461476,X-a0:X-a0,23709,16,96,23597,14868,91230,634110
35,340461476,X-a0:X-a1,23343,12,88,23243,14766,91692,631180
35,340461476,X-a1:X-a0,23247,10,106,23131,14544,90340,634470
35,340461476,X-a1:X-a1,23708,11,105,23592,14568,91779,634620
36,340461476,X-a0:X-a0,24660,20,92,24548,15037,91010,527350
36,340461476,X-a0:X-a1,24286,15,92,24179,14863,91326,526030
36,340461476,X-a1:X-a0,24191,11,120,24060,14799,90041,529450
36,340461476,X-a1:X-a1,24659,15,110,24534,14504,91654,537470
37,340461476,X-a0:X-a0,24954,26,85,24843,15048,91717,531045
37,340461476,X-a0:X-a1,24606,25,103,24478,15030,91671,540065
37,340461476,X-a1:X-a0,24549,15,112,24422,14774,90950,536795
37,340461476,X-a1:X-a1,24889,22,103,24764,14806,92455,545575
38,340461476,X-a0:X-a0,25285,29,88,25168,15390,91382,648405
38,340461476,X-a0:X-a1,24892,32,113,24747,15101,91827,645275
38,340461476,X-a1:X-a0,24754,20,111,24623,15021,91166,652075
38,340461476,X-a1:X-a1,25156,23,112,25021,14861,92590,646005
39,340461476,X-a0:X-a0,25549,36,90,25423,15467,91357,538455
39,340461476,X-a0:X-a1,25063,39,115,24909,15412,91714,550785
39,340461476,X-a1:X-a0,24979,30,101,24848,15213,91488,529145
39,340461476,X-a1:X-a1,25249,29,114,25106,15202,92449,544355
40,340461476,X-a0:X-a0,26207,37,97,26073,15078,91663,604250
40,340461476,X-a0:X-a1,25855,43,106,25706,15121,92028,606500
40,340461476,X-a1:X-a0,25800,34,105,25661,14921,91317,611260
40,340461476,X-a1:X-a1,25871,37,116,25718,14976,92640,611570
41,340461476,X-a0:X-a0,26496,45,101,26350,15104,91434,659035
41,340461476,X-a0:X-a1,26285,49,115,26121,15159,91863,654505
41,340461476,X-a1:X-a0,26114,38,124,25952,15005,91608,659695
41,340461476,X-a1:X-a1,26275,41,112,26122,14999,92373,657785
