
Time,NodeID,TRANSITORY_M_Before_50,TRANSITORY_M_Before_85,TRANSITORY_M_After_50,TRANSITORY_M_After_85,TRANSITORY_F_Before_50,TRANSITORY_F_Before_85,TRANSITORY_F_After_50,TRANSITORY_F_After_85,INFORMAL_M_Before_40,INFORMAL_M_Before_65,INFORMAL_M_Before_90,INFORMAL_M_After_40,INFORMAL_M_After_65,INFORMAL_M_After_90,INFORMAL_F_Before_40,INFORMAL_F_Before_65,INFORMAL_F_Before_90,INFORMAL_F_After_40,INFORMAL_F_After_65,INFORMAL_F_After_90,MARITAL_M_Before_100,MARITAL_M_After_100,MARITAL_F_Before_100,MARITAL_F_After_100,COMMERCIAL_M_Before_50,COMMERCIAL_M_Before_85,COMMERCIAL_M_After_50,COMMERCIAL_M_After_85,COMMERCIAL_F_Before_50,COMMERCIAL_F_Before_85,COMMERCIAL_F_After_50,COMMERCIAL_F_After_85,TRANSITORY_LOW_M_50,TRANSITORY_LOW_M_85,TRANSITORY_LOW_F_50,TRANSITORY_LOW_F_85,TRANSITORY_HIGH_M_50,TRANSITORY_HIGH_M_85,TRANSITORY_HIGH_F_50,TRANSITORY_HIGH_F_85,INFORMAL_LOW_M_40,INFORMAL_LOW_M_65,INFORMAL_LOW_M_90,INFORMAL_LOW_F_40,INFORMAL_LOW_F_65,INFORMAL_LOW_F_90,INFORMAL_HIGH_M_40,INFORMAL_HIGH_M_65,INFORMAL_HIGH_M_90,INFORMAL_HIGH_F_40,INFORMAL_HIGH_F_65,INFORMAL_HIGH_F_90,MARITAL_LOW_M_100,MARITAL_LOW_F_100,MARITAL_HIGH_M_100,MARITAL_HIGH_F_100,COMMERCIAL_LOW_M_50,COMMERCIAL_LOW_M_85,COMMERCIAL_LOW_F_50,COMMERCIAL_LOW_F_85,COMMERCIAL_HIGH_M_50,COMMERCIAL_HIGH_M_85,COMMERCIAL_HIGH_F_50,COMMERCIAL_HIGH_F_85,desired_flow_TRANSITORY_M_50,desired_flow_TRANSITORY_M_85,desired_flow_TRANSITORY_F_50,desired_flow_TRANSITORY_F_85,desired_flow_INFORMAL_M_40,desired_flow_INFORMAL_M_65,desired_flow_INFORMAL_M_90,desired_flow_INFORMAL_F_40,desired_flow_INFORMAL_F_65,desired_flow_INFORMAL_F_90,desired_flow_MARITAL_M_100,desired_flow_MARITAL_F_100,desired_flow_COMMERCIAL_M_50,desired_flow_COMMERCIAL_M_85,desired_flow_COMMERCIAL_F_50,desired_flow_COMMERCIAL_F_85
244,1,120,14,106,0,80,14,66,0,27,128,0,18,128,0,137,9,0,137,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145398,0.00145398,0.00129907,0.00129907,0.00145398,0.00145398,0.00129907,0.00129907,0.000607946,0.000607946,0.000607946,0.000531147,0.000531147,0.000531147,0.000607946,0.000607946,0.000607946,0.000531147,0.000531147,0.000531147,9.68018e-05,8.64329e-05,9.68018e-05,8.64329e-05,0,0,0,0,0,0,0,0,3.31653,3.31653,3.31653,3.31653,1.15206,1.15206,1.15206,1.15206,1.15206,1.15206,0.221095,0.221095,0,0,0,0
245,1,120,14,106,0,80,14,66,0,27,128,0,18,128,0,137,9,0,137,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145447,0.00145447,0.00129716,0.00129716,0.00145447,0.00145447,0.00129716,0.00129716,0.000607778,0.000607778,0.000607778,0.000529671,0.000529671,0.000529671,0.000607778,0.000607778,0.000607778,0.000529671,0.000529671,0.000529671,9.68764e-05,8.63736e-05,9.68764e-05,8.63736e-05,0,0,0,0,0,0,0,0,3.31036,3.31036,3.31036,3.31036,1.14992,1.14992,1.14992,1.14992,1.14992,1.14992,0.220684,0.220684,0,0,0,0
246,1,120,14,106,0,80,14,66,0,27,128,0,18,128,0,137,9,0,137,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145461,0.00145461,0.00129705,0.00129705,0.00145461,0.00145461,0.00129705,0.00129705,0.000607735,0.000607735,0.000607735,0.000529038,0.000529038,0.000529038,0.000607735,0.000607735,0.000607735,0.000529038,0.000529038,0.000529038,9.68862e-05,8.63658e-05,9.68862e-05,8.63658e-05,0,0,0,0,0,0,0,0,3.30488,3.30488,3.30488,3.30488,1.14801,1.14801,1.14801,1.14801,1.14801,1.14801,0.220319,0.220319,0,0,0,0
247,1,120,14,106,0,80,14,66,0,27,128,0,18,128,0,137,9,0,137,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145552,0.00145552,0.00129583,0.00129583,0.00145552,0.00145552,0.00129583,0.00129583,0.000607903,0.000607903,0.000607903,0.000528233,0.000528233,0.000528233,0.000607903,0.000607903,0.000607903,0.000528233,0.000528233,0.000528233,9.69461e-05,8.63182e-05,9.69461e-05,8.63182e-05,0,0,0,0,0,0,0,0,3.29529,3.29529,3.29529,3.29529,1.14468,1.14468,1.14468,1.14468,1.14468,1.14468,0.21968,0.21968,0,0,0,0
248,1,120,14,106,0,80,14,66,0,27,128,0,18,128,0,137,9,0,137,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145639,0.00145639,0.00129617,0.00129617,0.00145639,0.00145639,0.00129617,0.00129617,0.000608001,0.000608001,0.000608001,0.000527646,0.000527646,0.000527646,0.000608001,0.000608001,0.000608001,0.000527646,0.000527646,0.000527646,9.6961e-05,8.63064e-05,9.6961e-05,8.63064e-05,0,0,0,0,0,0,0,0,3.28708,3.28708,3.28708,3.28708,1.14183,1.14183,1.14183,1.14183,1.14183,1.14183,0.219132,0.219132,0,0,0,0
249,1,120,14,106,0,80,14,66,0,27,128,0,18,128,0,137,9,0,137,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145693,0.00145693,0.00129575,0.00129575,0.00145693,0.00145693,0.00129575,0.00129575,0.000608552,0.000608552,0.000608552,0.000527412,0.000527412,0.000527412,0.000608552,0.000608552,0.000608552,0.000527412,0.000527412,0.000527412,9.69963e-05,8.62785e-05,9.69963e-05,8.62785e-05,0,0,0,0,0,0,0,0,3.27954,3.27954,3.27954,3.27954,1.13921,1.13921,1.13921,1.13921,1.13921,1.13921,0.21863,0.21863,0,0,0,0
250,1,120,14,106,0,80,14,66,0,27,128,0,18,128,0,137,9,0,137,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145841,0.00145841,0.00129816,0.00129816,0.00145841,0.00145841,0.00129816,0.00129816,0.000608466,0.000608466,0.000608466,0.000528427,0.000528427,0.000528427,0.000608466,0.000608466,0.000608466,0.000528427,0.000528427,0.000528427,9.7052e-05,8.62345e-05,9.7052e-05,8.62345e-05,0,0,0,0,0,0,0,0,3.28434,3.28434,3.28434,3.28434,1.14087,1.14087,1.14087,1.14087,1.14087,1.14087,0.218949,0.218949,0,0,0,0
251,1,138,13,122,0,84,16,71,0,28,137,0,15,137,0,148,13,0,148,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145769,0.00145769,0.00129771,0.00129771,0.00145769,0.00145769,0.00129771,0.00129771,0.000607465,0.000607465,0.000607465,0.000527973,0.000527973,0.000527973,0.000607465,0.000607465,0.000607465,0.000527973,0.000527973,0.000527973,9.70039e-05,8.62725e-05,9.70039e-05,8.62725e-05,0,0,0,0,0,0,0,0,3.27543,3.27543,3.27543,3.27543,1.13778,1.13778,1.13778,1.13778,1.13778,1.13778,0.218356,0.218356,0,0,0,0
252,1,138,13,122,0,84,16,71,0,28,137,0,15,137,0,148,13,0,148,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145911,0.00145911,0.0012966,0.0012966,0.00145911,0.00145911,0.0012966,0.0012966,0.000607676,0.000607676,0.000607676,0.00052731,0.00052731,0.00052731,0.000607676,0.000607676,0.000607676,0.00052731,0.00052731,0.00052731,9.70546e-05,8.62324e-05,9.70546e-05,8.62324e-05,0,0,0,0,0,0,0,0,3.27132,3.27132,3.27132,3.27132,1.13635,1.13635,1.13635,1.13635,1.13635,1.13635,0.218082,0.218082,0,0,0,0
253,1,138,13,122,0,84,16,71,0,28,137,0,15,137,0,148,13,0,148,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00146133,0.00146133,0.00129485,0.00129485,0.00146133,0.00146133,0.00129485,0.00129485,0.000608383,0.000608383,0.000608383,0.000526908,0.000526908,0.000526908,0.000608383,0.000608383,0.000608383,0.000526908,0.000526908,0.000526908,9.69861e-05,8.62866e-05,9.69861e-05,8.62866e-05,0,0,0,0,0,0,0,0,3.27338,3.27338,3.27338,3.27338,1.13707,1.13707,1.13707,1.13707,1.13707,1.13707,0.218219,0.218219,0,0,0,0
254,1,138,13,122,0,84,16,71,0,28,137,0,15,137,0,148,13,0,148,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00146045,0.00146045,0.00129554,0.00129554,0.00146045,0.00146045,0.00129554,0.00129554,0.000608397,0.000608397,0.000608397,0.000527579,0.000527579,0.000527579,0.000608397,0.000608397,0.000608397,0.000527579,0.000527579,0.000527579,9.7014e-05,8.62645e-05,9.7014e-05,8.62645e-05,0,0,0,0,0,0,0,0,3.26995,3.26995,3.26995,3.26995,1.13588,1.13588,1.13588,1.13588,1.13588,1.13588,0.21799,0.21799,0,0,0,0
255,1,138,13,122,0,84,16,71,0,28,137,0,15,137,0,148,13,0,148,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145835,0.00145835,0.00129567,0.00129567,0.00145835,0.00145835,0.00129567,0.00129567,0.000608228,0.000608228,0.000608228,0.000527565,0.000527565,0.000527565,0.000608228,0.000608228,0.000608228,0.000527565,0.000527565,0.000527565,9.69605e-05,8.63068e-05,9.69605e-05,8.63068e-05,0,0,0,0,0,0,0,0,3.26379,3.26379,3.26379,3.26379,1.13374,1.13374,1.13374,1.13374,1.13374,1.13374,0.217579,0.217579,0,0,0,0
256,1,138,13,122,0,84,16,71,0,28,137,0,15,137,0,148,13,0,148,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145732,0.00145732,0.00129546,0.00129546,0.00145732,0.00145732,0.00129546,0.00129546,0.000607418,0.000607418,0.000607418,0.000527734,0.000527734,0.000527734,0.000607418,0.000607418,0.000607418,0.000527734,0.000527734,0.000527734,9.69348e-05,8.63272e-05,9.69348e-05,8.63272e-05,0,0,0,0,0,0,0,0,3.2542,3.2542,3.2542,3.2542,1.13041,1.13041,1.13041,1.13041,1.13041,1.13041,0.21694,0.21694,0,0,0,0
257,1,138,13,122,0,84,16,71,0,28,137,0,15,137,0,148,13,0,148,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145943,0.00145943,0.00129791,0.00129791,0.00145943,0.00145943,0.00129791,0.00129791,0.000607916,0.000607916,0.000607916,0.000528733,0.000528733,0.000528733,0.000607916,0.000607916,0.000607916,0.000528733,0.000528733,0.000528733,9.6902e-05,8.63532e-05,9.6902e-05,8.63532e-05,0,0,0,0,0,0,0,0,3.26036,3.26036,3.26036,3.26036,1.13255,1.13255,1.13255,1.13255,1.13255,1.13255,0.217351,0.217351,0,0,0,0
258,1,145,12,134,0,99,11,87,0,21,140,2,16,136,0,149,5,4,147,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00146182,0.00146182,0.00129604,0.00129604,0.00146182,0.00146182,0.00129604,0.00129604,0.000609239,0.000609239,0.000609239,0.000527931,0.000527931,0.000527931,0.000609239,0.000609239,0.000609239,0.000527931,0.000527931,0.000527931,9.71032e-05,8.6194e-05,9.71032e-05,8.6194e-05,0,0,0,0,0,0,0,0,3.25694,3.25694,3.25694,3.25694,1.13136,1.13136,1.13136,1.13136,1.13136,1.13136,0.217123,0.217123,0,0,0,0
259,1,145,12,134,0,99,11,87,0,21,140,2,16,136,0,149,5,4,147,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145963,0.00145963,0.00129777,0.00129777,0.00145963,0.00145963,0.00129777,0.00129777,0.000608926,0.000608926,0.000608926,0.000528363,0.000528363,0.000528363,0.000608926,0.000608926,0.000608926,0.000528363,0.000528363,0.000528363,9.69578e-05,8.6309e-05,9.69578e-05,8.6309e-05,0,0,0,0,0,0,0,0,3.25351,3.25351,3.25351,3.25351,1.13017,1.13017,1.13017,1.13017,1.13017,1.13017,0.216895,0.216895,0,0,0,0
260,1,145,12,134,0,99,11,87,0,21,140,2,16,136,0,149,5,4,147,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00146145,0.00146145,0.00129531,0.00129531,0.00146145,0.00146145,0.00129531,0.00129531,0.000609085,0.000609085,0.000609085,0.000527608,0.000527608,0.000527608,0.000609085,0.000609085,0.000609085,0.000527608,0.000527608,0.000527608,9.70778e-05,8.62141e-05,9.70778e-05,8.62141e-05,0,0,0,0,0,0,0,0,3.24735,3.24735,3.24735,3.24735,1.12803,1.12803,1.12803,1.12803,1.12803,1.12803,0.216484,0.216484,0,0,0,0
261,1,145,12,134,0,99,11,87,0,21,140,2,16,136,0,149,5,4,147,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.0014564,0.0014564,0.00129776,0.00129776,0.0014564,0.0014564,0.00129776,0.00129776,0.000606818,0.000606818,0.000606818,0.000528225,0.000528225,0.000528225,0.000606818,0.000606818,0.000606818,0.000528225,0.000528225,0.000528225,9.69165e-05,8.63417e-05,9.69165e-05,8.63417e-05,0,0,0,0,0,0,0,0,3.2405,3.2405,3.2405,3.2405,1.12565,1.12565,1.12565,1.12565,1.12565,1.12565,0.216027,0.216027,0,0,0,0
262,1,145,12,134,0,99,11,87,0,21,140,2,16,136,0,149,5,4,147,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145849,0.00145849,0.00129611,0.00129611,0.00145849,0.00145849,0.00129611,0.00129611,0.00060703,0.00060703,0.00060703,0.000527555,0.000527555,0.000527555,0.00060703,0.00060703,0.00060703,0.000527555,0.000527555,0.000527555,9.70112e-05,8.62667e-05,9.70112e-05,8.62667e-05,0,0,0,0,0,0,0,0,3.23639,3.23639,3.23639,3.23639,1.12422,1.12422,1.12422,1.12422,1.12422,1.12422,0.215753,0.215753,0,0,0,0
263,1,145,12,134,0,99,11,87,0,21,140,2,16,136,0,149,5,4,147,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145915,0.00145915,0.00129611,0.00129611,0.00145915,0.00145915,0.00129611,0.00129611,0.000607358,0.000607358,0.000607358,0.000527803,0.000527803,0.000527803,0.000607358,0.000607358,0.000607358,0.000527803,0.000527803,0.000527803,9.70985e-05,8.61977e-05,9.70985e-05,8.61977e-05,0,0,0,0,0,0,0,0,3.23639,3.23639,3.23639,3.23639,1.12422,1.12422,1.12422,1.12422,1.12422,1.12422,0.215753,0.215753,0,0,0,0
264,1,145,12,134,0,99,11,87,0,21,140,2,16,136,0,149,5,4,147,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00146011,0.00146011,0.00129431,0.00129431,0.00146011,0.00146011,0.00129431,0.00129431,0.000607815,0.000607815,0.000607815,0.000527419,0.000527419,0.000527419,0.000607815,0.000607815,0.000607815,0.000527419,0.000527419,0.000527419,9.70754e-05,8.6216e-05,9.70754e-05,8.6216e-05,0,0,0,0,0,0,0,0,3.23707,3.23707,3.23707,3.23707,1.12446,1.12446,1.12446,1.12446,1.12446,1.12446,0.215799,0.215799,0,0,0,0
265,1,154,18,137,0,105,17,87,0,21,140,2,18,139,0,155,3,1,153,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145923,0.00145923,0.00129398,0.00129398,0.00145923,0.00145923,0.00129398,0.00129398,0.000607172,0.000607172,0.000607172,0.000527108,0.000527108,0.000527108,0.000607172,0.000607172,0.000607172,0.000527108,0.000527108,0.000527108,9.71037e-05,8.61936e-05,9.71037e-05,8.61936e-05,0,0,0,0,0,0,0,0,3.23365,3.23365,3.23365,3.23365,1.12327,1.12327,1.12327,1.12327,1.12327,1.12327,0.21557,0.21557,0,0,0,0
266,1,154,18,137,0,105,17,87,0,21,140,2,18,139,0,155,3,1,153,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145772,0.00145772,0.00129465,0.00129465,0.00145772,0.00145772,0.00129465,0.00129465,0.000606599,0.000606599,0.000606599,0.000527069,0.000527069,0.000527069,0.000606599,0.000606599,0.000606599,0.000527069,0.000527069,0.000527069,9.69598e-05,8.63074e-05,9.69598e-05,8.63074e-05,0,0,0,0,0,0,0,0,3.22885,3.22885,3.22885,3.22885,1.1216,1.1216,1.1216,1.1216,1.1216,1.1216,0.215251,0.215251,0,0,0,0
267,1,154,18,137,0,105,17,87,0,21,140,2,18,139,0,155,3,1,153,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145869,0.00145869,0.00129596,0.00129596,0.00145869,0.00145869,0.00129596,0.00129596,0.000607056,0.000607056,0.000607056,0.000527676,0.000527676,0.000527676,0.000607056,0.000607056,0.000607056,0.000527676,0.000527676,0.000527676,9.70678e-05,8.6222e-05,9.70678e-05,8.6222e-05,0,0,0,0,0,0,0,0,3.22954,3.22954,3.22954,3.22954,1.12184,1.12184,1.12184,1.12184,1.12184,1.12184,0.215296,0.215296,0,0,0,0
268,1,154,18,137,0,105,17,87,0,21,140,2,18,139,0,155,3,1,153,0,0,28,18,10,0,0,0,0,0,0,0,0,0,0.00145834,0.00145834,0.00129676,0.00129676,0.00145834,0.00145834,0.00129676,0.00129676,0.000606529,0.000606529,0.000606529,0.000528037,0.000528037,0.000528037,0.000606529,0.000606529,0.000606529,0.000528037,0.000528037,0.000528037,9.70884e-05,8.62058e-05,9.70884e-05,8.62058e-05,0,0,0,0,0,0,0,0,3.23022,3.23022,3.23022,3.23022,1.12208,1.12208,1.12208,1.12208,1.12208,1.12208,0.215342,0.215342,0,0,0,0
269,1,154,18,137,0,105,17,87,0,21,140,2,18,139,0,155,3,1,153,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.0014566,0.0014566,0.0012971,0.0012971,0.0014566,0.0014566,0.0012971,0.0012971,0.00060564,0.00060564,0.00060564,0.000527438,0.000527438,0.000527438,0.00060564,0.00060564,0.00060564,0.000527438,0.000527438,0.000527438,9.70163e-05,8.62627e-05,9.70163e-05,8.62627e-05,0,0,0,0,0,0,0,0,3.222,3.222,3.222,3.222,1.11922,1.11922,1.11922,1.11922,1.11922,1.11922,0.214794,0.214794,0,0,0,0
270,1,154,18,137,0,105,17,87,0,21,140,2,18,139,0,155,3,1,153,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00146013,0.00146013,0.00129692,0.00129692,0.00146013,0.00146013,0.00129692,0.00129692,0.000606941,0.000606941,0.000606941,0.00052775,0.00052775,0.00052775,0.000606941,0.000606941,0.000606941,0.00052775,0.00052775,0.00052775,9.70317e-05,8.62504e-05,9.70317e-05,8.62504e-05,0,0,0,0,0,0,0,0,3.22543,3.22543,3.22543,3.22543,1.12041,1.12041,1.12041,1.12041,1.12041,1.12041,0.215022,0.215022,0,0,0,0
271,1,154,18,137,0,105,17,87,0,21,140,2,18,139,0,155,3,1,153,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00145812,0.00145812,0.00129591,0.00129591,0.00145812,0.00145812,0.00129591,0.00129591,0.000605992,0.000605992,0.000605992,0.000527062,0.000527062,0.000527062,0.000605992,0.000605992,0.000605992,0.000527062,0.000527062,0.000527062,9.70292e-05,8.62525e-05,9.70292e-05,8.62525e-05,0,0,0,0,0,0,0,0,3.21516,3.21516,3.21516,3.21516,1.11684,1.11684,1.11684,1.11684,1.11684,1.11684,0.214337,0.214337,0,0,0,0
272,1,162,16,147,0,104,15,88,0,27,146,3,23,144,0,163,4,2,160,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00145996,0.00145996,0.00129395,0.00129395,0.00145996,0.00145996,0.00129395,0.00129395,0.000606476,0.000606476,0.000606476,0.000526051,0.000526051,0.000526051,0.000606476,0.000606476,0.000606476,0.000526051,0.000526051,0.000526051,9.7151e-05,8.61564e-05,9.7151e-05,8.61564e-05,0,0,0,0,0,0,0,0,3.20899,3.20899,3.20899,3.20899,1.1147,1.1147,1.1147,1.1147,1.1147,1.1147,0.213926,0.213926,0,0,0,0
273,1,162,16,147,0,104,15,88,0,27,146,3,23,144,0,163,4,2,160,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00145981,0.00145981,0.0012925,0.0012925,0.00145981,0.00145981,0.0012925,0.0012925,0.0006063,0.0006063,0.0006063,0.000525288,0.000525288,0.000525288,0.0006063,0.0006063,0.0006063,0.000525288,0.000525288,0.000525288,9.7185e-05,8.61297e-05,9.7185e-05,8.61297e-05,0,0,0,0,0,0,0,0,3.20283,3.20283,3.20283,3.20283,1.11256,1.11256,1.11256,1.11256,1.11256,1.11256,0.213516,0.213516,0,0,0,0
274,1,162,16,147,0,104,15,88,0,27,146,3,23,144,0,163,4,2,160,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00146021,0.00146021,0.00129429,0.00129429,0.00146021,0.00146021,0.00129429,0.00129429,0.000605581,0.000605581,0.000605581,0.000526692,0.000526692,0.000526692,0.000605581,0.000605581,0.000605581,0.000526692,0.000526692,0.000526692,9.72112e-05,8.61092e-05,9.72112e-05,8.61092e-05,0,0,0,0,0,0,0,0,3.20077,3.20077,3.20077,3.20077,1.11185,1.11185,1.11185,1.11185,1.11185,1.11185,0.213379,0.213379,0,0,0,0
275,1,162,16,147,0,104,15,88,0,27,146,3,23,144,0,163,4,2,160,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00146198,0.00146198,0.0012929,0.0012929,0.00146198,0.00146198,0.0012929,0.0012929,0.000605923,0.000605923,0.000605923,0.000526378,0.000526378,0.000526378,0.000605923,0.000605923,0.000605923,0.000526378,0.000526378,0.000526378,9.73733e-05,8.59823e-05,9.73733e-05,8.59823e-05,0,0,0,0,0,0,0,0,3.19735,3.19735,3.19735,3.19735,1.11066,1.11066,1.11066,1.11066,1.11066,1.11066,0.21315,0.21315,0,0,0,0
276,1,162,16,147,0,104,15,88,0,27,146,3,23,144,0,163,4,2,160,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00146037,0.00146037,0.00129469,0.00129469,0.00146037,0.00146037,0.00129469,0.00129469,0.000604874,0.000604874,0.000604874,0.000527039,0.000527039,0.000527039,0.000604874,0.000604874,0.000604874,0.000527039,0.000527039,0.000527039,9.71776e-05,8.61356e-05,9.71776e-05,8.61356e-05,0,0,0,0,0,0,0,0,3.19529,3.19529,3.19529,3.19529,1.10994,1.10994,1.10994,1.10994,1.10994,1.10994,0.213013,0.213013,0,0,0,0
277,1,162,16,147,0,104,15,88,0,27,146,3,23,144,0,163,4,2,160,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.001461,0.001461,0.00129629,0.00129629,0.001461,0.001461,0.00129629,0.00129629,0.000604804,0.000604804,0.000604804,0.000527265,0.000527265,0.000527265,0.000604804,0.000604804,0.000604804,0.000527265,0.000527265,0.000527265,9.70864e-05,8.62074e-05,9.70864e-05,8.62074e-05,0,0,0,0,0,0,0,0,3.19666,3.19666,3.19666,3.19666,1.11042,1.11042,1.11042,1.11042,1.11042,1.11042,0.213105,0.213105,0,0,0,0
278,1,162,16,147,0,104,15,88,0,27,146,3,23,144,0,163,4,2,160,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00146148,0.00146148,0.00129488,0.00129488,0.00146148,0.00146148,0.00129488,0.00129488,0.000604555,0.000604555,0.000604555,0.000526474,0.000526474,0.000526474,0.000604555,0.000604555,0.000604555,0.000526474,0.000526474,0.000526474,9.71621e-05,8.61477e-05,9.71621e-05,8.61477e-05,0,0,0,0,0,0,0,0,3.19187,3.19187,3.19187,3.19187,1.10875,1.10875,1.10875,1.10875,1.10875,1.10875,0.212785,0.212785,0,0,0,0
279,1,170,15,157,0,111,13,96,0,31,152,2,25,151,0,169,6,1,167,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00146148,0.00146148,0.00129593,0.00129593,0.00146148,0.00146148,0.00129593,0.00129593,0.000604555,0.000604555,0.000604555,0.000526474,0.000526474,0.000526474,0.000604555,0.000604555,0.000604555,0.000526474,0.000526474,0.000526474,9.70734e-05,8.62176e-05,9.70734e-05,8.62176e-05,0,0,0,0,0,0,0,0,3.19187,3.19187,3.19187,3.19187,1.10875,1.10875,1.10875,1.10875,1.10875,1.10875,0.212785,0.212785,0,0,0,0
280,1,170,15,157,0,111,13,96,0,31,152,2,25,151,0,169,6,1,167,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00146236,0.00146236,0.0012942,0.0012942,0.00146236,0.00146236,0.0012942,0.0012942,0.000604246,0.000604246,0.000604246,0.000525843,0.000525843,0.000525843,0.000604246,0.000604246,0.000604246,0.000525843,0.000525843,0.000525843,9.72199e-05,8.61023e-05,9.72199e-05,8.61023e-05,0,0,0,0,0,0,0,0,3.18502,3.18502,3.18502,3.18502,1.10637,1.10637,1.10637,1.10637,1.10637,1.10637,0.212328,0.212328,0,0,0,0
281,1,170,15,157,0,111,13,96,0,31,152,2,25,151,0,169,6,1,167,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00146083,0.00146083,0.00129488,0.00129488,0.00146083,0.00146083,0.00129488,0.00129488,0.000603666,0.000603666,0.000603666,0.000526052,0.000526052,0.000526052,0.000603666,0.000603666,0.000603666,0.000526052,0.000526052,0.000526052,9.71625e-05,8.61474e-05,9.71625e-05,8.61474e-05,0,0,0,0,0,0,0,0,3.18022,3.18022,3.18022,3.18022,1.10471,1.10471,1.10471,1.10471,1.10471,1.10471,0.212009,0.212009,0,0,0,0
282,1,170,15,157,0,111,13,96,0,31,152,2,25,151,0,169,6,1,167,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00146171,0.00146171,0.00129262,0.00129262,0.00146171,0.00146171,0.00129262,0.00129262,0.000603355,0.000603355,0.000603355,0.000525169,0.000525169,0.000525169,0.000603355,0.000603355,0.000603355,0.000525169,0.000525169,0.000525169,9.731e-05,8.60317e-05,9.731e-05,8.60317e-05,0,0,0,0,0,0,0,0,3.17337,3.17337,3.17337,3.17337,1.10233,1.10233,1.10233,1.10233,1.10233,1.10233,0.211552,0.211552,0,0,0,0
283,1,170,15,157,0,111,13,96,0,31,152,2,25,151,0,169,6,1,167,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00146314,0.00146314,0.00129097,0.00129097,0.00146314,0.00146314,0.00129097,0.00129097,0.000603495,0.000603495,0.000603495,0.000524466,0.000524466,0.000524466,0.000603495,0.000603495,0.000603495,0.000524466,0.000524466,0.000524466,9.73156e-05,8.60274e-05,9.73156e-05,8.60274e-05,0,0,0,0,0,0,0,0,3.17063,3.17063,3.17063,3.17063,1.10138,1.10138,1.10138,1.10138,1.10138,1.10138,0.211369,0.211369,0,0,0,0
284,1,170,15,157,0,111,13,96,0,31,152,2,25,151,0,169,6,1,167,0,0,23,14,9,0,0,0,0,0,0,0,0,0,0.00146327,0.00146327,0.00129193,0.00129193,0.00146327,0.00146327,0.00129193,0.00129193,0.000603043,0.000603043,0.000603043,0.000524785,0.000524785,0.000524785,0.000603043,0.000603043,0.000603043,0.000524785,0.000524785,0.000524785,9.74137e-05,8.59509e-05,9.74137e-05,8.59509e-05,0,0,0,0,0,0,0,0,3.16652,3.16652,3.16652,3.16652,1.09995,1.09995,1.09995,1.09995,1.09995,1.09995,0.211095,0.211095,0,0,0,0
