
Time,NodeID,TRANSITORY_M_Before_50,TRANSITORY_M_Before_85,TRANSITORY_M_After_50,TRANSITORY_M_After_85,TRANSITORY_F_Before_50,TRANSITORY_F_Before_85,TRANSITORY_F_After_50,TRANSITORY_F_After_85,INFORMAL_M_Before_40,INFORMAL_M_Before_65,INFORMAL_M_Before_90,INFORMAL_M_After_40,INFORMAL_M_After_65,INFORMAL_M_After_90,INFORMAL_F_Before_40,INFORMAL_F_Before_65,INFORMAL_F_Before_90,INFORMAL_F_After_40,INFORMAL_F_After_65,INFORMAL_F_After_90,MARITAL_M_Before_100,MARITAL_M_After_100,MARITAL_F_Before_100,MARITAL_F_After_100,COMMERCIAL_M_Before_50,COMMERCIAL_M_Before_85,COMMERCIAL_M_After_50,COMMERCIAL_M_After_85,COMMERCIAL_F_Before_50,COMMERCIAL_F_Before_85,COMMERCIAL_F_After_50,COMMERCIAL_F_After_85,TRANSITORY_LOW_M_50,TRANSITORY_LOW_M_85,TRANSITORY_LOW_F_50,TRANSITORY_LOW_F_85,TRANSITORY_HIGH_M_50,TRANSITORY_HIGH_M_85,TRANSITORY_HIGH_F_50,TRANSITORY_HIGH_F_85,INFORMAL_LOW_M_40,INFORMAL_LOW_M_65,INFORMAL_LOW_M_90,INFORMAL_LOW_F_40,INFORMAL_LOW_F_65,INFORMAL_LOW_F_90,INFORMAL_HIGH_M_40,INFORMAL_HIGH_M_65,INFORMAL_HIGH_M_90,INFORMAL_HIGH_F_40,INFORMAL_HIGH_F_65,INFORMAL_HIGH_F_90,MARITAL_LOW_M_100,MARITAL_LOW_F_100,MARITAL_HIGH_M_100,MARITAL_HIGH_F_100,COMMERCIAL_LOW_M_50,COMMERCIAL_LOW_M_85,COMMERCIAL_LOW_F_50,COMMERCIAL_LOW_F_85,COMMERCIAL_HIGH_M_50,COMMERCIAL_HIGH_M_85,COMMERCIAL_HIGH_F_50,COMMERCIAL_HIGH_F_85,desired_flow_TRANSITORY_M_50,desired_flow_TRANSITORY_M_85,desired_flow_TRANSITORY_F_50,desired_flow_TRANSITORY_F_85,desired_flow_INFORMAL_M_40,desired_flow_INFORMAL_M_65,desired_flow_INFORMAL_M_90,desired_flow_INFORMAL_F_40,desired_flow_INFORMAL_F_65,desired_flow_INFORMAL_F_90,desired_flow_MARITAL_M_100,desired_flow_MARITAL_F_100,desired_flow_COMMERCIAL_M_50,desired_flow_COMMERCIAL_M_85,desired_flow_COMMERCIAL_F_50,desired_flow_COMMERCIAL_F_85
10,1,50,52,13,5,47,37,0,0,21,16,14,1,0,0,17,20,22,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.00176183,0.00176183,0.00168573,0.00168573,0.00176183,0.00176183,0.00168573,0.00168573,0.000783273,0.000783273,0.000783273,0.000730631,0.000730631,0.000730631,0.000783273,0.000783273,0.000783273,0.000730631,0.000730631,0.000730631,9.30156e-05,8.96929e-05,9.30156e-05,8.96929e-05,0,0,0,0,0,0,0,0,6.47826,6.47826,6.47826,6.47826,2.25034,2.25034,2.25034,2.25034,2.25034,2.25034,0.431871,0.431871,0,0,0,0
11,1,50,52,13,5,47,37,0,0,21,16,14,1,0,0,17,20,22,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.00175773,0.00175773,0.00168298,0.00168298,0.00175773,0.00175773,0.00168298,0.00168298,0.00078132,0.00078132,0.00078132,0.000729435,0.000729435,0.000729435,0.00078132,0.00078132,0.00078132,0.000729435,0.000729435,0.000729435,9.29224e-05,8.97797e-05,9.29224e-05,8.97797e-05,0,0,0,0,0,0,0,0,6.45086,6.45086,6.45086,6.45086,2.24082,2.24082,2.24082,2.24082,2.24082,2.24082,0.430045,0.430045,0,0,0,0
12,1,50,52,13,5,47,37,0,0,21,16,14,1,0,0,17,20,22,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.00175475,0.00175475,0.00168304,0.00168304,0.00175475,0.00175475,0.00168304,0.00168304,0.000780261,0.000780261,0.000780261,0.000729502,0.000729502,0.000729502,0.000780261,0.000780261,0.000780261,0.000729502,0.000729502,0.000729502,9.28787e-05,8.98205e-05,9.28787e-05,8.98205e-05,0,0,0,0,0,0,0,0,6.42415,6.42415,6.42415,6.42415,2.23155,2.23155,2.23155,2.23155,2.23155,2.23155,0.428264,0.428264,0,0,0,0
13,1,61,43,20,0,52,41,9,0,12,9,11,0,0,0,25,18,27,14,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0.00174989,0.00174989,0.00168218,0.00168218,0.00174989,0.00174989,0.00168218,0.00168218,0.000779181,0.000779181,0.000779181,0.000728788,0.000728788,0.000728788,0.000779181,0.000779181,0.000779181,0.000728788,0.000728788,0.000728788,9.27354e-05,8.99549e-05,9.27354e-05,8.99549e-05,0,0,0,0,0,0,0,0,6.39058,6.39058,6.39058,6.39058,2.21989,2.21989,2.21989,2.21989,2.21989,2.21989,0.426026,0.426026,0,0,0,0
14,1,61,43,20,0,52,41,9,0,12,9,11,0,0,0,25,18,27,14,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0.00174909,0.00174909,0.00167894,0.00167894,0.00174909,0.00174909,0.00167894,0.00167894,0.000778848,0.000778848,0.000778848,0.000727095,0.000727095,0.000727095,0.000778848,0.000778848,0.000778848,0.000727095,0.000727095,0.000727095,9.27619e-05,8.993e-05,9.27619e-05,8.993e-05,0,0,0,0,0,0,0,0,6.36319,6.36319,6.36319,6.36319,2.21037,2.21037,2.21037,2.21037,2.21037,2.21037,0.4242,0.4242,0,0,0,0
15,1,61,43,20,0,52,41,9,0,12,9,11,0,0,0,25,18,27,14,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0.00174558,0.00174558,0.0016741,0.0016741,0.00174558,0.00174558,0.0016741,0.0016741,0.000776673,0.000776673,0.000776673,0.000724997,0.000724997,0.000724997,0.000776673,0.000776673,0.000776673,0.000724997,0.000724997,0.000724997,9.2819e-05,8.98764e-05,9.2819e-05,8.98764e-05,0,0,0,0,0,0,0,0,6.33647,6.33647,6.33647,6.33647,2.20109,2.20109,2.20109,2.20109,2.20109,2.20109,0.422419,0.422419,0,0,0,0
16,1,61,43,20,0,52,41,9,0,12,9,11,0,0,0,25,18,27,14,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0.00174588,0.00174588,0.00167195,0.00167195,0.00174588,0.00174588,0.00167195,0.00167195,0.000776705,0.000776705,0.000776705,0.000723678,0.000723678,0.000723678,0.000776705,0.000776705,0.000776705,0.000723678,0.000723678,0.000723678,9.28749e-05,8.9824e-05,9.28749e-05,8.9824e-05,0,0,0,0,0,0,0,0,6.31661,6.31661,6.31661,6.31661,2.19419,2.19419,2.19419,2.19419,2.19419,2.19419,0.421095,0.421095,0,0,0,0
17,1,61,43,20,0,52,41,9,0,12,9,11,0,0,0,25,18,27,14,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0.00174322,0.00174322,0.00167143,0.00167143,0.00174322,0.00174322,0.00167143,0.00167143,0.00077496,0.00077496,0.00077496,0.000722203,0.000722203,0.000722203,0.00077496,0.00077496,0.00077496,0.000722203,0.000722203,0.000722203,9.28916e-05,8.98084e-05,9.28916e-05,8.98084e-05,0,0,0,0,0,0,0,0,6.29127,6.29127,6.29127,6.29127,2.18539,2.18539,2.18539,2.18539,2.18539,2.18539,0.419405,0.419405,0,0,0,0
18,1,61,43,20,0,52,41,9,0,12,9,11,0,0,0,25,18,27,14,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0.00174254,0.00174254,0.0016697,0.0016697,0.00174254,0.00174254,0.0016697,0.0016697,0.000774436,0.000774436,0.000774436,0.000721115,0.000721115,0.000721115,0.000774436,0.000774436,0.000774436,0.000721115,0.000721115,0.000721115,9.29276e-05,8.97748e-05,9.29276e-05,8.97748e-05,0,0,0,0,0,0,0,0,6.2714,6.2714,6.2714,6.2714,2.17849,2.17849,2.17849,2.17849,2.17849,2.17849,0.418081,0.418081,0,0,0,0
19,1,61,43,20,0,52,41,9,0,12,9,11,0,0,0,25,18,27,14,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0.00174045,0.00174045,0.00166656,0.00166656,0.00174045,0.00174045,0.00166656,0.00166656,0.00077374,0.00077374,0.00077374,0.000719555,0.000719555,0.000719555,0.00077374,0.00077374,0.00077374,0.000719555,0.000719555,0.000719555,9.29147e-05,8.97868e-05,9.29147e-05,8.97868e-05,0,0,0,0,0,0,0,0,6.24126,6.24126,6.24126,6.24126,2.16802,2.16802,2.16802,2.16802,2.16802,2.16802,0.416072,0.416072,0,0,0,0
