Time,NodeID,Alleles,VectorPopulation,STATE_MALE,VectorPopulationNumDied,MaleNumDied,VectorPopulationAvgAgeAtDeath,MaleAvgAgeAtDeath
27,1,X1,167492,83529,16482,8271,3.08118,3.07726
27,1,X2,82022,41506,8132,4029,3.11461,3.10002
27,1,Y1,0,75025,0,7292,0,3.09339
27,1,Y2,0,50010,0,5008,0,3.07208
28,1,X1,172347,85994,18051,8972,3.59914,3.56743
28,1,X2,84247,42649,8673,4328,3.65986,3.64857
28,1,Y1,0,77439,0,7947,0,3.58123
28,1,Y2,0,51204,0,5353,0,3.61255
29,1,X1,175084,87635,18518,9037,4.12858,4.15359
29,1,X2,85738,43256,9090,4713,4.14422,4.15086
29,1,Y1,0,78768,0,8236,0,4.13757
29,1,Y2,0,52123,0,5514,0,4.17519
30,1,X1,175128,87494,18929,9415,4.63316,4.62985
30,1,X2,85686,43307,9295,4667,4.67595,4.67195
30,1,Y1,0,78948,0,8403,0,4.65215
30,1,Y2,0,51853,0,5679,0,4.63145
31,1,X1,170889,85458,19193,9556,5.15568,5.16702
31,1,X2,83159,42161,9401,4719,5.16147,5.20937
31,1,Y1,0,77044,0,8662,0,5.19938
31,1,Y2,0,50575,0,5613,0,5.15268
32,1,X1,165575,82949,19011,9430,5.76324,5.82312
32,1,X2,80949,40810,9355,4808,5.80684,5.82945
32,1,Y1,0,74634,0,8513,0,5.77775
32,1,Y2,0,49125,0,5725,0,5.8959
33,1,X1,158335,79508,18966,9441,6.31103,6.3041
33,1,X2,77295,38994,9122,4654,6.39301,6.39622
33,1,Y1,0,71507,0,8485,0,6.3208
33,1,Y2,0,46995,0,5610,0,6.35526
34,1,X1,149034,75195,18243,9207,6.90051,6.99337
34,1,X2,72736,36664,8941,4387,6.90929,6.97926
34,1,Y1,0,67322,0,8243,0,6.96409
34,1,Y2,0,44537,0,5351,0,7.02691
35,1,X1,139918,70888,17797,8800,7.61685,7.5375
35,1,X2,68906,34534,8491,4388,7.57119,7.59731
35,1,Y1,0,63372,0,7986,0,7.56649
35,1,Y2,0,42050,0,5202,0,7.54344
