Time,NodeID,NodeEventName,NumIndividuals,NumInfected,Geographic:A:NumIndividuals,Geographic:A:NumInfected,Geographic:B:NumIndividuals,Geographic:B:NumInfected,Geographic:C:NumIndividuals,Geographic:C:NumInfected,Geographic:D:NumIndividuals,Geographic:D:NumInfected
10,340461476,Negative_Event_Node,1000,0,247,0,242,0,236,0,275,0
15,340461476,Negative_Event_Node,1000,0,247,0,242,0,236,0,275,0
20,340461476,Negative_Event_Node,1000,0,247,0,242,0,236,0,275,0
25,340461476,Negative_Event_Node,1000,0,247,0,242,0,236,0,275,0
101,340461476,Negative_Event_Node,1000,208,248,208,243,0,235,0,274,0
106,340461476,Negative_Event_Node,1000,300,248,116,243,184,235,0,274,0
111,340461476,Positive_Event_Node,1000,353,248,62,243,158,235,133,274,0
116,340461476,Positive_Event_Node,999,350,248,28,243,66,234,177,274,79
121,340461476,Positive_Event_Node,999,350,248,17,243,31,234,89,274,213
126,340461476,Positive_Event_Node,999,210,248,11,243,16,234,43,274,140
350,340461476,Negative_Event_Node,1002,0,250,0,242,0,235,0,275,0
355,340461476,Negative_Event_Node,1002,0,250,0,242,0,235,0,275,0
360,340461476,Negative_Event_Node,1002,0,250,0,242,0,235,0,275,0
365,340461476,Negative_Event_Node,1002,0,250,0,242,0,235,0,275,0
401,340461476,Negative_Event_Node,1002,106,250,106,242,0,235,0,275,0
406,340461476,Negative_Event_Node,1002,187,250,51,242,136,235,0,275,0
411,340461476,Negative_Event_Node,1002,261,250,27,242,170,235,64,275,0
416,340461476,Positive_Event_Node,1002,291,250,7,242,101,235,154,275,29
421,340461476,Positive_Event_Node,1002,332,250,4,242,56,235,117,275,155
426,340461476,Positive_Event_Node,1002,263,250,2,242,33,235,59,275,169
700,340461476,Negative_Event_Node,1006,0,252,0,242,0,237,0,275,0
705,340461476,Negative_Event_Node,1006,0,252,0,242,0,237,0,275,0
710,340461476,Negative_Event_Node,1006,0,252,0,242,0,237,0,275,0
715,340461476,Negative_Event_Node,1006,0,252,0,242,0,237,0,275,0
