Vector/1_Vector_Sandbox,4,5,4,,,
Vector/2_Vector_Namawala_SugarTrap_EveryFeedFeed,12,12,12,,,
Vector/6_Vector_Namawala_Oviposition,11,11,11,,,
Vector/21_Vector_Garki,283,274,278,224,223,
Vector/28_Vector_ScaleLarvalHabitat,8,7,7,,,
Vector/66_Vector_Genetics_OneGene_InitialDiversity,23,24,24,18,19,
Vector/67_Vector_Genetics_TwoGenes_InitialDiversity,165,157,155,108,113,
Vector/68_Vector_Genetics_OneGene_DiversityByRelease,11,11,11,8,9,
Vector/69_Vector_Genetics_OneGene_DiversityByRelease_MultiNode,50,51,51,47,47,
Vector/70_Vector_Genetics_TwoGenes_DiversityByRelease,169,117,117,116,111,
Vector/71_Vector_Genetics_TwoGenes_DiversityByRelease_MultiNode,96,99,100,87,90,
Vector/72_Vector_Genetics_Classic,118,110,112,111,118,
Vector/73_Vector_Genetics_Integral_OneDriverOneEffector,108,110,154,110,112,
Vector/74_Vector_Genetics_Integral_TwoDriversOneEffector,495,190,193,195,183,
Vector/75_Vector_Genetics_Integral_TwoDriversTwoEffectors,2304,450,457,475,420,0.115789474
Vector/78_Vector_Genetics_OneGene_MaleLifeExpectancy,6,9,8,,,
Vector/79_Vector_Genetics_TooManyMales,4,4,4,,,
11_MultipleLarvalHabitats,,,26,,,
