Time, NodeID, Gender, AgeYears, NumIndividuals, NumInfected
19,2,M,125,87,0
19,2,F,40,78,0
19,2,F,80,67,0
19,2,F,125,83,0
19,1,M,40,84,0
19,1,M,80,82,0
19,1,M,125,78,0
19,1,F,40,77,0
19,1,F,80,91,0
19,1,F,125,94,0
20,2,M,40,93,0
20,2,M,80,81,0
20,2,M,125,86,0
20,2,F,40,77,0
20,2,F,80,73,0
20,2,F,125,87,0
20,1,M,40,82,4
20,1,M,80,89,71
20,1,M,125,79,8
20,1,F,40,78,7
20,1,F,80,85,5
20,1,F,125,90,5
21,2,M,40,99,0
21,2,M,80,85,7
21,2,M,125,93,3
21,2,F,40,78,1
21,2,F,80,72,0
21,2,F,125,90,1
21,1,M,40,76,8
21,1,M,80,85,52
21,1,M,125,72,7
21,1,F,40,77,10
21,1,F,80,86,7
21,1,F,125,87,7
22,2,M,40,99,3
22,2,M,80,86,14
22,2,M,125,90,3
22,2,F,40,82,1
22,2,F,80,71,3
22,2,F,125,86,2
22,1,M,40,76,9
22,1,M,80,84,37
22,1,M,125,75,9
22,1,F,40,73,10
22,1,F,80,87,9
22,1,F,125,91,9
23,2,M,40,100,5
23,2,M,80,92,17
23,2,M,125,93,4
23,2,F,40,77,3
23,2,F,80,77,4
23,2,F,125,82,4
23,1,M,40,75,10
23,1,M,80,78,31
23,1,M,125,72,9
23,1,F,40,78,10
23,1,F,80,81,10
23,1,F,125,95,10
24,2,M,40,98,5
24,2,M,80,95,18
24,2,M,125,89,4
24,2,F,40,78,4
24,2,F,80,79,6
24,2,F,125,89,6
24,1,M,40,77,13
24,1,M,80,75,24
24,1,M,125,76,12
24,1,F,40,77,9
24,1,F,80,79,11
24,1,F,125,88,12
25,2,M,40,102,7
25,2,M,80,96,17
25,2,M,125,91,4
25,2,F,40,84,6
25,2,F,80,76,7
25,2,F,125,90,6
25,1,M,40,73,12
25,1,M,80,74,18
25,1,M,125,74,13
25,1,F,40,71,8
25,1,F,80,82,11
25,1,F,125,87,13
26,2,M,40,102,7
26,2,M,80,95,17
26,2,M,125,92,6
26,2,F,40,79,7
26,2,F,80,81,7
26,2,F,125,89,8
26,1,M,40,73,13
26,1,M,80,75,16
26,1,M,125,73,13
26,1,F,40,76,8
26,1,F,80,77,10
26,1,F,125,88,14
27,2,M,40,91,11
27,2,M,80,89,13
27,2,M,125,94,8
27,2,F,40,78,10
27,2,F,80,77,9
27,2,F,125,89,11
27,1,M,40,84,14
27,1,M,80,81,16
27,1,M,125,71,14
27,1,F,40,77,11
27,1,F,80,80,11
27,1,F,125,89,13
28,2,M,40,89,12
28,2,M,80,83,15
28,2,M,125,83,9
28,2,F,40,87,9
28,2,F,80,83,10
28,2,F,125,89,10
28,1,M,40,86,17
28,1,M,80,87,13
28,1,M,125,82,16
28,1,F,40,68,14
28,1,F,80,74,13
28,1,F,125,89,16
29,2,M,40,87,13
29,2,M,80,87,14
29,2,M,125,84,9
29,2,F,40,90,11
29,2,F,80,75,8
29,2,F,125,95,10
29,1,M,40,88,15
29,1,M,80,83,8
29,1,M,125,81,17
29,1,F,40,65,14
29,1,F,80,82,17
29,1,F,125,83,18
30,2,M,40,90,13
30,2,M,80,87,15
30,2,M,125,81,8
30,2,F,40,90,8
30,2,F,80,77,11
30,2,F,125,96,11
30,1,M,40,85,19
30,1,M,80,83,7
30,1,M,125,84,16
30,1,F,40,65,15
30,1,F,80,80,17
30,1,F,125,82,19
31,2,M,40,94,16
31,2,M,80,88,14
31,2,M,125,79,11
31,2,F,40,78,11
31,2,F,80,73,13
31,2,F,125,95,11
31,1,M,40,81,19
31,1,M,80,82,5
31,1,M,125,86,15
31,1,F,40,77,17
31,1,F,80,84,14
31,1,F,125,83,18
32,2,M,40,93,14
32,2,M,80,89,15
32,2,M,125,79,12
32,2,F,40,82,10
32,2,F,80,79,13
32,2,F,125,89,9
32,1,M,40,82,23
32,1,M,80,81,6
32,1,M,125,86,14
32,1,F,40,73,17
32,1,F,80,78,15
32,1,F,125,89,19
33,2,M,40,88,16
33,2,M,80,87,11
33,2,M,125,74,11
33,2,F,40,76,7
33,2,F,80,84,16
33,2,F,125,99,13
33,1,M,40,87,26
33,1,M,80,83,8
33,1,M,125,91,19
33,1,F,40,79,22
33,1,F,80,73,13
33,1,F,125,79,13
34,2,M,40,91,18
34,2,M,80,92,9
34,2,M,125,80,19
34,2,F,40,73,7
34,2,F,80,83,18
34,2,F,125,95,14
34,1,M,40,84,19
34,1,M,80,78,9
34,1,M,125,85,12
34,1,F,40,82,22
34,1,F,80,74,15
34,1,F,125,83,11
35,2,M,40,98,19
35,2,M,80,86,9
35,2,M,125,81,17
35,2,F,40,70,9
35,2,F,80,82,18
35,2,F,125,97,17
35,1,M,40,77,16
35,1,M,80,84,9
35,1,M,125,84,13
35,1,F,40,85,19
35,1,F,80,75,17
35,1,F,125,81,13
36,2,M,40,90,16
36,2,M,80,84,7
36,2,M,125,78,18
36,2,F,40,69,10
36,2,F,80,85,24
36,2,F,125,87,15
36,1,M,40,85,21
36,1,M,80,86,9
36,1,M,125,87,14
36,1,F,40,86,15
36,1,F,80,72,12
36,1,F,125,91,15
37,2,M,40,89,18
37,2,M,80,84,4
37,2,M,125,73,17
37,2,F,40,71,14
37,2,F,80,80,21
37,2,F,125,87,14
37,1,M,40,86,18
37,1,M,80,86,12
37,1,M,125,92,15
37,1,F,40,84,13
37,1,F,80,77,15
37,1,F,125,91,15
38,2,M,40,80,18
38,2,M,80,78,3
38,2,M,125,72,17
38,2,F,40,71,13
38,2,F,80,84,22
38,2,F,125,84,16
38,1,M,40,95,17
38,1,M,80,92,11
38,1,M,125,93,17
38,1,F,40,84,14
38,1,F,80,73,14
38,1,F,125,94,16
39,2,M,40,83,17
39,2,M,80,80,4
39,2,M,125,78,19
39,2,F,40,72,15
39,2,F,80,90,23
39,2,F,125,90,20
39,1,M,40,92,20
39,1,M,80,90,9
39,1,M,125,87,19
39,1,F,40,83,15
39,1,F,80,67,10
39,1,F,125,88,14
40,2,M,40,85,18
40,2,M,80,84,4
40,2,M,125,77,20
40,2,F,40,70,13
40,2,F,80,91,19
40,2,F,125,87,23
40,1,M,40,90,20
40,1,M,80,86,8
40,1,M,125,88,17
40,1,F,40,85,18
40,1,F,80,66,13
40,1,F,125,91,16
41,2,M,40,85,18
41,2,M,80,81,6
41,2,M,125,75,20
41,2,F,40,73,12
41,2,F,80,93,18
41,2,F,125,87,20
41,1,M,40,90,21
41,1,M,80,89,7
41,1,M,125,90,20
41,1,F,40,82,22
41,1,F,80,64,14
41,1,F,125,91,18
42,2,M,40,82,19
42,2,M,80,82,5
42,2,M,125,72,16
42,2,F,40,75,10
42,2,F,80,84,14
42,2,F,125,88,19
42,1,M,40,93,22
42,1,M,80,88,9
42,1,M,125,93,19
42,1,F,40,80,20
42,1,F,80,73,14
42,1,F,125,90,20
43,2,M,40,82,21
43,2,M,80,85,5
43,2,M,125,74,15
43,2,F,40,75,11
43,2,F,80,78,11
43,2,F,125,85,15
43,1,M,40,93,21
43,1,M,80,85,7
43,1,M,125,91,18
43,1,F,40,80,18
43,1,F,80,79,15
43,1,F,125,93,23
44,2,M,40,88,23
44,2,M,80,89,7
44,2,M,125,76,13
44,2,F,40,78,16
44,2,F,80,78,11
44,2,F,125,81,11
44,1,M,40,87,15
44,1,M,80,81,7
44,1,M,125,89,18
44,1,F,40,77,20
44,1,F,80,79,17
44,1,F,125,97,27
45,2,M,40,85,24
45,2,M,80,88,8
45,2,M,125,79,15
45,2,F,40,73,16
45,2,F,80,80,12
45,2,F,125,90,14
45,1,M,40,90,16
45,1,M,80,82,10
45,1,M,125,86,12
45,1,F,40,82,19
45,1,F,80,77,19
45,1,F,125,88,26
46,2,M,40,87,22
46,2,M,80,86,7
46,2,M,125,82,14
46,2,F,40,72,17
46,2,F,80,78,13
46,2,F,125,88,16
46,1,M,40,88,18
46,1,M,80,84,11
46,1,M,125,83,13
46,1,F,40,83,20
46,1,F,80,79,18
46,1,F,125,90,24
47,2,M,40,89,25
47,2,M,80,92,7
47,2,M,125,88,15
47,2,F,40,71,16
47,2,F,80,85,13
47,2,F,125,91,15
47,1,M,40,86,14
47,1,M,80,78,10
47,1,M,125,77,13
47,1,F,40,84,17
47,1,F,80,72,15
47,1,F,125,87,21
48,2,M,40,89,27
48,2,M,80,90,6
48,2,M,125,86,18
48,2,F,40,72,15
48,2,F,80,89,14
48,2,F,125,89,11
48,1,M,40,86,13
48,1,M,80,80,10
48,1,M,125,79,13
48,1,F,40,83,17
