Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
110,1,55,56.6029,57,0,F,601,1657,51.6703,23.1821,2,BROKEUP
82,1,41,69.4102,70,1,F,1350,1386,36.4788,51.8978,11,BROKEUP
152,1,69,86.1222,87,0,F,1277,563,40.6843,29.7461,6,BROKEUP
183,1,76,93.9458,94,0,F,1270,1256,32.3671,22.0592,8,BROKEUP
158,1,69,95.6337,96,0,F,1041,1274,44.8368,47.1641,15,BROKEUP
38,1,27,96.4151,97,0,F,1526,527,48.2175,40.126,27,BROKEUP
70,1,34,107.178,108,0,F,1092,1873,42.7133,28.6241,29,BROKEUP
40,1,27,109.933,110,0,F,723,1061,32.4528,47.0801,18,BROKEUP
151,1,69,116.915,117,0,F,916,514,37.2956,32.7327,20,BROKEUP
212,1,90,118.124,119,0,F,798,1538,53.8222,51.2022,9,BROKEUP
156,1,69,132.138,133,0,F,1346,1242,26.7509,31.312,27,BROKEUP
33,1,20,154.779,155,0,F,1456,1050,25.6987,26.6526,49,BROKEUP
109,1,55,155.598,156,0,F,1907,74,47.3302,52.3701,30,BROKEUP
39,1,27,160.252,161,0,F,584,1842,45.7193,37.0375,33,BROKEUP
43,1,27,161.597,162,1,F,1494,136,36.9378,21.4674,51,BROKEUP
143,1,62,163.031,164,0,F,1364,1814,19.7687,28.5534,39,BROKEUP
339,1,160,181.305,182,0,F,315,565,50.9778,54.9194,8,BROKEUP
154,1,69,182.341,183,0,F,44,46,25.4429,43.5532,34,BROKEUP
1,1,6,184.265,185,0,F,1117,185,20.1874,50.2376,49,BROKEUP
32,1,20,187.021,188,0,F,447,1557,31.4381,20.3576,54,BROKEUP
72,1,34,193.468,194,0,F,857,918,17.8281,21.4528,54,BROKEUP
265,1,125,194.038,195,0,F,1673,977,36.4284,27.6951,17,BROKEUP
294,1,139,212.581,213,0,F,780,1993,27.6861,29.1034,23,BROKEUP
389,1,195,220.394,221,0,F,1591,141,37.8229,33.3021,8,BROKEUP
5,1,13,221.397,222,0,F,273,550,31.681,34.3631,64,BROKEUP
182,1,76,227.465,228,0,F,1745,1958,23.4981,17.0295,42,BROKEUP
30,1,20,228.743,229,0,F,688,1173,25.8147,47.4421,75,BROKEUP
181,1,76,230.353,231,0,F,151,1023,28.5404,34.1891,54,BROKEUP
258,1,118,236.023,237,0,F,1855,1531,43.1857,18.6857,51,BROKEUP
218,1,97,239.094,240,0,F,1031,1223,28.5091,51.3947,39,BROKEUP
107,1,48,242.852,243,1,F,1370,659,20.3985,27.617,72,BROKEUP
187,1,83,245.11,246,0,F,2,249,48.034,36.99,47,BROKEUP
186,1,83,247.008,248,0,F,1830,493,30.4319,47.9203,54,BROKEUP
219,1,97,254.361,255,0,F,910,39,30.3799,28.7166,55,BROKEUP
29,1,20,260.421,261,0,F,128,1220,23.6554,54.7765,91,BROKEUP
35,1,20,272.839,273,0,F,805,1825,30.5858,34.4456,89,BROKEUP
266,1,125,277.612,278,0,F,1698,171,37.4148,49.9685,59,BROKEUP
267,1,125,277.011,278,0,F,401,750,52.9541,24.8851,49,BROKEUP
407,1,209,280.339,281,0,F,566,212,25.6093,34.0347,23,BROKEUP
6,1,13,284.575,285,0,F,919,1392,22.2402,33.6783,90,BROKEUP
271,1,125,284.956,285,1,F,771,519,27.9056,38.6879,70,BROKEUP
