Year, NodeId, Gender, Age, Population, Infected CD4 Under 200 (Not On ART), Infected CD4 200 To 349 (Not On ART), Infected CD4 350 To 499 (Not On ART), Infected CD4 500 Plus (Not On ART), Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative
1962.49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,9,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,10,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0
1962.49,1,0,11,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,14,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1962.49,1,0,15,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,17,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,18,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,19,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0
1962.49,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,22,3,1,0,1,1,3,0,0,0,0,0,0,0,0,0
1962.49,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,24,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,25,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,26,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0
1962.49,1,0,27,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,28,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,34,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,35,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,37,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,38,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0
1962.49,1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,40,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,42,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,43,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,46,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,47,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,51,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,53,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,63,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,77,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,5,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1962.49,1,1,6,3,0,1,1,1,3,0,0,0,0,0,0,0,0,0
1962.49,1,1,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,16,3,1,1,1,0,3,0,0,0,0,0,0,0,0,0
1962.49,1,1,17,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,18,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,19,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0
1962.49,1,1,20,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,21,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,22,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0
1962.49,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,24,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,26,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,27,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,28,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1962.49,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,30,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,35,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,36,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,37,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0
1962.49,1,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,41,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,46,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,48,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,50,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
1962.49,1,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,53,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,54,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,65,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.49,1,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.49,1,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,8,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,9,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,10,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,11,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,12,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,15,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1962.99,1,0,16,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,18,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,19,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,20,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0
1962.99,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,23,3,1,0,1,1,3,0,0,0,0,0,0,0,0,0
1962.99,1,0,24,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,25,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,26,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0
1962.99,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,28,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0
1962.99,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,35,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,36,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,37,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,38,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0
1962.99,1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,41,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,43,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0
1962.99,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,47,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1962.99,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,52,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,54,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1962.99,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.99,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
