Time,NodeID,Alleles,VectorPopulation,VectorPopulationNumDied,VectorPopulationAvgAgeAtDeath
0,1,X,8669,1331,3.1728
0,1,Y,0,0,0
0,1,a0,8669,1331,3.1728
0,1,a1,0,0,0
0,1,b0,8669,1331,3.1728
0,1,b1,0,0,0
0,1,a0.b0,8669,1331,3.1728
0,1,a1.b1,0,0,0
1,1,X,7481,1188,3.97138
1,1,Y,0,0,0
1,1,a0,7481,1188,3.97138
1,1,a1,0,0,0
1,1,b0,7481,1188,3.97138
1,1,b1,0,0,0
1,1,a0.b0,7481,1188,3.97138
1,1,a1.b1,0,0,0
2,1,X,6412,1069,4.78859
2,1,Y,0,0,0
2,1,a0,6412,1069,4.78859
2,1,a1,0,0,0
2,1,b0,6412,1069,4.78859
2,1,b1,0,0,0
2,1,a0.b0,6412,1069,4.78859
2,1,a1.b1,0,0,0
3,1,X,5513,899,6.22581
3,1,Y,0,0,0
3,1,a0,5513,899,6.22581
3,1,a1,0,0,0
3,1,b0,5513,899,6.22581
3,1,b1,0,0,0
3,1,a0.b0,5513,899,6.22581
3,1,a1.b1,0,0,0
4,1,X,4746,767,6.94915
4,1,Y,0,0,0
4,1,a0,4746,767,6.94915
4,1,a1,0,0,0
4,1,b0,4746,767,6.94915
4,1,b1,0,0,0
4,1,a0.b0,4746,767,6.94915
4,1,a1.b1,0,0,0
5,1,X,3990,756,7.80159
5,1,Y,0,0,0
5,1,a0,3990,756,7.80159
5,1,a1,0,0,0
5,1,b0,3990,756,7.80159
5,1,b1,0,0,0
5,1,a0.b0,3990,756,7.80159
5,1,a1.b1,0,0,0
6,1,X,3415,575,9.1687
6,1,Y,0,0,0
6,1,a0,3415,575,9.1687
6,1,a1,0,0,0
6,1,b0,3415,575,9.1687
6,1,b1,0,0,0
6,1,a0.b0,3415,575,9.1687
6,1,a1.b1,0,0,0
7,1,X,2875,540,10.0185
7,1,Y,0,0,0
7,1,a0,2875,540,10.0185
7,1,a1,0,0,0
7,1,b0,2875,540,10.0185
7,1,b1,0,0,0
7,1,a0.b0,2875,540,10.0185
7,1,a1.b1,0,0,0
8,1,X,2418,457,10.8775
8,1,Y,0,0,0
8,1,a0,2418,457,10.8775
8,1,a1,0,0,0
8,1,b0,2418,457,10.8775
8,1,b1,0,0,0
8,1,a0.b0,2418,457,10.8775
8,1,a1.b1,0,0,0
9,1,X,1978,440,12.2205
9,1,Y,0,0,0
9,1,a0,1978,440,12.2205
9,1,a1,0,0,0
9,1,b0,1978,440,12.2205
9,1,b1,0,0,0
9,1,a0.b0,1978,440,12.2205
9,1,a1.b1,0,0,0
10,1,X,1633,345,12.9855
10,1,Y,0,0,0
10,1,a0,1633,345,12.9855
10,1,a1,0,0,0
10,1,b0,1633,345,12.9855
10,1,b1,0,0,0
10,1,a0.b0,1633,345,12.9855
10,1,a1.b1,0,0,0
11,1,X,1346,287,13.8258
11,1,Y,0,0,0
11,1,a0,1346,287,13.8258
11,1,a1,0,0,0
11,1,b0,1346,287,13.8258
11,1,b1,0,0,0
11,1,a0.b0,1346,287,13.8258
11,1,a1.b1,0,0,0
12,1,X,1124,222,15.1351
12,1,Y,0,0,0
12,1,a0,1124,222,15.1351
12,1,a1,0,0,0
12,1,b0,1124,222,15.1351
12,1,b1,0,0,0
12,1,a0.b0,1124,222,15.1351
12,1,a1.b1,0,0,0
13,1,X,922,202,15.9653
13,1,Y,0,0,0
13,1,a0,922,202,15.9653
13,1,a1,0,0,0
13,1,b0,922,202,15.9653
13,1,b1,0,0,0
13,1,a0.b0,922,202,15.9653
13,1,a1.b1,0,0,0
14,1,X,736,186,16.8118
14,1,Y,0,0,0
14,1,a0,736,186,16.8118
14,1,a1,0,0,0
14,1,b0,736,186,16.8118
14,1,b1,0,0,0
14,1,a0.b0,736,186,16.8118
14,1,a1.b1,0,0,0
15,1,X,606,130,18.0923
15,1,Y,0,0,0
15,1,a0,606,130,18.0923
15,1,a1,0,0,0
15,1,b0,606,130,18.0923
15,1,b1,0,0,0
15,1,a0.b0,606,130,18.0923
15,1,a1.b1,0,0,0
16,1,X,498,108,18.7963
16,1,Y,0,0,0
16,1,a0,498,108,18.7963
16,1,a1,0,0,0
16,1,b0,498,108,18.7963
16,1,b1,0,0,0
16,1,a0.b0,498,108,18.7963
16,1,a1.b1,0,0,0
17,1,X,375,123,19.6829
17,1,Y,0,0,0
17,1,a0,375,123,19.6829
17,1,a1,0,0,0
17,1,b0,375,123,19.6829
17,1,b1,0,0,0
17,1,a0.b0,375,123,19.6829
17,1,a1.b1,0,0,0
18,1,X,303,72,21.0278
18,1,Y,0,0,0
18,1,a0,303,72,21.0278
18,1,a1,0,0,0
18,1,b0,303,72,21.0278
18,1,b1,0,0,0
18,1,a0.b0,303,72,21.0278
18,1,a1.b1,0,0,0
19,1,X,239,64,21.875
19,1,Y,0,0,0
19,1,a0,239,64,21.875
19,1,a1,0,0,0
19,1,b0,239,64,21.875
19,1,b1,0,0,0
19,1,a0.b0,239,64,21.875
19,1,a1.b1,0,0,0
20,1,X,186,53,22.6415
20,1,Y,0,0,0
20,1,a0,186,53,22.6415
20,1,a1,0,0,0
20,1,b0,186,53,22.6415
20,1,b1,0,0,0
20,1,a0.b0,186,53,22.6415
20,1,a1.b1,0,0,0
21,1,X,154,32,24.0938
21,1,Y,0,0,0
21,1,a0,154,32,24.0938
21,1,a1,0,0,0
21,1,b0,154,32,24.0938
21,1,b1,0,0,0
21,1,a0.b0,154,32,24.0938
21,1,a1.b1,0,0,0
22,1,X,23489,35,24.8
22,1,Y,0,0,0
22,1,a0,23489,35,24.8
22,1,a1,0,0,0
22,1,b0,23489,35,24.8
22,1,b1,0,0,0
22,1,a0.b0,23489,35,24.8
22,1,a1.b1,0,0,0
23,1,X,29327,4380,1.12032
23,1,Y,0,0,0
23,1,a0,29327,4380,1.12032
23,1,a1,0,0,0
23,1,b0,29327,4380,1.12032
23,1,b1,0,0,0
23,1,a0.b0,29327,4380,1.12032
23,1,a1.b1,0,0,0
24,1,X,36798,3942,1.59259
24,1,Y,0,0,0
24,1,a0,36798,3942,1.59259
24,1,a1,0,0,0
24,1,b0,36798,3942,1.59259
24,1,b1,0,0,0
24,1,a0.b0,36798,3942,1.59259
24,1,a1.b1,0,0,0
25,1,X,43363,4783,2.05331
25,1,Y,0,0,0
25,1,a0,43363,4783,2.05331
25,1,a1,0,0,0
25,1,b0,43363,4783,2.05331
25,1,b1,0,0,0
25,1,a0.b0,43363,4783,2.05331
25,1,a1.b1,0,0,0
26,1,X,47949,6881,2.71806
26,1,Y,0,0,0
26,1,a0,47949,6881,2.71806
26,1,a1,0,0,0
26,1,b0,47949,6881,2.71806
26,1,b1,0,0,0
26,1,a0.b0,47949,6881,2.71806
26,1,a1.b1,0,0,0
27,1,X,52772,6746,2.87489
27,1,Y,0,0,0
27,1,a0,52772,6746,2.87489
27,1,a1,0,0,0
27,1,b0,52772,6746,2.87489
27,1,b1,0,0,0
27,1,a0.b0,52772,6746,2.87489
27,1,a1.b1,0,0,0
28,1,X,57078,7257,3.12705
28,1,Y,0,0,0
28,1,a0,57078,7257,3.12705
28,1,a1,0,0,0
28,1,b0,57078,7257,3.12705
28,1,b1,0,0,0
28,1,a0.b0,57078,7257,3.12705
28,1,a1.b1,0,0,0
29,1,X,60228,8468,3.84329
29,1,Y,0,0,0
29,1,a0,60228,8468,3.84329
29,1,a1,0,0,0
29,1,b0,60228,8468,3.84329
29,1,b1,0,0,0
29,1,a0.b0,60228,8468,3.84329
29,1,a1.b1,0,0,0
30,1,X,62736,8395,3.88743
30,1,Y,0,0,0
30,1,a0,62736,8395,3.88743
30,1,a1,0,0,0
30,1,b0,62736,8395,3.88743
30,1,b1,0,0,0
30,1,a0.b0,62736,8395,3.88743
30,1,a1.b1,0,0,0
31,1,X,61551,8838,4.18104
31,1,Y,0,0,0
31,1,a0,61551,8838,4.18104
31,1,a1,0,0,0
31,1,b0,61551,8838,4.18104
31,1,b1,0,0,0
31,1,a0.b0,61551,8838,4.18104
31,1,a1.b1,0,0,0
32,1,X,59905,8687,5.02256
32,1,Y,0,0,0
32,1,a0,59905,8687,5.02256
32,1,a1,0,0,0
32,1,b0,59905,8687,5.02256
32,1,b1,0,0,0
32,1,a0.b0,59905,8687,5.02256
32,1,a1.b1,0,0,0
33,1,X,58205,8527,5.18095
33,1,Y,0,0,0
33,1,a0,58205,8527,5.18095
33,1,a1,0,0,0
33,1,b0,58205,8527,5.18095
33,1,b1,0,0,0
33,1,a0.b0,58205,8527,5.18095
33,1,a1.b1,0,0,0
34,1,X,54108,8441,5.53086
34,1,Y,0,0,0
34,1,a0,54108,8441,5.53086
34,1,a1,0,0,0
34,1,b0,54108,8441,5.53086
34,1,b1,0,0,0
34,1,a0.b0,54108,8441,5.53086
34,1,a1.b1,0,0,0
35,1,X,50050,7823,6.497
35,1,Y,0,0,0
35,1,a0,50050,7823,6.497
35,1,a1,0,0,0
35,1,b0,50050,7823,6.497
35,1,b1,0,0,0
35,1,a0.b0,50050,7823,6.497
35,1,a1.b1,0,0,0
36,1,X,46745,7375,6.79512
36,1,Y,0,0,0
36,1,a0,46745,7375,6.79512
36,1,a1,0,0,0
36,1,b0,46745,7375,6.79512
36,1,b1,0,0,0
36,1,a0.b0,46745,7375,6.79512
36,1,a1.b1,0,0,0
37,1,X,42097,6894,7.13519
37,1,Y,0,0,0
37,1,a0,42097,6894,7.13519
37,1,a1,0,0,0
37,1,b0,42097,6894,7.13519
37,1,b1,0,0,0
37,1,a0.b0,42097,6894,7.13519
37,1,a1.b1,0,0,0
38,1,X,37755,6161,8.04951
38,1,Y,0,0,0
38,1,a0,37755,6161,8.04951
38,1,a1,0,0,0
38,1,b0,37755,6161,8.04951
38,1,b1,0,0,0
38,1,a0.b0,37755,6161,8.04951
38,1,a1.b1,0,0,0
39,1,X,34268,5646,8.56854
39,1,Y,0,0,0
39,1,a0,34268,5646,8.56854
39,1,a1,0,0,0
39,1,b0,34268,5646,8.56854
39,1,b1,0,0,0
39,1,a0.b0,34268,5646,8.56854
39,1,a1.b1,0,0,0
40,1,X,30003,5375,9.02344
40,1,Y,0,0,0
40,1,a0,30003,5375,9.02344
40,1,a1,0,0,0
40,1,b0,30003,5375,9.02344
40,1,b1,0,0,0
40,1,a0.b0,30003,5375,9.02344
40,1,a1.b1,0,0,0
41,1,X,25958,4910,9.86558
41,1,Y,0,0,0
41,1,a0,25958,4910,9.86558
41,1,a1,0,0,0
41,1,b0,25958,4910,9.86558
41,1,b1,0,0,0
41,1,a0.b0,25958,4910,9.86558
41,1,a1.b1,0,0,0
42,1,X,22919,4088,10.4298
42,1,Y,0,0,0
42,1,a0,22919,4088,10.4298
42,1,a1,0,0,0
42,1,b0,22919,4088,10.4298
42,1,b1,0,0,0
42,1,a0.b0,22919,4088,10.4298
42,1,a1.b1,0,0,0
43,1,X,19854,3709,10.6333
43,1,Y,0,0,0
43,1,a0,19854,3709,10.6333
43,1,a1,0,0,0
43,1,b0,19854,3709,10.6333
43,1,b1,0,0,0
43,1,a0.b0,19854,3709,10.6333
43,1,a1.b1,0,0,0
44,1,X,17051,3217,11.6606
44,1,Y,0,0,0
44,1,a0,17051,3217,11.6606
44,1,a1,0,0,0
44,1,b0,17051,3217,11.6606
44,1,b1,0,0,0
44,1,a0.b0,17051,3217,11.6606
44,1,a1.b1,0,0,0
45,1,X,14759,2854,12.2348
45,1,Y,0,0,0
45,1,a0,14759,2854,12.2348
45,1,a1,0,0,0
45,1,b0,14759,2854,12.2348
45,1,b1,0,0,0
45,1,a0.b0,14759,2854,12.2348
45,1,a1.b1,0,0,0
46,1,X,12453,2606,12.4447
46,1,Y,0,0,0
46,1,a0,12453,2606,12.4447
46,1,a1,0,0,0
46,1,b0,12453,2606,12.4447
46,1,b1,0,0,0
46,1,a0.b0,12453,2606,12.4447
46,1,a1.b1,0,0,0
47,1,X,10602,2110,13.4469
47,1,Y,0,0,0
47,1,a0,10602,2110,13.4469
47,1,a1,0,0,0
47,1,b0,10602,2110,13.4469
47,1,b1,0,0,0
47,1,a0.b0,10602,2110,13.4469
47,1,a1.b1,0,0,0
48,1,X,123054,1817,13.7832
48,1,Y,0,0,0
48,1,a0,123054,1817,13.7832
48,1,a1,0,0,0
48,1,b0,123054,1817,13.7832
48,1,b1,0,0,0
48,1,a0.b0,123054,1817,13.7832
48,1,a1.b1,0,0,0
49,1,X,104051,22712,1.88191
49,1,Y,0,0,0
49,1,a0,104051,22712,1.88191
49,1,a1,0,0,0
49,1,b0,104051,22712,1.88191
49,1,b1,0,0,0
49,1,a0.b0,104051,22712,1.88191
49,1,a1.b1,0,0,0
50,1,X,106733,11583,3.41923
50,1,Y,0,0,0
50,1,a0,106733,11583,3.41923
50,1,a1,0,0,0
50,1,b0,106733,11583,3.41923
50,1,b1,0,0,0
50,1,a0.b0,106733,11583,3.41923
50,1,a1.b1,0,0,0
51,1,X,107394,12528,3.73252
51,1,Y,0,0,0
51,1,a0,107394,12528,3.73252
51,1,a1,0,0,0
51,1,b0,107394,12528,3.73252
51,1,b1,0,0,0
51,1,a0.b0,107394,12528,3.73252
51,1,a1.b1,0,0,0
52,1,X,100920,19153,4.06782
52,1,Y,0,0,0
52,1,a0,100920,19153,4.06782
52,1,a1,0,0,0
52,1,b0,100920,19153,4.06782
52,1,b1,0,0,0
52,1,a0.b0,100920,19153,4.06782
52,1,a1.b1,0,0,0
53,1,X,101307,12481,4.48946
53,1,Y,0,0,0
53,1,a0,101307,12481,4.48946
53,1,a1,0,0,0
53,1,b0,101307,12481,4.48946
53,1,b1,0,0,0
53,1,a0.b0,101307,12481,4.48946
53,1,a1.b1,0,0,0
54,1,X,100771,13360,4.88922
54,1,Y,0,0,0
54,1,a0,100771,13360,4.88922
54,1,a1,0,0,0
54,1,b0,100771,13360,4.88922
54,1,b1,0,0,0
54,1,a0.b0,100771,13360,4.88922
54,1,a1.b1,0,0,0
55,1,X,96025,17152,5.62383
55,1,Y,0,0,0
55,1,a0,96025,17152,5.62383
55,1,a1,0,0,0
55,1,b0,96025,17152,5.62383
55,1,b1,0,0,0
55,1,a0.b0,96025,17152,5.62383
55,1,a1.b1,0,0,0
56,1,X,95612,12701,5.41587
56,1,Y,0,0,0
56,1,a0,95612,12701,5.41587
56,1,a1,0,0,0
56,1,b0,95612,12701,5.41587
56,1,b1,0,0,0
56,1,a0.b0,95612,12701,5.41587
56,1,a1.b1,0,0,0
57,1,X,95166,13131,5.77565
57,1,Y,0,0,0
57,1,a0,95166,13131,5.77565
57,1,a1,0,0,0
57,1,b0,95166,13131,5.77565
57,1,b1,0,0,0
57,1,a0.b0,95166,13131,5.77565
57,1,a1.b1,0,0,0
58,1,X,91707,15667,6.56188
58,1,Y,0,0,0
58,1,a0,91707,15667,6.56188
58,1,a1,0,0,0
58,1,b0,91707,15667,6.56188
58,1,b1,0,0,0
58,1,a0.b0,91707,15667,6.56188
58,1,a1.b1,0,0,0
59,1,X,91241,12908,6.0234
59,1,Y,0,0,0
59,1,a0,91241,12908,6.0234
59,1,a1,0,0,0
59,1,b0,91241,12908,6.0234
59,1,b1,0,0,0
59,1,a0.b0,91241,12908,6.0234
59,1,a1.b1,0,0,0
60,1,X,90417,12972,6.32061
60,1,Y,0,0,0
60,1,a0,90417,12972,6.32061
60,1,a1,0,0,0
60,1,b0,90417,12972,6.32061
60,1,b1,0,0,0
60,1,a0.b0,90417,12972,6.32061
60,1,a1.b1,0,0,0
61,1,X,88187,14454,7.1457
61,1,Y,0,0,0
61,1,a0,88187,14454,7.1457
61,1,a1,0,0,0
61,1,b0,88187,14454,7.1457
61,1,b1,0,0,0
61,1,a0.b0,88187,14454,7.1457
61,1,a1.b1,0,0,0
62,1,X,87817,12707,6.52514
62,1,Y,0,0,0
62,1,a0,87817,12707,6.52514
62,1,a1,0,0,0
62,1,b0,87817,12707,6.52514
62,1,b1,0,0,0
62,1,a0.b0,87817,12707,6.52514
62,1,a1.b1,0,0,0
63,1,X,87387,12732,6.70649
63,1,Y,0,0,0
63,1,a0,87387,12732,6.70649
63,1,a1,0,0,0
63,1,b0,87387,12732,6.70649
63,1,b1,0,0,0
63,1,a0.b0,87387,12732,6.70649
63,1,a1.b1,0,0,0
64,1,X,85733,13727,7.39666
64,1,Y,0,0,0
64,1,a0,85733,13727,7.39666
64,1,a1,0,0,0
64,1,b0,85733,13727,7.39666
64,1,b1,0,0,0
64,1,a0.b0,85733,13727,7.39666
64,1,a1.b1,0,0,0
65,1,X,85234,12585,6.78149
65,1,Y,0,0,0
65,1,a0,85234,12585,6.78149
65,1,a1,0,0,0
65,1,b0,85234,12585,6.78149
65,1,b1,0,0,0
65,1,a0.b0,85234,12585,6.78149
65,1,a1.b1,0,0,0
66,1,X,105408,12780,7.00532
66,1,Y,0,0,0
66,1,a0,105408,12780,7.00532
66,1,a1,0,0,0
66,1,b0,105408,12780,7.00532
66,1,b1,0,0,0
66,1,a0.b0,105408,12780,7.00532
66,1,a1.b1,0,0,0
67,1,X,99102,17091,5.86075
67,1,Y,0,0,0
67,1,a0,99102,17091,5.86075
67,1,a1,0,0,0
67,1,b0,99102,17091,5.86075
67,1,b1,0,0,0
67,1,a0.b0,99102,17091,5.86075
67,1,a1.b1,0,0,0
68,1,X,100170,14013,6.43481
68,1,Y,0,0,0
68,1,a0,100170,14013,6.43481
68,1,a1,0,0,0
68,1,b0,100170,14013,6.43481
68,1,b1,0,0,0
68,1,a0.b0,100170,14013,6.43481
68,1,a1.b1,0,0,0
69,1,X,99879,14413,6.29564
69,1,Y,0,0,0
69,1,a0,99879,14413,6.29564
69,1,a1,0,0,0
69,1,b0,99879,14413,6.29564
69,1,b1,0,0,0
69,1,a0.b0,99879,14413,6.29564
69,1,a1.b1,0,0,0
70,1,X,98576,15626,6.36017
70,1,Y,0,0,0
70,1,a0,98576,15626,6.36017
70,1,a1,0,0,0
70,1,b0,98576,15626,6.36017
70,1,b1,0,0,0
70,1,a0.b0,98576,15626,6.36017
70,1,a1.b1,0,0,0
71,1,X,98610,14297,6.45793
71,1,Y,0,0,0
71,1,a0,98610,14297,6.45793
71,1,a1,0,0,0
71,1,b0,98610,14297,6.45793
71,1,b1,0,0,0
71,1,a0.b0,98610,14297,6.45793
71,1,a1.b1,0,0,0
72,1,X,98549,14481,6.52248
72,1,Y,0,0,0
72,1,a0,98549,14481,6.52248
72,1,a1,0,0,0
72,1,b0,98549,14481,6.52248
72,1,b1,0,0,0
72,1,a0.b0,98549,14481,6.52248
72,1,a1.b1,0,0,0
73,1,X,97583,15089,6.61044
73,1,Y,0,0,0
73,1,a0,97583,15089,6.61044
73,1,a1,0,0,0
73,1,b0,97583,15089,6.61044
73,1,b1,0,0,0
73,1,a0.b0,97583,15089,6.61044
73,1,a1.b1,0,0,0
74,1,X,97696,14197,6.56399
74,1,Y,0,0,0
74,1,a0,97696,14197,6.56399
74,1,a1,0,0,0
74,1,b0,97696,14197,6.56399
74,1,b1,0,0,0
74,1,a0.b0,97696,14197,6.56399
74,1,a1.b1,0,0,0
75,1,X,97252,14525,6.56675
75,1,Y,0,0,0
75,1,a0,97252,14525,6.56675
75,1,a1,0,0,0
75,1,b0,97252,14525,6.56675
75,1,b1,0,0,0
75,1,a0.b0,97252,14525,6.56675
75,1,a1.b1,0,0,0
