Year, NodeId, Gender, HasHIV, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Vaccine47),Vaccinated,VaccineExpired
1960.5,1,0,0,0,148,0,0,0,10,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,151,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,2,139,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,3,146,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,4,114,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,5,132,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,6,119,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,7,105,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,8,115,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,9,129,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,10,97,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,11,109,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,12,97,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,13,104,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,14,105,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,15,80,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,16,98,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,17,87,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,18,76,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,19,66,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,20,88,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,21,71,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,22,76,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,23,59,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,24,54,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,25,69,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,26,55,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,27,73,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,28,65,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,29,55,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,31,39,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,33,60,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,34,48,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,35,45,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,36,52,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,37,38,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,38,49,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,39,48,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,40,52,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,41,47,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,42,36,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,43,48,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,44,44,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,45,47,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,46,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,47,36,0,0,0,0,0,0,0,0,0,0,0,0,0
