Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
1,26,0,805,0,0,805,787,0,26907,52200,26100,0,0,0,0,0,0,99,0,0,62963.2,1485.15,2836.69,1,0.186562,0.291156,0,0,0
1,24,10,80,0,0,80,81,0,2292,4800,2400,19,0,5,0,0,0,9,0,0,2238.16,56.7575,122.685,1,0.106607,0.191071,0,0,0
1,22,0,331,0,0,331,333,0,11778,22200,11100,0,0,0,0,0,0,28,0,0,33181.6,734.575,1401.85,1,0.240726,0.293955,0,0,0
1,20,10,87,0,0,87,74,0,1861,6200,3100,25,0,6,0,0,0,7,0,0,2638.16,74.7575,135.685,1,0.0466406,0.169841,0,0,0
1,18,11,89,0,0,89,69,0,2440,5400,2700,21,0,5,0,0,0,6,0,0,2038.16,69.7575,161.685,1,0.0932812,0.138961,0,0,0
1,16,0,310,0,0,310,324,0,12102,21600,10800,0,0,0,0,0,0,51,0,0,32781.6,736.575,1475.85,1,0.201689,0.272958,0,0,0
1,14,0,85,0,0,85,79,0,2486,4000,2000,0,0,0,0,0,0,4,0,0,2038.16,74.7575,110.685,1,0.0678409,0.109183,0,0,0
1,12,15,79,0,0,79,74,0,1874,6200,3100,25,0,4,0,0,0,9,0,0,2638.16,55.7575,141.685,1,0.14925,0.218367,0,0,0
1,10,10,38,0,0,38,42,0,1031,3600,1800,16,0,2,0,0,0,8,0,0,1219.08,24.3788,80.3424,1,0.124375,0.254761,0,0,0
1,8,11,76,0,0,76,81,0,2685,4800,2400,20,0,3,0,0,0,17,0,0,1838.16,49.7575,136.685,1,0.074625,0.138961,0,0,0
1,6,10,85,0,0,85,85,0,2848,4600,2300,18,0,3,0,0,0,8,0,0,1638.16,73.7575,149.685,1,0.106607,0.0955354,0,0,0
1,4,5,40,0,0,40,39,0,1234,3000,1500,14,0,1,0,0,0,6,0,0,1019.08,22.3788,79.3424,1,0.074625,0.152857,0,0,0
1,2,10,71,0,0,71,74,0,2266,4400,2200,18,0,2,0,0,0,10,0,0,2238.16,64.7575,140.685,1,0.0574038,0.117582,0,0,0
2,25,1,70,0,0,70,70,0,4002,4400,2200,19,0,3,0,0,0,10,0,0,1884.02,94.5299,169.446,1,0.0307989,0.0753804,0,0,0
2,23,13,132,0,0,132,143,0,8664,9000,4500,36,0,8,0,0,0,22,0,0,20789.1,439.65,857.231,1,0.152828,0.158685,0,0,0
2,21,0,296,0,0,296,283,0,20148,18400,9200,0,0,0,0,0,0,29,0,0,38834.2,857.299,1660.46,1,0.127351,0.180621,0,0,0
2,19,10,63,0,0,63,76,0,3617,4600,2300,20,0,3,0,0,0,9,0,0,2278.02,89.5299,165.446,1,0.0504734,0.112632,0,0,0
2,17,5,152,0,0,152,140,0,9380,11400,5700,42,0,12,0,0,0,15,0,0,20111.1,434.65,824.231,1,0.123496,0.162482,0,0,0
2,15,7,73,0,0,73,69,0,3424,6400,3200,26,0,2,0,0,0,8,0,0,2475.02,80.5299,170.446,1,0.0303788,0.0892693,0,0,0
2,13,10,70,0,0,70,74,0,4035,5800,2900,24,0,4,0,0,0,7,0,0,1858.02,78.5299,178.446,1,0.149596,0.0788424,0,0,0
2,11,11,149,0,0,149,145,0,9298,9000,4500,35,0,8,0,0,0,13,0,0,20153.1,430.65,868.231,1,0.104937,0.160096,0,0,0
2,9,9,69,0,0,69,69,0,3864,5000,2500,20,0,3,0,0,0,11,0,0,2046.02,81.5299,158.446,1,0.0292234,0.0870471,0,0,0
2,7,0,82,0,0,82,85,0,3712,5600,2800,0,0,0,0,0,0,10,0,0,2205.02,89.5299,143.446,1,0.0348653,0.0541095,0,0,0
2,5,14,33,0,0,33,31,0,1822,2400,1200,12,0,0,0,0,0,5,0,0,1114.51,45.765,92.7231,1,0.0304734,0.105428,0,0,0
2,3,1,78,0,0,78,73,0,4405,5400,2700,23,0,3,0,0,0,15,0,0,1514.02,89.5299,141.446,0.806977,0.100947,0.048816,0,0,0
2,1,7,62,0,0,62,58,0,3671,4000,2000,19,0,1,0,0,0,6,0,0,2213.02,98.5299,167.446,1,0.0438788,0.080936,0,0,0
2,26,0,705,0,0,705,713,0,40860,50600,25300,0,0,0,0,0,0,100,0,0,77053.3,1727.6,3358.92,1,0.0873618,0.123334,0,0,0
2,24,10,74,0,0,74,69,0,3803,6400,3200,23,0,8,0,0,0,6,0,0,2053.02,104.53,189.446,1,0.0405411,0.0681582,0,0,0
2,22,0,293,0,0,293,288,0,18738,19600,9800,0,0,0,0,0,0,38,0,0,40166.2,919.299,1676.46,1,0.104939,0.152375,0,0,0
2,20,10,77,0,0,77,66,0,3927,5000,2500,17,0,3,0,0,0,10,0,0,1989.02,96.5299,137.446,1,0.0373788,0.0616749,0,0,0
2,18,10,77,0,0,77,62,0,4056,5800,2900,25,0,4,0,0,0,12,0,0,1849.02,89.5299,155.446,1,0.0387542,0.0808424,0,0,0
2,16,0,271,0,0,271,288,0,20835,15800,7900,0,0,0,0,0,0,39,0,0,38225.2,815.299,1624.46,1,0.102302,0.217036,0,0,0
