Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
1,15,10,94,0,0,94,83,0,1847,7200,3600,34,0,4,0,0,0,11,0,0,23,19,2638.16,74.7575,149.685,1,0.0829167,0.109183,0,0,0
1,14,0,88,0,0,88,85,0,3068,4600,2300,0,0,0,0,0,0,10,0,0,17,10,1438.16,61.7575,141.685,1,0.074625,0.127381,0,0,0
1,13,21,79,0,0,79,83,0,2249,6000,3000,25,0,4,0,0,0,7,0,0,17,14,2238.16,63.7575,158.685,1,0.0829167,0.218367,0,0,0
1,12,29,100,0,0,100,74,0,2833,6200,3100,31,0,4,0,0,0,4,0,0,31,14,1638.16,61.7575,176.685,1,0.0678409,0.127381,0,0,0
1,11,19,153,0,0,153,153,0,5648,11600,5800,58,0,6,0,0,0,16,0,0,32,16,16790.8,377.787,731.423,1,0.162228,0.332297,0,0,0
1,10,20,60,0,0,60,40,0,1436,4000,2000,19,0,5,0,0,0,6,0,0,8,13,819.081,25.3788,74.3424,1,0.074625,0.191071,0,0,0
1,9,21,85,0,0,85,78,0,1452,6800,3400,28,0,8,0,0,0,7,0,0,22,10,3038.16,81.7575,137.685,1,0.106607,0.254761,0,0,0
1,8,22,73,0,0,73,74,0,1671,3800,1900,21,0,4,0,0,0,9,0,0,17,7,2838.16,90.7575,109.685,1,0.0829167,0.254761,0,0,0
1,7,0,92,0,0,92,75,0,2663,5800,2900,0,0,0,0,0,0,9,0,0,18,14,1838.16,77.7575,130.685,1,0.0574038,0.109183,0,0,0
1,6,22,98,0,0,98,83,0,2261,7600,3800,33,0,9,0,0,0,9,0,0,19,14,2238.16,60.7575,149.685,1,0.0533036,0.138961,0,0,0
1,5,28,52,0,0,52,40,0,1020,3000,1500,16,0,1,0,0,0,2,0,0,3,4,1219.08,48.3788,67.3424,1,0.186562,0.127381,0,0,0
1,4,10,55,0,0,55,45,0,605,3600,1800,11,0,5,0,0,0,5,0,0,12,7,1619.08,41.3788,89.3424,1,0.074625,0.127381,0,0,0
1,3,3,86,0,0,86,82,0,2217,5600,2800,28,0,5,0,0,0,13,0,0,17,7,2238.16,81.7575,172.685,1,0.106607,0.0955354,0,0,0
