Time,NodeID,Alleles,VectorPopulation
58,1,Bd,0
58,1,Bm,0
58,1,Bw,92436
58,1,Ce,0
58,1,Cm,0
58,1,Cw,92436
58,1,X,92436
58,1,Y,0
59,1,Ad,0
59,1,Am,0
59,1,Aw,91705
59,1,Bd,0
59,1,Bm,0
59,1,Bw,91705
59,1,Ce,0
59,1,Cm,0
59,1,Cw,91705
59,1,X,91705
59,1,Y,0
60,1,Ad,0
60,1,Am,0
60,1,Aw,90514
60,1,Bd,0
60,1,Bm,0
60,1,Bw,90514
60,1,Ce,0
60,1,Cm,0
60,1,Cw,90514
60,1,X,90514
60,1,Y,0
61,1,Ad,0
61,1,Am,0
61,1,Aw,88141
61,1,Bd,0
61,1,Bm,0
61,1,Bw,88141
61,1,Ce,0
61,1,Cm,0
61,1,Cw,88141
61,1,X,88141
61,1,Y,0
62,1,Ad,0
62,1,Am,0
62,1,Aw,87510
62,1,Bd,0
62,1,Bm,0
62,1,Bw,87510
62,1,Ce,0
62,1,Cm,0
62,1,Cw,87510
62,1,X,87510
62,1,Y,0
63,1,Ad,0
63,1,Am,0
63,1,Aw,87039
63,1,Bd,0
63,1,Bm,0
63,1,Bw,87039
63,1,Ce,0
63,1,Cm,0
63,1,Cw,87039
63,1,X,87039
63,1,Y,0
64,1,Ad,0
64,1,Am,0
64,1,Aw,85601
64,1,Bd,0
64,1,Bm,0
64,1,Bw,85601
64,1,Ce,0
64,1,Cm,0
64,1,Cw,85601
64,1,X,85601
64,1,Y,0
65,1,Ad,0
65,1,Am,0
65,1,Aw,84978
65,1,Bd,0
65,1,Bm,0
65,1,Bw,84978
65,1,Ce,0
65,1,Cm,0
65,1,Cw,84978
65,1,X,84978
65,1,Y,0
66,1,Ad,0
66,1,Am,0
66,1,Aw,105098
66,1,Bd,0
66,1,Bm,0
66,1,Bw,105098
66,1,Ce,0
66,1,Cm,0
66,1,Cw,105098
66,1,X,105098
66,1,Y,0
67,1,Ad,0
67,1,Am,0
67,1,Aw,98954
67,1,Bd,0
67,1,Bm,0
67,1,Bw,98954
67,1,Ce,0
67,1,Cm,0
67,1,Cw,98954
67,1,X,98954
