Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,AvailableHabitat,EggCrowdingCorrection
13,340461476,pyrethroid_resistant,1000,1529,0,0,1529,2404,20361,154928,114800,57400,281,0,264,0,0,0,151,30,33,0,0,23697.8,0.285007
13,340461476,carbamate_resistant,1000,1515,0,0,1515,2525,20621,154628,111400,55700,247,0,278,0,0,0,163,24,31,0,0,23997.8,0.288012
13,340461476,organochlorines_resistant,1000,1515,0,0,1515,2406,20417,154971,107000,53500,253,0,249,0,0,0,163,35,24,0,0,23654.8,0.288006
14,340461476,pyrethroid_resistant,1000,1313,0,0,1313,2164,25626,156562,96000,48000,223,0,231,0,0,0,179,17,20,0,0,25860.6,0.206427
14,340461476,carbamate_resistant,1000,1335,0,0,1335,2262,25720,156909,94600,47300,215,0,222,0,0,0,140,23,17,0,0,25513.6,0.21542
14,340461476,organochlorines_resistant,1000,1303,0,0,1303,2188,25626,156906,97200,48600,234,0,231,0,0,0,160,24,28,0,0,25516.6,0.221073
15,340461476,pyrethroid_resistant,1000,1129,0,0,1129,1952,30142,160739,75400,37700,179,0,184,0,0,0,150,13,21,0,0,25033.8,0.269381
15,340461476,carbamate_resistant,1000,1200,0,0,1200,2039,30173,160523,83400,41700,193,0,210,0,0,0,109,10,16,0,0,25249.8,0.269699
15,340461476,organochlorines_resistant,1000,1146,0,0,1146,1957,30149,160523,81800,40900,207,0,183,0,0,0,120,23,14,0,0,25249.8,0.262516
16,340461476,pyrethroid_resistant,1000,6140,0,0,6140,6923,23836,163200,70600,35300,170,0,162,0,5163,0,112,24,16,0,0,25529,0.332013
16,340461476,carbamate_resistant,1000,6369,0,0,6369,7007,23671,163607,75000,37500,190,0,166,0,5326,0,118,19,20,0,0,25122,0.302755
16,340461476,organochlorines_resistant,1000,6220,0,0,6220,7023,23642,163709,67400,33700,156,0,161,0,5230,0,117,16,23,0,0,25020,0.308677
17,340461476,pyrethroid_resistant,1000,7187,0,0,7187,8346,24083,166463,65600,32800,2393,0,2355,0,2096,0,560,244,245,0,0,24874.4,0.3616
17,340461476,carbamate_resistant,1000,7368,0,0,7368,8495,23780,166663,64600,32300,2431,0,2447,0,2121,0,627,242,253,0,0,24674.4,0.334959
17,340461476,organochlorines_resistant,1000,7268,0,0,7268,8438,24039,166172,64600,32300,2411,0,2430,0,2058,0,531,241,238,0,0,25165.4,0.371216
18,340461476,pyrethroid_resistant,1000,8711,0,0,8711,9935,23685,168448,51400,25700,1038,0,1020,0,2404,0,679,97,104,0,0,25191.1,0.379184
18,340461476,carbamate_resistant,1000,8805,0,0,8805,9986,23588,168610,57400,28700,1035,0,1080,0,2371,0,710,113,111,0,0,25029.1,0.381957
18,340461476,organochlorines_resistant,1000,8804,0,0,8804,10094,23601,168666,54600,27300,1037,0,985,0,2418,0,689,102,91,0,0,24973.1,0.389558
