Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NumLookingToFeed,NumFedCount,NumGestatingBegin,NumGestatingEnd,NumAttemptFeedIndoor,NumAttemptFeedOutdoor,NumAttemptButNotFeed,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,NumGestatingOnDay_0,NumGestatingOnDay_1,NumGestatingOnDay_2,NumGestatingOnDay_3,NumGestatingOnDay_4,NumGestatingOnDay_5,NumGestatingOnDay_6,NumGestatingOnDay_7,MigrationFromCountLocal,MigrationFromCountRegional,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
16,340461476,1000,3736,194,0,3542,4288,10468,72691,64000,320,294,1088,1382,320,0,0,32000,320,0,0,0,2354,0,142,26,0,790,298,294,0,0,0,0,0,0,0,11188.5,0.159362,0,0,0
17,340461476,1000,3994,135,0,3859,4760,10726,73819,139000,2820,2527,530,3057,2820,0,0,69500,2820,70,0,0,937,0,386,293,0,270,260,2527,0,0,0,0,0,0,0,11219.9,0.174821,70,76,-6
18,340461476,1000,4617,124,0,4493,5319,10558,74929,48600,1084,967,2524,3491,1084,0,0,24300,1084,0,0,0,1126,0,386,117,0,237,2287,967,0,0,0,0,0,0,0,11132.8,0.0807184,0,0,0
19,340461476,1000,5187,108,0,5079,5895,10459,76044,41800,1249,1148,2947,4095,1249,0,0,20900,1249,0,0,0,1092,0,421,101,0,2077,870,1148,0,0,0,0,0,0,0,10920.5,0.229071,0,0,0
20,340461476,1000,5422,85,0,5337,6337,10294,76764,380400,2889,2600,1842,4442,2889,0,0,190200,2889,49,0,0,980,0,456,289,0,792,1050,2600,0,0,0,0,0,0,0,10997,0.261255,49,50,-1
21,340461476,1000,5776,77,0,5699,6794,10071,77742,144400,1616,1445,3321,4766,1616,0,0,72200,1616,0,0,0,1010,0,485,171,0,950,2371,1445,0,0,0,0,0,0,0,10721.8,0.0289089,0,0,0
22,340461476,1000,6043,68,0,5975,7124,10040,78063,173800,1777,1587,3477,5064,1777,0,0,86900,1777,0,0,0,979,0,522,190,0,2158,1319,1587,0,0,0,0,0,0,0,11020.9,0.0742505,0,0,0
23,340461476,1000,6140,60,0,6080,7449,9961,78638,392000,2835,2542,2618,5160,2835,0,0,196000,2835,28,0,0,980,0,590,293,0,1176,1442,2542,0,0,0,0,0,0,0,10993.1,0.0634114,28,29,-1
24,340461476,1000,6399,53,0,6346,7693,12090,77337,214600,1965,1758,3612,5370,1965,0,0,107300,1965,0,0,0,1029,0,563,207,0,1319,2293,1758,0,0,0,0,0,0,0,12777,0.0280436,0,0,0
25,340461476,1000,6507,48,0,6459,7919,12638,79263,238600,2123,1904,3669,5573,2123,0,0,119300,2123,0,0,0,934,0,607,219,0,2082,1587,1904,0,0,0,0,0,0,0,11277,0.0595385,0,0,0
26,340461476,1000,6543,38,78,6427,8109,13327,79504,377600,2729,2443,3141,5584,2729,0,0,188800,2729,27,0,0,959,0,637,286,0,1434,1707,2443,0,0,0,0,0,0,0,11411.9,0.0472632,27,30,-3
27,340461476,1000,6690,35,128,6527,8302,13861,79586,260000,2166,1952,3758,5710,2166,0,0,130000,2166,0,0,0,980,0,619,214,0,1539,2219,1952,0,0,0,0,0,0,0,11661.7,0.0302223,0,0,0
28,340461476,1000,7543,29,172,7342,9301,12782,79865,279000,2279,2065,3776,5841,2279,0,0,139500,2279,0,0,0,1702,0,635,214,0,2027,1749,2065,0,0,0,0,0,0,0,11675.4,0.0448525,0,0,0
29,340461476,1000,7656,24,213,7419,9587,12987,80108,363000,3358,3035,3460,6495,3358,0,0,181500,3358,10,0,0,1161,0,725,323,0,1575,1885,3035,0,0,0,0,0,0,0,11690.6,0.0418472,10,4,6
30,340461476,1000,7945,22,218,7705,9932,12983,80556,281120,2468,2240,4444,6684,2468,0,0,140560,2468,0,0,0,1261,0,744,228,0,1709,2735,2240,0,0,0,0,0,0,0,11470.5,0.0322056,0,0,0
31,340461476,1000,8187,21,265,7901,10297,12880,80725,311160,2688,2438,4515,6953,2688,0,0,155580,2688,0,0,0,1234,0,742,250,0,2488,2027,2438,0,0,0,0,0,0,0,11502.6,0.040803,0,0,0
32,340461476,1000,8366,16,511,7839,10511,12809,80683,447360,3358,3011,4061,7072,3358,0,0,223680,3358,8,0,0,1294,0,768,347,0,1853,2208,3011,0,0,0,0,0,0,0,11722.1,0.0369669,8,9,-1
33,340461476,1000,8653,14,677,7962,10756,12564,81503,336200,2878,2583,4754,7337,2878,0,0,168100,2878,0,0,0,1316,0,734,295,0,2034,2720,2583,0,0,0,0,0,0,0,11058.6,0.0262028,0,0,0
34,340461476,1000,8837,42,839,7956,10964,12671,81039,365760,3017,2733,4834,7567,3017,0,0,182880,3017,0,0,0,1270,0,802,284,0,2488,2346,2733,0,0,0,0,0,0,0,11660.8,0.0328931,0,0,0
35,340461476,1000,8961,55,1102,7804,11082,12723,81478,444360,3414,3069,4619,7688,3414,0,0,222180,3414,16,0,0,1273,0,804,345,0,2118,2501,3069,0,0,0,0,0,0,0,11343.7,0.031881,16,15,1
36,340461476,1000,9096,60,1312,7724,11274,13274,80783,374160,3064,2768,5066,7834,3064,0,0,187080,3064,10,0,0,1262,0,831,296,0,2256,2810,2768,0,0,0,0,0,0,0,12146.3,0.0255282,10,13,-3
37,340461476,1000,9082,80,1443,7559,11372,13494,81366,398280,3182,2877,5028,7905,3182,0,0,199140,3182,8,0,0,1177,0,886,305,0,2523,2505,2877,0,0,0,0,0,0,0,11658.2,0.0324628,8,13,-5
38,340461476,1000,9129,85,1603,7441,11564,13508,81105,438600,3350,2986,4905,7891,3350,0,0,219300,3350,24,0,0,1238,0,827,364,0,2293,2612,2986,0,0,0,0,0,0,0,12003,0.0292714,24,33,-9
39,340461476,1000,9124,98,1713,7313,11679,13581,81653,400640,3195,2867,5050,7917,3195,0,0,200320,3195,16,0,0,1207,0,884,328,0,2365,2685,2867,0,0,0,0,0,0,0,11528.9,0.0273665,16,15,1
40,340461476,1000,9365,187,1736,7442,11986,13313,81570,416680,3252,2933,4989,7922,3252,0,0,208340,3252,18,0,0,1443,0,883,319,0,2396,2593,2933,0,0,0,0,0,0,0,11677.1,0.0287761,18,19,-1
41,340461476,1000,9466,226,1855,7385,12043,13430,81516,415560,3482,3108,5005,8113,3482,0,0,207780,3482,66,0,0,1353,0,878,374,0,2350,2655,3108,0,0,0,0,0,0,0,11788.6,0.0280241,66,61,5
42,340461476,1000,9459,281,1918,7260,12196,13482,81761,406920,3336,2996,5211,8207,3336,0,0,203460,3336,46,0,0,1252,0,919,340,0,2396,2815,2996,0,0,0,0,0,0,0,11594.4,0.028368,46,48,-2
43,340461476,1000,9481,369,1884,7228,12266,13427,81520,413320,3297,2930,5257,8187,3297,0,0,206660,3297,49,0,0,1294,0,905,367,0,2560,2697,2930,0,0,0,0,0,0,0,11880.2,0.028493,49,51,-2
44,340461476,1000,9518,435,1915,7168,12431,13396,81922,445920,3498,3132,5128,8260,3498,0,0,222960,3498,96,0,0,1258,0,855,366,0,2463,2665,3132,0,0,0,0,0,0,0,11517.7,0.0287433,96,103,-7
45,340461476,1000,9586,473,1901,7212,12552,13073,82096,421800,3346,3000,5236,8236,3346,0,0,210900,3346,78,0,0,1350,0,936,346,0,2418,2818,3000,0,0,0,0,0,0,0,11378.6,0.0258291,78,72,6
46,340461476,1000,9566,530,1935,7101,12639,13214,81714,417600,3373,3042,5261,8303,3373,0,0,208800,3373,90,0,0,1263,0,952,331,0,2541,2720,3042,0,0,0,0,0,0,0,11791.4,0.0269763,90,98,-8
47,340461476,1000,9639,578,1997,7064,12722,13238,81780,448880,3487,3131,5223,8354,3487,0,0,224440,3487,117,0,0,1285,0,856,356,0,2451,2772,3131,0,0,0,0,0,0,0,11752.5,0.0282361,117,119,-2
48,340461476,1000,9666,612,1982,7072,12799,13395,82086,430920,3408,3050,5316,8366,3408,0,0,215460,3408,114,0,0,1300,0,915,358,0,2496,2820,3050,0,0,0,0,0,0,0,11470.5,0.0261819,114,116,-2
49,340461476,1000,9590,672,1961,6957,12808,13564,81927,440760,3444,3075,5297,8372,3444,0,0,220380,3444,103,0,0,1218,0,925,369,0,2551,2746,3075,0,0,0,0,0,0,0,11650.7,0.0266186,103,95,8
50,340461476,1000,9606,707,1953,6946,12963,13662,81601,442400,3417,3047,5279,8326,3417,0,0,221200,3417,150,0,0,1280,0,894,370,0,2480,2799,3047,0,0,0,0,0,0,0,11995.3,0.0264331,150,156,-6
51,340461476,1000,9568,712,1994,6862,13037,13634,82018,435520,3433,3067,5268,8335,3433,0,0,217760,3433,134,0,0,1233,0,905,366,0,2517,2751,3067,0,0,0,0,0,0,0,11594.8,0.0271142,134,133,1
52,340461476,1000,9689,746,1943,7000,13085,13500,82035,433760,3383,3032,5284,8316,3383,0,0,216880,3383,104,0,0,1373,0,901,351,0,2512,2772,3032,0,0,0,0,0,0,0,11592.3,0.0266228,104,104,0
53,340461476,1000,9679,751,1966,6962,13091,13549,81833,435680,3518,3146,5250,8396,3518,0,0,217840,3518,143,0,0,1283,0,921,372,0,2503,2747,3146,0,0,0,0,0,0,0,11807.1,0.0267252,143,127,16
54,340461476,1000,9803,769,1964,7070,13153,13324,82114,433400,3415,3075,5329,8404,3415,0,0,216700,3415,144,0,0,1399,0,935,340,0,2478,2851,3075,0,0,0,0,0,0,0,11537.4,0.0271005,144,139,5
55,340461476,1000,9785,792,1937,7056,13207,13450,81833,430800,3514,3178,5327,8505,3514,0,0,215400,3514,149,0,0,1280,0,962,336,0,2552,2775,3178,0,0,0,0,0,0,0,11828.4,0.0266208,149,141,8
56,340461476,1000,9794,804,1930,7060,13216,13339,82341,445760,3470,3089,5381,8470,3470,0,0,222880,3470,137,0,0,1324,0,934,381,0,2525,2856,3089,0,0,0,0,0,0,0,11329.2,0.0274569,137,160,-23
57,340461476,1000,9744,810,1940,6994,13303,13277,81990,439200,3469,3103,5371,8474,3469,0,0,219600,3469,159,0,0,1270,0,954,366,0,2586,2785,3103,0,0,0,0,0,0,0,11688,0.0254155,159,166,-7
58,340461476,1000,9669,799,1942,6928,13236,13468,81965,450680,3493,3110,5319,8429,3493,0,0,225340,3493,118,0,0,1240,0,932,383,0,2525,2794,3110,0,0,0,0,0,0,0,11719.9,0.026612,118,110,8
59,340461476,1000,9741,838,1932,6971,13264,13531,81694,437720,3376,3031,5385,8416,3376,0,0,218860,3376,161,0,0,1325,0,908,345,0,2556,2829,3031,0,0,0,0,0,0,0,11996.9,0.0260048,161,151,10
60,340461476,1000,9718,817,1955,6946,13295,13515,82043,445360,3502,3149,5283,8432,3502,0,0,222680,3502,182,0,0,1286,0,956,353,0,2557,2726,3149,0,0,0,0,0,0,0,11653.2,0.0274077,182,191,-9
61,340461476,1000,9691,820,1953,6918,13342,13414,82335,443360,3455,3100,5325,8425,3455,0,0,221680,3455,149,0,0,1266,0,938,355,0,2469,2856,3100,0,0,0,0,0,0,0,11366,0.0261659,149,154,-5
62,340461476,1000,9810,836,1906,7068,13480,13399,81888,430040,3384,3040,5427,8467,3384,0,0,215020,3384,157,0,0,1343,0,880,344,0,2608,2819,3040,0,0,0,0,0,0,0,11817.1,0.0256359,157,140,17
63,340461476,1000,9801,861,1882,7058,13524,13480,82108,454800,3570,3217,5309,8526,3570,0,0,227400,3570,178,0,0,1275,0,931,353,0,2549,2760,3217,0,0,0,0,0,0,0,11600.8,0.0274791,178,161,17
64,340461476,1000,9803,865,1856,7082,13559,13376,81977,441960,3440,3076,5407,8483,3440,0,0,220980,3440,168,0,0,1320,0,954,364,0,2508,2899,3076,0,0,0,0,0,0,0,11735,0.0255074,168,159,9
65,340461476,1000,9714,867,1867,6980,13599,13459,82270,435480,3453,3096,5399,8495,3453,0,0,217740,3453,150,0,0,1219,0,951,357,0,2607,2792,3096,0,0,0,0,0,0,0,11444.9,0.0265522,150,148,2
66,340461476,1000,9821,894,1874,7053,13593,13437,81798,454880,3475,3137,5351,8488,3475,0,0,227440,3475,169,0,0,1333,0,888,338,0,2523,2828,3137,0,0,0,0,0,0,0,11919.4,0.0262811,169,182,-13
67,340461476,1000,9852,875,1908,7069,13625,13462,81996,441880,3495,3112,5389,8501,3495,0,0,220940,3495,168,0,0,1351,0,937,383,0,2545,2844,3112,0,0,0,0,0,0,0,11723.6,0.0262034,168,175,-7
68,340461476,1000,9851,897,1927,7027,13541,13363,82267,445520,3526,3178,5410,8588,3526,0,0,222760,3526,155,0,0,1263,0,916,348,0,2599,2811,3178,0,0,0,0,0,0,0,11454.6,0.0265312,155,130,25
69,340461476,1000,9832,882,1935,7015,13550,13379,82241,456040,3515,3165,5374,8539,3515,0,0,228020,3515,179,0,0,1293,0,962,350,0,2521,2853,3165,0,0,0,0,0,0,0,11482.3,0.0257106,179,158,21
70,340461476,1000,9800,867,1967,6966,13642,13368,82374,434640,3426,3082,5425,8507,3426,0,0,217320,3426,161,0,0,1293,0,981,344,0,2557,2868,3082,0,0,0,0,0,0,0,11350.8,0.0251783,161,177,-16
71,340461476,1000,9904,878,2001,7025,13726,13621,81811,450520,3530,3179,5376,8555,3530,0,0,225260,3530,139,0,0,1349,0,894,351,0,2570,2806,3179,0,0,0,0,0,0,0,11915.2,0.0261155,139,147,-8
72,340461476,1000,9779,845,2043,6891,13626,13643,82165,450760,3548,3162,5388,8550,3548,0,0,225380,3548,163,0,0,1229,0,968,386,0,2539,2849,3162,0,0,0,0,0,0,0,11562.4,0.0264476,163,177,-14
73,340461476,1000,9775,860,2030,6885,13623,13656,81997,437160,3399,3011,5467,8478,3399,0,0,218580,3399,144,0,0,1297,0,913,388,0,2612,2855,3011,0,0,0,0,0,0,0,11731.4,0.0256508,144,131,13
74,340461476,1000,9723,875,2062,6786,13621,13612,81683,450440,3503,3152,5259,8411,3503,0,0,225220,3503,166,0,0,1312,0,1013,351,0,2573,2686,3152,0,0,0,0,0,0,0,12046.4,0.0268355,166,164,2
75,340461476,1000,9731,886,2095,6750,13669,13346,82246,444960,3496,3105,5237,8342,3496,0,0,222480,3496,174,0,0,1389,0,990,391,0,2424,2813,3105,0,0,0,0,0,0,0,11484.2,0.0267435,174,179,-5
76,340461476,1000,9728,887,2124,6717,13607,13369,81927,419520,3436,3092,5339,8431,3436,0,0,209760,3436,152,0,0,1297,0,956,344,0,2525,2814,3092,0,0,0,0,0,0,0,11803.9,0.0258094,152,138,14
77,340461476,1000,9653,870,2162,6621,13613,13223,82118,440640,3472,3099,5322,8421,3472,0,0,220320,3472,157,0,0,1232,0,934,373,0,2531,2791,3099,0,0,0,0,0,0,0,11613.5,0.0281367,157,145,12
78,340461476,1000,9727,864,2172,6691,13572,13413,81844,435320,3386,3027,5356,8383,3386,0,0,217660,3386,159,0,0,1344,0,911,359,0,2546,2810,3027,0,0,0,0,0,0,0,11888.1,0.026356,159,167,-8
79,340461476,1000,9749,861,2254,6634,13481,13578,82312,444160,3543,3172,5284,8456,3543,0,0,222080,3543,158,0,0,1293,0,900,371,0,2539,2745,3172,0,0,0,0,0,0,0,11420.6,0.0273088,158,155,3
80,340461476,1000,9778,896,2254,6628,13475,13533,82146,437520,3486,3115,5346,8461,3486,0,0,218760,3486,164,0,0,1317,0,917,371,0,2498,2848,3115,0,0,0,0,0,0,0,11587,0.0257128,164,155,9
81,340461476,1000,9738,899,2314,6525,13474,13637,82172,427480,3427,3054,5423,8477,3427,0,0,213740,3427,170,0,0,1261,0,928,373,0,2585,2838,3054,0,0,0,0,0,0,0,11561.4,0.0264834,170,154,16
82,340461476,1000,9832,918,2312,6602,13536,13431,82082,446880,3486,3113,5358,8471,3486,0,0,223440,3486,179,0,0,1361,0,894,373,0,2588,2770,3113,0,0,0,0,0,0,0,11651.7,0.0270455,179,182,-3
83,340461476,1000,9815,911,2333,6571,13590,13495,81967,452400,3595,3188,5333,8521,3595,0,0,226200,3595,179,0,0,1294,0,904,407,0,2518,2815,3188,0,0,0,0,0,0,0,11767,0.0260735,179,177,2
84,340461476,1000,9849,936,2352,6561,13564,13498,82153,436560,3471,3090,5433,8523,3471,0,0,218280,3471,146,0,0,1326,0,911,381,0,2529,2904,3090,0,0,0,0,0,0,0,11581.3,0.0260103,146,138,8
85,340461476,1000,9877,941,2396,6540,13573,13472,82127,437680,3514,3157,5409,8566,3514,0,0,218840,3514,166,0,0,1311,0,926,357,0,2607,2802,3157,0,0,0,0,0,0,0,11607.5,0.0265286,166,161,5
86,340461476,1000,9810,947,2417,6446,13568,13583,81882,439560,3490,3116,5378,8494,3490,0,0,219780,3490,182,0,0,1316,0,1009,374,0,2538,2840,3116,0,0,0,0,0,0,0,11852.7,0.0265206,182,194,-12
87,340461476,1000,9827,955,2486,6386,13568,13416,82088,437880,3487,3156,5378,8534,3487,0,0,218940,3487,187,0,0,1293,0,945,331,0,2570,2808,3156,0,0,0,0,0,0,0,11646.9,0.026965,187,178,9
88,340461476,1000,9894,962,2565,6367,13528,13586,82048,444160,3497,3159,5408,8567,3497,0,0,222080,3497,183,0,0,1327,0,922,338,0,2549,2859,3159,0,0,0,0,0,0,0,11687.1,0.0265984,183,197,-14
89,340461476,1000,9887,986,2551,6350,13580,13484,81966,438120,3518,3131,5444,8575,3518,0,0,219060,3518,169,0,0,1312,0,932,387,0,2584,2860,3131,0,0,0,0,0,0,0,11769.2,0.0263128,169,166,3
90,340461476,1000,9914,1015,2466,6433,13646,13442,81915,444400,3543,3157,5406,8563,3543,0,0,222200,3543,169,0,0,1351,0,938,386,0,2595,2811,3157,0,0,0,0,0,0,0,11820.4,0.026863,169,186,-17
91,340461476,1000,9786,997,2476,6313,13544,13509,81994,439880,3533,3131,5371,8502,3533,0,0,219940,3533,193,0,0,1284,0,1010,402,0,2500,2871,3131,0,0,0,0,0,0,0,11741.5,0.0265985,193,192,1
92,340461476,1000,9731,998,2474,6259,13553,13623,81911,431400,3454,3088,5360,8448,3454,0,0,215700,3454,191,0,0,1283,0,972,366,0,2581,2779,3088,0,0,0,0,0,0,0,11824.6,0.0266924,191,193,-2
93,340461476,1000,9723,1013,2451,6259,13553,13538,81918,446320,3503,3133,5284,8417,3503,0,0,223160,3503,186,0,0,1306,0,944,370,0,2515,2769,3133,0,0,0,0,0,0,0,11817.6,0.0274097,186,185,1
94,340461476,1000,9788,1044,2415,6329,13567,13329,82260,430240,3452,3085,5362,8447,3452,0,0,215120,3452,177,0,0,1341,0,909,367,0,2502,2860,3085,0,0,0,0,0,0,0,11475.7,0.026478,177,168,9
95,340461476,1000,9854,1054,2438,6362,13609,13262,81965,430240,3481,3127,5375,8502,3481,0,0,215120,3481,178,0,0,1352,0,932,354,0,2574,2801,3127,0,0,0,0,0,0,0,11770.8,0.0266728,178,182,-4
96,340461476,1000,9791,1071,2445,6275,13675,13302,81931,445280,3552,3153,5336,8489,3552,0,0,222640,3552,196,0,0,1302,0,966,399,0,2536,2800,3153,0,0,0,0,0,0,0,11804.9,0.0273587,196,192,4
97,340461476,1000,9748,1078,2447,6223,13593,13406,81897,439680,3485,3074,5407,8481,3485,0,0,219840,3485,222,0,0,1267,0,899,411,0,2549,2858,3074,0,0,0,0,0,0,0,11838.9,0.0265111,222,237,-15
98,340461476,1000,9695,1053,2438,6204,13551,13522,81967,433000,3424,3071,5355,8426,3424,0,0,216500,3424,185,0,0,1269,0,969,353,0,2593,2762,3071,0,0,0,0,0,0,0,11769,0.0269262,185,191,-6
99,340461476,1000,9755,1047,2438,6270,13567,13517,82001,453400,3535,3130,5330,8460,3535,0,0,226700,3535,178,0,0,1295,0,830,405,0,2503,2827,3130,0,0,0,0,0,0,0,11735,0.02718,178,173,5
100,340461476,1000,9783,1034,2420,6329,13634,13379,81939,431880,3426,3081,5391,8472,3426,0,0,215940,3426,200,0,0,1311,0,938,345,0,2536,2855,3081,0,0,0,0,0,0,0,11797,0.0258822,200,213,-13
101,340461476,1000,9753,1035,2380,6338,13575,13442,82002,440280,3508,3122,5332,8454,3508,0,0,220140,3508,188,0,0,1299,0,943,386,0,2560,2772,3122,0,0,0,0,0,0,0,11734.1,0.0273155,188,176,12
102,340461476,1000,9813,1030,2391,6392,13664,13372,81852,439480,3493,3085,5354,8439,3493,0,0,219740,3493,197,0,0,1374,0,906,408,0,2503,2851,3085,0,0,0,0,0,0,0,11884.1,0.0266514,197,190,7
103,340461476,1000,9758,1060,2363,6335,13609,13391,82150,432400,3513,3131,5340,8471,3513,0,0,216200,3513,170,0,0,1287,0,960,382,0,2561,2779,3131,0,0,0,0,0,0,0,11586.1,0.0270413,170,171,-1
104,340461476,1000,9714,1090,2369,6255,13609,13449,81976,443360,3487,3105,5367,8472,3487,0,0,221680,3487,192,0,0,1242,0,904,382,0,2526,2841,3105,0,0,0,0,0,0,0,11760.1,0.0267949,192,219,-27
105,340461476,1000,9744,1065,2419,6260,13638,13525,81868,438120,3412,3059,5379,8438,3412,0,0,219060,3412,206,0,0,1306,0,923,353,0,2569,2810,3059,0,0,0,0,0,0,0,11868.2,0.026525,206,202,4
106,340461476,1000,9795,1051,2485,6259,13568,13349,82462,443720,3498,3136,5329,8465,3498,0,0,221860,3498,162,0,0,1330,0,917,362,0,2541,2788,3136,0,0,0,0,0,0,0,11274.2,0.0270888,162,156,6
107,340461476,1000,9793,1035,2503,6255,13532,13371,81836,434920,3480,3140,5333,8473,3480,0,0,217460,3480,196,0,0,1320,0,982,340,0,2510,2823,3140,0,0,0,0,0,0,0,11900.2,0.0254083,196,217,-21
108,340461476,1000,9795,1033,2512,6250,13550,13312,82135,431840,3460,3090,5389,8479,3460,0,0,215920,3460,200,0,0,1316,0,944,370,0,2567,2822,3090,0,0,0,0,0,0,0,11601.2,0.0273618,200,185,15
109,340461476,1000,9841,1034,2513,6294,13542,13341,82168,438480,3507,3142,5365,8507,3507,0,0,219240,3507,197,0,0,1334,0,923,365,0,2565,2800,3142,0,0,0,0,0,0,0,11568.2,0.0268646,197,213,-16
110,340461476,1000,9735,1041,2499,6195,13451,13479,81894,440480,3521,3163,5345,8508,3521,0,0,220240,3521,204,0,0,1227,0,975,358,0,2526,2819,3163,0,0,0,0,0,0,0,11842.2,0.0263825,204,218,-14
111,340461476,1000,9725,1073,2450,6202,13461,13444,81990,438960,3424,3054,5411,8465,3424,0,0,219480,3424,222,0,0,1260,0,900,370,0,2534,2877,3054,0,0,0,0,0,0,0,11746.2,0.0268848,222,241,-19
112,340461476,1000,9657,1094,2398,6165,13435,13518,82087,434720,3431,3051,5335,8386,3431,0,0,217360,3431,181,0,0,1271,0,959,380,0,2591,2744,3051,0,0,0,0,0,0,0,11649.2,0.0267592,181,160,21
113,340461476,1000,9693,1087,2431,6175,13461,13512,81991,450560,3512,3107,5266,8373,3512,0,0,225280,3512,201,0,0,1320,0,879,405,0,2484,2782,3107,0,0,0,0,0,0,0,11745.2,0.0267971,201,193,8
114,340461476,1000,9589,1084,2415,6090,13487,13642,82050,424880,3427,3071,5296,8367,3427,0,0,212440,3427,199,0,0,1222,0,970,356,0,2496,2800,3071,0,0,0,0,0,0,0,11686.3,0.0260681,199,196,3
