Year, NodeId, Gender, IP_Key:Accessibility, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever HIVPos, Tested Ever HIVNeg, Tested Positive, Tested Negative
1995.5,1,0,No,40,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,41,1,1,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,42,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,43,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,44,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,45,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,46,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,47,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,48,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,49,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,50,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,51,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,52,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,53,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,54,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,55,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,56,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,57,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,58,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,59,1,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,60,2,1,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,61,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,62,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,63,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,64,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,65,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,66,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,67,1,1,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,68,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,69,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,70,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,71,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,72,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,73,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,74,0,0,1,0,0,0,0,0,0,0,0
1995.5,1,0,No,75,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,76,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,77,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,78,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,79,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,80,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,81,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,82,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,83,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,84,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,85,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,86,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,87,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,88,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,89,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,90,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,91,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,92,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,93,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,94,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,95,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,96,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,97,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,No,98,0,0,0,0,0,0,0,0,0,0,0
