Time, IndividualID, AgeYears, Gender, IsAdult, Home_NodeID, From_NodeID, To_NodeID, MigrationType, Event
0,513,33.1558,F,T,2,2,1,local,Emigrating
0,525,2.14972,M,F,2,2,1,local,Emigrating
0,538,82.2291,M,T,2,2,1,local,Emigrating
0,998,46.0777,F,T,2,2,1,local,Emigrating
0,551,28.3432,F,T,2,2,1,local,Emigrating
0,996,93.4789,M,T,2,2,1,local,Emigrating
0,556,95.3898,F,T,2,2,1,local,Emigrating
0,563,10.2584,F,F,2,2,1,local,Emigrating
0,570,58.2245,F,T,2,2,1,local,Emigrating
0,574,24.1675,F,T,2,2,1,local,Emigrating
0,585,64.3284,M,T,2,2,1,local,Emigrating
0,586,20.8883,F,T,2,2,1,local,Emigrating
0,989,118.665,M,T,2,2,1,local,Emigrating
0,597,28.8208,F,T,2,2,1,local,Emigrating
0,602,20.585,F,T,2,2,1,local,Emigrating
0,623,97.692,M,T,2,2,1,local,Emigrating
0,629,22.447,F,T,2,2,1,local,Emigrating
0,632,65.5271,F,T,2,2,1,local,Emigrating
0,983,107.232,M,T,2,2,1,local,Emigrating
0,633,98.8505,F,T,2,2,1,local,Emigrating
0,639,70.2788,M,T,2,2,1,local,Emigrating
0,645,113.015,M,T,2,2,1,local,Emigrating
0,979,18.4518,M,T,2,2,1,local,Emigrating
0,646,82.5603,F,T,2,2,1,local,Emigrating
0,657,15.6501,F,T,2,2,1,local,Emigrating
0,667,90.0935,M,T,2,2,1,local,Emigrating
0,689,75.6532,F,T,2,2,1,local,Emigrating
0,690,74.3693,F,T,2,2,1,local,Emigrating
0,973,97.6355,F,T,2,2,1,local,Emigrating
0,705,33.1137,M,T,2,2,1,local,Emigrating
0,706,109.71,M,T,2,2,1,local,Emigrating
0,707,26.928,F,T,2,2,1,local,Emigrating
0,715,42.3976,F,T,2,2,1,local,Emigrating
0,743,81.4235,F,T,2,2,1,local,Emigrating
0,747,32.2587,M,T,2,2,1,local,Emigrating
0,760,3.69931,M,F,2,2,1,local,Emigrating
0,777,94.0979,F,T,2,2,1,local,Emigrating
0,817,86.5641,M,T,2,2,1,local,Emigrating
0,825,90.2048,F,T,2,2,1,local,Emigrating
0,833,72.2749,M,T,2,2,1,local,Emigrating
0,837,118.977,F,T,2,2,1,local,Emigrating
0,850,105.59,M,T,2,2,1,local,Emigrating
0,865,116.401,M,T,2,2,1,local,Emigrating
0,884,8.45485,M,F,2,2,1,local,Emigrating
0,886,58.0337,M,T,2,2,1,local,Emigrating
0,890,43.0301,M,T,2,2,1,local,Emigrating
0,898,35.0711,F,T,2,2,1,local,Emigrating
0,906,75.4213,M,T,2,2,1,local,Emigrating
0,908,55.1134,F,T,2,2,1,local,Emigrating
0,923,63.5563,F,T,2,2,1,local,Emigrating
0,938,73.3008,M,T,2,2,1,local,Emigrating
0,939,94.191,M,T,2,2,1,local,Emigrating
0,940,106.591,M,T,2,2,1,local,Emigrating
0,943,106.459,F,T,2,2,1,local,Emigrating
0,20,51.9542,M,T,1,1,2,local,Emigrating
0,23,108.878,F,T,1,1,2,local,Emigrating
0,37,10.3844,M,F,1,1,2,local,Emigrating
0,40,82.55,F,T,1,1,2,local,Emigrating
0,42,48.2974,F,T,1,1,2,local,Emigrating
0,496,78.3926,F,T,1,1,2,local,Emigrating
0,56,10.8947,F,F,1,1,2,local,Emigrating
0,57,109.923,F,T,1,1,2,local,Emigrating
0,67,62.6666,M,T,1,1,2,local,Emigrating
0,492,95.0546,M,T,1,1,2,local,Emigrating
0,72,12.3817,M,F,1,1,2,local,Emigrating
0,77,0.703762,F,F,1,1,2,local,Emigrating
0,96,103.944,F,T,1,1,2,local,Emigrating
0,109,56.0216,F,T,1,1,2,local,Emigrating
0,119,59.5635,F,T,1,1,2,local,Emigrating
0,135,66.571,F,T,1,1,2,local,Emigrating
0,137,33.034,M,T,1,1,2,local,Emigrating
0,158,23.6291,M,T,1,1,2,local,Emigrating
0,171,82.1059,F,T,1,1,2,local,Emigrating
0,174,107.068,M,T,1,1,2,local,Emigrating
0,185,25.0455,F,T,1,1,2,local,Emigrating
0,188,44.103,M,T,1,1,2,local,Emigrating
0,212,118.644,F,T,1,1,2,local,Emigrating
0,214,55.5077,F,T,1,1,2,local,Emigrating
0,228,51.2613,F,T,1,1,2,local,Emigrating
