Year, NodeId, Gender, HasHIV, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Persistant_ART),Stopped_Using_ART
1960.5,1,0,0,0,0,1829,0,0,0,9,0,0,0,0,0,0,0,0
1960.5,1,0,0,0,15,1122,0,0,0,4,0,0,0,0,0,0,0,0
1960.5,1,0,0,0,30,750,0,0,0,5,0,0,0,0,0,0,0,0
1960.5,1,0,0,0,45,427,0,0,0,8,0,0,0,0,0,0,0,0
1960.5,1,0,0,0,60,271,0,0,0,11,0,0,0,0,0,0,0,0
1960.5,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,0,0,1827,0,0,0,9,0,0,0,0,0,0,0,0
1960.5,1,1,0,0,15,1065,0,0,0,6,0,0,0,0,0,0,0,0
1960.5,1,1,0,0,30,783,0,0,0,5,0,0,0,0,0,0,0,0
1960.5,1,1,0,0,45,492,0,0,0,3,0,0,0,0,0,0,0,0
1960.5,1,1,0,0,60,258,0,0,0,8,0,0,0,0,0,0,0,0
1960.5,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,0,0,0,1434,0,0,0,19,0,0,0,0,0,0,0,0
1961,1,0,0,0,15,859,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,0,0,30,568,0,0,0,4,0,0,0,0,0,0,0,0
1961,1,0,0,0,45,346,0,0,0,3,0,0,0,0,0,0,0,0
1961,1,0,0,0,60,196,0,0,0,5,0,0,0,0,0,0,0,0
1961,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,1,0,0,429,429,434,0,24,21,0,0,0,0,0,0,0
1961,1,0,1,0,15,271,271,268,0,2,1,0,0,0,0,0,0,0
1961,1,0,1,0,30,188,188,187,0,0,0,0,0,0,0,0,0,0
1961,1,0,1,0,45,96,96,95,0,1,0,0,0,0,0,0,0,0
1961,1,0,1,0,60,68,68,68,0,1,0,0,0,0,0,0,0,0
1961,1,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,0,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,0,0,0,1855,0,0,0,11,0,0,0,0,0,0,0,0
1961,1,1,0,0,15,1015,0,0,0,3,0,0,0,0,0,0,0,0
1961,1,1,0,0,30,787,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,0,0,45,488,0,0,0,6,0,0,0,0,0,0,0,0
1961,1,1,0,0,60,271,0,0,0,4,0,0,0,0,0,0,0,0
1961,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,0,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,1,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0
1961,1,1,1,0,15,72,72,72,0,1,0,0,0,0,0,0,0,0
1961,1,1,1,0,30,8,8,8,0,0,0,0,0,0,0,0,0,0
1961,1,1,1,0,45,1,1,1,0,0,0,0,0,0,0,0,0,0
1961,1,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,1,1,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,0,0,0,0,1486,0,0,0,11,0,0,0,0,0,0,0,0
1961.5,1,0,0,0,15,874,0,0,0,3,0,0,0,0,0,0,0,0
1961.5,1,0,0,0,30,567,0,0,0,3,0,0,0,0,0,0,0,0
1961.5,1,0,0,0,45,355,0,0,0,4,0,0,0,0,0,0,0,0
1961.5,1,0,0,0,60,193,0,0,0,7,0,0,0,0,0,0,0,0
1961.5,1,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1961.5,1,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
