Time,NodeID,Alleles,STATE_MALE
167,1,Y,100817
168,1,X,100816
168,1,Y,100816
169,1,X,100867
169,1,Y,100867
170,1,X,101010
170,1,Y,101010
171,1,X,100899
171,1,Y,100899
172,1,X,100842
172,1,Y,100842
173,1,X,100898
173,1,Y,100898
174,1,X,100799
174,1,Y,100799
175,1,X,100980
175,1,Y,100980
176,1,X,100812
176,1,Y,100812
177,1,X,100792
177,1,Y,100792
178,1,X,100796
178,1,Y,100796
179,1,X,100884
179,1,Y,100884
180,1,X,100795
180,1,Y,100795
181,1,X,100540
181,1,Y,100540
182,1,X,100552
182,1,Y,100552
183,1,X,100734
183,1,Y,100734
184,1,X,100768
184,1,Y,100768
185,1,X,100707
185,1,Y,100707
186,1,X,100990
186,1,Y,100990
187,1,X,100985
187,1,Y,100985
188,1,X,101199
188,1,Y,101199
189,1,X,101078
189,1,Y,101078
190,1,X,101074
190,1,Y,101074
191,1,X,100962
191,1,Y,100962
192,1,X,100928
192,1,Y,100928
193,1,X,100882
193,1,Y,100882
194,1,X,100738
194,1,Y,100738
195,1,X,100792
195,1,Y,100792
196,1,X,100906
196,1,Y,100906
197,1,X,100560
197,1,Y,100560
198,1,X,100715
198,1,Y,100715
199,1,X,100753
199,1,Y,100753
200,1,X,100790
200,1,Y,100790
201,1,X,101021
201,1,Y,101021
202,1,X,101079
202,1,Y,101079
203,1,X,100827
203,1,Y,100827
204,1,X,100956
204,1,Y,100956
205,1,X,101023
205,1,Y,101023
206,1,X,100949
206,1,Y,100949
207,1,X,100952
207,1,Y,100952
208,1,X,100881
208,1,Y,100881
209,1,X,100861
209,1,Y,100861
210,1,X,100817
210,1,Y,100817
211,1,X,100878
211,1,Y,100878
212,1,X,100918
212,1,Y,100918
213,1,X,100577
213,1,Y,100577
214,1,X,100807
214,1,Y,100807
215,1,X,100883
215,1,Y,100883
216,1,X,100796
216,1,Y,100796
217,1,X,100804
217,1,Y,100804
218,1,X,100592
218,1,Y,100592
219,1,X,100598
219,1,Y,100598
220,1,X,100399
220,1,Y,100399
221,1,X,100511
221,1,Y,100511
222,1,X,100375
222,1,Y,100375
223,1,X,100462
223,1,Y,100462
224,1,X,100571
224,1,Y,100571
225,1,X,100569
225,1,Y,100569
226,1,X,100410
226,1,Y,100410
227,1,X,100429
227,1,Y,100429
228,1,X,100480
228,1,Y,100480
229,1,X,100443
229,1,Y,100443
230,1,X,100544
230,1,Y,100544
231,1,X,100496
231,1,Y,100496
232,1,X,100435
232,1,Y,100435
233,1,X,100332
233,1,Y,100332
234,1,X,100413
234,1,Y,100413
235,1,X,100524
235,1,Y,100524
236,1,X,100600
236,1,Y,100600
237,1,X,100463
237,1,Y,100463
238,1,X,100555
238,1,Y,100555
239,1,X,100554
239,1,Y,100554
240,1,X,100411
240,1,Y,100411
241,1,X,100598
241,1,Y,100598
242,1,X,100531
242,1,Y,100531
243,1,X,100565
243,1,Y,100565
244,1,X,100671
244,1,Y,100671
245,1,X,100793
245,1,Y,100793
246,1,X,100731
246,1,Y,100731
247,1,X,100862
247,1,Y,100862
248,1,X,100840
248,1,Y,100840
249,1,X,100825
249,1,Y,100825
250,1,X,100950
250,1,Y,100950
251,1,X,100825
251,1,Y,100825
252,1,X,100646
252,1,Y,100646
253,1,X,100847
253,1,Y,100847
254,1,X,100754
254,1,Y,100754
255,1,X,100922
255,1,Y,100922
256,1,X,101050
256,1,Y,101050
257,1,X,101170
257,1,Y,101170
258,1,X,101065
258,1,Y,101065
259,1,X,100911
259,1,Y,100911
260,1,X,101075
260,1,Y,101075
261,1,X,100994
261,1,Y,100994
262,1,X,100910
262,1,Y,100910
263,1,X,100947
263,1,Y,100947
264,1,X,100947
264,1,Y,100947
265,1,X,100858
265,1,Y,100858
266,1,X,100947
266,1,Y,100947
267,1,X,100967
267,1,Y,100967
268,1,X,101025
268,1,Y,101025
269,1,X,101286
269,1,Y,101286
270,1,X,101147
270,1,Y,101147
271,1,X,101217
271,1,Y,101217
272,1,X,101186
272,1,Y,101186
273,1,X,100888
273,1,Y,100888
274,1,X,100883
274,1,Y,100883
275,1,X,100829
275,1,Y,100829
276,1,X,100587
276,1,Y,100587
277,1,X,100525
277,1,Y,100525
278,1,X,100823
278,1,Y,100823
279,1,X,101040
279,1,Y,101040
280,1,X,101442
280,1,Y,101442
281,1,X,101289
281,1,Y,101289
282,1,X,101490
282,1,Y,101490
283,1,X,101164
283,1,Y,101164
284,1,X,101055
284,1,Y,101055
285,1,X,101164
285,1,Y,101164
286,1,X,101197
286,1,Y,101197
287,1,X,101017
287,1,Y,101017
288,1,X,101157
288,1,Y,101157
289,1,X,101220
289,1,Y,101220
290,1,X,101347
290,1,Y,101347
291,1,X,101286
291,1,Y,101286
292,1,X,101225
292,1,Y,101225
293,1,X,100998
293,1,Y,100998
294,1,X,101227
294,1,Y,101227
295,1,X,101129
295,1,Y,101129
296,1,X,101029
296,1,Y,101029
297,1,X,101142
297,1,Y,101142
298,1,X,101226
298,1,Y,101226
299,1,X,101292
299,1,Y,101292
300,1,X,101160
300,1,Y,101160
301,1,X,101231
301,1,Y,101231
302,1,X,100932
302,1,Y,100932
303,1,X,101191
303,1,Y,101191
304,1,X,101135
304,1,Y,101135
305,1,X,101110
305,1,Y,101110
306,1,X,100975
306,1,Y,100975
307,1,X,101054
307,1,Y,101054
308,1,X,100932
308,1,Y,100932
309,1,X,100923
309,1,Y,100923
310,1,X,101230
310,1,Y,101230
311,1,X,101116
311,1,Y,101116
312,1,X,101175
312,1,Y,101175
313,1,X,101195
313,1,Y,101195
314,1,X,101065
314,1,Y,101065
315,1,X,100917
315,1,Y,100917
316,1,X,101168
316,1,Y,101168
317,1,X,100851
317,1,Y,100851
318,1,X,100868
318,1,Y,100868
319,1,X,100723
319,1,Y,100723
320,1,X,100617
320,1,Y,100617
321,1,X,100790
321,1,Y,100790
322,1,X,100590
322,1,Y,100590
323,1,X,100530
323,1,Y,100530
324,1,X,100502
324,1,Y,100502
325,1,X,100386
325,1,Y,100386
326,1,X,100394
326,1,Y,100394
327,1,X,100524
327,1,Y,100524
328,1,X,100526
328,1,Y,100526
329,1,X,100829
329,1,Y,100829
330,1,X,100920
330,1,Y,100920
331,1,X,100750
331,1,Y,100750
332,1,X,100612
332,1,Y,100612
333,1,X,100739
333,1,Y,100739
334,1,X,100878
334,1,Y,100878
335,1,X,100994
335,1,Y,100994
336,1,X,100969
336,1,Y,100969
337,1,X,100906
337,1,Y,100906
338,1,X,101172
338,1,Y,101172
339,1,X,101223
339,1,Y,101223
340,1,X,101078
340,1,Y,101078
341,1,X,100828
341,1,Y,100828
342,1,X,100917
342,1,Y,100917
343,1,X,100801
343,1,Y,100801
344,1,X,100815
344,1,Y,100815
345,1,X,100820
345,1,Y,100820
346,1,X,101272
346,1,Y,101272
347,1,X,101010
347,1,Y,101010
348,1,X,101217
348,1,Y,101217
349,1,X,101277
349,1,Y,101277
350,1,X,101270
350,1,Y,101270
351,1,X,101281
351,1,Y,101281
352,1,X,101148
352,1,Y,101148
353,1,X,101376
353,1,Y,101376
354,1,X,101611
354,1,Y,101611
355,1,X,101475
355,1,Y,101475
356,1,X,101340
356,1,Y,101340
357,1,X,101293
357,1,Y,101293
358,1,X,101374
358,1,Y,101374
359,1,X,101336
359,1,Y,101336
360,1,X,101358
360,1,Y,101358
361,1,X,101520
361,1,Y,101520
362,1,X,101538
362,1,Y,101538
363,1,X,101429
363,1,Y,101429
364,1,X,101280
364,1,Y,101280
365,1,X,101124
365,1,Y,101124
366,1,X,101090
366,1,Y,101090
367,1,X,101145
367,1,Y,101145
368,1,X,101133
368,1,Y,101133
369,1,X,101215
369,1,Y,101215
370,1,X,100992
370,1,Y,100992
371,1,X,100994
371,1,Y,100994
372,1,X,101141
372,1,Y,101141
373,1,X,100923
373,1,Y,100923
374,1,X,100807
374,1,Y,100807
375,1,X,100948
375,1,Y,100948
376,1,X,100867
376,1,Y,100867
377,1,X,100987
377,1,Y,100987
378,1,X,100734
378,1,Y,100734
379,1,X,100727
379,1,Y,100727
380,1,X,100510
380,1,Y,100510
381,1,X,100499
381,1,Y,100499
382,1,X,100555
382,1,Y,100555
383,1,X,100578
383,1,Y,100578
384,1,X,100735
384,1,Y,100735
385,1,X,101033
385,1,Y,101033
386,1,X,101188
386,1,Y,101188
387,1,X,101291
387,1,Y,101291
388,1,X,101346
388,1,Y,101346
389,1,X,101093
389,1,Y,101093
390,1,X,101056
390,1,Y,101056
391,1,X,101263
391,1,Y,101263
392,1,X,101138
392,1,Y,101138
393,1,X,100761
393,1,Y,100761
394,1,X,100768
394,1,Y,100768
395,1,X,100698
395,1,Y,100698
396,1,X,100602
396,1,Y,100602
397,1,X,100840
397,1,Y,100840
398,1,X,100794
398,1,Y,100794
399,1,X,100690
399,1,Y,100690
400,1,X,100435
400,1,Y,100435
401,1,X,100613
401,1,Y,100613
402,1,X,100829
402,1,Y,100829
403,1,X,100821
403,1,Y,100821
404,1,X,100615
404,1,Y,100615
405,1,X,100705
405,1,Y,100705
406,1,X,100620
406,1,Y,100620
407,1,X,100811
407,1,Y,100811
408,1,X,100995
408,1,Y,100995
409,1,X,101220
409,1,Y,101220
410,1,X,101201
410,1,Y,101201
411,1,X,101124
411,1,Y,101124
412,1,X,101341
412,1,Y,101341
413,1,X,101349
413,1,Y,101349
414,1,X,101498
