Year, NodeId, Gender, IP_Key:Adherence, HasHIV, On_Art_Dim, Population, Infected CD4 Under 200 (Not On ART), Infected CD4 200 To 349 (Not On ART), Infected CD4 350 To 499 (Not On ART), Infected CD4 500 Plus (Not On ART), Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Num_TRANSITORY,Num_INFORMAL,Num_MARITAL,Num_COMMERCIAL,Num_Concordant_TRANSITORY,Num_Concordant_INFORMAL,Num_Concordant_MARITAL,Num_Concordant_COMMERCIAL
1960.54,1,0,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.54,1,0,LOW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.54,1,0,LOW,1,0,0,0,0,0,0,0,4329,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.54,1,0,LOW,1,1,4185,0,0,0,0,4185,0,4185,128,128,4185,0,0,0,0,51,46,2,0,51,46,2,0
1960.54,1,0,HIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.54,1,0,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.54,1,0,HIGH,1,0,0,0,0,0,0,0,4400,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.54,1,0,HIGH,1,1,4369,0,0,0,0,4369,0,4369,15,15,4369,0,0,0,0,58,45,1,0,58,45,1,0
1960.54,1,1,LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.54,1,1,LOW,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.54,1,1,LOW,1,0,0,0,0,0,0,0,4338,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.54,1,1,LOW,1,1,4254,0,0,0,0,4254,0,4254,73,73,4254,0,0,0,0,55,47,2,0,55,47,2,0
1960.54,1,1,HIGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.54,1,1,HIGH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.54,1,1,HIGH,1,0,0,0,0,0,0,0,4329,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.54,1,1,HIGH,1,1,4283,0,0,0,0,4283,0,4283,22,22,4283,0,0,0,0,54,44,1,0,54,44,1,0
