Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor, VECTOR_WOLBACHIA_FREE, VECTOR_WOLBACHIA_A, VECTOR_WOLBACHIA_B, VECTOR_WOLBACHIA_AB,MigrationFromCountLocal,MigrationFromCountRegional,AvailableHabitat,EggCrowdingCorrection
0,340461476,arabiensis,1000,8802,0,0,8802,9081,0,0,607200,303600,1423,0,1460,0,0,0,937,124,137,8802,0,0,0,0,0,106144,1
0,340461476,funestus,1000,8729,0,0,8729,9044,0,0,591400,295700,2810,0,0,0,0,0,961,310,0,8729,0,0,0,0,0,5877.02,1
0,340461476,gambiae,1000,8777,0,0,8777,8973,0,0,606200,303100,2873,0,0,0,0,0,940,283,0,8777,0,0,0,0,0,117938,1
1,340461476,arabiensis,1000,7679,0,0,7679,8216,0,106105,548600,274300,1281,0,1343,0,0,0,843,132,148,7679,0,0,0,0,0,47005.7,0.174809
1,340461476,funestus,1000,7615,0,0,7615,8195,0,5818,548800,274400,2615,0,0,0,0,0,866,248,0,7615,0,0,0,0,0,2953.53,0.00993747
1,340461476,gambiae,1000,7670,0,0,7670,8136,0,118424,542800,271400,2560,0,0,0,0,0,821,286,0,7670,0,0,0,0,0,51699,0.194553
2,340461476,arabiensis,1000,6700,0,0,6700,7420,0,142860,488800,244400,1140,0,1166,0,0,0,750,104,125,6700,0,0,0,0,0,53330.5,0.0856831
2,340461476,funestus,1000,6680,0,0,6680,7444,0,8091,495000,247500,2336,0,0,0,0,0,716,219,0,6680,0,0,0,0,0,3546.09,0.0053818
2,340461476,gambiae,1000,6681,0,0,6681,7382,0,158376,494400,247200,2347,0,0,0,0,0,758,231,0,6681,0,0,0,0,0,59613.5,0.0952451
3,340461476,arabiensis,1000,5829,0,0,5829,6721,0,182476,409000,204500,1003,0,957,0,0,0,665,105,101,5829,0,0,0,0,0,54197.4,0.109105
3,340461476,funestus,1000,5866,0,0,5866,6748,0,10850,389600,194800,1859,0,0,0,0,0,625,189,0,5866,0,0,0,0,0,3624,0.00716382
3,340461476,gambiae,1000,5826,0,0,5826,6703,0,203082,407600,203800,1924,0,0,0,0,0,652,203,0,5826,0,0,0,0,0,59888.4,0.120577
4,340461476,arabiensis,1000,5104,0,0,5104,6094,0,219746,364600,182300,843,0,885,0,0,0,537,87,101,5104,0,0,0,0,0,54075.4,0.132512
4,340461476,funestus,1000,5110,0,0,5110,6104,0,13358,367400,183700,1735,0,0,0,0,0,553,203,0,5110,0,0,0,0,0,3924.54,0.00930184
4,340461476,gambiae,1000,5092,0,0,5092,6079,0,243908,355800,177900,1709,0,0,0,0,0,559,175,0,5092,0,0,0,0,0,60338,0.146929
5,340461476,arabiensis,1000,4434,0,0,4434,5455,0,253225,323400,161700,784,0,774,0,0,0,506,75,89,4434,0,0,0,0,0,54429.6,0.148314
5,340461476,funestus,1000,4444,0,0,4444,5535,0,15879,338400,169200,1614,0,0,0,0,0,508,158,0,4444,0,0,0,0,0,4183.99,0.0106819
5,340461476,gambiae,1000,4442,0,0,4442,5453,0,281189,330200,165100,1558,0,0,0,0,0,486,164,0,4442,0,0,0,0,0,60649.5,0.169584
6,340461476,arabiensis,1000,3883,0,0,3883,4917,0,283271,275600,137800,659,0,647,0,0,0,441,53,57,3883,0,0,0,0,0,56777.7,0.168304
6,340461476,funestus,1000,3898,0,0,3898,5017,0,18496,256400,128200,1224,0,0,0,0,0,430,116,0,3898,0,0,0,0,0,4319.64,0.012364
6,340461476,gambiae,1000,3882,0,0,3882,4937,0,315166,271400,135700,1281,0,0,0,0,0,431,129,0,3882,0,0,0,0,0,62665.8,0.183675
7,340461476,arabiensis,1000,3428,0,0,3428,4431,0,313202,239200,119600,564,0,563,0,0,0,343,55,57,3428,0,0,0,0,0,56232.7,0.206015
7,340461476,funestus,1000,3419,0,0,3419,4565,0,21107,244000,122000,1165,0,0,0,0,0,377,102,0,3419,0,0,0,0,0,4433.76,0.0168473
7,340461476,gambiae,1000,3398,0,0,3398,4474,0,347488,234600,117300,1116,0,0,0,0,0,363,121,0,3398,0,0,0,0,0,62995,0.230898
8,340461476,arabiensis,1000,3001,0,0,3001,4046,0,339338,215600,107800,492,0,522,0,0,0,317,55,55,3001,0,0,0,0,0,58190.9,0.235086
8,340461476,funestus,1000,2995,0,0,2995,4140,0,23477,227000,113500,1078,0,0,0,0,0,308,116,0,2995,0,0,0,0,0,4761.63,0.0181711
8,340461476,gambiae,1000,2962,0,0,2962,4077,0,377315,223200,111600,1054,0,0,0,0,0,325,111,0,2962,0,0,0,0,0,64383.8,0.268521
9,340461476,arabiensis,1000,2613,0,0,2613,3692,0,365732,191600,95800,458,0,448,0,0,0,280,56,52,2613,0,0,0,0,0,55226.7,0.269902
9,340461476,funestus,1000,2621,0,0,2621,3732,0,26022,170000,85000,808,0,0,0,0,0,293,81,0,2621,0,0,0,0,0,4887.52,0.0209763
9,340461476,gambiae,1000,2590,0,0,2590,3691,0,406057,178000,89000,842,0,0,0,0,0,296,76,0,2590,0,0,0,0,0,61674.9,0.288458
10,340461476,arabiensis,1000,2264,0,0,2264,3322,0,385940,162000,81000,386,0,394,0,0,0,266,43,40,2264,0,0,0,0,0,57201.6,0.28824
10,340461476,funestus,1000,2273,0,0,2273,3393,0,28478,167800,83900,799,0,0,0,0,0,272,76,0,2273,0,0,0,0,0,5075.7,0.0287501
10,340461476,gambiae,1000,2264,0,0,2264,3320,0,429591,154400,77200,724,0,0,0,0,0,260,66,0,2264,0,0,0,0,0,62788.5,0.346488
11,340461476,arabiensis,1000,2012,0,0,2012,3026,0,405745,141600,70800,329,0,335,0,0,0,202,26,24,2012,0,0,0,0,0,58226.5,0.353096
11,340461476,funestus,1000,2002,0,0,2002,3085,0,30802,149200,74600,709,0,0,0,0,0,209,62,0,2002,0,0,0,0,0,5369.45,0.0302485
