Year,Event_Name,Individual_ID,Age,Gender,Infectiousness
0.00273973,Phew_Toddler_Is_Not_Post_Debut,722,1384.99,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,728,517.869,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,747,287.366,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,749,761.469,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,756,1232.57,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,760,913.92,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,763,1088.4,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,765,526.664,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,770,595.616,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,779,93.3414,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,785,76.1661,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,788,1379.31,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,793,1126.96,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,800,117.431,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,815,177.829,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,816,925.527,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,817,1255.31,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,818,1195.89,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,822,1266.8,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,824,344.103,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,829,1125.4,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,851,640.17,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,857,719.346,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,866,921.367,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,870,782.29,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,885,591.986,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,888,1458.2,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,899,762.375,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,905,463.981,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,907,434.425,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,910,478.35,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,921,1823.62,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,922,1638.88,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,926,1708.76,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,933,316.312,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,941,1023.45,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,946,569.509,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,951,644.757,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,956,1538.46,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,958,1036.01,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,970,1668.09,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,974,1233.24,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,976,1781.04,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,977,582.615,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1009,486.666,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1024,389.779,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1030,1329.28,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1037,503.567,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1043,1354.93,F,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1052,1706.13,M,0
0.00273973,Phew_Toddler_Is_Not_Post_Debut,1056,541.276,F,0
