Time,Year,Node_ID,Coital_Act_ID,Rel_ID,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,A_ID,B_ID,A_Gender,B_Gender,A_Age,B_Age,A_IP='Accessibility',B_IP='Accessibility',A_HasIntervention='GoodCircumcision',B_HasIntervention='GoodCircumcision',A_HasIntervention='BadCircumcision',B_HasIntervention='BadCircumcision',A_Is_Infected,B_Is_Infected,Did_Use_Condom,Risk_Multiplier,Transmission_Multiplier,Acquisition_Multiplier,Infection_Was_Transmitted,A_Num_Current_Rels,B_Num_Current_Rels,A_Is_Circumcised,B_Is_Circumcised,A_Has_CoInfection,B_Has_CoInfection,A_HIV_Infection_Stage,B_HIV_Infection_Stage,A_Is_On_ART,B_Is_On_ART
37,1960.6,1,3439,223,1,F,142,2169,MALE,FEMALE,20.8406,16.135,Yes,No,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3441,339,1,F,669,15355,MALE,FEMALE,25.8737,20.819,No,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3442,462,0,F,871,15396,MALE,FEMALE,26.8289,15.6765,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3444,262,0,F,969,10090,MALE,FEMALE,25.1947,23.8846,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3446,95,1,F,1244,10196,MALE,FEMALE,26.4389,16.3275,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3450,291,1,F,1346,2237,MALE,FEMALE,26.2724,21.0887,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3453,408,1,F,1650,12300,MALE,FEMALE,24.9098,19.6184,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3454,14,0,F,1789,4131,MALE,FEMALE,28.1479,22.9269,Yes,No,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3455,14,0,F,1789,4131,MALE,FEMALE,28.1479,22.9269,Yes,No,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3458,231,0,F,1951,11343,MALE,FEMALE,20.9819,18.1125,No,Yes,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
