Year, NodeId, Gender, IP_Key:Accessibility, HIV_Stage, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative
1995.5,1,0,Yes,NOT_INFECTED,0,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,1,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,2,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,3,3,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,4,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,5,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,6,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,7,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,8,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,9,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,10,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,11,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,12,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,13,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,14,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,15,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,16,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,17,2,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,18,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,19,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,20,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,21,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,22,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,23,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,24,3,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,25,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,26,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,27,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,28,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,29,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,30,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,31,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,32,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,33,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,34,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,35,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,36,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,37,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,38,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,39,2,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,40,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,41,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,42,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,43,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,44,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,45,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,46,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,47,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,48,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,49,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,50,1,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,51,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,52,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,53,0,0,0,0,0,0,0,0,0,0,0
1995.5,1,0,Yes,NOT_INFECTED,54,0,0,0,0,0,0,0,0,0,0,0
