Year, NodeId, Gender, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever HIVPos, Tested Ever HIVNeg, Tested Positive, Tested Negative,Reduced_Acquire_Lowest,Reduced_Acquire_Medium,Reduced_Acquire_Low,Reduced_Acquire_Highest_Not_Duplicated
1962.47,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,37,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,38,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,40,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,41,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,47,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,48,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,49,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,51,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.47,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
