Time,Coordinator_Name,Event_Name
10,Coordnator_1,Start_Sampling_a1
11,Frequency_Counter,Release_More_Mosquitoes_a1a1
11,Frequency_Counter,Considered_Responding_a1
12,MosquitoRelease,DoneReleasing_a1a1
12,MosquitoRelease,DoneReleasing_a1a1
20,Coordnator_3,Start_Sampling_a0a0
21,Fraction_Counter,Release_More_Mosquitoes_a0a0
21,Fraction_Counter,Considered_Responding_a0a0
22,MosquitoRelease,DoneReleasing_a0a0
22,MosquitoRelease,DoneReleasing_a0a0
31,Frequency_Counter,Release_More_Mosquitoes_a1a1
31,Frequency_Counter,Considered_Responding_a1
31,Fraction_Counter,Considered_Responding_a0a0
32,MosquitoRelease,DoneReleasing_a1a1
32,MosquitoRelease,DoneReleasing_a1a1
41,Fraction_Counter,Release_More_Mosquitoes_a0a0
41,Fraction_Counter,Considered_Responding_a0a0
42,MosquitoRelease,DoneReleasing_a0a0
42,MosquitoRelease,DoneReleasing_a0a0
51,Frequency_Counter,Release_More_Mosquitoes_a1a1
51,Frequency_Counter,Considered_Responding_a1
51,Fraction_Counter,Release_More_Mosquitoes_a0a0
51,Fraction_Counter,Considered_Responding_a0a0
52,MosquitoRelease,DoneReleasing_a1a1
52,MosquitoRelease,DoneReleasing_a1a1
52,MosquitoRelease,DoneReleasing_a0a0
52,MosquitoRelease,DoneReleasing_a0a0
61,Fraction_Counter,Release_More_Mosquitoes_a0a0
61,Fraction_Counter,Considered_Responding_a0a0
62,MosquitoRelease,DoneReleasing_a0a0
62,MosquitoRelease,DoneReleasing_a0a0
71,Frequency_Counter,Release_More_Mosquitoes_a1a1
71,Frequency_Counter,Considered_Responding_a1
71,Fraction_Counter,Release_More_Mosquitoes_a0a0
71,Fraction_Counter,Considered_Responding_a0a0
72,MosquitoRelease,DoneReleasing_a1a1
72,MosquitoRelease,DoneReleasing_a1a1
72,MosquitoRelease,DoneReleasing_a0a0
72,MosquitoRelease,DoneReleasing_a0a0
81,Fraction_Counter,Release_More_Mosquitoes_a0a0
81,Fraction_Counter,Considered_Responding_a0a0
82,MosquitoRelease,DoneReleasing_a0a0
82,MosquitoRelease,DoneReleasing_a0a0
91,Frequency_Counter,Release_More_Mosquitoes_a1a1
91,Frequency_Counter,Considered_Responding_a1
91,Fraction_Counter,Release_More_Mosquitoes_a0a0
91,Fraction_Counter,Considered_Responding_a0a0
92,MosquitoRelease,DoneReleasing_a1a1
92,MosquitoRelease,DoneReleasing_a1a1
92,MosquitoRelease,DoneReleasing_a0a0
92,MosquitoRelease,DoneReleasing_a0a0
101,Fraction_Counter,Release_More_Mosquitoes_a0a0
101,Fraction_Counter,Considered_Responding_a0a0
102,MosquitoRelease,DoneReleasing_a0a0
102,MosquitoRelease,DoneReleasing_a0a0
111,Frequency_Counter,Release_More_Mosquitoes_a1a1
111,Frequency_Counter,Considered_Responding_a1
111,Fraction_Counter,Release_More_Mosquitoes_a0a0
111,Fraction_Counter,Considered_Responding_a0a0
112,MosquitoRelease,DoneReleasing_a1a1
112,MosquitoRelease,DoneReleasing_a1a1
112,MosquitoRelease,DoneReleasing_a0a0
112,MosquitoRelease,DoneReleasing_a0a0
121,Fraction_Counter,Release_More_Mosquitoes_a0a0
121,Fraction_Counter,Considered_Responding_a0a0
122,MosquitoRelease,DoneReleasing_a0a0
122,MosquitoRelease,DoneReleasing_a0a0
131,Frequency_Counter,Release_More_Mosquitoes_a1a1
131,Frequency_Counter,Considered_Responding_a1
131,Fraction_Counter,Release_More_Mosquitoes_a0a0
131,Fraction_Counter,Considered_Responding_a0a0
132,MosquitoRelease,DoneReleasing_a1a1
132,MosquitoRelease,DoneReleasing_a1a1
132,MosquitoRelease,DoneReleasing_a0a0
132,MosquitoRelease,DoneReleasing_a0a0
141,Fraction_Counter,Release_More_Mosquitoes_a0a0
141,Fraction_Counter,Considered_Responding_a0a0
142,MosquitoRelease,DoneReleasing_a0a0
142,MosquitoRelease,DoneReleasing_a0a0
