Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected
0,4,1000,8760,0,0,8760,9074,0,0,604800,302400,2856,0,0,0,0,0,970,270,0,0,0,19487.5,1,0,0,0,0,0,0,0,2856,0,0,0,0,0,0,0,0
0,3,1000,8760,0,0,8760,9060,0,0,596800,298400,2852,0,0,0,0,0,995,245,0,0,0,19487.5,1,0,0,0,0,0,0,0,2852,0,0,0,0,0,0,0,0
0,2,1000,8755,0,0,8755,9007,0,0,579600,289800,2753,0,0,0,0,0,961,284,0,0,0,19487.5,1,0,0,0,0,0,0,0,2753,0,0,0,0,0,0,0,0
0,1,1000,8792,0,0,8792,9040,0,0,617200,308600,2922,0,0,0,0,0,936,272,0,0,0,19487.5,1,0,0,0,0,0,0,0,2922,0,0,0,0,0,0,0,0
1,4,1000,7621,0,0,7621,8235,0,19346,540600,270300,2560,0,0,0,0,0,859,280,0,0,0,9361.76,0.0322213,0,0,0,7621,0,0,0,2560,0,0,0,0,0,0,0,0
1,3,1000,7681,0,0,7681,8166,0,19541,554400,277200,2630,0,0,0,0,0,823,256,0,0,0,9166.76,0.0326532,0,0,0,7681,0,0,0,2630,0,0,0,0,0,0,0,0
1,2,1000,7655,0,0,7655,8125,0,19407,546800,273400,2595,0,0,0,0,0,845,255,0,0,0,9300.76,0.0336222,0,0,0,7655,0,0,0,2595,0,0,0,0,0,0,0,0
1,1,1000,7649,0,0,7649,8199,0,19398,552000,276000,2642,0,0,0,0,0,884,259,0,0,0,9309.76,0.031574,0,0,0,7649,0,0,0,2642,0,0,0,0,0,0,0,0
2,4,1000,6654,0,0,6654,7446,0,26768,489200,244600,2334,0,0,0,0,0,744,223,0,0,0,10827.8,0.0173173,0,0,0,6654,0,0,0,2334,0,0,0,0,0,0,0,0
2,3,1000,6679,0,0,6679,7384,0,26804,485000,242500,2315,0,0,0,0,0,765,237,0,0,0,10791.8,0.0165346,0,0,0,6679,0,0,0,2315,0,0,0,0,0,0,0,0
