Time,NodeID,Alleles,VectorPopulation
0,1,Be,0
0,1,Bw,8986
0,1,X,8986
0,1,Y,0
1,1,Be,0
1,1,Bw,8039
1,1,X,8039
1,1,Y,0
2,1,Be,0
2,1,Bw,7167
2,1,X,7167
2,1,Y,0
3,1,Be,0
3,1,Bw,6350
3,1,X,6350
3,1,Y,0
4,1,Be,0
4,1,Bw,5655
4,1,X,5655
4,1,Y,0
5,1,Be,0
5,1,Bw,5008
5,1,X,5008
5,1,Y,0
6,1,Be,0
6,1,Bw,4420
6,1,X,4420
6,1,Y,0
7,1,Be,0
7,1,Bw,3857
7,1,X,3857
7,1,Y,0
8,1,Be,0
8,1,Bw,3332
8,1,X,3332
8,1,Y,0
9,1,Be,0
9,1,Bw,2874
9,1,X,2874
9,1,Y,0
10,1,Be,0
10,1,Bw,2461
10,1,X,2461
10,1,Y,0
11,1,Be,0
11,1,Bw,2094
11,1,X,2094
11,1,Y,0
12,1,Be,0
12,1,Bw,1775
12,1,X,1775
12,1,Y,0
13,1,Be,0
13,1,Bw,1462
13,1,X,1462
13,1,Y,0
14,1,Be,0
14,1,Bw,1227
14,1,X,1227
14,1,Y,0
15,1,Be,0
15,1,Bw,1017
15,1,X,1017
15,1,Y,0
16,1,Be,0
16,1,Bw,854
16,1,X,854
16,1,Y,0
17,1,Be,0
17,1,Bw,693
17,1,X,693
17,1,Y,0
18,1,Be,0
18,1,Bw,572
18,1,X,572
18,1,Y,0
19,1,Be,0
19,1,Bw,468
19,1,X,468
19,1,Y,0
20,1,Be,0
20,1,Bw,397
20,1,X,397
20,1,Y,0
21,1,Be,0
21,1,Bw,328
21,1,X,328
21,1,Y,0
22,1,Be,0
22,1,Bw,35734
22,1,X,35734
22,1,Y,0
23,1,Be,0
23,1,Bw,65250
23,1,X,65250
23,1,Y,0
24,1,Be,0
24,1,Bw,87941
24,1,X,87941
24,1,Y,0
25,1,Be,0
25,1,Bw,79936
25,1,X,79936
25,1,Y,0
26,1,Be,0
26,1,Bw,74022
26,1,X,74022
26,1,Y,0
27,1,Be,0
27,1,Bw,68859
27,1,X,68859
27,1,Y,0
28,1,Be,0
28,1,Bw,63950
28,1,X,63950
28,1,Y,0
29,1,Be,0
29,1,Bw,58880
29,1,X,58880
29,1,Y,0
30,1,Be,0
30,1,Bw,54170
30,1,X,54170
30,1,Y,0
31,1,Be,0
31,1,Bw,49659
31,1,X,49659
31,1,Y,0
32,1,Be,0
32,1,Bw,45041
32,1,X,45041
32,1,Y,0
33,1,Be,0
33,1,Bw,40380
33,1,X,40380
33,1,Y,0
