Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_IP='Accessibility',A_IP='CascadeState',A_IP='HasSTI',A_IP='OnDrug',A_IP='PrEPWilling',A_IP='Risk',A_IP='VMMC',A_IP='WillingToStartARTFromPrEPCampaign',A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_IP='Accessibility',B_IP='CascadeState',B_IP='HasSTI',B_IP='OnDrug',B_IP='PrEPWilling',B_IP='Risk',B_IP='VMMC',B_IP='WillingToStartARTFromPrEPCampaign',B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
27,2007.5,2608.32,1,F,1,1,19,0,0,54.2514,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,18,0,1,39.1547,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
28,2129.17,2700.25,1,F,1,1,36,0,0,38.0808,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,18,0,1,39.4881,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
29,2159.58,2385.46,1,F,1,1,36,0,0,38.1641,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,12,0,1,32.9325,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
30,2220.42,3058.9,2,F,1,1,21,0,0,41.9433,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,66,0,1,37.2774,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
31,2281.25,2608.66,1,F,1,1,15,0,0,36.2897,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,85,0,1,23.7104,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
32,2342.08,2782.89,2,F,1,1,29,0,0,32.2119,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,14,0,1,38.019,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
33,2372.5,3871.48,1,F,1,1,67,0,0,27.8301,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,20,0,1,17.7296,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
34,2372.5,3132.43,1,F,1,1,46,0,0,43.0408,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,88,0,1,36.5087,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
35,2372.5,3225.19,2,F,1,1,46,0,0,43.0408,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,72,0,1,47.6177,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
36,2585.42,2760.17,0,F,1,1,57,0,0,22.5273,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,85,0,1,24.5437,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
37,2950.42,4728.97,2,F,1,1,29,0,0,33.8786,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,40,0,1,35.1956,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
38,3011.25,4777.58,2,F,1,1,70,0,0,48.5602,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,10,0,1,51.287,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
39,3041.67,4487.43,2,F,1,1,58,0,0,23.4958,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,5,0,1,14.0581,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
40,3102.5,8014.64,2,F,1,1,67,0,0,29.8302,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,54,0,1,23.9402,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
41,3102.5,4077.68,2,F,1,1,49,0,0,20.8042,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,90,0,1,16.9271,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
42,3163.34,4695.75,2,F,1,1,91,0,0,23.3821,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,42,0,1,16.8262,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
43,3224.17,3400.7,1,F,1,1,70,0,0,49.1436,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,4,0,1,41.9787,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
44,3224.17,3511.01,1,F,1,1,36,0,0,41.0808,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,54,0,1,24.2736,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
45,3224.17,3370.08,1,F,1,1,76,0,0,37.389,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,50,0,1,28.3959,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
46,3345.84,8698.06,2,F,1,1,44,0,0,63.497,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,61,0,1,52.6557,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
47,3376.25,3664.29,1,F,1,1,95,0,0,33.6281,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,25,0,1,28.0182,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
48,3467.5,5596.28,2,F,1,1,98,0,0,62.5142,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,80,0,1,57.8698,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
49,3741.25,5003.04,1,F,1,1,59,0,0,38.225,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,69,0,1,37.158,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
50,3802.09,5423,2,F,1,1,76,0,0,38.9724,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,83,0,1,40.8537,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
51,4075.84,4326.73,1,F,1,1,44,0,0,65.497,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,78,0,1,30.7263,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
52,4167.09,4233.64,1,F,1,1,46,0,0,47.9574,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,85,0,1,28.8771,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
53,4258.34,4792.31,2,F,1,1,15,0,0,41.7064,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,88,0,1,41.6754,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
54,4288.75,4597.76,0,F,1,1,79,0,0,38.9335,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,54,0,1,27.1903,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
55,4471.25,4826.67,0,F,1,1,37,0,0,20.0995,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,82,0,1,20.8808,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
56,4532.09,4643.69,0,F,1,1,41,0,0,38.1631,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,56,0,1,41.3344,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
57,4592.92,7029.49,2,F,1,1,11,0,0,23.3371,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,30,0,1,15.7156,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
58,4623.33,10235.2,2,F,1,1,95,0,0,37.0448,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,78,0,1,32.2263,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
59,4714.58,11207.1,2,F,1,1,99,0,0,24.7304,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,55,0,1,17.6891,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
60,4775.42,4984.41,0,F,1,1,2,0,0,36.7581,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,74,0,1,30.7523,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
61,4805.83,6622.94,2,F,1,1,46,0,0,49.7074,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,18,0,1,46.8214,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
62,4836.25,4901.88,0,F,1,1,51,0,0,18.3297,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,75,0,1,18.1591,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
63,4866.67,8827.97,2,F,1,1,43,0,0,22.0356,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,27,0,1,15.9566,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
64,4988.33,5179.78,0,F,1,1,37,0,0,21.5161,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,90,0,1,22.0938,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
65,4988.33,5264.73,1,F,1,1,79,0,0,40.8502,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,55,0,1,18.4391,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
66,5018.75,5730.49,1,F,1,1,58,0,0,28.9126,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,42,0,1,21.9095,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
67,5018.75,5550.54,2,F,1,1,29,0,0,39.5453,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,63,0,1,44.3258,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
68,5110,5678.14,1,F,1,1,41,0,0,39.7464,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,12,0,1,41.0159,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
69,5201.25,5403.18,0,F,1,1,37,0,0,22.0995,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,20,0,1,25.4796,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
70,5231.67,5484.73,1,F,1,1,2,0,0,38.0081,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,90,0,1,22.7605,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
71,5292.5,5403.94,0,F,1,1,26,0,0,21.5466,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,73,0,1,16.5619,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
72,5414.16,5443.56,0,F,1,1,15,0,0,44.8731,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,25,0,1,33.6015,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
73,5535.83,7106.3,2,F,1,1,57,0,0,30.6107,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,6,0,1,35.6964,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
74,5535.83,6177.1,2,F,1,1,48,0,0,22.7819,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,8,0,1,17.361,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
75,5535.83,6942.42,2,F,1,1,101,0,0,21.8541,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,60,0,1,15.4174,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
76,5596.66,7337.96,2,F,1,1,86,0,0,19.4807,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,94,0,1,15.9441,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
77,5627.08,5678.52,0,F,1,1,2,0,0,39.0914,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,82,0,1,24.0475,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
78,5627.08,7439.83,2,F,1,1,15,0,0,45.4565,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,50,0,1,34.9793,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
79,5779.16,6231.82,1,F,1,1,58,0,0,30.9959,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,75,0,1,20.7424,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
80,5779.16,6502.24,1,F,1,1,91,0,0,30.5488,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,55,0,1,20.6058,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
81,5809.58,7906.93,2,F,1,1,49,0,0,28.2209,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,100,0,1,16.6962,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
82,5809.58,6184.15,2,F,1,1,26,0,0,22.9633,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,107,0,1,14.9167,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
83,5840,6208.88,0,F,1,1,76,0,0,44.5558,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,20,0,1,27.2296,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
84,5900.83,6301.72,1,F,1,1,2,0,0,39.8414,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,30,0,1,19.2989,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
85,5900.83,6188.45,1,F,1,1,91,0,0,30.8822,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,5,0,1,21.8914,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
86,5961.66,10897.4,2,F,1,1,28,0,0,20.7662,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,105,0,1,15.5833,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
87,5961.66,10583.4,2,F,1,1,41,0,0,42.0798,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,69,0,1,43.2414,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
88,6022.49,6549.52,0,F,1,1,111,0,0,15.0833,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,75,0,1,21.409,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
89,6235.41,6409.74,1,F,1,1,41,0,0,42.8298,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,17,0,1,35.9389,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
90,6265.83,6526.03,0,F,1,1,103,0,0,17.0833,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,73,0,1,19.2286,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
91,6296.24,8558.92,2,F,1,1,2,0,0,40.9248,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,53,0,1,51.1832,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
92,6326.66,6511.78,0,F,1,1,104,0,0,17.0833,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,77,0,1,19.5879,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
93,6417.91,7110.29,1,F,1,1,58,0,0,32.7459,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,7,0,1,28.848,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
94,6478.74,6691.04,0,F,1,1,26,0,0,24.7967,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,5,0,1,23.4747,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
95,6509.16,7486.58,1,F,1,1,29,0,0,43.6287,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,74,0,1,35.5023,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
96,6569.99,6659.62,0,F,1,1,76,0,0,46.5558,No,None,NO,NO,NO,MEDIUM,None,YES,0,0,0,97,0,1,32.3988,Yes,None,NO,NO,NO,MEDIUM,None,YES,0,0,0
