Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_C*,NumVectorsWithSporozoites_G*,NumVectorsWithSporozoites_Other
0,340461476,X-a1:X-a1,2201,0,0,2201,0,0,75550,0,0,0,0,0
0,340461476,X-a1:X-a2,4339,0,0,4339,0,0,154250,0,0,0,0,0
0,340461476,X-a2:X-a2,2213,0,0,2213,0,0,75900,0,0,0,0,0
1,340461476,X-a1:X-a1,1912,0,0,1912,0,2406,66925,0,0,0,0,0
1,340461476,X-a1:X-a2,3787,0,0,3787,0,5001,132650,0,0,0,0,0
1,340461476,X-a2:X-a2,1930,0,0,1930,0,2400,67725,0,0,0,0,0
2,340461476,X-a1:X-a1,1694,0,0,1694,0,3327,61625,0,0,0,0,0
2,340461476,X-a1:X-a2,3321,0,0,3321,0,6779,120850,0,0,0,0,0
2,340461476,X-a2:X-a2,1671,0,0,1671,0,3338,61025,0,0,0,0,0
3,340461476,X-a1:X-a1,1493,0,0,1493,0,4505,51925,0,0,0,0,0
3,340461476,X-a1:X-a2,2877,0,0,2877,0,8820,104550,0,0,0,0,0
3,340461476,X-a2:X-a2,1441,0,0,1441,0,4449,50125,0,0,0,0,0
4,340461476,X-a1:X-a1,1297,0,0,1297,0,5496,44550,0,0,0,0,0
4,340461476,X-a1:X-a2,2515,0,0,2515,0,10721,88900,0,0,0,0,0
4,340461476,X-a2:X-a2,1263,0,0,1263,0,5411,45850,0,0,0,0,0
5,340461476,X-a1:X-a1,1148,0,0,1148,0,6428,41300,0,0,0,0,0
5,340461476,X-a1:X-a2,2209,0,0,2209,0,12547,78800,0,0,0,0,0
5,340461476,X-a2:X-a2,1109,0,0,1109,0,6390,40200,0,0,0,0,0
6,340461476,X-a1:X-a1,996,0,0,996,0,7403,35350,0,0,0,0,0
6,340461476,X-a1:X-a2,1968,0,0,1968,0,14282,70400,0,0,0,0,0
6,340461476,X-a2:X-a2,976,0,0,976,0,7260,33950,0,0,0,0,0
7,340461476,X-a1:X-a1,879,0,0,879,0,8239,29050,0,0,0,0,0
7,340461476,X-a1:X-a2,1710,0,0,1710,0,16002,58700,0,0,0,0,0
7,340461476,X-a2:X-a2,852,0,0,852,0,8081,30850,0,0,0,0,0
8,340461476,X-a1:X-a1,758,0,0,758,0,9098,28325,0,0,0,0,0
8,340461476,X-a1:X-a2,1504,0,0,1504,0,17678,53550,0,0,0,0,0
8,340461476,X-a2:X-a2,737,0,0,737,0,9082,26625,0,0,0,0,0
9,340461476,X-a1:X-a1,656,0,0,656,0,10042,23500,0,0,0,0,0
9,340461476,X-a1:X-a2,1309,0,0,1309,0,19223,47350,0,0,0,0,0
9,340461476,X-a2:X-a2,649,0,0,649,0,9901,23150,0,0,0,0,0
10,340461476,X-a1:X-a1,574,0,0,574,0,10802,18800,0,0,0,0,0
10,340461476,X-a1:X-a2,1151,0,0,1151,0,20829,39600,0,0,0,0,0
10,340461476,X-a2:X-a2,566,0,0,566,0,10640,20700,0,0,0,0,0
11,340461476,X-a1:X-a1,510,0,0,510,0,11403,19675,0,0,0,0,0
11,340461476,X-a1:X-a2,988,0,0,988,0,22247,36250,0,0,0,0,0
11,340461476,X-a2:X-a2,513,0,0,513,0,11520,17775,0,0,0,0,0
12,340461476,X-a1:X-a1,459,0,0,459,0,12267,15400,0,0,0,0,0
12,340461476,X-a1:X-a2,842,0,0,842,0,23715,31750,0,0,0,0,0
12,340461476,X-a2:X-a2,448,0,0,448,0,12195,15650,0,0,0,0,0
13,340461476,X-a1:X-a1,405,0,0,405,0,12933,12325,0,0,0,0,0
13,340461476,X-a1:X-a2,740,0,0,740,0,25262,26350,0,0,0,0,0
13,340461476,X-a2:X-a2,394,0,0,394,0,12745,13825,0,0,0,0,0
14,340461476,X-a1:X-a1,345,0,0,345,0,13475,13525,0,0,0,0,0
14,340461476,X-a1:X-a2,659,0,0,659,0,26654,24550,0,0,0,0,0
14,340461476,X-a2:X-a2,345,0,0,345,0,13518,12325,0,0,0,0,0
15,340461476,X-a1:X-a1,294,0,0,294,0,14211,10100,0,0,0,0,0
15,340461476,X-a1:X-a2,566,0,0,566,0,27846,21100,0,0,0,0,0
15,340461476,X-a2:X-a2,300,0,0,300,0,14183,10500,0,0,0,0,0
16,340461476,X-a1:X-a1,266,0,0,266,0,14827,8125,0,0,0,0,0
16,340461476,X-a1:X-a2,507,0,0,507,0,29175,17550,0,0,0,0,0
16,340461476,X-a2:X-a2,272,0,0,272,0,14857,9625,0,0,0,0,0
17,340461476,X-a1:X-a1,224,0,0,224,0,15227,9300,0,0,0,0,0
17,340461476,X-a1:X-a2,445,0,0,445,0,30347,16350,0,0,0,0,0
17,340461476,X-a2:X-a2,223,0,0,223,0,15598,7850,0,0,0,0,0
18,340461476,X-a1:X-a1,193,0,0,193,0,16098,6950,0,0,0,0,0
18,340461476,X-a1:X-a2,395,0,0,395,0,31366,14050,0,0,0,0,0
18,340461476,X-a2:X-a2,190,0,0,190,0,15899,7000,0,0,0,0,0
19,340461476,X-a1:X-a1,170,0,0,170,0,16705,4900,0,0,0,0,0
19,340461476,X-a1:X-a2,341,0,0,341,0,32604,10800,0,0,0,0,0
19,340461476,X-a2:X-a2,159,0,0,159,0,16515,6300,0,0,0,0,0
20,340461476,X-a1:X-a1,156,0,0,156,0,17044,6075,0,0,0,0,0
20,340461476,X-a1:X-a2,308,0,0,308,0,33602,10300,0,0,0,0,0
20,340461476,X-a2:X-a2,135,0,0,135,0,17341,5425,0,0,0,0,0
21,340461476,X-a1:X-a1,133,0,0,133,0,17870,5050,0,0,0,0,0
21,340461476,X-a1:X-a2,273,0,0,273,0,34458,9400,0,0,0,0,0
21,340461476,X-a2:X-a2,127,0,0,127,0,17871,4750,0,0,0,0,0
22,340461476,X-a1:X-a1,120,0,0,120,0,18473,3550,0,0,0,0,0
22,340461476,X-a1:X-a2,244,0,0,244,0,35375,7500,0,0,0,0,0
22,340461476,X-a2:X-a2,112,0,0,112,0,18336,4450,0,0,0,0,0
23,340461476,X-a1:X-a1,98,0,0,98,280,18456,4725,0,0,0,0,0
23,340461476,X-a1:X-a2,212,0,0,212,538,35653,7350,0,0,0,0,0
23,340461476,X-a2:X-a2,96,0,0,96,272,18825,3825,0,0,0,0,0
24,340461476,X-a1:X-a1,86,0,0,86,379,19560,3100,0,0,0,0,0
24,340461476,X-a1:X-a2,184,0,0,184,742,36605,5950,0,0,0,0,0
24,340461476,X-a2:X-a2,80,0,0,80,392,19322,2750,0,0,0,0,0
25,340461476,X-a1:X-a1,78,0,0,78,526,19931,2475,0,0,0,0,0
25,340461476,X-a1:X-a2,152,0,0,152,957,37658,5150,0,0,0,0,0
25,340461476,X-a2:X-a2,72,0,0,72,531,19535,2875,0,0,0,0,0
26,340461476,X-a1:X-a1,73,0,0,73,614,20203,3125,0,0,0,0,0
26,340461476,X-a1:X-a2,133,0,0,133,1196,38465,4850,0,0,0,0,0
26,340461476,X-a2:X-a2,60,0,0,60,620,20170,2725,0,0,0,0,0
27,340461476,X-a1:X-a1,254,0,0,254,518,20956,1750,0,0,0,0,0
27,340461476,X-a1:X-a2,471,0,0,471,1034,38872,3750,0,0,0,0,0
27,340461476,X-a2:X-a2,236,0,0,236,564,20585,1900,0,0,0,0,0
28,340461476,X-a1:X-a1,292,0,0,292,574,20527,1850,0,0,0,0,0
28,340461476,X-a1:X-a2,566,0,0,566,1070,38510,3300,0,0,0,0,0
28,340461476,X-a2:X-a2,289,0,0,289,562,20320,1750,0,0,0,0,0
29,340461476,X-a1:X-a1,371,0,0,371,595,20212,1700,0,0,0,0,0
29,340461476,X-a1:X-a2,683,0,0,683,1113,37717,2650,0,0,0,0,0
29,340461476,X-a2:X-a2,353,0,0,353,561,19919,1750,0,0,0,0,0
30,340461476,X-a1:X-a1,411,0,0,411,632,19820,1125,0,0,0,0,0
30,340461476,X-a1:X-a2,804,0,0,804,1131,36399,2600,0,0,0,0,0
30,340461476,X-a2:X-a2,396,0,0,396,596,19558,1275,0,0,0,0,0
31,340461476,X-a1:X-a1,472,0,0,472,650,18876,13600,0,0,0,0,0
31,340461476,X-a1:X-a2,848,0,0,848,1180,35126,23550,0,0,0,0,0
31,340461476,X-a2:X-a2,471,0,0,471,613,18818,11550,0,0,0,0,0
32,340461476,X-a1:X-a1,535,0,0,535,639,23548,6750,0,0,0,0,0
32,340461476,X-a1:X-a2,941,0,0,941,1239,42972,12850,0,0,0,0,0
32,340461476,X-a2:X-a2,518,0,0,518,644,22538,6400,0,0,0,0,0
33,340461476,X-a1:X-a1,592,0,0,592,635,23461,6450,0,0,0,0,0
33,340461476,X-a1:X-a2,1060,0,0,1060,1284,43032,13550,0,0,0,0,0
33,340461476,X-a2:X-a2,554,0,0,554,677,22398,7100,0,0,0,0,0
34,340461476,X-a1:X-a1,617,0,0,617,675,23502,15450,0,0,0,0,0
34,340461476,X-a1:X-a2,1145,0,0,1145,1299,43796,28050,0,0,0,0,0
34,340461476,X-a2:X-a2,602,0,0,602,696,22771,13900,0,0,0,0,0
35,340461476,X-a1:X-a1,673,0,0,673,718,24005,10100,0,0,0,0,0
35,340461476,X-a1:X-a2,1205,0,0,1205,1324,44494,20350,0,0,0,0,0
35,340461476,X-a2:X-a2,663,0,0,663,693,23030,9750,0,0,0,0,0
36,340461476,X-a1:X-a1,713,0,0,713,750,24174,11925,0,0,0,0,0
36,340461476,X-a1:X-a2,1285,0,0,1285,1350,45150,23050,0,0,0,0,0
36,340461476,X-a2:X-a2,732,0,0,732,715,23114,12025,0,0,0,0,0
37,340461476,X-a1:X-a1,761,0,0,761,791,24371,18350,0,0,0,0,0
37,340461476,X-a1:X-a2,1352,0,0,1352,1379,45680,32500,0,0,0,0,0
37,340461476,X-a2:X-a2,757,0,0,757,740,23475,15450,0,0,0,0,0
38,340461476,X-a1:X-a1,818,0,0,818,754,24842,12750,0,0,0,0,0
38,340461476,X-a1:X-a2,1440,0,0,1440,1458,46291,28250,0,0,0,0,0
38,340461476,X-a2:X-a2,791,0,0,791,768,23592,14500,0,0,0,0,0
39,340461476,X-a1:X-a1,862,0,0,862,709,24867,16075,0,0,0,0,0
39,340461476,X-a1:X-a2,1516,0,0,1516,1522,47060,30650,0,0,0,0,0
39,340461476,X-a2:X-a2,818,0,0,818,795,23918,15275,0,0,0,0,0
40,340461476,X-a1:X-a1,887,0,0,887,763,25053,18850,0,0,0,0,0
40,340461476,X-a1:X-a2,1579,0,0,1579,1528,47581,35950,0,0,0,0,0
40,340461476,X-a2:X-a2,869,0,0,869,766,24191,17500,0,0,0,0,0
41,340461476,X-a1:X-a1,910,0,0,910,787,25397,15925,0,0,0,0,0
41,340461476,X-a1:X-a2,1654,0,0,1654,1544,48173,35650,0,0,0,0,0
41,340461476,X-a2:X-a2,918,0,0,918,783,24382,18125,0,0,0,0,0
42,340461476,X-a1:X-a1,924,0,0,924,779,25376,19525,0,0,0,0,0
42,340461476,X-a1:X-a2,1746,0,0,1746,1538,48784,36850,0,0,0,0,0
42,340461476,X-a2:X-a2,967,0,0,967,812,24686,17425,0,0,0,0,0
43,340461476,X-a1:X-a1,920,0,0,920,852,25634,20850,0,0,0,0,0
43,340461476,X-a1:X-a2,1812,0,0,1812,1544,49461,39300,0,0,0,0,0
43,340461476,X-a2:X-a2,984,0,0,984,827,24755,21050,0,0,0,0,0
44,340461476,X-a1:X-a1,990,0,0,990,857,25949,17525,0,0,0,0,0
44,340461476,X-a1:X-a2,1849,0,0,1849,1560,50026,40450,0,0,0,0,0
44,340461476,X-a2:X-a2,964,0,0,964,846,25081,20725,0,0,0,0,0
45,340461476,X-a1:X-a1,1033,0,0,1033,817,25835,21675,0,0,0,0,0
45,340461476,X-a1:X-a2,1947,0,0,1947,1558,50721,43150,0,0,0,0,0
45,340461476,X-a2:X-a2,996,0,0,996,862,25323,19075,0,0,0,0,0
46,340461476,X-a1:X-a1,1047,0,0,1047,889,26193,22950,0,0,0,0,0
46,340461476,X-a1:X-a2,1983,0,0,1983,1617,51365,44000,0,0,0,0,0
46,340461476,X-a2:X-a2,1060,0,0,1060,897,25180,23150,0,0,0,0,0
47,340461476,X-a1:X-a1,1099,0,0,1099,948,26388,19800,0,0,0,0,0
47,340461476,X-a1:X-a2,2059,0,0,2059,1659,51585,45550,0,0,0,0,0
47,340461476,X-a2:X-a2,1080,0,0,1080,888,25589,23250,0,0,0,0,0
48,340461476,X-a1:X-a1,1146,0,0,1146,909,26341,25350,0,0,0,0,0
48,340461476,X-a1:X-a2,2109,0,0,2109,1713,52256,48200,0,0,0,0,0
48,340461476,X-a2:X-a2,1104,0,0,1104,945,25846,21250,0,0,0,0,0
49,340461476,X-a1:X-a1,1152,0,0,1152,1007,26734,25400,0,0,0,0,0
49,340461476,X-a1:X-a2,2158,0,0,2158,1733,52636,49400,0,0,0,0,0
49,340461476,X-a2:X-a2,1121,0,0,1121,938,25744,25800,0,0,0,0,0
50,340461476,X-a1:X-a1,1225,0,0,1225,906,27036,23075,0,0,0,0,0
50,340461476,X-a1:X-a2,2218,0,0,2218,1643,52745,50600,0,0,0,0,0
50,340461476,X-a2:X-a2,1200,0,0,1200,847,26190,25325,0,0,0,0,0
51,340461476,X-a1:X-a1,1276,0,0,1276,798,27052,27350,0,0,0,0,0
51,340461476,X-a1:X-a2,2276,0,0,2276,1519,53276,53450,0,0,0,0,0
51,340461476,X-a2:X-a2,1203,0,0,1203,813,26420,24800,0,0,0,0,0
52,340461476,X-a1:X-a1,1267,0,0,1267,762,27308,26950,0,0,0,0,0
52,340461476,X-a1:X-a2,2332,0,0,2332,1320,53922,55200,0,0,0,0,0
52,340461476,X-a2:X-a2,1262,0,0,1262,768,26374,27250,0,0,0,0,0
53,340461476,X-a1:X-a1,1307,0,0,1307,607,27400,25075,0,0,0,0,0
53,340461476,X-a1:X-a2,2339,0,0,2339,1134,54264,53000,0,0,0,0,0
53,340461476,X-a2:X-a2,1268,0,0,1268,687,26635,27725,0,0,0,0,0
54,340461476,X-a1:X-a1,1295,0,0,1295,1166,26916,28725,0,0,0,0,0
54,340461476,X-a1:X-a2,2304,0,0,2304,2097,53443,58400,0,0,0,0,0
54,340461476,X-a2:X-a2,1247,0,0,1247,1113,26458,28375,0,0,0,0,0
55,340461476,X-a1:X-a1,1262,0,0,1262,1191,27516,29325,0,0,0,0,0
55,340461476,X-a1:X-a2,2249,0,0,2249,2113,54928,59100,0,0,0,0,0
55,340461476,X-a2:X-a2,1224,0,0,1224,1110,27055,29475,0,0,0,0,0
56,340461476,X-a1:X-a1,1235,0,0,1235,1208,27647,24325,0,0,0,0,0
56,340461476,X-a1:X-a2,2148,0,0,2148,2302,54957,55650,0,0,0,0,0
56,340461476,X-a2:X-a2,1198,0,0,1198,1169,27115,29525,0,0,0,0,0
57,340461476,X-a1:X-a1,1176,0,0,1176,1356,27336,31450,0,0,0,0,0
57,340461476,X-a1:X-a2,2045,0,0,2045,2512,55272,60200,0,0,0,0,0
57,340461476,X-a2:X-a2,1129,0,0,1129,1204,27716,29850,0,0,0,0,0
58,340461476,X-a1:X-a1,1522,0,0,1522,1036,27683,27950,0,0,0,0,0
58,340461476,X-a1:X-a2,2677,0,0,2677,1966,55480,54400,0,0,0,0,0
58,340461476,X-a2:X-a2,1424,0,0,1424,961,27813,28550,0,0,0,0,0
59,340461476,X-a1:X-a1,1461,0,0,1461,1046,27832,23850,0,0,0,0,0
59,340461476,X-a1:X-a2,2579,0,0,2579,2020,55511,54000,0,0,0,0,0
59,340461476,X-a2:X-a2,1371,0,0,1371,997,27920,28050,0,0,0,0,0
60,340461476,X-a1:X-a1,1447,0,0,1447,1105,27530,28350,0,0,0,0,0
60,340461476,X-a1:X-a2,2653,0,0,2653,2013,55971,54350,0,0,0,0,0
60,340461476,X-a2:X-a2,1397,0,0,1397,1012,28209,26500,0,0,0,0,0
61,340461476,X-a1:X-a1,1499,0,0,1499,1078,27756,22975,0,0,0,0,0
61,340461476,X-a1:X-a2,2698,0,0,2698,2052,56068,46950,0,0,0,0,0
61,340461476,X-a2:X-a2,1397,0,0,1397,1063,28119,24375,0,0,0,0,0
62,340461476,X-a1:X-a1,1481,0,0,1481,1128,27792,43175,0,0,0,0,0
62,340461476,X-a1:X-a2,2708,0,0,2708,2094,56253,90600,0,0,0,0,0
