Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,AvailableHabitat,EggCrowdingCorrection
0,340461476,gambiae2,1000,8992,0,0,8992,9083,0,0,617400,308700,1785,0,215,0,0,0,826,153,29,0,0,264600,1
1,340461476,gambiae2,1000,8073,0,0,8073,8214,0,264393,561000,280500,1643,0,188,0,0,0,741,159,19,0,0,207,0.428571
2,340461476,gambiae2,1000,7198,0,0,7198,7441,0,239441,506200,253100,1494,0,165,0,0,0,715,146,14,0,0,25159,0.000368984
3,340461476,gambiae2,1000,6513,0,0,6513,6781,0,241536,449600,224800,1280,0,144,0,0,0,544,131,10,0,0,23064,0.0497017
4,340461476,gambiae2,1000,5869,0,0,5869,6087,0,241739,406400,203200,1194,0,133,0,0,0,513,114,17,0,0,22861,0.0512989
5,340461476,gambiae2,1000,5293,0,0,5293,5501,0,241618,375400,187700,1089,0,132,0,0,0,447,119,10,0,0,22982,0.0562525
6,340461476,gambiae2,1000,4775,0,0,4775,4979,0,241896,329800,164900,952,0,122,0,0,0,409,95,14,0,0,22704,0.06122
7,340461476,gambiae2,1000,4280,0,0,4280,4520,0,241711,300200,150100,863,0,92,0,0,0,403,82,10,0,0,22889,0.0688417
8,340461476,gambiae2,1000,3861,0,0,3861,4070,0,241447,271000,135500,797,0,74,0,0,0,337,72,10,0,0,23153,0.0762458
9,340461476,gambiae2,1000,3492,0,0,3492,3677,0,241588,237000,118500,676,0,77,0,0,0,299,65,5,0,0,23012,0.0854354
10,340461476,gambiae2,1000,3147,0,0,3147,3304,0,241418,221200,110600,653,0,71,0,0,0,272,67,6,0,0,23182,0.097097
11,340461476,gambiae2,1000,2820,0,0,2820,2983,0,241422,201000,100500,571,0,61,0,0,0,250,70,7,0,0,23178,0.104801
12,340461476,gambiae2,1000,2540,0,0,2540,2745,0,241669,171000,85500,521,0,54,0,0,0,222,55,3,0,0,22931,0.115313
13,340461476,gambiae2,1000,2287,0,0,2287,2469,0,241421,163800,81900,473,0,58,0,0,0,208,39,6,0,0,23179,0.134099
14,340461476,gambiae2,1000,2059,0,0,2059,2232,0,241595,143200,71600,409,0,42,0,0,0,183,44,1,0,0,23005,0.141508
15,340461476,gambiae2,1000,1842,0,0,1842,2000,0,241530,123800,61900,358,0,28,0,0,0,171,41,5,0,0,23070,0.160649
16,340461476,gambiae2,1000,1658,0,0,1658,1810,0,241497,121000,60500,347,0,45,0,0,0,141,39,4,0,0,23103,0.186349
17,340461476,gambiae2,1000,1508,0,0,1508,1633,0,241435,102600,51300,285,0,37,0,0,0,118,30,2,0,0,23165,0.190934
18,340461476,gambiae2,1000,1368,0,0,1368,1455,0,241569,92200,46100,277,0,27,0,0,0,109,29,2,0,0,23031,0.22578
19,340461476,gambiae2,1000,1222,0,0,1222,1337,0,241777,91600,45800,258,0,47,0,0,0,105,34,7,0,0,22823,0.249794
20,340461476,gambiae2,1000,1095,0,0,1095,1203,0,242069,76200,38100,233,0,21,0,0,0,105,22,0,0,0,22531,0.249159
21,340461476,gambiae2,1000,970,0,0,970,1100,0,241510,66400,33200,195,0,20,0,0,0,98,25,2,0,0,23090,0.295682
22,340461476,gambiae2,1000,850,0,0,850,991,0,241448,60400,30200,197,0,13,0,0,0,94,22,4,0,0,23152,0.347741
23,340461476,gambiae2,1000,762,0,0,762,868,29386,212343,54800,27400,151,0,21,0,0,0,61,22,5,0,0,52257,0.383311
24,340461476,gambiae2,1000,682,0,0,682,773,26809,244306,47600,23800,148,0,14,0,0,0,62,18,0,0,0,20294,0.953595
25,340461476,gambiae2,1000,12958,0,0,12958,12827,2790,238120,43600,21800,126,0,16,0,12349,0,50,21,2,0,0,26480,0.426345
26,340461476,gambiae2,999,11237,0,112,11125,11641,5054,239574,39200,19600,6795,0,791,0,10,0,981,682,68,0,0,25026,0.607339
27,340461476,gambiae2,999,11442,0,105,11337,11738,4898,238997,34800,17400,102,0,15,0,1122,0,908,9,0,0,0,25603,0.638418
28,340461476,gambiae2,999,11477,0,104,11373,11621,4804,239426,31200,15600,694,0,78,0,1072,0,954,72,11,0,0,25174,0.735718
29,340461476,gambiae2,999,11001,0,195,10806,11597,4725,239432,1680400,840200,5566,0,576,0,1093,0,922,581,66,0,0,25168,0.806859
30,340461476,gambiae2,999,11033,0,196,10837,11550,4817,239062,27240,13620,687,0,72,0,995,0,888,68,7,0,0,25538,0.0149774
31,340461476,gambiae2,999,11077,0,205,10872,11470,4840,239179,176840,88420,1069,0,118,0,1042,0,883,107,8,0,0,25421,0.937518
32,340461476,gambiae2,1000,10737,0,286,10451,11520,4864,239071,1353360,676680,4499,0,538,0,1074,0,880,481,53,0,0,25529,0.143751
33,340461476,gambiae2,1000,10853,0,276,10577,11391,4866,239342,163240,81620,1065,0,116,0,1097,0,862,99,20,0,0,25258,0.0188634
34,340461476,gambiae2,1000,10959,0,279,10680,11359,4885,239042,261920,130960,1368,0,160,0,1082,0,817,143,16,0,0,25558,0.154729
35,340461476,gambiae2,1000,10752,0,312,10440,11287,4840,239225,1123440,561720,3900,0,420,0,1097,0,862,385,57,0,0,25375,0.0975794
36,340461476,gambiae2,1000,10773,0,320,10453,11250,4848,239244,262920,131460,1415,0,152,0,1083,0,909,139,14,0,0,25356,0.0225869
37,340461476,gambiae2,1000,10840,0,331,10509,11226,4845,239348,335120,167560,1556,0,172,0,1080,0,862,133,18,0,0,25252,0.09644
38,340461476,gambiae2,1000,10594,0,358,10236,11222,4837,239094,953400,476700,3382,0,363,0,1024,0,865,363,42,0,0,25506,0.0753521
39,340461476,gambiae2,1000,10595,0,356,10239,11194,4887,239513,341200,170600,1532,0,169,0,1035,0,875,148,11,0,0,25087,0.0267527
40,340461476,gambiae2,1000,10597,0,351,10246,11180,4900,238902,389560,194780,1664,0,163,0,1054,0,868,170,14,0,0,25698,0.0735258
41,340461476,gambiae2,1000,10508,0,361,10147,11143,4902,239087,821640,410820,2986,0,323,0,1119,0,837,335,36,0,0,25513,0.0659667
42,340461476,gambiae2,1001,10513,22,332,10159,11135,4878,239614,387960,193980,1763,0,165,0,1032,0,824,177,26,0,0,24986,0.0310513
43,340461476,gambiae2,1001,10556,21,338,10197,11132,4684,239372,425040,212520,1774,0,192,0,1100,0,831,210,16,0,0,25228,0.0644035
44,340461476,gambiae2,1001,10480,20,352,10108,11159,4666,239116,736160,368080,2760,9,300,2,1074,0,831,283,36,0,0,25484,0.0593544
45,340461476,gambiae2,1001,10469,40,340,10089,11091,4823,239460,431160,215580,1840,0,204,0,995,0,806,176,24,0,0,25140,0.0346175
46,340461476,gambiae2,1001,10516,38,347,10131,10983,8097,235898,448680,224340,1889,0,212,0,1074,0,822,182,23,0,0,28702,0.0583078
47,340461476,gambiae2,1001,10519,34,360,10125,10995,7506,240029,685520,342760,2629,17,269,0,1105,0,809,260,33,0,0,24571,0.0639699
48,340461476,gambiae2,1001,11945,53,331,11561,12303,5071,238825,457720,228860,1951,1,205,0,2448,0,824,176,22,0,0,25775,0.0358429
49,340461476,gambiae2,999,11666,53,336,11277,11964,5450,239386,464720,232360,2746,2,290,0,1006,0,993,267,25,0,0,25214,0.0563117
50,340461476,gambiae2,999,11679,48,323,11308,12025,5291,238954,640040,320020,2457,24,245,2,1249,0,966,245,25,0,0,25646,0.0542563
51,340461476,gambiae2,999,11676,55,311,11310,11985,5290,238888,479680,239840,2059,2,263,0,1170,0,949,192,32,0,0,25712,0.0400694
52,340461476,gambiae2,999,11653,57,314,11282,11977,5280,239116,658680,329340,2541,3,258,1,1211,0,953,252,29,0,0,25484,0.0536024
