Time,ID,FromNodeID,ToNodeID,State,Species,Age,Population
365,4697888,25,19,STATE_MALE,arabiensis,0,7
365,4697914,25,24,STATE_MALE,arabiensis,0,4
365,4697940,25,20,STATE_MALE,arabiensis,0,8
365,4697966,25,19,STATE_MALE,arabiensis,1,5
365,4697992,25,24,STATE_MALE,arabiensis,1,9
365,4698018,25,20,STATE_MALE,arabiensis,1,7
365,4698044,25,19,STATE_MALE,arabiensis,2,4
365,4698070,25,24,STATE_MALE,arabiensis,2,3
365,4698096,25,20,STATE_MALE,arabiensis,2,9
365,4698122,25,19,STATE_MALE,arabiensis,3,6
365,4698148,25,24,STATE_MALE,arabiensis,3,4
365,4698174,25,20,STATE_MALE,arabiensis,3,4
365,4698200,25,19,STATE_MALE,arabiensis,4,5
365,4698226,25,24,STATE_MALE,arabiensis,4,1
365,4698252,25,20,STATE_MALE,arabiensis,4,3
365,4698278,25,19,STATE_MALE,arabiensis,5,4
365,4698304,25,24,STATE_MALE,arabiensis,5,10
365,4698330,25,20,STATE_MALE,arabiensis,5,5
365,4698356,25,19,STATE_MALE,arabiensis,6,2
365,4698382,25,24,STATE_MALE,arabiensis,6,4
365,4698408,25,20,STATE_MALE,arabiensis,6,4
365,4698434,25,19,STATE_MALE,arabiensis,7,5
365,4698460,25,24,STATE_MALE,arabiensis,7,3
365,4698486,25,20,STATE_MALE,arabiensis,7,1
365,4698512,25,19,STATE_MALE,arabiensis,8,5
365,4698538,25,24,STATE_MALE,arabiensis,8,2
365,4698564,25,20,STATE_MALE,arabiensis,8,4
365,4698590,25,19,STATE_MALE,arabiensis,9,1
365,4698616,25,24,STATE_MALE,arabiensis,9,4
365,4698642,25,20,STATE_MALE,arabiensis,9,4
365,4698668,25,19,STATE_MALE,arabiensis,10,1
365,4698694,25,24,STATE_MALE,arabiensis,10,2
365,4698720,25,20,STATE_MALE,arabiensis,10,2
365,4698746,25,19,STATE_MALE,arabiensis,11,1
365,4698798,25,20,STATE_MALE,arabiensis,11,1
365,4698824,25,19,STATE_MALE,arabiensis,12,4
365,4698850,25,24,STATE_MALE,arabiensis,12,3
365,4698876,25,20,STATE_MALE,arabiensis,12,2
365,4698902,25,19,STATE_MALE,arabiensis,13,4
365,4698954,25,20,STATE_MALE,arabiensis,13,3
365,4699006,25,24,STATE_MALE,arabiensis,14,1
365,4699032,25,20,STATE_MALE,arabiensis,14,1
365,4699084,25,24,STATE_MALE,arabiensis,15,2
365,4699136,25,19,STATE_MALE,arabiensis,16,3
365,4699162,25,24,STATE_MALE,arabiensis,16,1
365,4699188,25,20,STATE_MALE,arabiensis,16,1
365,4699266,25,20,STATE_MALE,arabiensis,17,1
365,4699318,25,24,STATE_MALE,arabiensis,18,1
365,4699344,25,20,STATE_MALE,arabiensis,18,1
365,4699370,25,19,STATE_MALE,arabiensis,19,1
365,4699422,25,20,STATE_MALE,arabiensis,19,1
365,4699448,25,19,STATE_MALE,arabiensis,20,1
365,4699682,25,19,STATE_MALE,arabiensis,23,1
365,4699734,25,20,STATE_MALE,arabiensis,23,1
365,4700202,25,20,STATE_MALE,arabiensis,29,1
365,4700618,25,19,STATE_MALE,arabiensis,1,1
365,4700670,25,20,STATE_MALE,arabiensis,1,1
365,4700852,25,19,STATE_MALE,arabiensis,5,1
365,4701138,25,20,STATE_MALE,arabiensis,10,1
365,6222579,25,19,STATE_ADULT,arabiensis,2,1
365,5971107,25,19,STATE_ADULT,arabiensis,13,1
365,6083557,25,24,STATE_ADULT,arabiensis,8,1
365,6153497,25,24,STATE_ADULT,arabiensis,5,1
365,5944951,25,19,STATE_INFECTED,arabiensis,14,1
365,6013851,25,24,STATE_ADULT,arabiensis,11,1
365,4659954,25,19,STATE_ADULT,arabiensis,2,1
365,4593680,25,20,STATE_ADULT,arabiensis,6,1
365,6244237,25,24,STATE_ADULT,arabiensis,1,1
365,5991465,25,24,STATE_ADULT,arabiensis,12,1
365,4659876,25,20,STATE_ADULT,arabiensis,2,1
365,5971904,25,24,STATE_ADULT,arabiensis,13,1
365,4694664,25,24,STATE_ADULT,arabiensis,0,1
365,4589754,25,24,STATE_ADULT,arabiensis,6,1
365,4492254,25,24,STATE_INFECTED,arabiensis,12,1
365,4626882,25,20,STATE_ADULT,arabiensis,4,1
365,4677998,25,19,STATE_ADULT,arabiensis,1,1
365,4593316,25,19,STATE_ADULT,arabiensis,6,1
365,5904053,25,20,STATE_ADULT,arabiensis,16,1
365,4626570,25,24,STATE_ADULT,arabiensis,4,1
365,6127861,25,20,STATE_ADULT,arabiensis,6,1
365,4659486,25,20,STATE_ADULT,arabiensis,2,1
365,4626440,25,19,STATE_ADULT,arabiensis,4,1
365,6127965,25,24,STATE_ADULT,arabiensis,6,1
365,4659356,25,19,STATE_ADULT,arabiensis,2,1
365,4642872,25,19,STATE_ADULT,arabiensis,3,1
365,4677738,25,19,STATE_ADULT,arabiensis,1,1
365,6138182,25,24,STATE_ADULT,arabiensis,6,1
365,4609566,25,19,STATE_INFECTED,arabiensis,5,1
365,6180952,25,24,STATE_ADULT,arabiensis,4,1
365,4694196,25,19,STATE_ADULT,arabiensis,0,1
365,4659330,25,24,STATE_ADULT,arabiensis,2,1
365,4609462,25,24,STATE_INFECTED,arabiensis,5,1
365,4593004,25,24,STATE_ADULT,arabiensis,6,1
365,4659174,25,24,STATE_ADULT,arabiensis,2,1
365,6217925,25,20,STATE_ADULT,arabiensis,2,1
365,4609384,25,19,STATE_ADULT,arabiensis,5,1
365,4659122,25,20,STATE_ADULT,arabiensis,2,1
