Time,ID,FromNodeID,ToNodeID,State,Genome,Species,Age,Population
366,8033516,24,23,STATE_INFECTIOUS,X:X,funestus,24,1
366,6084323,24,23,STATE_INFECTED,X:X,funestus,8,1
366,8450019,24,23,STATE_INFECTED,X:X,funestus,9,1
367,5763808,24,23,STATE_INFECTIOUS,X:X,funestus,25,1
367,6163038,23,24,STATE_INFECTED,X:X,funestus,7,1
368,8499440,24,23,STATE_INFECTED,X:X,funestus,10,1
368,6214281,24,23,STATE_INFECTED,X:X,funestus,3,1
368,4384324,23,24,STATE_INFECTIOUS,X:X,funestus,20,1
369,6050744,24,23,STATE_INFECTED,X:X,funestus,14,1
369,6186984,23,24,STATE_INFECTED,X:X,funestus,8,1
369,4461808,23,24,STATE_INFECTIOUS,X:X,funestus,18,1
370,5841181,24,23,STATE_INFECTIOUS,X:X,funestus,22,1
370,6006752,23,24,STATE_INFECTED,X:X,funestus,17,1
371,8731728,24,23,STATE_INFECTED,X:X,funestus,6,1
371,8215754,24,23,STATE_INFECTIOUS,X:X,funestus,22,1
371,5763808,23,24,STATE_INFECTIOUS,X:X,funestus,29,1
372,7980589,24,23,STATE_INFECTIOUS,X:X,funestus,30,1
372,6324186,24,23,STATE_INFECTED,X:X,funestus,5,1
372,8292615,24,23,STATE_INFECTIOUS,X:X,funestus,20,1
372,8867336,23,24,STATE_INFECTED,X:X,funestus,3,1
373,6324186,23,24,STATE_INFECTED,X:X,funestus,6,1
374,6163272,23,24,STATE_INFECTED,X:X,funestus,14,1
374,6300344,23,24,STATE_INFECTED,X:X,funestus,8,1
374,6236485,23,24,STATE_INFECTED,X:X,funestus,8,1
374,6412716,23,24,STATE_INFECTED,X:X,funestus,3,1
374,8892122,23,24,STATE_INFECTED,X:X,funestus,4,1
374,8894099,23,24,STATE_INFECTED,X:X,funestus,3,1
374,8682195,23,24,STATE_INFECTED,X:X,funestus,8,1
374,6300188,23,24,STATE_INFECTED,X:X,funestus,8,1
374,8923946,23,24,STATE_INFECTED,X:X,funestus,3,1
375,6368802,23,24,STATE_INFECTED,X:X,funestus,6,1
375,6457098,23,24,STATE_INFECTED,X:X,funestus,2,1
375,6134749,23,24,STATE_INFECTED,X:X,funestus,14,1
375,6338693,23,24,STATE_INFECTED,X:X,funestus,5,1
375,6064095,23,24,STATE_INFECTIOUS,X:X,funestus,18,1
375,6456396,23,24,STATE_INFECTED,X:X,funestus,2,1
375,8732716,23,24,STATE_INFECTED,X:X,funestus,10,1
375,8646866,23,24,STATE_INFECTED,X:X,funestus,13,1
375,8391795,23,24,STATE_INFECTIOUS,X:X,funestus,24,1
375,6201803,23,24,STATE_INFECTED,X:X,funestus,11,1
