Time, NodeID, NumIndividuals, NumInfected, NodeProp=InterventionStatus, NodeProp=Place
41,1,10,0,1_VISIT,RURAL
42,10,100,19,STOP_VACCINATING,URBAN
42,9,90,29,STOP_VACCINATING,URBAN
42,8,80,13,STOP_VACCINATING,URBAN
42,7,70,12,1_VISIT,RURAL
42,6,60,14,1_VISIT,RURAL
42,5,50,11,1_VISIT,RURAL
42,4,40,11,1_VISIT,RURAL
42,3,30,10,1_VISIT,RURAL
42,2,20,0,1_VISIT,RURAL
42,1,10,0,1_VISIT,RURAL
43,10,100,18,STOP_VACCINATING,URBAN
43,9,90,27,STOP_VACCINATING,URBAN
43,8,80,14,STOP_VACCINATING,URBAN
43,7,70,12,1_VISIT,RURAL
43,6,60,12,1_VISIT,RURAL
43,5,50,11,1_VISIT,RURAL
43,4,40,11,1_VISIT,RURAL
43,3,30,9,1_VISIT,RURAL
43,2,20,0,1_VISIT,RURAL
43,1,10,0,1_VISIT,RURAL
44,10,100,19,STOP_VACCINATING,URBAN
44,9,90,22,STOP_VACCINATING,URBAN
44,8,80,13,STOP_VACCINATING,URBAN
44,7,70,15,1_VISIT,RURAL
44,6,60,11,1_VISIT,RURAL
44,5,50,11,1_VISIT,RURAL
44,4,40,10,1_VISIT,RURAL
44,3,30,9,1_VISIT,RURAL
44,2,20,0,1_VISIT,RURAL
44,1,10,0,1_VISIT,RURAL
45,10,100,19,STOP_VACCINATING,URBAN
45,9,90,21,STOP_VACCINATING,URBAN
45,8,80,13,STOP_VACCINATING,URBAN
45,7,70,15,1_VISIT,RURAL
45,6,60,12,1_VISIT,RURAL
45,5,50,11,1_VISIT,RURAL
45,4,40,11,1_VISIT,RURAL
45,3,30,8,1_VISIT,RURAL
45,2,20,0,1_VISIT,RURAL
45,1,10,0,1_VISIT,RURAL
46,10,100,19,STOP_VACCINATING,URBAN
46,9,90,19,STOP_VACCINATING,URBAN
46,8,80,14,STOP_VACCINATING,URBAN
46,7,70,18,1_VISIT,RURAL
46,6,60,11,1_VISIT,RURAL
46,5,50,10,1_VISIT,RURAL
46,4,40,11,1_VISIT,RURAL
46,3,30,9,1_VISIT,RURAL
46,2,20,0,1_VISIT,RURAL
46,1,10,0,1_VISIT,RURAL
47,10,100,18,STOP_VACCINATING,URBAN
47,9,90,21,STOP_VACCINATING,URBAN
47,8,80,15,STOP_VACCINATING,URBAN
47,7,70,18,1_VISIT,RURAL
47,6,60,10,1_VISIT,RURAL
47,5,50,10,1_VISIT,RURAL
47,4,40,10,1_VISIT,RURAL
47,3,30,8,1_VISIT,RURAL
47,2,20,0,1_VISIT,RURAL
47,1,10,0,1_VISIT,RURAL
48,10,100,15,STOP_VACCINATING,URBAN
48,9,90,21,STOP_VACCINATING,URBAN
48,8,80,14,STOP_VACCINATING,URBAN
48,7,70,19,1_VISIT,RURAL
48,6,60,7,1_VISIT,RURAL
48,5,50,12,1_VISIT,RURAL
48,4,40,9,1_VISIT,RURAL
48,3,30,6,1_VISIT,RURAL
48,2,20,0,1_VISIT,RURAL
48,1,10,0,1_VISIT,RURAL
49,10,100,15,STOP_VACCINATING,URBAN
49,9,90,17,STOP_VACCINATING,URBAN
49,8,80,13,STOP_VACCINATING,URBAN
49,7,70,19,1_VISIT,RURAL
49,6,60,7,1_VISIT,RURAL
49,5,50,13,1_VISIT,RURAL
49,4,40,9,1_VISIT,RURAL
49,3,30,5,1_VISIT,RURAL
49,2,20,0,1_VISIT,RURAL
49,1,10,0,1_VISIT,RURAL
50,10,100,15,STOP_VACCINATING,URBAN
50,9,90,15,STOP_VACCINATING,URBAN
50,8,80,14,STOP_VACCINATING,URBAN
50,7,70,20,1_VISIT,RURAL
50,6,60,6,1_VISIT,RURAL
50,5,50,12,1_VISIT,RURAL
50,4,40,7,1_VISIT,RURAL
50,3,30,2,1_VISIT,RURAL
50,2,20,0,1_VISIT,RURAL
50,1,10,0,1_VISIT,RURAL
51,10,100,10,STOP_VACCINATING,URBAN
51,9,90,14,STOP_VACCINATING,URBAN
51,8,80,15,STOP_VACCINATING,URBAN
51,7,70,22,1_VISIT,RURAL
51,6,60,4,1_VISIT,RURAL
51,5,50,12,1_VISIT,RURAL
51,4,40,5,1_VISIT,RURAL
51,3,30,2,1_VISIT,RURAL
51,2,20,0,1_VISIT,RURAL
51,1,10,0,1_VISIT,RURAL
52,10,100,9,STOP_VACCINATING,URBAN
52,9,90,13,STOP_VACCINATING,URBAN
52,8,80,19,STOP_VACCINATING,URBAN
52,7,70,22,1_VISIT,RURAL
52,6,60,7,1_VISIT,RURAL
