Time,NodeID,NumIndividuals,NumInfected,NodeProp=InterventionStatus
0,1486303252,100,17,NONE
0,1486368789,100,14,NONE
1,1486303252,100,17,NONE
1,1486368789,100,14,NONE
2,1486303252,100,17,NONE
2,1486368789,100,14,NONE
3,1486303252,100,17,NONE
3,1486368789,100,14,NONE
4,1486303252,100,17,NONE
4,1486368789,100,14,NONE
5,1486303252,100,17,NONE
5,1486368789,100,14,NONE
6,1486303252,100,17,NONE
6,1486368789,100,14,NONE
7,1486303252,100,17,NONE
7,1486368789,100,14,NONE
8,1486303252,100,17,NONE
8,1486368789,100,14,NONE
9,1486303252,100,17,NONE
9,1486368789,100,14,NONE
10,1486303252,99,17,NONE
10,1486368789,100,14,NONE
11,1486303252,99,17,NONE
11,1486368789,100,14,NONE
12,1486303252,99,17,NONE
12,1486368789,100,14,NONE
13,1486303252,99,17,NONE
13,1486368789,100,14,NONE
14,1486303252,99,17,NONE
14,1486368789,100,14,NONE
15,1486303252,99,17,NONE
15,1486368789,100,14,NONE
16,1486303252,99,17,NONE
16,1486368789,100,14,NONE
17,1486303252,99,17,NONE
17,1486368789,100,14,NONE
18,1486303252,99,17,NONE
18,1486368789,100,14,NONE
19,1486303252,99,17,NONE
19,1486368789,100,14,NONE
20,1486303252,99,17,NONE
20,1486368789,100,14,NONE
21,1486303252,99,17,NONE
21,1486368789,100,14,NONE
22,1486303252,99,17,NONE
22,1486368789,100,14,NONE
23,1486303252,99,17,NONE
23,1486368789,100,14,NONE
24,1486303252,99,17,NONE
24,1486368789,100,14,NONE
25,1486303252,99,17,NONE
25,1486368789,100,14,NONE
26,1486303252,99,17,NONE
26,1486368789,100,14,NONE
27,1486303252,99,17,NONE
27,1486368789,100,14,NONE
28,1486303252,99,17,NONE
28,1486368789,100,14,NONE
29,1486303252,99,17,NONE
29,1486368789,100,14,NONE
30,1486303252,99,17,NONE
30,1486368789,100,14,NONE
31,1486303252,99,17,NONE
31,1486368789,100,14,NONE
32,1486303252,99,15,NONE
32,1486368789,100,13,NONE
33,1486303252,99,15,NONE
33,1486368789,100,13,NONE
34,1486303252,99,15,NONE
34,1486368789,100,13,NONE
35,1486303252,99,15,NONE
35,1486368789,100,13,NONE
36,1486303252,99,15,NONE
36,1486368789,100,13,NONE
37,1486303252,99,15,NONE
37,1486368789,100,13,NONE
38,1486303252,99,15,NONE
38,1486368789,100,13,NONE
39,1486303252,99,15,NONE
39,1486368789,100,13,NONE
40,1486303252,99,15,NONE
40,1486368789,100,13,NONE
41,1486303252,99,15,NONE
41,1486368789,100,13,NONE
42,1486303252,99,15,NONE
42,1486368789,100,13,NONE
43,1486303252,99,15,NONE
43,1486368789,100,13,NONE
44,1486303252,99,15,NONE
44,1486368789,100,13,NONE
45,1486303252,99,17,NONE
45,1486368789,100,13,NONE
46,1486303252,99,17,NONE
46,1486368789,100,15,NONE
47,1486303252,99,17,NONE
47,1486368789,100,18,NONE
48,1486303252,99,18,NONE
48,1486368789,100,18,NONE
49,1486303252,99,18,NONE
49,1486368789,100,18,NONE
50,1486303252,99,20,NONE
50,1486368789,100,18,NONE
51,1486303252,99,22,NONE
51,1486368789,100,17,NONE
52,1486303252,99,22,NONE
52,1486368789,100,18,NONE
53,1486303252,99,25,NONE
53,1486368789,100,18,NONE
54,1486303252,99,26,NONE
54,1486368789,100,18,NONE
55,1486303252,99,26,NONE
55,1486368789,100,18,NONE
56,1486303252,99,26,NONE
56,1486368789,100,18,NONE
57,1486303252,99,26,NONE
57,1486368789,100,18,NONE
58,1486303252,99,26,NONE
58,1486368789,100,18,NONE
59,1486303252,99,26,NONE
59,1486368789,100,18,NONE
60,1486303252,99,26,NONE
60,1486368789,100,18,NONE
61,1486303252,99,25,NONE
61,1486368789,100,19,NONE
62,1486303252,99,26,NONE
62,1486368789,100,18,NONE
63,1486303252,99,29,NONE
63,1486368789,100,19,NONE
64,1486303252,99,29,NONE
64,1486368789,100,19,NONE
65,1486303252,99,30,NONE
65,1486368789,100,21,NONE
66,1486303252,99,30,NONE
66,1486368789,101,21,NONE
67,1486303252,99,30,NONE
67,1486368789,101,22,NONE
68,1486303252,99,29,NONE
68,1486368789,101,22,NONE
69,1486303252,99,30,NONE
69,1486368789,101,22,NONE
70,1486303252,99,30,NONE
70,1486368789,101,23,NONE
71,1486303252,99,30,NONE
71,1486368789,101,23,NONE
72,1486303252,99,30,NONE
72,1486368789,101,23,NONE
73,1486303252,99,30,NONE
73,1486368789,101,23,NONE
74,1486303252,99,30,NONE
74,1486368789,101,23,NONE
75,1486303252,99,30,NONE
75,1486368789,101,26,NONE
76,1486303252,99,32,NONE
76,1486368789,101,28,NONE
77,1486303252,99,32,NONE
77,1486368789,101,28,NONE
78,1486303252,99,32,NONE
78,1486368789,101,31,NONE
79,1486303252,99,32,NONE
79,1486368789,101,31,NONE
80,1486303252,99,32,NONE
80,1486368789,101,31,NONE
81,1486303252,99,32,NONE
81,1486368789,101,32,NONE
82,1486303252,99,32,NONE
82,1486368789,101,32,NONE
83,1486303252,99,32,NONE
83,1486368789,101,32,NONE
84,1486303252,99,32,NONE
84,1486368789,101,33,NONE
85,1486303252,99,32,NONE
85,1486368789,101,33,NONE
86,1486303252,99,32,NONE
86,1486368789,101,34,NONE
87,1486303252,99,32,NONE
87,1486368789,101,36,NONE
88,1486303252,99,33,NONE
88,1486368789,101,37,NONE
89,1486303252,99,35,NONE
89,1486368789,101,38,NONE
90,1486303252,99,35,NONE
90,1486368789,101,38,NONE
91,1486303252,99,35,NONE
91,1486368789,101,38,NONE
92,1486303252,99,37,NONE
92,1486368789,101,38,NONE
93,1486303252,99,37,NONE
93,1486368789,101,38,NONE
94,1486303252,99,37,NONE
94,1486368789,101,38,NONE
95,1486303252,99,36,NONE
95,1486368789,101,38,NONE
96,1486303252,99,36,NONE
96,1486368789,101,38,NONE
97,1486303252,99,36,NONE
97,1486368789,101,38,NONE
98,1486303252,99,37,NONE
98,1486368789,101,38,NONE
99,1486303252,99,37,NONE
99,1486368789,101,41,NONE
100,1486303252,99,37,NONE
100,1486368789,102,41,NONE
101,1486303252,99,37,NONE
101,1486368789,102,41,NONE
102,1486303252,99,39,NONE
102,1486368789,102,41,NONE
103,1486303252,99,39,NONE
103,1486368789,102,41,NONE
104,1486303252,99,40,NONE
104,1486368789,102,43,NONE
105,1486303252,99,40,NONE
105,1486368789,102,43,NONE
106,1486303252,99,40,NONE
106,1486368789,102,44,NONE
107,1486303252,99,43,NONE
107,1486368789,102,45,NONE
108,1486303252,99,45,NONE
108,1486368789,102,45,NONE
109,1486303252,99,45,NONE
109,1486368789,102,45,NONE
110,1486303252,99,47,NONE
110,1486368789,102,47,NONE
111,1486303252,99,48,NONE
111,1486368789,102,47,NONE
112,1486303252,99,49,NONE
112,1486368789,102,47,NONE
113,1486303252,99,52,NONE
113,1486368789,102,47,NONE
114,1486303252,99,53,NONE
114,1486368789,102,47,NONE
115,1486303252,99,53,NONE
115,1486368789,102,47,NONE
116,1486303252,99,53,NONE
116,1486368789,102,49,NONE
117,1486303252,99,54,NONE
117,1486368789,102,51,NONE
118,1486303252,99,53,NONE
118,1486368789,102,51,NONE
119,1486303252,99,53,NONE
119,1486368789,102,54,NONE
120,1486303252,99,58,NONE
120,1486368789,102,57,NONE
121,1486303252,99,60,NONE
121,1486368789,102,60,NONE
122,1486303252,99,61,NONE
122,1486368789,102,63,NONE
123,1486303252,99,63,NONE
123,1486368789,102,65,NONE
124,1486303252,99,67,NONE
124,1486368789,102,66,NONE
125,1486303252,99,70,NONE
125,1486368789,102,70,NONE
126,1486303252,99,73,NONE
126,1486368789,102,73,NONE
127,1486303252,99,75,NONE
127,1486368789,102,75,NONE
128,1486303252,99,76,NONE
128,1486368789,102,76,NONE
129,1486303252,99,77,NONE
129,1486368789,102,79,NONE
130,1486303252,99,79,NONE
130,1486368789,103,81,NONE
131,1486303252,99,80,NONE
131,1486368789,103,81,NONE
132,1486303252,99,82,NONE
132,1486368789,103,82,NONE
133,1486303252,99,82,NONE
133,1486368789,103,83,NONE
134,1486303252,99,83,NONE
134,1486368789,103,87,NONE
135,1486303252,99,84,NONE
135,1486368789,103,90,NONE
136,1486303252,99,85,NONE
136,1486368789,103,91,NONE
137,1486303252,99,86,NONE
137,1486368789,103,92,NONE
138,1486303252,99,89,NONE
138,1486368789,103,94,NONE
139,1486303252,99,93,NONE
139,1486368789,103,95,NONE
140,1486303252,99,94,NONE
140,1486368789,103,95,NONE
141,1486303252,99,94,NONE
141,1486368789,103,97,NONE
142,1486303252,99,95,NONE
142,1486368789,103,99,NONE
143,1486303252,99,95,NONE
143,1486368789,103,100,NONE
144,1486303252,99,95,NONE
144,1486368789,103,100,NONE
145,1486303252,99,96,NONE
145,1486368789,103,100,NONE
146,1486303252,99,96,NONE
146,1486368789,103,100,NONE
147,1486303252,99,96,NONE
147,1486368789,103,102,NONE
148,1486303252,99,97,NONE
148,1486368789,103,102,NONE
149,1486303252,99,98,NONE
149,1486368789,103,102,NONE
150,1486303252,99,98,NONE
150,1486368789,103,103,NONE
151,1486303252,99,98,NONE
151,1486368789,102,102,NONE
152,1486303252,99,98,NONE
152,1486368789,102,102,NONE
153,1486303252,99,99,NONE
153,1486368789,102,102,NONE
154,1486303252,99,99,NONE
154,1486368789,102,102,NONE
155,1486303252,99,99,NONE
155,1486368789,102,102,NONE
156,1486303252,99,99,NONE
156,1486368789,102,102,NONE
157,1486303252,99,99,NONE
157,1486368789,102,102,NONE
158,1486303252,99,99,NONE
158,1486368789,102,102,NONE
159,1486303252,99,99,NONE
159,1486368789,102,102,NONE
160,1486303252,99,99,NONE
160,1486368789,102,102,NONE
161,1486303252,99,99,NONE
161,1486368789,102,102,NONE
162,1486303252,99,99,NONE
162,1486368789,102,102,NONE
163,1486303252,99,99,NONE
163,1486368789,102,102,NONE
164,1486303252,99,99,NONE
164,1486368789,102,102,NONE
165,1486303252,99,99,NONE
165,1486368789,102,102,NONE
166,1486303252,99,99,NONE
166,1486368789,102,102,NONE
167,1486303252,99,99,NONE
167,1486368789,102,102,NONE
168,1486303252,99,99,NONE
168,1486368789,102,102,NONE
169,1486303252,99,99,NONE
169,1486368789,102,102,NONE
170,1486303252,99,99,NONE
170,1486368789,102,102,NONE
171,1486303252,99,99,NONE
171,1486368789,102,102,NONE
172,1486303252,99,99,NONE
172,1486368789,102,102,NONE
173,1486303252,99,99,NONE
173,1486368789,102,102,NONE
174,1486303252,99,99,NONE
174,1486368789,102,102,NONE
175,1486303252,99,99,NONE
175,1486368789,102,102,NONE
176,1486303252,99,99,NONE
176,1486368789,102,102,NONE
177,1486303252,99,99,NONE
177,1486368789,102,102,NONE
178,1486303252,99,99,NONE
178,1486368789,102,102,NONE
179,1486303252,99,99,NONE
179,1486368789,102,102,NONE
180,1486303252,99,99,NONE
180,1486368789,102,102,NONE
181,1486303252,99,99,NONE
181,1486368789,102,102,NONE
182,1486303252,99,99,NONE
182,1486368789,102,102,NONE
183,1486303252,99,99,NONE
183,1486368789,102,102,NONE
184,1486303252,99,99,NONE
184,1486368789,102,102,NONE
185,1486303252,99,99,NONE
185,1486368789,102,102,NONE
186,1486303252,99,99,NONE
186,1486368789,102,102,NONE
187,1486303252,99,99,NONE
187,1486368789,102,102,NONE
188,1486303252,99,99,NONE
188,1486368789,102,102,NONE
189,1486303252,99,99,NONE
189,1486368789,102,102,NONE
190,1486303252,99,99,NONE
190,1486368789,102,102,NONE
191,1486303252,99,99,NONE
191,1486368789,102,102,NONE
192,1486303252,99,99,NONE
192,1486368789,102,102,NONE
193,1486303252,99,99,NONE
193,1486368789,102,102,NONE
194,1486303252,99,99,NONE
194,1486368789,102,102,NONE
195,1486303252,99,99,NONE
195,1486368789,102,102,NONE
196,1486303252,99,99,NONE
196,1486368789,102,102,NONE
197,1486303252,99,99,NONE
197,1486368789,102,102,NONE
198,1486303252,99,99,NONE
198,1486368789,102,102,NONE
199,1486303252,99,99,NONE
199,1486368789,102,102,NONE
200,1486303252,99,99,NONE
200,1486368789,102,102,NONE
201,1486303252,99,99,NONE
201,1486368789,102,102,NONE
202,1486303252,99,99,NONE
