Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,340461476,1000,26186,0,0,26186,27111,0,0,1815400,907700,7122,0,1480,0,0,0,2915,760,139,0,0,5237.84,294.946,5819.82,1,1,1,0,0,0
1,340461476,1000,22829,0,0,22829,24439,0,11338,1624000,812000,6426,0,1269,0,0,0,2578,671,108,0,0,2468.92,153.442,2735.25,0.00848371,0.000498051,0.00960684,0,0,0
2,340461476,1000,19961,0,0,19961,22093,0,15616,1471800,735900,5866,0,1123,0,0,0,2150,590,128,0,0,1166.68,109.321,1230.31,0.00455857,0.000279494,0.00512795,0,0,0
3,340461476,1001,17579,0,0,17579,20017,0,16541,1206200,603100,4772,0,966,0,0,0,1822,473,87,0,0,18461.7,1013.92,20494.8,0.00243566,0.000223561,0.00244207,0,0,0
4,340461476,1001,15453,0,0,15453,18122,0,55229,1098600,549300,4357,0,830,0,0,0,1640,414,72,0,0,9990.38,610.448,11131.3,0.0445504,0.00259447,0.0511092,0,0,0
5,340461476,1001,13536,0,0,13536,16405,0,71799,996400,498200,3997,0,747,0,0,0,1450,390,77,0,0,2987.71,261.181,3242,0.0271773,0.00164011,0.0310237,0,0,0
6,340461476,1001,11891,0,0,11891,14873,0,71390,815600,407800,3155,0,714,0,0,0,1284,291,70,0,0,4525.26,417.636,5251.5,0.00921563,0.000805119,0.00932145,0,0,0
7,340461476,1001,10429,0,0,10429,13445,0,74822,743400,371700,2937,0,608,0,0,0,1087,304,71,0,0,4120.25,383.494,4514.94,0.0159565,0.00157599,0.0196685,0,0,0
8,340461476,1001,9119,0,0,9119,12175,0,76631,674400,337200,2655,0,547,0,0,0,1012,247,51,0,0,4285.83,432.423,4707.02,0.0166542,0.00153153,0.0183833,0,0,0
9,340461476,1002,8053,0,0,8053,11062,0,78963,560600,280300,2205,0,456,0,0,0,800,223,43,0,0,6712.44,508.903,7440.93,0.0194633,0.00197996,0.0199619,0,0,0
10,340461476,1002,7057,0,0,7057,10013,0,85973,494200,247100,1999,0,358,0,0,0,783,187,26,0,0,13651.6,958.534,15191.8,0.0341774,0.00279617,0.0408393,0,0,0
11,340461476,1002,6173,0,0,6173,9062,0,107788,452600,226300,1813,0,341,0,0,0,694,156,34,0,0,5815.9,569.545,6654,0.0827372,0.00568525,0.0945941,0,0,0
12,340461476,1002,5398,0,0,5398,8172,0,110447,374800,187400,1450,0,323,0,0,0,588,156,31,0,0,1356.77,382.872,1309.51,0.0394031,0.00386919,0.0421673,0,0,0
13,340461476,1002,4732,0,0,4732,7384,0,102880,329600,164800,1275,0,264,0,0,0,519,121,26,0,0,4391.75,432.246,5009.83,0.0102012,0.00315901,0.0108583,0,0,0
14,340461476,1002,4141,0,0,4141,6730,0,102903,308000,154000,1231,0,226,0,0,0,450,119,22,0,0,2048.84,400.497,2317.59,0.0384567,0.00380498,0.0492125,0,0,0
15,340461476,1003,3632,0,0,3632,6057,2762,95090,246400,123200,986,0,186,0,0,0,410,79,20,0,0,4934.92,512.766,5419.46,0.0206953,0.00396531,0.0214592,0,0,0
16,340461476,1003,3209,0,0,3209,5543,2472,96869,227000,113500,892,0,186,0,0,0,329,80,14,0,0,3645.56,517.237,3992.95,0.0544693,0.00657392,0.0696589,0,0,0
17,340461476,1003,2836,0,0,2836,5042,3440,94533,208800,104400,835,0,154,0,0,0,289,70,14,0,0,8397.24,761.413,9185.26,0.0456837,0.00663125,0.0577016,0,0,0
18,340461476,1003,2475,0,0,2475,4552,3609,103293,170400,85200,668,0,138,0,0,0,278,70,13,0,0,7340.9,671.14,7918.55,0.124588,0.0110031,0.12722,0,0,0
19,340461476,1004,3090,0,0,3090,5026,10379,100366,154800,77400,591,0,149,0,930,0,236,63,16,0,0,3756.77,652.849,4432.96,0.12317,0.0126154,0.137475,0,0,0
20,340461476,1004,2636,0,0,2636,4574,14281,94737,135800,67900,1136,0,305,0,0,0,323,107,24,0,0,13922.1,1116.98,15383.3,0.0663741,0.0119133,0.102142,0,0,0
21,340461476,1004,2710,0,0,2710,4581,13549,114449,114200,57100,465,0,80,0,399,0,264,50,11,0,0,1963.37,498.002,2089.52,0.333063,0.0243882,0.319155,0,0,0
22,340461476,1004,2560,0,0,2560,4333,14208,105712,98200,49100,630,0,169,0,189,0,269,55,15,0,0,18281.2,1389.04,20528.2,0.0527788,0.0139888,0.0504714,0,0,0
23,340461476,1004,5151,0,0,5151,6939,8951,133485,205200,102600,887,0,237,0,2981,0,282,90,18,0,0,2405.73,617.376,2340.69,0.50223,0.0406151,0.743775,0,0,0
24,340461476,1004,6018,0,0,6018,7935,6830,123942,70200,35100,2240,0,642,0,1683,0,514,224,78,0,0,7679.9,863.308,8404.32,0.028915,0.0187084,0.0262999,0,0,0
25,340461476,1004,5792,0,0,5792,7669,8434,125981,114400,57200,1580,0,442,0,485,0,541,132,38,0,0,12917.3,1077.77,14137.3,0.362259,0.0396013,0.308982,0,0,0
26,340461476,1005,5850,0,29,5821,7771,12767,135521,160200,80100,878,0,287,0,737,0,555,102,22,0,0,11652.9,1151.16,12816.1,0.29093,0.0452844,0.306002,0,0,0
27,340461476,1005,5726,0,94,5632,7671,10258,148060,411600,205800,2019,0,570,0,696,0,551,214,55,0,0,17211.9,1380.37,19334.5,0.167909,0.055344,0.183086,0,0,0
28,340461476,1005,5682,0,136,5546,7637,10514,169400,285800,142900,1491,0,461,0,713,0,547,162,48,0,0,2565.05,851.273,2807.95,0.0988054,0.0565726,0.0907725,0,0,0
29,340461476,1005,6061,0,154,5907,7975,10143,156446,165680,82840,1090,0,313,0,1050,0,533,107,31,0,0,4401.41,764.845,4947,0.019946,0.041324,0.020556,0,0,0
30,340461476,1005,7383,0,203,7180,9509,5784,150604,360960,180480,2081,0,572,0,2177,0,576,215,64,0,0,11272.5,1205.65,12458,0.0578523,0.0491545,0.0668152,0,0,0
31,340461476,1005,6340,0,243,6097,8587,7573,158551,270720,135360,2433,0,701,0,0,0,734,241,68,0,0,7860.98,1036.99,8818.53,0.0724827,0.0580754,0.0674572,0,0,0
32,340461476,1005,6545,0,226,6319,8673,6919,159173,195800,97900,733,0,207,0,899,0,592,81,21,0,0,5364.8,1085.25,5874.43,0.0642027,0.0555133,0.0680442,0,0,0
33,340461476,1005,6627,0,270,6357,8774,8339,152396,363720,181860,1959,0,557,0,914,0,599,184,49,0,0,5875.19,847.514,6393.09,0.0601165,0.0972448,0.0615768,0,0,0
34,340461476,1005,6046,0,323,5723,8325,10363,147462,447560,223780,2290,0,643,0,325,0,620,218,68,0,0,6129.2,973.953,6793.77,0.0371659,0.0413825,0.0345274,0,0,0
35,340461476,1005,6145,0,304,5841,8296,9683,145409,131960,65980,722,0,196,0,786,0,589,78,20,0,0,3776.5,998.703,4237.22,0.0298287,0.051806,0.0304271,0,0,0
36,340461476,1005,5908,10,303,5595,8138,15314,132315,355120,177560,1858,0,521,0,592,0,598,182,49,0,0,3572.75,1002.16,4062.61,0.0641389,0.136435,0.0644346,0,0,0
37,340461476,1005,6325,24,305,5996,8717,21046,118582,402360,201180,1881,0,541,0,1257,0,606,170,64,0,0,20150.3,1769.25,22368.3,0.022797,0.0496118,0.022798,0,0,0
38,340461476,1005,6790,24,305,6461,9061,17954,149951,124880,62440,1299,1,382,1,1231,0,598,120,48,0,0,2188.97,994.824,2581.52,0.109991,0.0963646,0.111396,2,3,-1
39,340461476,1005,6569,28,306,6235,8879,19154,137322,335800,167900,2082,4,595,2,655,0,598,216,62,0,0,8865.5,1238.57,9868,0.0396552,0.109082,0.0426275,6,3,3
40,340461476,1005,8312,47,290,7975,10566,19156,137153,346680,173340,1751,0,466,1,2616,0,642,186,45,0,0,17287.5,1780.45,19302.2,0.0590089,0.0621774,0.059575,1,1,0
41,340461476,1006,10456,52,312,10092,12887,17070,155927,241280,120640,2639,4,736,4,3239,0,759,260,76,0,0,14681.7,1693.87,16106,0.114094,0.0919655,0.109796,8,5,3
42,340461476,1006,9450,44,355,9051,12098,23716,164450,374960,187480,3549,8,1016,4,444,0,1006,344,100,0,0,15722.9,1837.35,17894.1,0.136295,0.137045,0.132888,12,21,-9
43,340461476,1006,9833,49,314,9470,12294,20102,182766,308880,154440,1465,7,412,0,1464,0,900,143,38,0,0,30690.7,2665.24,34319.3,0.0920757,0.100953,0.0962046,7,6,1
44,340461476,1006,10855,59,335,10461,13462,16032,230366,476200,238100,2779,2,773,0,2327,0,937,290,78,0,0,64.7031,1163.37,493.563,0.232646,0.128137,0.21977,2,0,2
45,340461476,1007,11320,51,372,10897,14264,16375,202625,642160,321080,3856,13,1242,6,2063,0,1056,399,143,0,0,4047.67,1273.52,4561.74,0.000300219,0.0494629,0.00208114,19,22,-3
46,340461476,1007,12989,44,394,12551,15946,13006,188613,263440,131720,2352,8,695,1,3082,0,1095,240,78,0,0,4628.23,1316.72,5074.25,0.0136986,0.0589591,0.0140327,9,10,-1
47,340461476,1008,11779,42,459,11278,14957,13697,178544,488680,244340,3878,1,1118,2,509,0,1234,379,106,0,0,3642.91,1351.38,3809.57,0.0401895,0.0630612,0.0398293,3,7,-4
48,340461476,1009,11118,66,444,10608,14426,17605,162878,693800,346900,2868,10,885,0,886,0,1176,295,76,0,0,4173.52,1531.63,4962.13,0.0162659,0.051976,0.0159583,10,6,4
49,340461476,1009,11865,66,453,11346,15039,12171,157500,428000,214000,2203,8,608,3,2056,0,1038,220,51,0,0,9249.64,1562.13,10272.2,0.0128101,0.0554134,0.014579,11,13,-2
50,340461476,1009,11671,66,514,11091,15079,10154,161398,699160,349580,3932,4,1182,1,1445,0,1134,387,118,0,0,5030.15,1137.77,5725.16,0.0472886,0.0568461,0.0501276,5,8,-3
51,340461476,1009,11163,69,505,10589,14606,9247,155920,521560,260780,2874,5,850,4,1027,0,1147,303,85,0,0,7747.13,1446.75,8685.59,0.0156996,0.0392335,0.0163688,9,15,-6
52,340461476,1009,12104,89,476,11539,15592,14449,148240,389760,194880,2147,8,631,5,2317,0,1049,249,78,0,0,4445.44,1424.29,4804.94,0.0318079,0.0556443,0.0344666,13,14,-1
53,340461476,1009,10527,83,522,9922,14148,19653,137915,712960,356480,4253,6,1176,4,93,0,1144,403,123,0,0,13177.1,2065.73,14751.9,0.0251553,0.0529871,0.0258108,10,9,1
54,340461476,1009,9861,95,478,9288,13463,16998,154463,514000,257000,2003,12,558,5,632,0,1031,210,57,0,0,1719.75,1452.73,2045.16,0.0407706,0.0658716,0.0411603,17,20,-3
55,340461476,1009,9415,113,447,8855,12840,22815,135459,382600,191300,1835,10,535,4,703,0,915,169,65,0,0,6723.53,1178.94,7301.37,0.00725021,0.0561334,0.00815066,14,19,-5
56,340461476,1009,11826,120,460,11246,15139,30795,120264,759960,379980,3341,6,920,2,3703,0,875,342,75,0,0,33254.4,3356.39,36748.3,0.0396809,0.0422863,0.0394072,8,10,-2
57,340461476,1009,12480,137,499,11844,15994,41328,164518,359720,179860,3770,20,1119,7,2266,0,1158,339,115,0,0,20113,2385.8,22188.9,0.0985492,0.0858851,0.0958384,27,34,-7
58,340461476,1010,11141,150,507,10484,14674,37400,193442,335400,167700,2791,14,777,6,176,0,1144,291,80,0,0,22154.1,2626.68,24865.6,0.124308,0.0781716,0.13255,20,21,-1
59,340461476,1010,12773,148,495,12130,16269,30711,222052,589080,294540,2371,24,618,10,2974,0,1056,229,57,0,0,7117.98,1675.71,7619.42,0.151408,0.148232,0.145108,34,22,12
60,340461476,1010,16768,158,512,16098,20638,16045,217129,690840,345420,4487,22,1365,5,5819,0,1250,436,138,0,0,12638.4,1748.96,13789.5,0.027419,0.0477682,0.0258812,27,35,-8
61,340461476,1010,20406,167,565,19674,24701,5158,221962,498200,249100,5752,15,1644,6,5951,0,1584,566,163,0,0,11527.3,2017.86,12928.8,0.0407166,0.0453097,0.040339,21,21,0
62,340461476,1010,17781,139,653,16989,22490,6560,225099,412600,206300,5491,30,1573,11,116,0,1975,599,167,0,0,18545.2,2479.64,20131.1,0.0536055,0.0616704,0.0516244,41,42,-1
63,340461476,1010,16605,134,618,15853,21339,6663,242523,824680,412340,3168,23,852,6,898,0,1674,326,74,0,0,12155.8,2342.23,13898.2,0.110916,0.0559485,0.100115,29,37,-8
64,340461476,1010,14463,139,630,13694,19370,11137,242463,1049960,524980,4551,15,1247,6,0,0,1566,456,120,0,0,3177.24,1840.64,3594.82,0.0326137,0.0848636,0.0327509,21,24,-3
65,340461476,1011,13573,129,626,12818,18467,11157,225539,985960,492980,3660,20,1046,11,929,0,1357,362,100,0,0,17989.9,2504.38,19969.6,0.00687596,0.0338852,0.00673742,31,22,9
66,340461476,1011,12639,128,606,11905,17337,13036,240271,559800,279900,2693,20,776,9,757,0,1320,282,89,0,0,7281.64,1805.55,8077.7,0.040953,0.0428246,0.0409046,29,33,-4
67,340461476,1011,11736,128,586,11022,16581,10115,234410,810920,405460,3621,16,953,3,819,0,1244,374,104,0,0,2316.02,1584.94,2463.13,0.0290476,0.055182,0.0292247,19,16,3
68,340461476,1011,11929,136,575,11218,16704,15442,208594,661440,330720,2986,22,880,10,1720,0,1151,296,80,0,0,27219.1,3427.68,30204,0.00667979,0.0321097,0.00593753,32,32,0
69,340461476,1011,11342,142,568,10632,16069,13379,248005,476160,238080,2988,17,776,7,959,0,1168,302,76,0,0,13875.3,2407.59,15792.5,0.0911191,0.0878893,0.0933029,24,20,4
70,340461476,1011,11224,125,553,10546,16012,9187,256871,609440,304720,2949,13,806,4,1399,0,1154,282,81,0,0,6198.53,1636.94,6886.03,0.0670694,0.0721698,0.0669399,17,21,-4
71,340461476,1011,9743,144,549,9050,14486,11748,243470,536120,268060,2935,17,836,5,0,0,1065,323,93,0,0,2784.88,1909.41,3353.86,0.0242965,0.0366043,0.0222417,22,20,2
72,340461476,1012,11929,167,498,11264,16339,20499,210665,528280,264140,1975,29,547,2,3351,0,907,218,40,0,0,11490.5,2367.88,12391.1,0.0116095,0.0471226,0.0131154,31,28,3
73,340461476,1012,10735,174,551,10010,15245,27556,207142,532440,266220,4303,23,1155,3,435,0,1099,406,124,0,0,8372.06,2293.55,9589.62,0.0503173,0.0528545,0.0485696,26,16,10
